date,tic,open,high,low,close,volume
2021-01-04,ABBV,88.1,88.19,85.42,86.63,235216
2021-01-05,ABBV,86.64,87.97,86.03,87.63,221783
2021-01-06,ABBV,86.08,88.12,85.67,86.76,477888
2021-01-07,ABBV,87.23,88.01,86.85,87.75,224637
2021-01-08,ABBV,87.85,88.41,86.96,88.23,176506
2021-01-11,ABBV,88.29,90.05,88.25,89.62,177345
2021-01-12,ABBV,89.8,91.05,89.72,90.25,239023
2021-01-13,ABBV,90.28,93.22,90.28,92.49,545408
2021-01-14,ABBV,92.0,93.73,91.13,92.85,502195
2021-01-15,ABBV,92.51,92.76,91.06,91.88,628211
2021-01-19,ABBV,92.51,93.4,91.72,93.31,555562
2021-01-20,ABBV,93.67,94.06,92.72,93.68,317677
2021-01-21,ABBV,93.68,93.71,92.15,92.55,177794
2021-01-22,ABBV,91.91,92.82,91.07,92.23,127837
2021-01-25,ABBV,91.39,92.52,90.85,91.72,451652
2021-01-26,ABBV,92.46,92.46,90.3,90.52,369228
2021-01-27,ABBV,88.33,88.73,85.34,85.35,674010
2021-01-28,ABBV,86.43,87.43,85.79,86.66,669300
2021-01-29,ABBV,86.5,86.91,84.73,85.25,385993
2021-02-01,ABBV,85.73,86.31,84.74,85.05,289646
2021-02-02,ABBV,85.6,86.71,85.28,86.04,611029
2021-02-03,ABBV,88.17,89.46,86.55,88.95,444320
2021-02-04,ABBV,88.91,90.55,87.55,90.29,653291
2021-02-05,ABBV,91.14,91.68,90.2,90.44,233390
2021-02-08,ABBV,90.34,90.39,88.02,88.87,288916
2021-02-09,ABBV,88.36,88.58,87.45,87.63,182567
2021-02-10,ABBV,88.13,88.18,86.29,86.51,220022
2021-02-11,ABBV,86.78,87.02,85.94,86.3,311657
2021-02-12,ABBV,86.28,86.98,85.83,86.88,166712
2021-02-16,ABBV,87.54,88.3,86.53,86.66,236920
2021-02-17,ABBV,87.12,88.78,86.64,88.39,354669
2021-02-18,ABBV,87.6,88.66,87.51,88.18,186030
2021-02-19,ABBV,88.4,88.46,87.26,87.33,194405
2021-02-22,ABBV,87.08,89.54,86.72,88.97,369426
2021-02-23,ABBV,89.01,89.49,88.19,88.38,331426
2021-02-24,ABBV,88.17,91.03,87.95,90.46,301768
2021-02-25,ABBV,90.41,90.76,89.06,89.29,303039
2021-02-26,ABBV,89.55,90.31,87.66,89.69,596661
2021-03-01,ABBV,90.27,90.79,89.92,90.22,167180
2021-03-02,ABBV,90.42,90.97,89.68,89.7,216906
2021-03-03,ABBV,88.81,89.11,87.73,88.74,475967
2021-03-04,ABBV,88.6,89.61,87.34,87.77,372465
2021-03-05,ABBV,88.3,88.98,86.57,88.72,276992
2021-03-08,ABBV,88.86,89.93,88.02,88.24,302405
2021-03-09,ABBV,88.54,90.4,88.54,88.85,195594
2021-03-10,ABBV,89.19,90.1,89.06,89.83,210625
2021-03-11,ABBV,89.9,90.34,89.3,89.71,198144
2021-03-12,ABBV,89.64,90.29,89.31,89.95,130395
2021-03-15,ABBV,90.45,91.78,90.18,91.7,239793
2021-03-16,ABBV,91.45,92.38,91.45,92.26,175623
2021-03-17,ABBV,86.37,87.38,85.52,87.38,929034
2021-03-18,ABBV,86.53,87.31,86.04,86.31,367678
2021-03-19,ABBV,86.43,86.83,85.62,86.01,236751
2021-03-22,ABBV,85.85,88.48,85.61,88.1,277821
2021-03-23,ABBV,87.64,88.09,86.94,87.2,314092
2021-03-24,ABBV,87.2,87.52,85.76,85.76,399272
2021-03-25,ABBV,85.63,86.61,84.91,86.41,232862
2021-03-26,ABBV,86.46,88.24,86.46,88.14,243603
2021-03-29,ABBV,87.99,88.99,87.76,88.68,236102
2021-03-30,ABBV,88.78,89.0,88.07,88.76,243816
2021-03-31,ABBV,88.89,90.8,88.88,90.0,415334
2021-04-01,ABBV,90.51,90.64,89.29,90.3,187594
2021-04-05,ABBV,90.49,90.54,87.68,88.3,403761
2021-04-06,ABBV,88.08,88.37,87.23,87.62,344097
2021-04-07,ABBV,87.77,88.24,86.65,87.5,361138
2021-04-08,ABBV,87.68,88.92,87.67,88.23,241966
2021-04-09,ABBV,88.42,89.59,88.29,89.45,253658
2021-04-12,ABBV,89.56,90.21,89.31,90.06,194016
2021-04-13,ABBV,89.8,90.11,89.04,90.03,105692
2021-04-14,ABBV,89.48,89.68,88.9,89.17,273431
2021-04-15,ABBV,89.34,90.04,88.98,90.0,218085
2021-04-16,ABBV,90.22,91.38,90.22,90.85,196916
2021-04-20,ABBV,91.1,92.24,91.02,91.8,186169
2021-04-21,ABBV,92.24,93.8,92.11,93.29,205055
2021-04-22,ABBV,93.18,93.52,92.32,92.67,504597
2021-04-23,ABBV,92.47,94.1,92.25,93.78,182762
2021-04-26,ABBV,93.96,94.29,93.39,93.79,179462
2021-04-27,ABBV,93.7,94.17,93.16,93.86,141694
2021-04-28,ABBV,94.01,94.77,93.74,94.22,190862
2021-04-29,ABBV,94.61,94.8,92.92,93.37,367224
2021-04-30,ABBV,93.93,94.55,92.73,93.89,494371
2021-05-03,ABBV,94.55,96.88,93.96,96.56,451994
2021-05-04,ABBV,96.49,97.61,95.2,95.97,424090
2021-05-05,ABBV,96.14,97.89,95.98,97.47,197072
2021-05-06,ABBV,96.95,97.79,96.12,97.73,251890
2021-05-07,ABBV,97.92,98.41,96.8,97.51,267674
2021-05-10,ABBV,98.03,98.67,97.64,97.85,276132
2021-05-11,ABBV,97.23,98.14,96.31,96.72,178550
2021-05-12,ABBV,96.7,97.64,96.42,96.78,272282
2021-05-13,ABBV,97.47,98.65,96.88,98.16,547319
2021-05-14,ABBV,98.77,98.93,98.05,98.05,407094
2021-05-17,ABBV,98.29,99.1,98.15,98.37,268202
2021-05-18,ABBV,97.8,99.26,97.1,98.69,310022
2021-05-19,ABBV,98.06,98.06,96.32,97.55,312784
2021-05-20,ABBV,97.08,98.77,97.08,98.58,192476
2021-05-21,ABBV,98.94,99.5,97.72,97.73,146782
2021-05-24,ABBV,98.2,98.32,97.36,97.57,167457
2021-05-25,ABBV,97.67,97.67,96.15,96.45,182243
2021-05-26,ABBV,96.46,96.61,95.8,96.58,201172
2021-05-27,ABBV,96.77,96.77,94.32,94.56,373030
2021-05-28,ABBV,95.51,96.35,95.03,95.27,231244
