date,tic,open,high,low,close,volume
2021-01-04,ACGL,34.45,34.45,32.95,33.22,74494
2021-01-05,ACGL,33.5,33.55,32.82,33.31,42314
2021-01-06,ACGL,34.08,35.34,33.99,34.77,116265
2021-01-07,ACGL,34.96,35.11,34.2,34.49,88552
2021-01-08,ACGL,34.6,34.71,33.94,34.7,85228
2021-01-11,ACGL,34.62,34.75,34.05,34.4,79028
2021-01-12,ACGL,34.29,34.73,34.16,34.63,97143
2021-01-13,ACGL,34.78,34.88,33.85,33.9,86262
2021-01-14,ACGL,33.64,33.77,33.36,33.5,59427
2021-01-15,ACGL,33.33,33.33,32.65,32.93,213322
2021-01-19,ACGL,33.34,33.4,32.49,32.49,132007
2021-01-20,ACGL,32.22,32.99,32.19,32.91,159231
2021-01-21,ACGL,32.93,33.49,32.49,32.69,128216
2021-01-22,ACGL,32.01,32.23,31.34,31.69,135140
2021-01-25,ACGL,31.29,31.79,31.13,31.64,139250
2021-01-26,ACGL,31.86,32.15,31.21,31.29,217858
2021-01-27,ACGL,30.94,31.26,30.01,30.03,196816
2021-01-28,ACGL,30.4,30.64,29.85,30.38,236946
2021-01-29,ACGL,30.21,30.27,29.7,29.87,74116
2021-02-01,ACGL,30.02,30.57,29.77,30.45,234818
2021-02-02,ACGL,30.78,31.71,30.69,31.51,106417
2021-02-03,ACGL,31.5,31.81,31.04,31.09,59295
2021-02-04,ACGL,31.37,32.06,31.37,31.76,64407
2021-02-05,ACGL,31.97,32.47,31.91,32.22,58524
2021-02-08,ACGL,32.24,32.45,31.6,32.45,244440
2021-02-09,ACGL,32.52,33.41,32.5,33.39,127623
2021-02-10,ACGL,33.98,34.25,32.57,33.17,199087
2021-02-11,ACGL,33.54,34.17,33.4,33.82,75665
2021-02-12,ACGL,33.64,34.31,33.08,33.44,131777
2021-02-16,ACGL,33.66,33.66,32.72,33.2,76723
2021-02-17,ACGL,33.21,33.85,33.21,33.62,98648
2021-02-18,ACGL,33.48,33.81,33.21,33.21,85398
2021-02-19,ACGL,33.09,33.57,33.08,33.38,137650
2021-02-22,ACGL,33.38,33.92,33.12,33.48,91461
2021-02-23,ACGL,33.46,33.76,33.21,33.43,167428
2021-02-24,ACGL,33.67,34.49,33.61,33.83,225005
2021-02-25,ACGL,34.5,34.5,33.64,33.75,502288
2021-02-26,ACGL,33.79,34.47,33.66,34.09,481769
2021-03-01,ACGL,34.74,34.82,34.08,34.17,265165
2021-03-02,ACGL,34.14,34.83,33.87,34.6,138607
2021-03-03,ACGL,34.78,35.21,34.23,34.46,127266
2021-03-04,ACGL,34.5,34.63,33.7,33.95,155576
2021-03-05,ACGL,34.25,34.7,33.37,34.58,126059
2021-03-08,ACGL,34.79,35.76,34.71,35.4,147543
2021-03-09,ACGL,35.25,35.5,34.57,34.95,121678
2021-03-10,ACGL,35.01,35.65,34.87,35.3,97080
2021-03-11,ACGL,35.12,35.3,34.95,35.18,86983
2021-03-12,ACGL,35.23,35.81,35.23,35.78,63974
2021-03-15,ACGL,35.74,36.16,35.45,36.16,40900
2021-03-16,ACGL,35.99,36.06,35.69,36.0,75732
2021-03-17,ACGL,35.96,36.04,35.41,35.76,68720
2021-03-18,ACGL,35.8,36.5,35.64,35.79,112884
2021-03-19,ACGL,35.64,35.64,34.9,35.09,80272
2021-03-22,ACGL,34.72,35.08,34.52,34.89,48548
2021-03-23,ACGL,34.72,35.11,34.72,34.99,76661
2021-03-24,ACGL,35.31,35.91,35.31,35.42,75199
2021-03-25,ACGL,35.39,36.37,35.04,36.36,63830
2021-03-26,ACGL,36.5,36.9,36.31,36.89,77498
2021-03-29,ACGL,36.92,37.17,36.55,36.97,58264
2021-03-30,ACGL,37.13,37.29,36.65,37.21,136166
2021-03-31,ACGL,37.35,37.35,36.48,36.52,85478
2021-04-01,ACGL,36.5,37.51,36.31,37.51,104306
2021-04-05,ACGL,37.52,38.0,37.5,37.66,83578
2021-04-06,ACGL,37.66,38.03,37.29,37.96,88945
2021-04-07,ACGL,37.98,38.31,37.7,38.27,48348
2021-04-08,ACGL,37.98,38.22,37.7,38.07,89785
2021-04-09,ACGL,38.57,38.58,37.8,38.1,53001
2021-04-12,ACGL,38.39,38.39,37.8,38.05,39110
2021-04-13,ACGL,37.67,37.93,37.6,37.89,35207
2021-04-14,ACGL,37.76,38.46,37.76,38.13,33352
2021-04-15,ACGL,38.17,38.45,38.1,38.34,47337
2021-04-16,ACGL,38.51,38.65,37.92,38.11,43289
2021-04-19,ACGL,38.5,38.5,37.69,37.73,47292
2021-04-20,ACGL,37.53,37.73,37.13,37.34,52478
2021-04-21,ACGL,37.57,37.9,37.34,37.9,31697
2021-04-22,ACGL,37.7,37.91,37.61,37.7,53092
2021-04-23,ACGL,37.87,38.16,37.83,38.01,17990
2021-04-26,ACGL,37.98,38.44,37.98,38.17,54619
2021-04-27,ACGL,38.47,38.58,38.18,38.58,71541
