date,tic,open,high,low,close,volume
2021-01-04,ADI,135.93,137.88,132.51,133.79,142658
2021-01-05,ADI,133.55,136.17,133.55,136.07,69989
2021-01-06,ADI,135.93,139.4,135.33,136.8,135036
2021-01-07,ADI,138.72,142.97,138.72,142.43,113683
2021-01-08,ADI,143.75,146.33,142.79,143.66,263753
2021-01-11,ADI,143.09,145.79,142.31,145.11,159432
2021-01-12,ADI,144.59,145.93,143.41,145.91,140350
2021-01-13,ADI,146.12,148.21,144.88,145.21,217384
2021-01-14,ADI,146.07,147.32,146.0,146.1,100621
2021-01-15,ADI,145.01,145.67,142.49,144.58,90915
2021-01-19,ADI,145.16,147.38,145.02,147.08,109369
2021-01-20,ADI,148.12,149.17,146.28,146.58,89931
2021-01-21,ADI,147.32,147.36,144.57,145.79,86056
2021-01-22,ADI,144.98,145.44,142.43,142.6,207142
2021-01-25,ADI,143.95,143.95,139.7,141.02,210483
2021-01-26,ADI,141.13,142.48,139.33,141.99,144770
2021-01-27,ADI,138.37,140.0,134.53,134.92,350740
2021-01-28,ADI,138.32,139.11,136.05,136.59,285607
2021-01-29,ADI,136.44,136.97,134.39,134.76,232820
2021-02-01,ADI,135.96,139.46,135.18,139.36,125569
2021-02-02,ADI,140.17,141.09,138.39,139.09,139741
2021-02-03,ADI,139.45,139.57,135.12,135.14,208625
2021-02-04,ADI,135.38,138.01,134.74,137.88,78074
2021-02-05,ADI,138.85,139.07,136.16,136.31,86464
2021-02-08,ADI,137.21,140.32,136.55,140.32,96424
2021-02-09,ADI,139.71,140.62,139.08,140.07,61312
2021-02-10,ADI,141.44,141.73,138.89,140.31,115395
2021-02-11,ADI,141.84,145.63,141.69,145.55,134253
2021-02-12,ADI,145.41,147.86,144.74,147.25,161778
2021-02-16,ADI,149.19,150.16,146.93,146.93,179069
2021-02-17,ADI,143.97,148.2,142.14,146.45,223512
2021-02-18,ADI,144.31,145.43,142.62,144.97,179174
2021-02-19,ADI,147.19,150.6,146.96,150.05,176162
2021-02-22,ADI,148.18,149.67,145.2,145.84,152978
2021-02-23,ADI,143.67,145.35,140.59,144.5,223354
2021-02-24,ADI,143.14,148.29,142.26,148.28,143956
2021-02-25,ADI,146.62,147.37,141.08,141.29,191850
2021-02-26,ADI,144.05,144.84,140.19,143.51,163549
2021-03-01,ADI,144.63,146.07,142.77,145.97,167989
2021-03-02,ADI,146.05,146.37,141.84,141.85,170734
2021-03-03,ADI,141.63,142.51,137.82,137.82,194843
2021-03-04,ADI,137.15,137.4,130.96,132.85,226890
2021-03-05,ADI,136.91,137.66,131.99,136.98,207230
2021-03-08,ADI,135.81,137.55,132.43,132.47,285818
2021-03-09,ADI,136.97,138.97,136.46,137.5,387321
2021-03-10,ADI,138.92,139.35,135.37,135.37,175927
2021-03-11,ADI,138.36,139.98,138.08,139.1,272294
2021-03-12,ADI,136.15,137.88,135.8,137.59,177784
2021-03-15,ADI,137.53,139.02,136.18,139.01,160369
2021-03-16,ADI,140.12,142.14,139.89,140.88,149709
2021-03-17,ADI,138.43,142.47,138.1,141.89,138029
2021-03-18,ADI,139.22,141.03,137.47,137.49,222123
2021-03-19,ADI,138.04,140.95,135.96,139.86,224924
2021-03-22,ADI,142.15,143.82,141.11,142.11,129636
2021-03-23,ADI,142.61,142.61,137.81,138.5,91194
2021-03-24,ADI,139.73,141.6,138.3,138.3,181594
2021-03-25,ADI,136.55,138.82,134.88,137.91,218801
2021-03-26,ADI,137.56,144.78,137.56,144.54,223316
2021-03-29,ADI,142.9,143.55,139.94,141.41,129997
2021-03-30,ADI,140.42,141.1,139.51,140.17,108993
2021-03-31,ADI,141.41,143.6,141.41,142.76,179235
2021-04-01,ADI,144.49,147.69,144.49,147.69,152063
2021-04-05,ADI,149.63,150.78,148.05,150.39,105282
2021-04-06,ADI,149.34,150.02,147.01,148.82,126755
2021-04-07,ADI,148.71,148.91,146.0,146.7,159024
2021-04-08,ADI,148.34,149.23,146.78,149.22,121740
2021-04-09,ADI,147.54,149.01,147.43,148.3,109144
2021-04-12,ADI,147.88,147.88,146.44,147.06,90781
2021-04-13,ADI,147.95,148.11,145.15,146.46,107454
2021-04-14,ADI,145.86,147.76,145.15,145.77,78585
2021-04-15,ADI,147.14,148.44,146.39,147.96,99211
2021-04-16,ADI,147.89,148.43,146.5,146.8,119368
2021-04-19,ADI,145.62,146.17,143.29,144.27,181763
2021-04-20,ADI,142.77,143.78,141.4,142.2,110705
2021-04-21,ADI,142.93,145.68,142.01,145.59,170641
2021-04-22,ADI,144.89,145.35,142.6,142.88,108174
2021-04-23,ADI,143.8,147.21,143.8,146.25,166142
2021-04-26,ADI,146.19,148.98,145.66,147.79,143962
2021-04-27,ADI,148.48,148.94,146.83,146.92,91330
2021-04-28,ADI,145.94,145.94,142.73,143.56,144238
2021-04-29,ADI,144.33,145.48,141.72,145.48,415485
2021-04-30,ADI,142.77,143.84,140.42,140.77,250638
2021-05-03,ADI,141.69,141.83,138.69,139.19,226321
2021-05-04,ADI,137.86,139.81,136.74,139.75,245460
2021-05-05,ADI,141.16,142.82,140.15,141.62,335517
2021-05-06,ADI,141.76,143.99,140.7,143.22,365979
2021-05-07,ADI,144.31,145.72,143.72,144.7,154741
2021-05-10,ADI,143.63,144.63,138.75,138.81,231424
2021-05-11,ADI,136.44,139.91,136.08,138.89,288462
2021-05-12,ADI,136.17,137.1,134.09,134.45,258505
2021-05-13,ADI,136.16,137.42,134.03,134.87,240372
2021-05-14,ADI,135.88,138.66,134.96,137.67,202805
2021-05-17,ADI,136.53,136.9,134.22,136.28,297847
2021-05-18,ADI,137.78,137.78,134.24,134.24,221264
2021-05-19,ADI,132.83,141.03,132.69,141.01,442659
2021-05-20,ADI,142.91,148.33,142.91,146.73,250145
2021-05-21,ADI,146.89,147.92,146.33,146.53,157252
2021-05-24,ADI,148.16,149.97,148.05,149.49,172183
2021-05-25,ADI,151.2,151.9,149.75,150.79,138916
2021-05-26,ADI,150.41,151.93,149.69,150.81,193356
2021-05-27,ADI,150.85,152.76,150.79,151.01,115414
2021-05-28,ADI,151.31,153.02,150.78,152.19,144622
2021-06-01,ADI,151.9,153.68,149.93,151.14,164667
2021-06-02,ADI,151.38,152.72,151.1,152.03,114307
2021-06-03,ADI,150.63,151.29,148.82,149.78,101870
2021-06-04,ADI,151.12,153.54,151.12,152.96,104767
2021-06-07,ADI,152.19,152.93,151.71,152.04,76400
2021-06-08,ADI,153.74,153.74,150.9,152.49,111059
2021-06-09,ADI,152.79,154.23,152.46,153.77,133892
2021-06-10,ADI,154.23,155.1,152.22,154.67,176705
2021-06-11,ADI,154.22,154.95,153.85,154.94,94802
2021-06-14,ADI,155.07,155.66,153.25,155.65,187515
2021-06-15,ADI,154.96,156.03,154.42,154.86,74433
2021-06-16,ADI,155.32,155.4,152.04,153.37,115007
2021-06-17,ADI,152.6,155.44,152.6,153.65,99209
2021-06-18,ADI,152.6,152.6,149.23,149.88,142088
2021-06-21,ADI,150.52,151.79,149.93,151.71,128608
2021-06-22,ADI,151.05,151.69,150.18,151.26,119493
2021-06-23,ADI,151.02,152.41,150.75,151.18,92560
2021-06-24,ADI,152.96,154.51,152.88,154.34,95440
2021-06-25,ADI,155.02,156.56,154.53,155.01,146106
2021-06-28,ADI,156.38,158.09,156.0,157.63,121060
2021-06-29,ADI,157.52,158.77,157.05,158.36,96713
2021-06-30,ADI,157.9,159.3,157.55,159.23,137201
2021-07-01,ADI,158.97,159.03,156.12,156.29,102349
2021-07-02,ADI,157.3,158.21,156.78,157.67,67065
2021-07-06,ADI,158.19,158.19,154.16,155.49,113786
2021-07-07,ADI,156.51,156.51,152.2,152.88,217593
2021-07-08,ADI,150.05,151.78,148.09,151.43,208448
2021-07-09,ADI,151.74,153.96,150.44,153.63,96400
2021-07-12,ADI,153.88,154.84,153.13,154.82,124588
2021-07-13,ADI,154.4,155.55,153.52,154.6,115341
2021-07-14,ADI,156.25,157.05,153.31,153.45,104281
2021-07-15,ADI,152.96,152.99,150.04,151.17,139690
2021-07-16,ADI,152.05,152.15,148.14,148.23,132908
2021-07-19,ADI,146.19,147.47,144.7,146.91,155534
2021-07-20,ADI,146.84,149.51,145.94,148.68,116113
2021-07-21,ADI,148.9,152.3,148.82,152.28,88109
2021-07-22,ADI,150.66,150.66,148.66,149.66,169352
2021-07-23,ADI,150.64,151.36,149.47,151.18,91438
2021-07-26,ADI,150.14,151.8,150.14,151.47,68901
2021-07-27,ADI,151.04,151.32,147.47,150.2,149749
2021-07-28,ADI,150.53,152.11,150.53,151.54,303489
2021-07-29,ADI,152.17,154.43,152.17,153.87,311226
2021-07-30,ADI,153.13,155.44,152.81,154.73,128080
2021-08-02,ADI,155.7,158.29,154.67,154.86,115824
2021-08-03,ADI,155.56,156.17,153.19,155.87,143604
2021-08-04,ADI,156.26,161.95,156.26,159.56,567217
2021-08-05,ADI,160.0,160.0,156.06,157.07,200452
2021-08-06,ADI,156.02,158.82,155.61,158.19,138753
