date,tic,open,high,low,close,volume
2021-01-04,ADP,158.42,159.05,151.22,152.21,83638
2021-01-05,ADP,152.87,153.12,150.99,151.78,73506
2021-01-06,ADP,151.03,152.71,150.64,151.28,62325
2021-01-07,ADP,151.42,153.2,151.11,152.15,56601
2021-01-08,ADP,152.36,155.12,151.84,154.07,78336
2021-01-11,ADP,154.32,154.61,151.57,151.89,64869
2021-01-12,ADP,151.91,152.81,150.59,152.5,78985
2021-01-13,ADP,146.64,149.32,145.73,148.47,123959
2021-01-14,ADP,148.59,148.59,145.61,146.05,86110
2021-01-15,ADP,145.46,145.76,143.67,145.27,88923
2021-01-19,ADP,145.13,146.08,144.36,146.0,74696
2021-01-20,ADP,146.08,146.73,144.95,146.37,51299
2021-01-21,ADP,146.2,146.2,144.36,145.27,115117
2021-01-22,ADP,145.18,146.37,144.12,146.09,97502
2021-01-25,ADP,146.1,147.88,145.04,147.61,156180
2021-01-26,ADP,148.16,149.42,146.97,148.06,130055
2021-01-27,ADP,149.04,155.62,147.8,149.45,186718
2021-01-28,ADP,152.78,155.56,150.33,150.38,88995
2021-01-29,ADP,151.3,152.67,148.34,148.85,151044
2021-02-01,ADP,148.98,151.85,148.98,149.93,79498
2021-02-02,ADP,150.95,152.45,149.31,151.73,96243
2021-02-03,ADP,151.02,151.21,149.99,150.47,52168
2021-02-04,ADP,150.89,153.84,149.98,153.84,42128
2021-02-05,ADP,154.15,154.56,150.71,150.71,52885
2021-02-08,ADP,151.39,151.89,150.13,151.44,81171
2021-02-09,ADP,151.11,151.76,150.14,150.67,70418
2021-02-10,ADP,151.81,151.81,149.92,150.4,80003
2021-02-11,ADP,151.13,151.66,150.21,150.34,89031
2021-02-12,ADP,149.74,150.72,148.06,150.66,108369
2021-02-16,ADP,149.85,151.21,148.94,149.83,55664
2021-02-17,ADP,149.21,150.89,148.4,150.67,50108
2021-02-18,ADP,150.42,155.93,150.09,155.69,112643
2021-02-19,ADP,155.62,156.01,152.43,152.49,69296
2021-02-22,ADP,151.9,154.61,150.71,153.98,75866
2021-02-23,ADP,154.48,157.27,153.4,155.27,134351
2021-02-24,ADP,153.17,159.4,152.36,159.32,107161
2021-02-25,ADP,158.61,160.12,157.4,158.32,137671
2021-02-26,ADP,158.84,159.95,156.61,156.9,85230
2021-03-01,ADP,158.33,160.87,157.41,160.18,83829
2021-03-02,ADP,160.25,160.25,156.82,157.69,79986
2021-03-03,ADP,156.4,157.78,155.49,157.28,70981
2021-03-04,ADP,157.28,158.49,153.19,154.06,152809
2021-03-05,ADP,154.81,161.32,154.78,160.76,153287
2021-03-08,ADP,161.18,165.52,160.37,162.55,120639
2021-03-09,ADP,164.31,166.09,163.45,165.28,68995
2021-03-10,ADP,165.57,166.41,163.42,164.1,83174
2021-03-11,ADP,163.74,166.68,163.63,164.54,71061
2021-03-12,ADP,164.06,165.81,163.73,165.6,60330
2021-03-15,ADP,166.24,171.48,166.24,171.46,132399
2021-03-16,ADP,171.07,172.58,170.35,170.59,78166
2021-03-17,ADP,169.59,170.74,168.77,170.2,90977
2021-03-18,ADP,168.44,170.62,168.09,168.72,99719
2021-03-19,ADP,168.97,169.22,165.45,166.71,177488
2021-03-22,ADP,166.28,167.48,165.46,167.19,83765
2021-03-23,ADP,168.33,168.33,165.91,166.62,90004
2021-03-24,ADP,166.91,170.22,166.91,167.91,100309
2021-03-25,ADP,169.3,170.47,168.59,169.44,110063
2021-03-26,ADP,170.01,174.82,170.01,174.82,92419
2021-03-29,ADP,173.61,174.85,172.28,174.45,74097
2021-03-30,ADP,174.64,174.97,169.66,169.76,85172
2021-03-31,ADP,170.33,171.71,169.5,170.86,85735
2021-04-01,ADP,172.13,172.13,170.51,171.69,65828
2021-04-05,ADP,172.64,175.52,172.41,174.9,67784
2021-04-06,ADP,173.39,173.59,171.07,171.58,95137
2021-04-07,ADP,171.2,171.38,168.21,168.25,87474
2021-04-08,ADP,169.31,170.68,168.6,170.46,100556
2021-04-09,ADP,170.07,171.97,169.44,171.53,44210
2021-04-12,ADP,171.1,172.32,170.78,171.93,51001
2021-04-13,ADP,171.98,174.14,171.75,173.85,43294
