date,tic,open,high,low,close,volume
2021-01-04,ADSK,305.34,307.83,293.58,296.54,64244
2021-01-05,ADSK,297.41,302.465,296.805,301.49,140081
2021-01-06,ADSK,295.0,309.83,294.7,302.99,114324
2021-01-07,ADSK,306.055,316.16,305.68,315.47,55837
2021-01-08,ADSK,316.495,320.39,315.465,319.92,85377
2021-01-11,ADSK,317.7,319.69,313.9,317.84,77065
2021-01-12,ADSK,319.64,320.94,317.26,320.18,66924
2021-01-13,ADSK,321.13,321.13,313.07,314.38,110854
2021-01-14,ADSK,314.07,316.08,310.135,311.15,81331
2021-01-15,ADSK,311.9,315.735,308.26,308.72,95783
2021-01-19,ADSK,313.0,314.71,310.455,310.87,52816
2021-01-20,ADSK,311.52,315.26,307.885,308.62,167785
2021-01-21,ADSK,309.25,309.71,305.37,306.46,253887
2021-01-22,ADSK,303.37,306.22,296.56,299.38,375435
2021-01-25,ADSK,302.2,302.44,289.8,293.32,346669
2021-01-26,ADSK,294.215,295.495,291.34,291.76,239026
2021-01-27,ADSK,283.76,283.76,272.86,273.295,256467
2021-01-28,ADSK,277.06,289.32,277.06,284.66,102596
2021-01-29,ADSK,281.68,283.63,274.97,277.15,73353
2021-02-01,ADSK,280.41,287.56,279.33,286.59,95936
2021-02-02,ADSK,289.81,296.56,289.41,294.5,58210
2021-02-03,ADSK,294.02,295.86,292.8,292.99,41513
2021-02-04,ADSK,294.255,300.48,291.915,300.4,80959
2021-02-05,ADSK,302.53,307.68,302.335,306.015,70876
2021-02-08,ADSK,309.05,309.96,302.18,302.45,45518
2021-02-09,ADSK,305.52,305.83,302.79,304.31,83562
2021-02-10,ADSK,305.82,305.82,299.935,301.23,79667
2021-02-11,ADSK,305.185,305.185,298.41,300.07,185854
2021-02-12,ADSK,297.88,305.44,295.365,305.2,103846
2021-02-16,ADSK,307.94,315.775,307.32,308.06,107525
2021-02-17,ADSK,306.955,306.955,296.47,302.585,50847
2021-02-18,ADSK,299.0,301.74,292.97,300.53,80984
2021-02-19,ADSK,301.11,309.93,301.11,305.47,73523
2021-02-22,ADSK,301.39,303.15,297.72,297.85,72244
2021-02-23,ADSK,292.0,293.3,284.67,290.4,113945
2021-02-24,ADSK,282.09,299.155,282.09,298.81,105847
2021-02-25,ADSK,293.71,298.4,282.55,284.24,110077
2021-02-26,ADSK,283.89,290.03,274.84,276.125,208950
2021-03-01,ADSK,279.41,284.57,278.25,283.95,91288
2021-03-02,ADSK,286.585,286.9,277.53,278.1,89511
2021-03-03,ADSK,276.01,276.82,267.06,269.24,83308
2021-03-04,ADSK,266.66,273.0,263.365,265.28,128813
2021-03-05,ADSK,269.52,269.52,255.06,267.215,117092
2021-03-08,ADSK,265.64,268.04,252.68,253.11,112534
2021-03-09,ADSK,261.54,266.3,260.93,264.05,137701
2021-03-10,ADSK,269.06,271.1,262.49,263.56,117929
2021-03-11,ADSK,270.0,275.99,269.505,274.37,187840
2021-03-12,ADSK,268.08,269.75,264.55,268.21,67452
2021-03-15,ADSK,268.33,273.55,266.57,273.55,42395
2021-03-16,ADSK,275.26,277.66,272.03,275.04,73456
2021-03-17,ADSK,270.795,275.185,265.38,272.73,63909
2021-03-18,ADSK,265.55,271.0,263.2,263.655,74707
2021-03-19,ADSK,263.625,265.175,258.97,261.49,79410
2021-03-22,ADSK,262.605,269.23,262.605,266.045,94365
2021-03-23,ADSK,268.265,274.815,267.655,268.89,120620
2021-03-24,ADSK,270.0,270.73,263.07,263.38,103266
2021-03-25,ADSK,261.355,263.09,257.34,262.04,47941
2021-03-26,ADSK,262.9,269.19,262.5,269.155,88127
2021-03-29,ADSK,267.24,272.95,266.59,270.685,82048
2021-03-30,ADSK,267.53,271.73,264.68,268.59,50630
2021-03-31,ADSK,270.395,279.6,270.395,277.37,75324
2021-04-01,ADSK,279.4,285.49,279.4,283.91,113318
2021-04-05,ADSK,285.55,289.38,284.66,288.41,54436
2021-04-06,ADSK,287.41,288.3,284.79,285.55,56101
2021-04-07,ADSK,285.8,287.51,283.52,286.16,39018
2021-04-08,ADSK,290.17,297.635,290.17,293.45,105049
2021-04-09,ADSK,291.63,297.825,290.49,297.47,71513
2021-04-12,ADSK,294.235,296.25,293.4,294.39,80311
2021-04-13,ADSK,296.0,298.0,293.95,295.15,51295
2021-04-14,ADSK,297.25,301.105,293.92,293.92,64422
2021-04-15,ADSK,299.95,302.305,298.285,298.86,61333
2021-04-16,ADSK,298.07,301.355,297.0,300.24,33970
2021-04-19,ADSK,298.36,298.815,288.92,290.29,43862
2021-04-20,ADSK,289.05,289.05,282.82,286.53,96959
2021-04-21,ADSK,286.8,289.65,284.15,288.71,47114
2021-04-22,ADSK,287.86,292.175,286.1,287.92,204410
2021-04-23,ADSK,289.12,296.57,289.12,295.145,77337
2021-04-26,ADSK,294.59,300.665,294.59,299.54,81702
2021-04-27,ADSK,299.05,299.66,294.405,298.27,56193
2021-04-28,ADSK,297.12,299.53,296.2,299.2,65656
2021-04-29,ADSK,300.93,300.93,294.23,296.19,68370
2021-04-30,ADSK,293.32,295.2,290.91,291.75,34215
2021-05-03,ADSK,293.31,293.42,286.16,287.66,38938
2021-05-04,ADSK,283.04,283.44,274.52,279.41,74749
2021-05-05,ADSK,281.27,281.46,277.68,281.005,83590
2021-05-06,ADSK,278.75,284.58,277.79,284.43,90519
2021-05-07,ADSK,288.97,292.3,283.98,285.97,51157
2021-05-10,ADSK,283.9,283.9,276.07,276.23,47586
2021-05-11,ADSK,268.28,280.415,265.75,277.53,125416
2021-05-12,ADSK,272.83,274.295,267.79,269.66,49129
2021-05-13,ADSK,270.94,273.455,267.27,269.79,113127
2021-05-14,ADSK,273.95,278.69,270.325,277.74,91554
2021-05-17,ADSK,275.02,275.61,270.435,274.73,38988
2021-05-18,ADSK,276.63,276.785,272.69,272.69,68006
2021-05-19,ADSK,267.71,274.56,267.21,274.15,67521
2021-05-20,ADSK,275.99,282.83,275.99,281.105,64401
2021-05-21,ADSK,283.82,284.61,279.35,281.46,89384
2021-05-24,ADSK,284.165,288.515,284.165,287.59,74595
2021-05-25,ADSK,289.16,291.39,288.02,289.72,61817
2021-05-26,ADSK,289.73,293.48,288.26,292.51,87937
2021-05-27,ADSK,290.3,290.51,285.2,287.31,138178
2021-05-28,ADSK,287.01,290.95,282.15,285.92,163879
2021-06-01,ADSK,286.74,287.28,280.08,281.215,86825
2021-06-02,ADSK,280.705,283.98,278.485,279.45,67063
2021-06-03,ADSK,276.675,278.065,272.025,274.56,133663
2021-06-04,ADSK,277.71,285.29,276.395,284.69,63135
2021-06-07,ADSK,283.265,283.265,276.205,278.87,140058
2021-06-08,ADSK,281.19,283.1,278.255,278.63,57788
2021-06-09,ADSK,280.94,280.94,275.35,275.505,88363
2021-06-10,ADSK,275.68,280.02,275.27,277.66,77568
2021-06-11,ADSK,279.255,281.36,277.14,277.5,67711
2021-06-14,ADSK,278.82,281.22,276.86,280.42,77982
2021-06-15,ADSK,280.59,281.715,276.05,276.73,51240
2021-06-16,ADSK,277.0,278.05,271.7,273.625,105872
2021-06-17,ADSK,272.24,278.69,271.815,276.35,280296
2021-06-18,ADSK,276.005,281.075,275.45,277.79,79424
2021-06-21,ADSK,277.28,283.42,276.12,283.37,80823
2021-06-22,ADSK,283.62,286.32,283.05,286.32,39109
2021-06-23,ADSK,286.275,286.515,282.92,283.57,69106
2021-06-24,ADSK,286.48,289.0,286.48,287.01,52781
2021-06-25,ADSK,287.165,289.89,285.73,288.71,37630
2021-06-28,ADSK,291.09,294.96,290.73,293.29,49746
2021-06-29,ADSK,292.12,298.14,290.33,297.8,65045
2021-06-30,ADSK,296.495,296.72,291.22,292.01,65176
2021-07-01,ADSK,291.66,294.85,291.305,293.49,38501
2021-07-02,ADSK,296.02,298.24,295.4,297.75,20533
2021-07-06,ADSK,298.35,300.89,294.2,295.42,130832
2021-07-07,ADSK,297.345,299.205,293.94,296.355,83320
2021-07-08,ADSK,291.81,295.96,290.41,294.0,117220
2021-07-09,ADSK,293.79,296.69,290.52,295.45,64584
2021-07-12,ADSK,296.92,298.2,290.46,292.09,41512
2021-07-13,ADSK,292.875,297.21,291.21,296.51,63664
2021-07-14,ADSK,297.92,300.71,296.315,297.08,55792
2021-07-15,ADSK,296.7,296.7,292.385,294.805,55306
2021-07-16,ADSK,296.13,297.63,293.195,293.44,48608
2021-07-19,ADSK,289.315,289.85,284.48,287.31,78479
2021-07-20,ADSK,287.53,298.52,286.33,296.06,101433
2021-07-21,ADSK,294.92,301.925,294.69,301.695,37234
2021-07-22,ADSK,303.18,309.25,303.17,308.53,69622
2021-07-23,ADSK,310.19,314.74,309.38,312.72,64486
2021-07-26,ADSK,311.33,313.785,309.81,313.62,29412
2021-07-27,ADSK,313.03,314.13,304.38,308.45,56491
2021-07-28,ADSK,309.09,313.92,306.21,313.2,61502
2021-07-29,ADSK,313.055,322.4,313.055,320.51,116815
2021-07-30,ADSK,318.61,321.7,317.14,321.26,82859
2021-08-02,ADSK,322.5,324.03,319.15,322.17,54583
2021-08-03,ADSK,322.78,327.83,321.38,327.55,55280
2021-08-04,ADSK,328.0,331.08,326.39,329.1,144845
2021-08-05,ADSK,330.18,331.02,326.86,328.68,165443
2021-08-06,ADSK,327.96,333.95,326.785,332.68,46045
2021-08-09,ADSK,333.03,333.62,330.29,332.65,59455
2021-08-10,ADSK,333.28,335.54,329.22,331.42,43592
2021-08-11,ADSK,331.61,333.22,325.83,328.56,75799
2021-08-12,ADSK,326.31,332.39,326.31,332.35,53311
2021-08-13,ADSK,332.28,334.0,330.38,332.78,30243
2021-08-16,ADSK,332.435,332.435,327.02,330.17,47004
2021-08-17,ADSK,327.31,327.835,323.03,324.69,61048
2021-08-18,ADSK,323.24,325.82,322.61,323.72,42836
2021-08-19,ADSK,322.93,332.22,322.73,330.1,67527
2021-08-20,ADSK,331.99,335.21,330.7,334.42,39356
2021-08-23,ADSK,335.64,338.14,334.225,336.815,129770
2021-08-24,ADSK,339.39,344.185,339.07,341.0,70395
2021-08-25,ADSK,342.98,343.43,339.61,342.13,64312
2021-08-26,ADSK,316.285,324.0,308.32,310.18,418520
