date,tic,open,high,low,close,volume
2021-01-04,AEE,67.09,67.27,65.27,65.76,73719
2021-01-05,AEE,65.93,66.12,65.18,65.43,54371
2021-01-06,AEE,65.29,66.43,65.15,65.98,94398
2021-01-07,AEE,66.18,66.18,63.9,64.1,68507
2021-01-08,AEE,64.11,64.8,64.05,64.75,65066
2021-01-11,AEE,64.79,64.98,64.23,64.78,67209
2021-01-12,AEE,64.77,64.82,63.4,64.24,79834
2021-01-13,AEE,64.19,65.42,64.19,65.19,52621
2021-01-14,AEE,65.25,65.25,63.09,63.9,97811
2021-01-15,AEE,63.78,64.57,63.52,64.2,80953
2021-01-19,AEE,64.24,64.25,62.84,63.08,71693
2021-01-20,AEE,62.5,62.9,62.06,62.68,101076
2021-01-21,AEE,62.2,62.74,61.86,61.94,76120
2021-01-22,AEE,61.9,63.09,61.35,62.99,56136
2021-01-25,AEE,62.6,64.87,62.53,64.87,55271
2021-01-26,AEE,64.31,65.33,63.66,64.99,79623
2021-01-27,AEE,64.01,65.95,63.96,64.83,79094
2021-01-28,AEE,64.96,65.76,63.82,63.82,106518
2021-01-29,AEE,63.32,63.73,62.6,62.82,52287
2021-02-01,AEE,62.94,63.62,62.55,62.91,45680
2021-02-02,AEE,63.0,64.33,62.59,62.83,33706
2021-02-03,AEE,62.92,63.21,62.52,62.83,30681
2021-02-04,AEE,62.5,64.17,62.43,63.81,51921
2021-02-05,AEE,64.03,64.64,63.97,64.06,37175
2021-02-08,AEE,63.9,64.06,62.42,62.63,57369
2021-02-09,AEE,62.9,63.47,62.47,63.25,27084
2021-02-10,AEE,63.79,64.1,63.22,63.37,51285
2021-02-11,AEE,63.51,63.71,62.37,62.66,59416
2021-02-12,AEE,62.6,63.35,62.13,63.31,68503
2021-02-16,AEE,63.34,63.56,62.05,62.77,67145
2021-02-17,AEE,63.02,63.53,62.47,63.29,92577
2021-02-18,AEE,63.03,64.42,63.03,63.96,91050
2021-02-19,AEE,63.8,64.03,62.39,62.51,126855
2021-02-22,AEE,62.55,62.6,60.27,61.36,105811
2021-02-23,AEE,61.73,62.81,61.73,62.03,66748
2021-02-24,AEE,61.9,62.16,61.37,61.76,47804
2021-02-25,AEE,61.76,62.19,61.56,61.65,53762
2021-02-26,AEE,61.76,62.71,60.68,60.7,105322
2021-03-01,AEE,61.35,62.2,61.35,61.75,68379
2021-03-02,AEE,61.74,62.32,61.2,62.08,59940
2021-03-03,AEE,61.81,61.81,60.83,61.41,126327
2021-03-04,AEE,61.6,62.65,61.25,61.46,69484
2021-03-05,AEE,61.57,63.29,61.57,62.99,73264
2021-03-08,AEE,63.03,64.7,62.95,64.07,86173
2021-03-09,AEE,64.11,65.3,64.11,65.01,138657
2021-03-10,AEE,65.14,66.35,65.14,66.23,153468
2021-03-11,AEE,66.23,66.69,65.98,66.19,117600
2021-03-12,AEE,66.38,67.84,66.1,67.19,89605
2021-03-15,AEE,67.54,68.55,67.3,68.55,74710
2021-03-16,AEE,68.25,68.82,68.11,68.27,61267
2021-03-17,AEE,68.17,68.73,67.86,67.97,66080
2021-03-18,AEE,68.18,68.56,67.49,68.32,72748
2021-03-19,AEE,68.46,68.85,67.85,68.53,81738
2021-03-22,AEE,68.21,68.52,67.59,67.89,80763
2021-03-23,AEE,67.91,69.73,67.64,69.59,43633
2021-03-24,AEE,68.98,70.73,68.98,70.51,57765
2021-03-25,AEE,70.53,71.61,70.3,71.01,53092
2021-03-26,AEE,70.53,71.14,69.87,70.93,60113
2021-03-29,AEE,70.93,72.31,70.87,71.88,39156
2021-03-30,AEE,71.53,71.7,70.28,70.76,36742
2021-03-31,AEE,70.47,70.93,70.32,70.79,48257
2021-04-01,AEE,70.56,70.63,69.94,70.48,60605
2021-04-05,AEE,70.6,71.64,70.54,70.92,73952
2021-04-06,AEE,70.7,71.09,70.27,70.91,60019
2021-04-07,AEE,71.0,71.14,70.35,70.72,90359
2021-04-08,AEE,70.9,71.13,70.41,70.48,109559
2021-04-09,AEE,70.58,70.82,69.84,70.06,62262
2021-04-12,AEE,70.14,70.91,69.93,70.2,69563
2021-04-13,AEE,70.77,71.69,70.37,71.58,56762
2021-04-14,AEE,71.24,71.91,71.17,71.91,75490
2021-04-15,AEE,72.1,72.84,72.03,72.71,84780
