date,tic,open,high,low,close,volume
2021-01-04,AES,19.69,19.96,19.16,19.34,238238
2021-01-05,AES,19.35,20.13,19.34,19.98,378482
2021-01-06,AES,20.2,20.98,20.2,20.8,266142
2021-01-07,AES,20.95,21.05,20.58,20.58,179413
2021-01-08,AES,20.73,21.18,20.7,21.16,142904
2021-01-11,AES,20.93,21.26,20.92,21.2,218966
2021-01-12,AES,21.32,21.73,21.21,21.67,291239
2021-01-13,AES,21.74,22.52,21.71,22.39,254169
2021-01-14,AES,22.44,22.95,22.42,22.85,379219
2021-01-15,AES,22.7,23.15,22.61,23.01,219437
2021-01-19,AES,23.31,23.64,23.11,23.36,307719
2021-01-20,AES,23.31,23.86,23.31,23.32,318480
2021-01-21,AES,23.31,23.36,22.62,22.71,375092
2021-01-22,AES,22.56,22.68,22.42,22.55,274055
2021-01-25,AES,22.32,22.62,21.57,21.82,355333
2021-01-26,AES,21.76,21.92,20.37,20.46,599979
2021-01-27,AES,19.98,19.98,19.0,19.11,1098651
2021-01-28,AES,19.51,20.74,19.47,20.56,594251
2021-01-29,AES,20.36,20.86,20.3,20.43,434256
2021-02-01,AES,20.65,21.07,20.34,20.76,923624
2021-02-02,AES,21.02,21.92,20.89,21.56,417326
2021-02-03,AES,21.61,21.74,21.3,21.64,256598
2021-02-04,AES,21.56,21.96,21.51,21.92,173563
2021-02-05,AES,22.07,22.7,22.02,22.5,182617
2021-02-08,AES,22.66,23.41,22.61,23.17,310327
2021-02-09,AES,23.03,23.38,22.89,23.35,215073
2021-02-10,AES,23.56,23.56,22.69,23.15,382724
2021-02-11,AES,23.22,23.61,23.16,23.44,276525
2021-02-12,AES,23.41,23.9,23.41,23.9,323702
2021-02-16,AES,23.93,24.34,23.93,24.19,407094
2021-02-17,AES,24.08,24.29,23.9,24.08,202977
2021-02-18,AES,23.97,24.09,22.93,23.29,424885
2021-02-19,AES,23.4,23.94,23.4,23.7,300393
2021-02-22,AES,23.53,23.54,22.59,22.59,474342
2021-02-23,AES,22.5,22.9,21.39,22.82,719518
2021-02-24,AES,22.77,23.67,22.77,23.47,631650
2021-02-25,AES,23.16,23.29,21.94,22.05,736019
2021-02-26,AES,22.01,22.73,21.88,22.26,242977
2021-03-01,AES,22.62,22.85,22.31,22.63,307497
2021-03-02,AES,22.58,22.7,22.32,22.46,412868
2021-03-03,AES,22.44,22.56,22.08,22.53,492615
2021-03-04,AES,21.92,22.17,21.43,21.67,2257706
2021-03-05,AES,21.81,21.97,20.81,21.77,883391
