date,tic,open,high,low,close,volume
2021-01-04,AFL,39.72,39.72,38.31,38.46,91062
2021-01-05,AFL,38.49,38.9,38.27,38.52,66939
2021-01-06,AFL,39.08,40.24,39.06,40.0,103765
2021-01-07,AFL,40.24,40.24,39.58,39.76,62235
2021-01-08,AFL,40.03,40.03,38.94,39.61,140931
2021-01-11,AFL,39.47,39.9,39.47,39.62,69019
2021-01-12,AFL,40.75,41.43,40.56,41.15,368668
2021-01-13,AFL,40.87,41.42,40.7,41.08,73870
2021-01-14,AFL,41.24,41.84,41.13,41.73,82015
2021-01-15,AFL,41.42,41.68,41.0,41.39,78760
2021-01-19,AFL,41.61,42.13,41.56,41.88,65303
2021-01-20,AFL,41.77,42.03,41.66,41.91,75439
2021-01-21,AFL,41.88,41.89,41.25,41.25,82254
2021-01-22,AFL,40.8,41.49,40.77,41.38,91850
2021-01-25,AFL,40.76,41.49,40.73,41.47,106604
2021-01-26,AFL,41.66,41.82,41.31,41.34,119959
2021-01-27,AFL,40.71,41.01,39.85,40.18,120386
2021-01-28,AFL,40.62,41.41,40.62,41.07,183893
2021-01-29,AFL,40.76,40.85,39.88,40.23,156227
2021-02-01,AFL,40.42,40.86,39.95,40.63,83615
2021-02-02,AFL,41.18,41.56,40.99,41.25,99534
2021-02-03,AFL,40.91,41.03,40.55,40.87,128727
2021-02-04,AFL,41.21,41.52,40.54,40.74,208356
2021-02-05,AFL,40.86,40.86,40.02,40.48,165115
2021-02-08,AFL,40.7,41.37,40.62,41.26,287431
2021-02-09,AFL,41.2,41.47,40.89,41.15,152227
2021-02-10,AFL,41.25,41.71,41.08,41.55,181815
2021-02-11,AFL,41.62,41.91,41.37,41.75,104223
2021-02-12,AFL,41.65,42.15,41.36,41.78,81643
2021-02-16,AFL,41.8,42.16,41.57,41.57,109213
2021-02-17,AFL,41.42,42.27,41.42,42.19,119574
2021-02-18,AFL,41.97,42.75,41.97,42.39,177712
2021-02-19,AFL,42.68,43.49,42.65,43.12,127676
2021-02-22,AFL,43.09,44.57,43.05,44.12,131084
2021-02-23,AFL,44.66,44.66,43.73,44.18,117799
2021-02-24,AFL,44.21,44.82,44.2,44.75,169606
2021-02-25,AFL,44.91,44.96,43.62,43.63,143556
2021-02-26,AFL,43.49,43.88,42.85,42.93,179709
2021-03-01,AFL,43.67,44.07,43.53,43.69,118700
2021-03-02,AFL,43.64,44.11,43.61,43.62,83295
2021-03-03,AFL,43.71,44.33,43.62,43.88,177426
2021-03-04,AFL,43.88,44.05,42.78,43.39,136721
2021-03-05,AFL,43.97,44.92,43.61,44.79,180092
2021-03-08,AFL,44.97,46.46,44.97,45.53,245878
2021-03-09,AFL,45.17,45.89,44.73,45.02,123131
2021-03-10,AFL,45.01,45.71,44.94,45.55,107338
2021-03-11,AFL,45.16,45.96,45.07,45.73,94488
2021-03-12,AFL,46.25,46.56,45.88,46.49,245354
2021-03-15,AFL,46.48,46.81,46.07,46.78,73940
2021-03-16,AFL,46.4,46.43,45.5,45.82,91730
2021-03-17,AFL,46.1,46.39,45.78,46.33,85677
2021-03-18,AFL,46.7,47.32,46.29,46.42,140229
2021-03-19,AFL,45.95,46.12,45.47,45.87,188449
2021-03-22,AFL,45.57,45.72,45.2,45.34,131769
2021-03-23,AFL,44.99,45.23,44.26,44.4,105081
2021-03-24,AFL,44.72,45.4,44.72,44.76,103430
2021-03-25,AFL,44.8,45.91,44.5,45.87,151257
2021-03-26,AFL,46.09,46.27,45.67,46.22,105537
2021-03-29,AFL,45.77,46.37,45.69,46.07,62560
2021-03-30,AFL,46.16,46.69,46.07,46.42,74713
2021-03-31,AFL,46.25,46.42,45.74,45.88,65548
2021-04-01,AFL,45.7,46.16,45.7,46.12,81261
2021-04-05,AFL,46.57,46.62,45.96,46.15,74818
2021-04-06,AFL,46.16,46.51,46.02,46.27,138750
2021-04-07,AFL,46.35,46.56,46.11,46.38,68155
2021-04-08,AFL,46.12,46.29,45.88,46.17,131027
2021-04-09,AFL,46.45,46.63,46.05,46.31,121437
2021-04-12,AFL,46.59,47.14,46.58,47.03,96880
2021-04-13,AFL,46.68,47.04,46.56,46.88,39007
2021-04-14,AFL,46.75,47.43,46.75,47.4,66324
2021-04-15,AFL,47.39,47.46,47.09,47.36,45016
2021-04-16,AFL,47.75,48.04,47.65,47.93,79410
2021-04-20,AFL,47.87,47.87,46.83,47.15,88383
2021-04-21,AFL,47.36,48.02,47.23,47.99,118544
2021-04-22,AFL,47.59,47.83,47.39,47.48,105851
2021-04-23,AFL,47.52,48.04,47.38,47.87,66000
2021-04-26,AFL,47.98,48.47,47.77,47.87,58407
2021-04-27,AFL,47.88,48.03,47.7,48.0,65387
2021-04-28,AFL,48.27,48.39,47.98,48.02,64065
2021-04-29,AFL,48.3,49.04,48.18,48.6,257208
2021-04-30,AFL,48.45,48.61,47.91,48.15,125414
2021-05-03,AFL,48.59,49.25,48.34,48.88,103579
2021-05-04,AFL,48.89,49.29,48.53,49.22,94315
2021-05-05,AFL,49.17,49.7,49.14,49.65,80183
2021-05-06,AFL,49.81,50.39,49.69,50.39,79123
2021-05-07,AFL,49.72,50.36,49.69,50.31,77320
2021-05-10,AFL,50.55,51.42,50.51,50.69,110881
2021-05-11,AFL,50.51,50.51,49.41,49.52,114603
2021-05-12,AFL,49.63,49.88,48.78,48.86,79010
2021-05-13,AFL,48.61,50.03,48.57,49.78,95568
2021-05-14,AFL,50.02,50.73,49.95,50.65,50417
2021-05-17,AFL,50.43,50.71,50.19,50.58,41454
2021-05-18,AFL,50.57,51.04,50.37,50.43,89793
2021-05-19,AFL,49.84,50.55,49.56,50.3,94349
2021-05-20,AFL,50.38,50.44,49.81,50.2,79962
2021-05-21,AFL,50.38,50.91,50.36,50.52,80651
2021-05-24,AFL,50.62,50.99,50.55,50.84,57650
2021-05-25,AFL,50.85,51.11,50.2,50.3,61048
2021-05-26,AFL,50.43,50.79,50.18,50.75,117643
2021-05-27,AFL,50.99,51.44,50.69,51.25,99603
2021-05-28,AFL,51.47,51.47,50.62,51.13,65886
2021-06-01,AFL,51.55,51.88,51.36,51.6,96952
2021-06-02,AFL,51.83,51.89,51.3,51.55,69620
2021-06-03,AFL,51.35,51.8,51.17,51.66,44672
2021-06-04,AFL,51.66,51.86,51.36,51.82,29220
2021-06-07,AFL,51.84,51.91,51.48,51.79,100906
2021-06-08,AFL,51.58,51.73,50.92,51.67,80989
2021-06-09,AFL,51.38,51.42,51.06,51.07,40750
2021-06-10,AFL,51.57,51.61,50.64,50.69,37902
2021-06-11,AFL,50.85,50.92,50.58,50.73,29029
2021-06-14,AFL,50.72,50.72,49.72,50.0,91754
2021-06-15,AFL,50.0,50.3,49.76,49.97,351308
2021-06-16,AFL,49.83,49.98,49.31,49.67,89337
2021-06-17,AFL,49.8,49.8,47.92,48.2,140484
2021-06-18,AFL,47.3,47.7,46.92,46.98,127175
2021-06-21,AFL,47.21,47.88,47.21,47.86,110037
2021-06-22,AFL,47.77,47.86,47.21,47.65,81169
2021-06-23,AFL,47.67,47.81,47.53,47.53,51504
2021-06-24,AFL,47.72,48.14,47.48,47.94,74906
2021-06-25,AFL,48.11,49.09,48.07,48.95,123678
2021-06-28,AFL,48.79,48.79,48.05,48.12,68648
2021-06-29,AFL,48.57,48.57,48.1,48.29,61559
2021-06-30,AFL,48.09,48.44,48.09,48.42,87753
2021-07-01,AFL,48.5,48.96,48.42,48.66,93743
2021-07-02,AFL,48.73,48.9,48.45,48.83,123462
2021-07-06,AFL,48.55,48.55,47.86,48.05,73847
2021-07-07,AFL,47.76,48.52,47.72,48.48,84591
2021-07-08,AFL,47.78,47.82,46.96,47.19,77572
2021-07-09,AFL,47.85,48.31,47.75,48.12,149748
2021-07-12,AFL,47.95,48.64,47.7,48.37,177610
2021-07-13,AFL,48.3,48.66,47.65,47.88,101828
2021-07-14,AFL,47.99,48.41,47.58,48.09,96453
2021-07-15,AFL,47.77,48.47,47.77,48.34,116185
2021-07-16,AFL,48.4,48.4,47.8,47.9,128914
2021-07-19,AFL,47.07,47.32,46.34,46.58,127752
2021-07-20,AFL,46.52,48.19,46.49,47.77,125012
2021-07-21,AFL,48.17,49.1,48.17,48.6,94743
2021-07-22,AFL,48.36,48.41,47.79,47.89,72480
2021-07-23,AFL,48.21,48.48,47.95,48.15,80435
2021-07-26,AFL,48.09,48.58,48.09,48.43,62773
2021-07-27,AFL,48.09,48.67,47.77,48.54,91079
2021-07-28,AFL,48.58,48.95,48.08,48.52,94245
2021-07-29,AFL,50.14,50.5,49.52,50.14,101322
2021-07-30,AFL,50.03,50.38,49.56,49.61,88542
2021-08-02,AFL,49.8,50.59,49.29,49.33,91974
2021-08-03,AFL,49.67,50.17,48.96,50.13,51531
2021-08-04,AFL,49.55,50.11,49.42,49.56,85537
2021-08-05,AFL,50.27,50.46,49.76,50.15,48655
2021-08-06,AFL,50.51,50.88,50.44,50.73,86721
2021-08-09,AFL,50.47,50.84,50.15,50.61,53739
2021-08-10,AFL,50.54,51.38,50.45,51.09,58006
2021-08-11,AFL,51.12,51.58,50.96,51.38,79611
2021-08-12,AFL,51.48,51.78,51.28,51.73,54672
2021-08-13,AFL,51.81,51.9,51.57,51.65,42765
2021-08-16,AFL,51.44,51.95,51.13,51.9,58625
2021-08-17,AFL,51.66,52.04,51.37,51.81,59055
2021-08-18,AFL,51.35,51.88,51.13,51.13,50402
2021-08-19,AFL,50.45,51.13,50.45,50.69,69161
2021-08-20,AFL,50.54,51.24,50.54,51.13,58847
2021-08-23,AFL,51.57,51.91,51.42,51.43,41007
2021-08-24,AFL,51.52,51.71,51.28,51.42,57285
2021-08-25,AFL,51.46,52.2,51.3,51.8,55479
2021-08-26,AFL,51.92,51.92,51.13,51.19,118025
2021-08-27,AFL,51.44,51.96,51.43,51.82,40152
2021-08-30,AFL,51.73,51.73,51.13,51.18,47688
2021-08-31,AFL,51.35,51.74,51.12,51.42,34614
2021-09-01,AFL,51.48,51.48,50.95,51.11,61302
2021-09-02,AFL,51.18,51.22,50.65,50.79,91392
2021-09-03,AFL,50.72,50.87,50.4,50.54,33729
2021-09-07,AFL,50.58,50.66,50.1,50.12,70889
2021-09-08,AFL,49.91,50.2,49.73,50.04,57819
2021-09-09,AFL,50.02,50.7,49.92,50.03,59449
2021-09-10,AFL,50.27,50.33,49.59,49.59,41128
2021-09-13,AFL,49.98,50.29,49.8,50.1,52898
2021-09-14,AFL,50.04,50.2,49.15,49.24,30462
2021-09-15,AFL,49.33,50.0,49.25,49.58,42612
2021-09-16,AFL,49.64,49.79,49.26,49.5,50335
2021-09-17,AFL,49.45,49.79,48.95,49.0,70525
2021-09-20,AFL,47.9,48.01,46.53,47.24,82299
2021-09-21,AFL,47.56,47.6,46.53,46.58,87623
2021-09-22,AFL,47.23,47.44,46.93,47.05,92557
2021-09-23,AFL,47.45,48.12,47.44,47.53,84314
2021-09-24,AFL,47.49,48.09,47.48,47.76,43117
2021-09-27,AFL,48.15,48.9,48.15,48.45,111743
2021-09-28,AFL,48.39,48.65,47.85,47.95,51714
2021-09-29,AFL,48.04,48.29,47.81,47.83,50015
2021-09-30,AFL,48.02,48.05,47.22,47.29,88397
2021-10-01,AFL,47.42,48.34,47.34,48.0,40542
2021-10-04,AFL,48.15,48.88,47.81,47.87,82192
2021-10-05,AFL,47.98,48.65,47.71,48.46,46536
2021-10-06,AFL,48.12,48.37,47.56,48.36,49493
2021-10-07,AFL,48.93,49.32,48.86,49.12,62360
2021-10-08,AFL,49.25,49.79,49.25,49.47,62003
2021-10-11,AFL,49.77,50.24,49.39,49.42,68765
2021-10-12,AFL,49.41,49.61,49.21,49.42,60098
2021-10-13,AFL,49.16,49.18,48.27,48.95,77995
2021-10-14,AFL,49.6,50.21,49.17,50.2,80435
2021-10-15,AFL,50.65,50.79,50.33,50.39,98436
2021-10-18,AFL,50.28,50.5,49.79,50.05,66801
2021-10-19,AFL,50.38,50.77,50.38,50.62,75558
2021-10-20,AFL,50.63,51.29,50.61,51.21,47092
2021-10-21,AFL,50.98,51.15,50.54,50.91,81184
2021-10-22,AFL,51.17,51.48,50.99,51.3,39434
2021-10-26,AFL,51.84,52.19,51.73,51.84,96660
2021-10-27,AFL,51.55,52.27,50.8,50.8,90888
2021-10-28,AFL,50.8,51.35,49.66,50.22,133112
2021-10-29,AFL,49.99,49.99,48.53,48.68,86151
2021-11-01,AFL,48.99,49.79,48.94,49.79,68270
2021-11-02,AFL,49.66,50.11,49.37,50.01,66978
2021-11-03,AFL,49.91,51.25,49.91,50.85,131274
2021-11-04,AFL,50.52,50.55,49.68,50.53,48832
2021-11-05,AFL,51.15,51.95,50.98,51.48,76386
2021-11-08,AFL,51.67,51.82,51.37,51.48,44888
2021-11-09,AFL,51.18,51.34,50.83,51.05,38832
2021-11-10,AFL,51.26,51.43,50.63,50.85,50269
2021-11-11,AFL,50.59,51.23,50.58,51.1,51101
2021-11-12,AFL,51.03,51.77,51.03,51.73,61226
2021-11-15,AFL,51.9,52.4,51.7,52.24,115170
2021-11-16,AFL,52.59,52.77,52.19,52.25,56518
2021-11-17,AFL,52.02,52.27,51.91,51.91,82539
2021-11-18,AFL,51.76,51.84,50.71,51.0,71939
2021-11-19,AFL,50.26,51.01,49.95,50.58,87409
2021-11-22,AFL,50.86,51.6,50.66,50.97,82402
2021-11-23,AFL,51.01,51.94,50.89,51.82,82888
2021-11-24,AFL,51.68,52.15,51.55,52.0,69698
2021-11-26,AFL,50.61,51.04,49.86,50.7,83783
2021-11-29,AFL,51.24,51.24,50.45,50.8,72352
2021-11-30,AFL,50.08,50.29,49.28,49.4,100051
2021-12-01,AFL,50.21,51.0,48.98,48.99,79953
2021-12-02,AFL,49.37,50.81,49.17,50.4,70251
2021-12-03,AFL,49.5,50.23,49.17,49.52,97949
2021-12-06,AFL,50.09,51.42,50.09,50.84,79051
2021-12-07,AFL,51.15,52.05,50.92,51.74,59023
2021-12-08,AFL,51.88,52.17,51.73,51.77,55955
2021-12-09,AFL,51.43,52.46,51.43,52.36,56228
2021-12-10,AFL,52.75,52.9,52.43,52.79,80470
2021-12-13,AFL,52.66,52.66,51.99,52.03,98163
2021-12-14,AFL,51.19,52.5,51.19,52.15,117212
2021-12-15,AFL,52.34,52.41,51.73,52.32,61020
2021-12-16,AFL,52.77,53.4,52.52,52.82,61559
2021-12-17,AFL,52.69,52.73,51.69,51.85,49875
2021-12-20,AFL,50.91,51.01,49.89,50.52,72520
2021-12-21,AFL,51.18,52.31,51.18,51.85,79835
2021-12-22,AFL,51.7,52.36,51.7,52.17,49935
2021-12-23,AFL,52.67,52.99,52.61,52.65,52816
2021-12-27,AFL,52.76,53.09,52.51,53.09,21348
2021-12-28,AFL,52.97,53.58,52.97,53.38,33313
2021-12-29,AFL,53.54,53.72,53.39,53.64,25357
2021-12-30,AFL,53.8,53.96,53.4,53.44,36032
2021-12-31,AFL,53.4,53.63,53.27,53.28,30177
2022-01-03,AFL,53.42,53.85,53.0,53.13,55743
2022-01-04,AFL,53.78,55.07,53.78,54.91,125191
2022-01-05,AFL,55.19,56.02,54.75,54.82,136932
2022-01-06,AFL,55.37,55.87,54.87,55.84,102371
2022-01-07,AFL,55.95,56.91,55.67,56.71,129055
2022-01-10,AFL,57.21,57.41,56.7,57.4,118357
2022-01-11,AFL,57.48,57.7,56.95,57.68,98220
2022-01-12,AFL,57.89,58.29,57.61,57.8,61353
2022-01-13,AFL,58.04,58.58,57.67,57.88,69096
2022-01-14,AFL,57.3,58.46,57.06,58.46,73461
2022-01-18,AFL,58.38,58.38,57.71,58.09,58208
2022-01-19,AFL,58.26,58.36,57.22,57.27,87578
2022-01-20,AFL,57.46,57.78,56.42,56.47,60730
2022-01-21,AFL,56.48,56.48,55.41,55.5,168544
2022-01-24,AFL,54.76,55.08,54.23,55.03,31943
2022-01-25,AFL,55.64,56.89,54.59,56.49,95292
2022-01-26,AFL,56.83,57.67,56.16,56.72,140048
2022-01-27,AFL,57.2,57.99,56.06,56.48,103344
2022-01-28,AFL,56.28,56.9,55.59,56.89,54197
2022-01-31,AFL,56.39,57.37,56.3,57.3,96452
2022-02-01,AFL,56.8,57.61,56.77,57.37,162736
2022-02-02,AFL,57.43,58.26,57.21,58.14,228180
2022-02-03,AFL,58.14,58.4,57.16,58.18,146366
2022-02-04,AFL,58.09,59.55,58.04,59.04,115057
2022-02-07,AFL,59.3,60.08,58.98,59.56,120406
2022-02-08,AFL,60.01,60.49,59.55,60.26,86391
2022-02-09,AFL,60.43,60.72,60.17,60.27,101738
2022-02-10,AFL,60.07,61.1,59.78,59.82,267039
2022-02-11,AFL,59.65,60.7,59.24,59.58,123879
2022-02-14,AFL,59.64,59.71,58.19,58.58,99139
2022-02-15,AFL,59.12,59.7,59.1,59.27,120136
2022-02-16,AFL,58.94,59.52,58.72,59.23,76436
2022-02-17,AFL,58.84,58.91,57.81,58.02,200327
2022-02-18,AFL,58.02,58.45,57.89,57.98,76079
2022-02-22,AFL,58.08,58.1,57.2,57.63,91729
2022-02-23,AFL,57.82,58.06,56.46,56.55,63105
2022-02-24,AFL,54.97,55.03,53.71,54.72,191139
2022-02-25,AFL,55.03,57.04,55.03,56.87,125719
2022-02-28,AFL,55.45,56.46,55.31,56.08,81774
2022-03-01,AFL,55.62,55.77,53.49,53.69,112707
2022-03-02,AFL,54.63,55.5,54.21,55.2,120522
2022-03-03,AFL,55.64,56.27,55.33,56.16,237483
2022-03-04,AFL,55.3,55.63,54.62,55.18,84390
2022-03-07,AFL,54.52,54.78,54.09,54.19,117513
2022-03-09,AFL,55.95,56.22,55.3,55.45,115972
2022-03-10,AFL,54.86,55.18,54.4,55.04,102108
2022-03-11,AFL,55.33,55.81,55.0,55.05,103920
2022-03-14,AFL,55.83,56.34,55.51,55.86,105586
2022-03-15,AFL,56.13,56.46,55.59,56.27,63136
2022-03-16,AFL,56.84,57.5,56.28,57.5,118129
2022-03-17,AFL,57.05,57.74,56.67,57.74,78484
2022-03-18,AFL,57.44,57.92,56.87,57.8,98336
2022-03-21,AFL,58.15,58.47,57.87,58.2,49188
2022-03-22,AFL,58.94,59.48,58.85,59.2,72257
2022-03-23,AFL,58.78,59.17,58.5,58.53,48253
2022-03-24,AFL,58.66,59.21,58.6,59.2,30227
2022-03-25,AFL,59.01,60.17,59.01,60.16,74213
2022-03-28,AFL,59.97,59.97,59.31,59.93,48926
2022-03-29,AFL,60.43,60.64,59.49,59.98,58560
2022-03-30,AFL,60.1,60.41,59.76,60.13,42520
2022-03-31,AFL,60.02,60.59,59.1,59.11,85901
2022-04-01,AFL,59.5,59.79,59.01,59.54,60615
2022-04-04,AFL,59.24,59.24,58.13,58.41,63091
2022-04-05,AFL,58.34,59.07,58.34,58.55,46108
2022-04-06,AFL,58.66,59.86,58.53,59.75,133031
2022-04-07,AFL,59.48,60.16,58.66,59.83,104532
2022-04-08,AFL,60.2,60.62,59.99,60.18,116357
2022-04-11,AFL,60.5,60.8,59.76,59.87,70826
2022-04-12,AFL,59.95,60.54,59.25,59.57,65922
2022-04-13,AFL,59.38,59.79,59.09,59.67,61973
2022-04-14,AFL,59.8,60.13,59.61,60.0,48338
2022-04-18,AFL,59.96,60.36,59.79,60.17,76361
2022-04-19,AFL,60.18,60.51,59.56,60.17,81453
2022-04-20,AFL,60.3,61.42,60.26,61.15,98014
2022-04-21,AFL,61.55,61.6,60.06,60.11,120190
2022-04-22,AFL,59.83,59.83,58.11,58.17,88835
2022-04-25,AFL,57.66,57.66,55.87,57.29,99342
