date,tic,open,high,low,close,volume
2021-01-04,AJG,117.07,117.07,113.09,114.07,33817
2021-01-05,AJG,114.32,114.39,112.72,113.27,24269
2021-01-06,AJG,113.69,115.8,113.11,115.64,51509
2021-01-07,AJG,116.18,117.19,115.65,116.01,38320
2021-01-08,AJG,113.14,116.27,113.14,114.51,45510
2021-01-11,AJG,113.48,114.33,111.95,112.31,46232
2021-01-12,AJG,112.68,112.9,111.97,112.53,29909
2021-01-13,AJG,112.01,112.11,110.52,111.89,61232
2021-01-14,AJG,111.79,112.01,109.94,109.94,61020
2021-01-15,AJG,110.32,110.48,109.39,110.14,95080
2021-01-19,AJG,109.78,111.75,109.68,111.33,37641
2021-01-20,AJG,111.28,113.5,111.1,113.31,18218
2021-01-21,AJG,113.26,113.94,112.86,112.93,35016
2021-01-22,AJG,112.53,112.53,111.48,111.83,25143
2021-01-25,AJG,111.58,113.02,111.28,112.28,39901
2021-01-26,AJG,112.5,112.55,111.06,111.34,47163
2021-01-27,AJG,110.46,110.56,107.11,107.13,103367
2021-01-28,AJG,109.01,110.6,108.21,109.51,76157
2021-01-29,AJG,108.5,111.81,108.03,109.42,96438
2021-02-01,AJG,109.01,110.3,108.65,109.25,39730
2021-02-02,AJG,110.72,112.28,110.71,111.64,32442
2021-02-03,AJG,111.21,111.37,109.94,110.26,24019
2021-02-04,AJG,110.59,111.06,109.56,110.26,34264
2021-02-05,AJG,111.4,113.29,111.4,112.18,42476
2021-02-08,AJG,112.16,112.16,110.82,111.63,49965
2021-02-09,AJG,111.67,111.82,110.74,110.98,29110
2021-02-10,AJG,111.88,112.15,110.77,111.07,36239
2021-02-11,AJG,111.55,111.57,109.75,110.28,41647
2021-02-12,AJG,110.29,110.73,110.15,110.63,33163
2021-02-16,AJG,111.31,112.18,110.73,111.54,46004
2021-02-17,AJG,111.3,111.99,111.3,111.63,44340
2021-02-18,AJG,111.21,112.52,110.8,112.48,39920
2021-02-19,AJG,112.89,114.55,112.76,113.92,42537
2021-02-22,AJG,113.01,114.76,112.88,114.69,26128
2021-02-23,AJG,115.5,117.51,113.89,116.75,33124
2021-02-24,AJG,116.6,118.72,116.59,117.51,35045
2021-02-25,AJG,117.45,117.57,115.15,115.15,35806
2021-02-26,AJG,115.18,115.5,113.58,113.67,31015
2021-03-01,AJG,114.7,116.7,114.7,115.98,37248
2021-03-02,AJG,115.87,115.87,114.03,115.37,41229
2021-03-03,AJG,115.27,117.47,115.2,115.77,77580
2021-03-04,AJG,115.4,116.46,114.17,114.79,91548
2021-03-05,AJG,116.18,118.35,114.85,118.27,49094
2021-03-08,AJG,118.63,121.44,118.18,119.32,41967
2021-03-09,AJG,118.42,120.27,118.42,118.79,37589
2021-03-10,AJG,118.44,119.84,118.42,119.19,34380
2021-03-11,AJG,118.9,119.17,118.15,118.51,28959
2021-03-12,AJG,119.03,120.14,118.89,120.1,19950
2021-03-15,AJG,120.19,121.21,119.75,121.19,40134
2021-03-16,AJG,120.46,122.34,120.37,121.72,39781
2021-03-17,AJG,122.13,122.75,121.27,122.3,55040
2021-03-18,AJG,122.46,122.46,120.26,120.5,101084
2021-03-19,AJG,120.55,120.55,115.4,115.61,81495
2021-03-22,AJG,115.59,116.47,114.96,116.24,38138
2021-03-23,AJG,116.53,117.12,115.92,116.62,40058
