date,tic,open,high,low,close,volume
2021-01-04,ALGN,545.09,559.84,520.35,526.46,42414
2021-01-05,ALGN,527.15,543.9,527.15,543.27,37344
2021-01-06,ALGN,536.83,545.93,532.19,540.27,40877
2021-01-07,ALGN,546.16,560.85,545.0,558.79,21618
2021-01-08,ALGN,561.93,579.405,561.93,570.87,56908
2021-01-11,ALGN,562.8,566.1,552.12,557.43,23941
2021-01-12,ALGN,554.13,561.255,548.73,553.31,27604
2021-01-13,ALGN,550.39,553.155,543.93,551.27,23100
2021-01-14,ALGN,547.96,561.12,543.01,555.26,24153
2021-01-15,ALGN,552.27,569.4,548.12,567.37,35753
2021-01-19,ALGN,567.49,569.28,545.59,558.175,38820
2021-01-20,ALGN,564.28,575.665,561.25,564.15,41688
2021-01-21,ALGN,564.24,564.77,543.69,544.22,31329
2021-01-22,ALGN,544.03,544.675,531.18,534.88,63420
2021-01-25,ALGN,534.515,540.435,510.67,538.95,66839
2021-01-26,ALGN,544.99,544.99,531.17,535.42,34617
2021-01-27,ALGN,516.14,526.66,508.84,508.88,60610
2021-01-28,ALGN,517.64,547.28,517.24,537.1,46492
2021-01-29,ALGN,523.725,529.46,518.16,525.41,35513
2021-02-01,ALGN,534.07,543.83,527.5,542.915,35153
2021-02-02,ALGN,548.01,567.67,548.01,558.13,59026
2021-02-03,ALGN,552.675,554.735,541.56,547.315,87823
2021-02-04,ALGN,608.13,632.8,600.95,614.78,147130
2021-02-05,ALGN,623.765,624.175,615.985,619.83,51019
2021-02-08,ALGN,622.2,629.185,596.1,602.2,42215
2021-02-09,ALGN,611.05,618.32,609.01,614.69,23327
2021-02-10,ALGN,616.62,616.62,598.76,605.31,32610
2021-02-11,ALGN,610.455,610.455,591.15,598.88,44112
2021-02-12,ALGN,601.8,609.56,598.6,609.56,25261
2021-02-16,ALGN,613.26,615.6,604.28,613.81,37705
2021-02-17,ALGN,604.535,609.43,589.28,599.96,39263
2021-02-18,ALGN,593.17,600.09,585.94,594.69,27230
2021-02-19,ALGN,597.1,601.275,593.19,599.19,20116
2021-02-22,ALGN,592.63,595.91,578.33,579.68,49337
2021-02-23,ALGN,566.71,572.61,553.8,567.93,67046
2021-02-24,ALGN,563.97,577.08,554.175,573.02,68248
2021-02-25,ALGN,576.76,579.67,548.85,555.07,70635
2021-02-26,ALGN,560.38,574.33,554.2,567.085,79802
2021-03-01,ALGN,576.89,577.1,559.1,565.175,82366
2021-03-02,ALGN,565.0,575.24,558.0,563.91,50305
2021-03-03,ALGN,557.89,558.225,526.075,527.31,76760
2021-03-04,ALGN,530.17,535.11,510.06,519.87,91104
2021-03-05,ALGN,526.39,539.94,505.17,537.57,62651
2021-03-08,ALGN,532.865,537.785,494.685,496.71,65922
2021-03-09,ALGN,514.01,526.93,512.92,516.15,50377
2021-03-10,ALGN,526.77,533.86,509.44,511.65,45314
2021-03-11,ALGN,526.03,544.57,524.05,544.57,63304
2021-03-12,ALGN,536.52,537.54,529.455,537.35,30799
2021-03-15,ALGN,553.09,559.905,543.445,558.36,56308
2021-03-16,ALGN,558.63,563.35,539.385,542.96,31379
2021-03-17,ALGN,532.585,546.31,527.33,540.89,40595
2021-03-18,ALGN,529.64,530.475,512.6,514.29,54490
2021-03-19,ALGN,518.59,533.34,514.355,529.185,50780
2021-03-22,ALGN,532.135,538.74,529.37,530.675,30235
2021-03-23,ALGN,527.18,531.795,517.615,518.93,45732
2021-03-24,ALGN,519.72,521.985,505.05,506.78,34208
2021-03-25,ALGN,499.6,519.755,498.395,517.21,25187
2021-03-26,ALGN,517.05,528.0,512.265,527.81,39949
2021-03-29,ALGN,524.75,525.91,502.715,514.96,53045
2021-03-30,ALGN,514.2,525.455,512.03,524.27,26848
2021-03-31,ALGN,531.425,545.21,531.425,542.32,34455
2021-04-01,ALGN,549.49,556.58,544.51,545.02,41532
2021-04-05,ALGN,552.69,553.67,545.36,548.0,21463
2021-04-06,ALGN,547.56,563.37,547.56,553.89,27903
2021-04-07,ALGN,556.34,556.34,546.51,552.4,27265
2021-04-08,ALGN,557.335,577.08,557.335,575.85,95334
2021-04-09,ALGN,577.11,592.92,575.5,592.54,67473
2021-04-12,ALGN,591.33,601.87,585.66,601.39,30302
2021-04-13,ALGN,603.8,608.02,594.99,595.66,14417
2021-04-14,ALGN,598.67,604.165,589.64,595.04,30270
2021-04-15,ALGN,599.52,608.2,599.52,606.64,31286
2021-04-16,ALGN,604.44,607.225,599.35,606.21,28406
2021-04-19,ALGN,605.375,609.86,593.72,603.83,26583
2021-04-20,ALGN,599.04,601.69,589.255,596.605,28730
2021-04-21,ALGN,596.12,617.63,593.18,615.87,30466
2021-04-22,ALGN,621.15,627.36,612.1,615.32,32442
2021-04-23,ALGN,618.52,624.6,617.78,620.3,28582
2021-04-26,ALGN,618.63,624.0,613.69,617.0,23554
2021-04-27,ALGN,616.52,625.37,615.33,621.88,29034
2021-04-28,ALGN,616.68,623.08,611.65,612.915,36962
2021-04-29,ALGN,646.2,646.9,591.28,604.83,135054
2021-04-30,ALGN,603.16,614.85,594.22,595.42,58526
2021-05-03,ALGN,599.9,609.82,596.97,599.31,50839
2021-05-04,ALGN,593.245,593.245,560.89,582.27,100870
2021-05-05,ALGN,587.0,587.0,568.26,568.97,30905
2021-05-06,ALGN,567.5,584.94,561.44,584.44,45569
2021-05-07,ALGN,589.07,603.79,589.07,598.5,48585
2021-05-10,ALGN,591.34,591.34,551.46,554.405,66957
2021-05-11,ALGN,537.99,570.07,537.99,566.55,74756
2021-05-12,ALGN,549.595,556.32,547.59,549.17,42791
2021-05-13,ALGN,557.58,559.74,546.89,553.88,36969
2021-05-14,ALGN,557.02,572.05,557.02,569.77,29903
2021-05-17,ALGN,564.51,566.81,556.05,559.68,30479
2021-05-18,ALGN,565.52,582.39,565.51,570.66,42061
2021-05-19,ALGN,553.4,572.06,551.58,571.53,25497
2021-05-20,ALGN,578.63,590.32,578.63,588.13,28706
2021-05-21,ALGN,595.19,600.84,588.73,591.27,41422
2021-05-24,ALGN,594.39,610.33,594.39,604.19,42600
2021-05-25,ALGN,607.49,610.3,593.5,594.63,29228
2021-05-26,ALGN,594.31,599.49,591.415,596.25,31227
2021-05-27,ALGN,594.28,602.77,588.62,600.54,36281
2021-05-28,ALGN,608.22,608.52,590.03,590.4,23397
2021-06-01,ALGN,591.81,595.91,585.27,593.58,33667
2021-06-02,ALGN,589.03,589.34,574.05,575.58,32901
2021-06-03,ALGN,566.8,576.02,565.75,567.52,39339
2021-06-04,ALGN,574.23,585.94,573.07,582.35,39115
2021-06-07,ALGN,580.52,585.49,575.57,580.4,54718
2021-06-08,ALGN,583.06,591.94,580.755,589.75,34522
2021-06-09,ALGN,593.78,595.025,583.83,585.17,23239
2021-06-10,ALGN,586.52,612.44,583.6,611.88,53499
2021-06-11,ALGN,615.07,615.07,605.675,611.34,18651
2021-06-14,ALGN,612.28,614.7,601.44,605.98,24304
2021-06-15,ALGN,606.99,612.66,596.23,600.5,34180
2021-06-16,ALGN,598.76,601.49,588.66,600.68,40767
2021-06-17,ALGN,596.21,616.63,595.82,613.09,32856
2021-06-18,ALGN,613.02,613.97,600.555,602.765,26401
2021-06-21,ALGN,603.01,614.75,599.21,611.27,26170
2021-06-22,ALGN,610.665,610.665,598.505,604.42,27232
2021-06-23,ALGN,602.65,608.41,596.77,605.6,22571
2021-06-24,ALGN,610.15,627.41,609.85,617.64,52547
2021-06-25,ALGN,624.08,625.6,608.06,615.45,49554
2021-06-28,ALGN,621.42,628.96,614.925,621.45,48959
2021-06-29,ALGN,621.51,623.435,611.795,612.4,28205
2021-06-30,ALGN,607.775,616.08,604.01,610.72,32465
2021-07-01,ALGN,608.66,618.82,607.59,618.82,22469
2021-07-02,ALGN,623.4,624.87,615.76,623.98,16015
2021-07-06,ALGN,625.75,625.89,593.17,604.78,64653
2021-07-07,ALGN,607.52,616.63,605.13,612.17,29190
2021-07-08,ALGN,604.32,620.525,599.45,615.84,33824
2021-07-09,ALGN,622.38,638.48,618.28,626.45,30342
2021-07-12,ALGN,633.27,644.5,624.24,643.06,37370
2021-07-13,ALGN,642.53,647.455,636.76,642.0,22822
2021-07-14,ALGN,648.14,652.54,631.78,635.44,24380
2021-07-15,ALGN,637.88,638.27,610.5,621.64,38068
2021-07-16,ALGN,624.15,625.83,614.06,616.22,26223
2021-07-19,ALGN,609.16,609.16,591.77,596.02,66113
2021-07-20,ALGN,590.905,620.0,590.905,615.07,43772
2021-07-21,ALGN,619.56,620.88,604.125,619.48,42191
2021-07-22,ALGN,623.13,628.34,618.89,627.99,30641
2021-07-23,ALGN,624.9,640.39,624.9,638.205,45092
2021-07-26,ALGN,636.05,636.05,623.84,635.42,41569
2021-07-27,ALGN,631.925,637.03,618.49,624.835,43234
2021-07-28,ALGN,630.0,630.0,618.43,621.5,36502
2021-07-29,ALGN,636.99,682.34,634.495,677.17,168684
2021-07-30,ALGN,675.93,697.73,675.0,695.9,70047
2021-08-02,ALGN,700.845,713.14,695.91,700.03,58209
2021-08-03,ALGN,696.13,705.29,687.82,701.44,48608
2021-08-04,ALGN,698.62,712.34,698.62,707.92,31628
2021-08-05,ALGN,710.41,713.445,694.49,699.095,48141
2021-08-06,ALGN,695.875,697.66,684.965,692.88,29988
2021-08-09,ALGN,693.49,694.3,685.32,686.46,26058
2021-08-10,ALGN,688.155,690.97,674.97,687.31,31800
2021-08-11,ALGN,688.745,691.41,676.43,688.01,24871
2021-08-12,ALGN,687.4,705.345,687.4,704.88,25257
2021-08-13,ALGN,703.45,704.27,687.14,690.91,31139
2021-08-16,ALGN,682.65,690.4,682.65,690.4,14822
2021-08-17,ALGN,685.47,686.67,669.955,680.4,74337
2021-08-18,ALGN,676.37,689.69,673.5,675.05,38697
2021-08-19,ALGN,671.34,685.525,671.34,680.04,26624
2021-08-20,ALGN,680.01,683.655,673.205,681.7,24335
2021-08-23,ALGN,691.64,699.295,686.86,697.49,22168
2021-08-24,ALGN,698.55,715.63,698.55,712.91,64090
2021-08-25,ALGN,714.37,721.43,711.98,717.31,49692
2021-08-26,ALGN,717.25,717.25,694.08,696.64,39147
2021-08-27,ALGN,696.75,709.005,696.75,701.92,31261
2021-08-30,ALGN,705.38,712.355,698.93,702.27,29875
2021-08-31,ALGN,700.28,710.0,700.28,709.11,28220
2021-09-01,ALGN,713.85,719.83,709.88,718.33,24569
2021-09-02,ALGN,727.11,731.725,724.38,729.6,24812
2021-09-03,ALGN,727.125,727.125,712.24,721.21,22488
2021-09-07,ALGN,719.5,719.5,707.0,715.77,32454
2021-09-08,ALGN,716.385,733.33,716.385,729.68,47652
2021-09-09,ALGN,733.845,735.05,725.07,726.7,28717
2021-09-10,ALGN,731.24,731.24,718.785,721.18,22351
2021-09-13,ALGN,724.84,724.84,695.765,711.28,26352
2021-09-14,ALGN,717.92,724.36,704.05,706.47,22816
2021-09-15,ALGN,703.35,712.955,692.29,710.06,54758
2021-09-16,ALGN,714.14,731.2,711.025,728.63,38083
2021-09-17,ALGN,728.785,730.57,715.385,719.17,37075
2021-09-20,ALGN,707.0,713.37,698.51,710.0,37330
2021-09-21,ALGN,710.53,720.25,704.71,709.18,21691
2021-09-22,ALGN,708.21,725.27,702.53,716.62,19851
2021-09-23,ALGN,721.61,736.86,721.115,726.93,18046
2021-09-24,ALGN,718.21,726.295,716.705,724.99,8939
2021-09-27,ALGN,720.065,720.065,694.08,701.01,31108
2021-09-28,ALGN,692.735,692.735,672.65,677.06,31370
2021-09-29,ALGN,679.185,681.1,671.88,672.31,19166
2021-09-30,ALGN,681.38,682.27,665.42,666.01,20685
2021-10-01,ALGN,663.875,664.88,648.2,661.37,24346
2021-10-04,ALGN,652.83,655.69,637.765,639.72,34876
2021-10-05,ALGN,643.81,656.71,642.32,648.66,27755
2021-10-06,ALGN,642.095,651.13,640.235,650.57,20441
2021-10-07,ALGN,659.11,671.78,657.065,661.67,36747
2021-10-08,ALGN,658.66,658.66,642.08,643.67,12934
2021-10-11,ALGN,636.865,642.89,631.15,631.65,14274
2021-10-12,ALGN,629.475,632.315,622.32,627.92,31811
2021-10-13,ALGN,607.71,607.71,572.945,596.23,157427
2021-10-14,ALGN,602.31,602.56,587.0,597.63,68133
2021-10-15,ALGN,599.57,601.59,587.39,589.7,35259
2021-10-18,ALGN,586.38,596.81,580.65,595.36,28660
2021-10-19,ALGN,600.65,603.45,592.66,594.86,19388
2021-10-20,ALGN,596.29,608.64,593.45,608.08,24031
2021-10-21,ALGN,611.01,616.27,597.6,599.57,47615
2021-10-22,ALGN,598.84,598.92,587.0,590.625,29678
2021-10-25,ALGN,585.09,596.73,583.94,589.93,57824
2021-10-26,ALGN,593.33,603.16,587.43,592.69,46205
2021-10-27,ALGN,586.1,614.97,583.9,604.81,113956
2021-10-28,ALGN,660.5,660.5,608.125,632.12,120737
2021-10-29,ALGN,627.62,627.62,619.7,624.68,53616
2021-11-01,ALGN,632.0,666.52,632.0,661.42,83072
2021-11-02,ALGN,660.4,678.34,650.53,667.4,45067
2021-11-03,ALGN,670.48,674.94,659.29,673.6,34848
2021-11-04,ALGN,675.93,680.17,672.62,679.41,18112
2021-11-05,ALGN,680.45,687.27,675.43,687.27,57522
2021-11-08,ALGN,687.89,711.54,682.875,711.13,65510
2021-11-09,ALGN,706.28,711.81,699.8,710.77,56706
2021-11-10,ALGN,704.45,707.09,687.42,689.21,48679
2021-11-11,ALGN,694.725,696.44,681.82,685.785,19394
2021-11-12,ALGN,689.675,692.76,687.13,687.865,12038
2021-11-15,ALGN,692.0,692.0,674.79,680.68,18775
2021-11-16,ALGN,683.65,691.5,679.37,689.46,16731
2021-11-17,ALGN,687.2,698.6,680.48,692.57,23917
2021-11-18,ALGN,694.155,695.94,679.24,683.92,18082
2021-11-19,ALGN,686.255,691.77,680.03,682.99,29561
2021-11-22,ALGN,679.955,681.1,666.75,669.93,28229
2021-11-23,ALGN,665.23,665.44,650.995,656.82,25707
2021-11-24,ALGN,650.3,657.13,646.72,652.79,27052
2021-11-26,ALGN,651.7,653.97,627.335,634.915,19342
2021-11-29,ALGN,637.07,640.95,629.56,634.02,33544
2021-11-30,ALGN,632.19,637.88,608.53,611.48,77875
2021-12-01,ALGN,619.82,622.51,605.125,605.125,27966
2021-12-02,ALGN,608.645,628.73,596.42,625.8,42563
2021-12-03,ALGN,631.82,631.82,605.965,620.86,23481
2021-12-06,ALGN,627.92,641.08,625.28,639.22,29529
2021-12-07,ALGN,651.005,674.7,651.005,666.58,32505
2021-12-08,ALGN,672.59,676.93,664.995,675.4,14257
2021-12-09,ALGN,674.68,688.19,673.2,674.685,23481
2021-12-10,ALGN,675.45,682.79,660.585,668.65,26522
2021-12-13,ALGN,659.195,659.195,628.975,629.38,32621
2021-12-14,ALGN,623.42,630.4,598.925,606.53,56139
2021-12-15,ALGN,602.81,609.8,591.57,603.59,73824
2021-12-16,ALGN,605.89,609.75,593.95,594.75,53529
2021-12-17,ALGN,591.87,617.975,588.0,609.18,64009
2021-12-20,ALGN,596.4,599.15,581.5,594.33,30072
2021-12-21,ALGN,600.44,630.15,600.135,628.745,42965
2021-12-22,ALGN,619.735,646.595,619.735,645.75,25296
2021-12-23,ALGN,647.21,663.435,647.21,653.44,39152
