date,tic,open,high,low,close,volume
2021-01-04,ALL,97.37,97.37,94.77,95.55,55859
2021-01-05,ALL,95.77,95.77,94.25,94.75,99448
2021-01-06,ALL,95.56,98.13,95.4,97.23,79553
2021-01-07,ALL,97.57,98.01,96.94,97.29,48581
2021-01-08,ALL,97.63,97.63,96.13,97.16,43265
2021-01-11,ALL,96.48,97.2,96.35,96.46,42502
2021-01-12,ALL,96.64,97.66,96.52,97.04,49938
2021-01-13,ALL,96.72,97.28,95.6,96.21,65441
2021-01-14,ALL,96.39,96.82,95.75,96.43,89806
2021-01-15,ALL,95.99,96.67,95.51,95.76,51853
2021-01-19,ALL,95.93,97.66,95.77,97.45,64831
2021-01-20,ALL,97.41,98.71,97.07,98.12,44470
2021-01-21,ALL,98.57,98.86,97.85,97.85,37667
2021-01-22,ALL,97.48,98.06,96.86,97.59,34161
2021-01-25,ALL,97.13,98.84,97.11,98.07,63331
2021-01-26,ALL,98.32,98.4,96.57,96.78,41757
2021-01-27,ALL,96.04,99.71,95.94,97.62,151240
2021-01-28,ALL,98.05,98.39,96.28,96.59,113442
2021-01-29,ALL,95.96,96.51,94.69,94.72,66784
2021-02-01,ALL,94.99,96.35,94.55,96.11,70300
2021-02-02,ALL,97.5,98.78,96.93,97.92,104522
2021-02-03,ALL,97.09,97.77,95.83,96.34,52242
2021-02-04,ALL,96.23,96.68,93.8,94.72,218262
2021-02-05,ALL,94.68,95.25,94.18,94.44,66129
2021-02-08,ALL,94.74,94.98,93.66,94.95,91454
2021-02-09,ALL,95.05,95.84,94.81,95.29,54294
2021-02-10,ALL,95.03,95.03,93.14,93.3,64853
2021-02-11,ALL,93.13,93.15,91.36,92.41,153522
2021-02-12,ALL,92.16,92.9,91.57,92.37,44074
2021-02-16,ALL,92.63,92.78,91.13,91.25,77303
2021-02-17,ALL,90.95,92.88,90.67,92.69,92943
2021-02-18,ALL,92.63,93.24,92.27,92.87,71253
2021-02-19,ALL,92.93,92.93,91.32,91.43,58000
2021-02-22,ALL,91.15,93.9,90.69,93.12,127454
2021-02-23,ALL,94.01,95.94,93.13,95.5,148043
2021-02-24,ALL,95.08,96.58,95.08,95.72,98288
2021-02-25,ALL,96.34,97.52,96.16,96.22,93970
2021-02-26,ALL,96.02,96.37,94.21,94.27,110881
2021-03-01,ALL,95.09,97.76,95.09,97.01,65955
2021-03-02,ALL,97.01,98.36,96.4,97.69,44921
2021-03-03,ALL,97.65,100.29,97.53,98.99,102078
2021-03-04,ALL,99.29,99.95,96.2,97.3,100029
2021-03-05,ALL,98.19,99.98,97.51,99.46,79456
2021-03-08,ALL,100.04,103.88,99.85,100.84,176887
2021-03-09,ALL,99.93,100.42,99.01,99.39,129471
2021-03-10,ALL,99.14,101.27,98.74,101.2,166017
2021-03-11,ALL,100.61,102.31,100.55,101.31,126512
2021-03-12,ALL,102.64,103.1,102.08,103.08,91632
2021-03-15,ALL,102.95,104.42,102.95,104.38,150524
2021-03-16,ALL,103.71,104.13,102.45,103.16,81049
2021-03-17,ALL,103.67,103.67,102.08,103.2,113172
2021-03-18,ALL,103.61,104.83,102.9,103.32,136460
2021-03-19,ALL,102.71,102.91,100.64,100.65,213590
2021-03-22,ALL,99.98,100.28,98.95,99.91,124186
2021-03-23,ALL,99.66,100.45,99.34,99.58,83742
2021-03-24,ALL,100.21,101.05,99.97,100.6,140190
2021-03-25,ALL,100.88,102.14,100.51,102.14,81145
2021-03-26,ALL,102.32,103.36,102.05,103.36,71772
2021-03-29,ALL,103.37,104.38,103.11,104.02,130710
2021-03-30,ALL,104.67,105.08,103.99,104.22,87796
2021-03-31,ALL,103.87,104.22,102.23,102.23,67108
2021-04-01,ALL,102.3,103.53,101.95,103.28,84615
2021-04-05,ALL,103.99,104.7,103.86,104.63,58006
2021-04-06,ALL,104.45,105.3,104.35,104.92,83343
2021-04-07,ALL,104.8,104.89,103.04,103.59,99962
2021-04-08,ALL,103.44,104.47,103.2,104.18,84666
2021-04-09,ALL,105.07,105.13,103.86,104.3,89452
2021-04-12,ALL,104.66,106.49,104.66,106.28,84338
2021-04-13,ALL,105.59,106.71,105.4,106.21,45299
2021-04-14,ALL,106.19,107.24,106.11,107.21,65010
2021-04-15,ALL,107.19,108.27,106.8,108.26,70494
2021-04-16,ALL,108.8,109.22,108.51,108.75,42519
2021-04-20,ALL,109.13,109.98,108.91,109.38,59787
2021-04-21,ALL,109.84,110.59,109.7,110.33,42758
2021-04-22,ALL,109.94,110.48,109.56,110.1,67971
2021-04-23,ALL,110.36,111.53,110.19,111.37,47610
2021-04-26,ALL,111.73,112.38,111.43,111.61,91511
2021-04-27,ALL,111.68,112.09,111.37,112.06,61375
2021-04-28,ALL,112.56,112.89,111.43,111.52,200017
2021-04-29,ALL,112.0,113.92,112.0,113.81,62642
2021-04-30,ALL,113.71,113.87,112.58,112.83,66656
2021-05-03,ALL,113.55,114.92,113.29,114.01,52131
2021-05-04,ALL,114.37,114.39,113.51,113.78,117437
2021-05-05,ALL,113.44,113.73,112.04,113.39,107385
2021-05-06,ALL,114.41,118.29,114.22,118.04,172804
2021-05-07,ALL,115.87,118.1,115.87,117.72,118466
2021-05-10,ALL,118.87,121.2,118.87,119.76,153389
2021-05-11,ALL,120.01,120.13,118.08,119.41,111598
2021-05-12,ALL,120.19,120.51,118.11,118.19,127158
2021-05-13,ALL,117.61,122.91,117.61,122.41,79586
2021-05-14,ALL,122.75,124.51,122.05,124.09,157577
2021-05-17,ALL,123.76,124.29,122.91,123.77,74337
2021-05-18,ALL,123.43,123.45,121.93,122.13,70622
2021-05-19,ALL,121.26,121.39,118.71,120.76,66636
2021-05-20,ALL,120.34,121.71,119.64,121.16,81855
2021-05-21,ALL,121.8,122.69,121.34,122.36,56999
2021-05-24,ALL,122.94,122.96,121.97,122.22,37779
2021-05-25,ALL,122.29,122.29,120.17,120.41,55128
2021-05-26,ALL,120.64,122.75,120.25,120.69,99229
2021-05-27,ALL,121.41,121.52,119.63,121.46,112768
2021-05-28,ALL,122.4,122.48,120.86,121.6,78616
2021-06-01,ALL,122.44,124.12,122.41,122.85,59399
2021-06-02,ALL,123.5,123.5,122.36,123.0,90475
2021-06-03,ALL,121.76,122.72,121.38,122.07,47808
