date,tic,open,high,low,close,volume
2021-01-04,AMCR,9.246,9.293,8.973,8.985,205125
2021-01-05,AMCR,9.001,9.123,8.977,9.052,274961
2021-01-06,AMCR,9.103,9.38,9.099,9.285,197978
2021-01-07,AMCR,9.261,9.297,9.155,9.218,316997
2021-01-08,AMCR,9.19,9.242,8.973,9.092,100576
2021-01-11,AMCR,9.013,9.155,9.013,9.115,49608
2021-01-12,AMCR,9.08,9.234,9.028,9.19,95140
2021-01-13,AMCR,9.135,9.151,8.973,9.028,166826
2021-01-14,AMCR,9.016,9.095,8.961,8.997,70199
2021-01-15,AMCR,8.933,8.933,8.732,8.736,194058
2021-01-19,AMCR,8.807,8.807,8.641,8.653,130129
2021-01-20,AMCR,8.661,8.914,8.633,8.886,125722
2021-01-21,AMCR,8.819,8.945,8.752,8.882,329051
2021-01-22,AMCR,8.771,8.87,8.645,8.768,432629
2021-01-25,AMCR,8.783,8.87,8.578,8.669,304570
2021-01-26,AMCR,8.692,8.898,8.692,8.862,223133
2021-01-27,AMCR,8.708,8.91,8.704,8.736,291272
2021-01-28,AMCR,8.851,8.914,8.764,8.835,263335
2021-01-29,AMCR,8.748,8.748,8.602,8.649,260439
2021-02-01,AMCR,8.7,8.748,8.44,8.617,260849
2021-02-02,AMCR,8.685,8.752,8.558,8.629,227827
2021-02-03,AMCR,8.748,8.779,8.428,8.696,338360
2021-02-04,AMCR,8.732,8.874,8.649,8.847,178040
2021-02-05,AMCR,8.961,9.111,8.961,9.056,188724
2021-02-08,AMCR,9.111,9.111,8.941,9.064,240595
2021-02-09,AMCR,9.04,9.119,8.866,8.874,204754
2021-02-10,AMCR,9.016,9.115,8.949,9.02,239824
2021-02-11,AMCR,9.009,9.009,8.847,8.918,132110
2021-02-12,AMCR,8.886,9.095,8.886,9.095,155053
2021-02-16,AMCR,9.095,9.095,8.882,8.894,126677
2021-02-17,AMCR,8.89,8.993,8.811,8.937,115632
2021-02-18,AMCR,8.898,9.127,8.898,9.016,224745
2021-02-19,AMCR,9.024,9.143,8.953,9.016,153956
2021-02-22,AMCR,8.953,9.06,8.914,9.028,105989
2021-02-23,AMCR,9.078,9.142,8.93,9.078,149857
2021-02-24,AMCR,9.014,9.138,8.95,9.106,123178
2021-02-25,AMCR,9.086,9.166,8.994,9.054,118875
2021-02-26,AMCR,9.03,9.054,8.746,8.746,110284
2021-03-01,AMCR,8.854,9.094,8.846,9.01,116439
2021-03-02,AMCR,9.014,9.185,8.938,9.122,208949
2021-03-03,AMCR,9.086,9.209,9.034,9.154,142145
