date,tic,open,high,low,close,volume
2021-01-04,AME,116.97,118.13,114.01,114.53,46383
2021-01-05,AME,114.22,115.97,114.22,115.29,24425
2021-01-06,AME,116.71,121.17,116.71,120.22,44708
2021-01-07,AME,120.84,121.12,119.71,120.4,46125
2021-01-08,AME,120.9,121.24,118.27,119.65,32496
2021-01-11,AME,118.35,120.91,118.35,120.15,45510
2021-01-12,AME,120.52,120.75,119.43,120.31,32178
2021-01-13,AME,119.98,119.98,117.46,117.49,55747
2021-01-14,AME,117.62,117.67,116.18,116.89,39631
2021-01-15,AME,115.38,115.38,113.25,115.24,51458
2021-01-19,AME,115.66,117.14,114.65,115.12,102451
2021-01-20,AME,115.21,116.72,115.07,116.33,42303
2021-01-21,AME,116.53,117.53,115.44,115.61,38849
2021-01-22,AME,115.09,115.63,113.17,113.57,39019
2021-01-25,AME,113.24,113.24,110.75,112.62,48792
2021-01-26,AME,113.23,113.5,109.62,109.73,38400
2021-01-27,AME,107.96,107.96,103.67,107.56,106937
2021-01-28,AME,108.76,112.26,108.16,111.2,79910
2021-01-29,AME,110.0,111.65,108.92,109.59,88111
2021-02-01,AME,110.74,111.36,109.09,111.31,61093
2021-02-02,AME,112.41,113.33,111.91,112.82,51029
2021-02-03,AME,112.24,112.97,111.73,112.88,65095
2021-02-04,AME,112.96,115.72,112.13,113.33,175198
2021-02-05,AME,114.33,114.91,113.12,113.21,180117
2021-02-08,AME,114.0,116.23,114.0,116.0,115241
2021-02-09,AME,116.36,118.1,115.82,117.03,120972
2021-02-10,AME,116.96,117.37,115.89,116.67,38358
2021-02-11,AME,116.92,117.94,116.26,117.82,43745
2021-02-12,AME,117.18,118.06,116.6,118.06,51459
2021-02-16,AME,118.66,118.66,116.76,117.33,42915
2021-02-17,AME,116.37,117.35,116.13,116.38,132067
2021-02-18,AME,115.89,116.07,114.19,115.12,49650
2021-02-19,AME,116.5,118.3,116.14,116.96,51032
2021-02-22,AME,116.21,116.93,115.25,116.29,51546
2021-02-23,AME,116.56,116.56,114.35,116.22,60431
2021-02-24,AME,116.37,119.64,116.37,119.04,47288
2021-02-25,AME,119.39,119.87,115.85,116.36,56912
2021-02-26,AME,116.72,116.72,114.2,114.2,68019
2021-03-01,AME,115.91,119.09,115.91,118.38,45393
2021-03-02,AME,118.52,118.97,117.9,118.5,69825
2021-03-03,AME,117.99,119.99,117.99,118.65,44706
2021-03-04,AME,117.33,119.02,114.67,116.6,42082
2021-03-05,AME,117.6,118.81,115.22,118.47,55443
2021-03-08,AME,118.85,121.58,118.31,119.48,92309
2021-03-09,AME,119.37,119.86,116.79,116.81,83189
2021-03-10,AME,117.17,120.01,116.52,119.76,74366
2021-03-11,AME,119.88,120.65,117.79,118.06,48264
2021-03-12,AME,118.28,118.34,116.75,117.92,65477
2021-03-15,AME,117.67,119.08,116.15,119.08,61907
2021-03-16,AME,119.77,120.32,117.08,117.08,22874
2021-03-17,AME,117.29,119.38,116.59,117.99,45307
2021-03-18,AME,118.03,120.18,117.57,118.02,39511
2021-03-19,AME,116.75,118.67,116.62,117.02,22288
2021-03-22,AME,116.77,119.48,116.77,119.16,125548
2021-03-23,AME,118.71,120.81,117.48,117.96,53311
2021-03-24,AME,118.6,120.68,118.6,119.07,56953
2021-03-25,AME,117.84,119.47,117.05,119.32,117368
2021-03-26,AME,119.66,123.6,119.23,123.52,61788
2021-03-29,AME,122.66,124.9,122.25,124.28,124274
2021-03-30,AME,123.76,125.05,123.29,123.52,123130
2021-03-31,AME,124.38,125.0,122.46,123.98,108659
2021-04-01,AME,124.8,125.05,123.22,124.64,77953
2021-04-05,AME,125.77,126.79,124.92,126.7,30891
2021-04-06,AME,126.63,127.76,125.42,125.78,90996
2021-04-07,AME,125.59,125.68,124.75,125.68,34357
2021-04-08,AME,125.02,127.05,124.62,126.39,102451
2021-04-09,AME,126.8,127.33,126.15,127.28,50746
2021-04-12,AME,127.61,129.01,127.61,128.93,58362
2021-04-13,AME,128.12,128.27,127.16,127.87,21194
2021-04-14,AME,128.22,128.25,127.03,127.1,63652
