date,tic,open,high,low,close,volume
2021-01-04,AMGN,196.97,197.02,191.18,193.56,140540
2021-01-05,AMGN,193.88,195.53,191.68,194.51,136173
2021-01-06,AMGN,192.21,199.4,192.21,199.39,231758
2021-01-07,AMGN,198.07,201.05,197.78,199.94,167875
2021-01-08,AMGN,200.94,203.96,200.88,203.9,145023
2021-01-11,AMGN,204.75,205.32,200.39,202.83,102899
2021-01-12,AMGN,202.92,203.98,201.15,202.3,90444
2021-01-13,AMGN,201.5,203.68,200.95,203.22,80256
2021-01-14,AMGN,202.17,207.96,201.51,206.54,165465
2021-01-15,AMGN,205.35,210.78,205.35,209.86,137653
2021-01-19,AMGN,210.64,212.61,210.64,212.18,110189
2021-01-20,AMGN,212.13,216.32,210.33,215.65,120432
2021-01-21,AMGN,215.28,215.9,213.17,215.34,119675
2021-01-22,AMGN,214.59,218.03,214.17,216.85,85184
2021-01-25,AMGN,215.32,219.55,215.28,219.43,134460
2021-01-26,AMGN,219.33,221.25,217.83,221.11,117627
2021-01-27,AMGN,219.18,221.31,213.94,214.22,150422
2021-01-28,AMGN,215.73,236.31,208.63,211.64,247016
2021-01-29,AMGN,209.38,210.52,205.36,206.09,135632
2021-02-01,AMGN,208.64,208.94,204.88,205.29,129809
2021-02-02,AMGN,205.25,206.62,202.61,205.1,122716
2021-02-03,AMGN,197.92,204.69,197.86,202.53,299229
2021-02-04,AMGN,201.66,203.19,199.72,202.71,251747
2021-02-05,AMGN,203.31,204.07,201.2,201.9,142715
2021-02-08,AMGN,203.04,204.43,201.51,202.96,92643
2021-02-09,AMGN,202.68,202.85,200.57,202.03,131101
2021-02-10,AMGN,203.66,205.19,202.29,203.73,140054
2021-02-11,AMGN,205.36,205.72,201.38,202.32,109330
2021-02-12,AMGN,202.25,204.27,201.01,204.02,85783
2021-02-16,AMGN,203.04,204.48,200.16,200.35,109325
2021-02-17,AMGN,200.28,202.94,199.04,202.69,105985
2021-02-18,AMGN,202.42,202.47,199.96,199.98,108399
2021-02-19,AMGN,200.14,200.55,198.96,199.41,108581
2021-02-22,AMGN,198.62,201.18,198.18,199.0,116617
2021-02-23,AMGN,199.73,204.78,198.84,200.16,187698
2021-02-24,AMGN,197.79,198.48,196.07,197.97,184858
2021-02-25,AMGN,197.74,198.14,195.29,195.96,119297
2021-02-26,AMGN,196.79,196.86,192.47,193.61,254029
2021-03-01,AMGN,194.1,196.15,194.1,195.51,107735
2021-03-02,AMGN,195.52,196.1,193.89,194.2,172499
2021-03-03,AMGN,192.7,194.17,190.48,192.68,111792
2021-03-04,AMGN,194.99,195.8,189.66,190.75,155366
2021-03-05,AMGN,191.27,196.27,190.66,196.0,188191
2021-03-08,AMGN,196.23,199.83,195.26,196.06,118988
2021-03-09,AMGN,197.72,200.61,196.91,196.91,170905
2021-03-10,AMGN,199.37,200.9,197.13,197.95,177317
2021-03-11,AMGN,198.45,201.32,197.1,198.95,127286
2021-03-12,AMGN,198.13,198.56,196.83,198.23,111012
2021-03-15,AMGN,198.04,203.21,198.04,203.01,219111
2021-03-16,AMGN,204.13,208.27,203.85,207.19,231129
2021-03-17,AMGN,206.83,211.6,206.0,210.28,214796
2021-03-18,AMGN,208.42,212.67,208.37,210.35,175852
2021-03-19,AMGN,211.46,212.64,208.07,211.46,159884
2021-03-22,AMGN,209.99,214.92,209.72,214.92,123293
2021-03-23,AMGN,215.17,215.17,210.91,210.92,142918
2021-03-24,AMGN,210.2,212.84,209.87,211.33,152042
2021-03-25,AMGN,212.25,213.01,210.85,211.86,130054
2021-03-26,AMGN,211.64,217.89,211.41,217.89,122544
2021-03-29,AMGN,216.49,220.84,216.41,219.2,115618
2021-03-30,AMGN,217.99,218.61,214.18,215.05,135002
2021-03-31,AMGN,214.13,215.12,212.99,214.12,202441
2021-04-01,AMGN,214.85,214.85,212.07,214.34,101863
2021-04-05,AMGN,214.54,217.23,214.54,217.04,112361
2021-04-06,AMGN,216.23,217.3,213.66,214.33,178400
2021-04-07,AMGN,213.98,215.31,212.68,213.56,98959
2021-04-08,AMGN,214.12,214.12,211.73,212.49,99428
2021-04-09,AMGN,212.22,214.39,211.56,214.2,88721
2021-04-12,AMGN,214.21,214.78,213.26,214.26,124651
2021-04-13,AMGN,214.62,215.46,212.83,215.2,67808
2021-04-14,AMGN,215.19,216.46,214.42,214.86,87810
2021-04-15,AMGN,215.85,220.94,215.85,219.45,108226
2021-04-16,AMGN,220.11,222.75,220.04,220.2,136773
2021-04-19,AMGN,218.64,220.37,217.83,220.13,91112
2021-04-20,AMGN,220.54,224.06,220.41,223.05,96736
2021-04-21,AMGN,224.13,224.58,221.87,222.59,114137
2021-04-22,AMGN,221.55,222.4,218.35,219.44,261560
2021-04-23,AMGN,219.15,222.15,218.46,221.29,121594
2021-04-26,AMGN,220.82,220.82,219.16,219.93,71747
2021-04-27,AMGN,220.0,220.76,218.55,219.62,132466
2021-04-28,AMGN,208.5,209.55,201.23,203.8,365440
2021-04-29,AMGN,202.64,203.06,198.98,201.97,297329
2021-04-30,AMGN,201.78,207.05,201.78,206.18,127353
2021-05-03,AMGN,207.13,212.53,207.13,211.18,193561
2021-05-04,AMGN,212.18,213.05,209.03,212.87,165680
2021-05-05,AMGN,212.7,215.11,211.69,214.52,89165
2021-05-06,AMGN,214.28,216.44,212.56,216.44,141320
2021-05-07,AMGN,217.06,220.05,216.77,218.75,134838
2021-05-10,AMGN,220.09,222.72,216.95,217.43,152064
2021-05-11,AMGN,218.44,220.27,216.56,217.18,129677
2021-05-12,AMGN,215.88,218.37,214.9,215.81,99232
2021-05-13,AMGN,215.78,218.62,215.29,217.02,137388
2021-05-14,AMGN,219.18,220.42,217.67,217.87,87806
2021-05-17,AMGN,217.47,220.68,217.47,218.64,78140
2021-05-18,AMGN,217.98,219.25,217.1,217.47,64915
2021-05-19,AMGN,215.28,215.79,213.92,215.47,119526
2021-05-20,AMGN,215.29,220.26,214.86,218.1,91780
2021-05-21,AMGN,219.09,220.1,217.39,217.39,86350
2021-05-24,AMGN,218.4,219.66,214.63,214.63,118744
2021-05-25,AMGN,213.93,213.94,209.62,209.72,116288
2021-05-26,AMGN,209.64,210.02,206.57,206.71,150437
2021-05-27,AMGN,207.23,207.36,203.32,204.17,135916
2021-05-28,AMGN,204.72,208.68,204.67,206.17,185216
2021-06-01,AMGN,209.79,209.86,202.0,202.38,216701
2021-06-02,AMGN,203.46,205.09,202.73,203.7,99616
2021-06-03,AMGN,202.55,204.91,202.49,204.32,75681
2021-06-04,AMGN,204.53,207.33,204.53,205.28,93247
2021-06-07,AMGN,205.16,208.42,204.01,205.6,121438
2021-06-08,AMGN,206.64,207.2,203.93,205.26,71233
2021-06-09,AMGN,205.86,209.01,205.19,207.52,115839
2021-06-10,AMGN,207.96,212.62,207.51,212.08,130847
2021-06-11,AMGN,212.75,212.76,209.8,210.3,67545
2021-06-14,AMGN,210.05,210.16,207.44,209.01,88160
2021-06-15,AMGN,209.46,209.72,207.2,207.97,113219
2021-06-16,AMGN,208.5,211.91,206.52,207.63,114686
2021-06-17,AMGN,207.2,210.08,206.6,208.64,91582
2021-06-18,AMGN,207.23,208.22,204.99,206.8,117892
2021-06-21,AMGN,207.21,208.76,206.16,208.2,85117
2021-06-22,AMGN,207.58,208.63,206.58,208.0,66798
2021-06-23,AMGN,207.14,207.64,205.42,206.96,49409
2021-06-24,AMGN,208.01,210.57,207.56,208.85,66269
2021-06-25,AMGN,208.58,211.1,208.23,210.35,52009
2021-06-28,AMGN,211.28,212.72,210.36,210.51,69671
2021-06-29,AMGN,210.19,211.26,209.86,210.07,46367
2021-06-30,AMGN,210.33,211.67,209.82,211.39,80190
2021-07-01,AMGN,211.69,214.14,211.1,214.03,75486
2021-07-02,AMGN,214.36,216.44,213.47,215.59,55264
2021-07-06,AMGN,214.47,214.99,210.78,211.08,132194
2021-07-07,AMGN,211.71,211.71,209.22,210.82,105721
2021-07-08,AMGN,211.23,213.63,210.18,211.72,80468
2021-07-09,AMGN,210.61,213.09,210.07,212.45,43567
2021-07-12,AMGN,211.94,214.69,211.09,211.86,84100
2021-07-13,AMGN,212.42,213.79,210.58,212.11,90953
2021-07-14,AMGN,211.52,212.61,209.31,211.97,129326
2021-07-15,AMGN,211.18,214.57,209.91,213.66,140437
2021-07-16,AMGN,215.0,216.22,213.79,214.89,122240
2021-07-19,AMGN,214.54,216.61,212.31,213.73,122439
2021-07-20,AMGN,214.11,216.89,213.02,214.08,119506
2021-07-21,AMGN,213.3,213.43,210.42,212.24,66213
2021-07-22,AMGN,211.38,213.38,210.97,212.12,54994
2021-07-23,AMGN,213.01,215.4,212.95,214.66,65148
2021-07-26,AMGN,214.05,215.17,212.22,212.36,66916
2021-07-27,AMGN,211.58,212.87,211.01,212.0,65812
2021-07-28,AMGN,211.95,214.63,211.25,211.82,79301
2021-07-29,AMGN,211.75,212.43,210.0,210.12,69739
2021-07-30,AMGN,210.41,210.69,208.61,209.4,141326
