date,tic,open,high,low,close,volume
2021-01-04,AMP,181.1,181.1,172.34,174.21,37821
2021-01-05,AMP,173.97,175.42,172.15,173.14,31207
2021-01-06,AMP,177.38,185.18,177.18,183.14,39665
2021-01-07,AMP,184.81,187.22,184.81,185.42,24912
2021-01-08,AMP,185.75,186.75,184.02,186.74,42989
2021-01-11,AMP,184.82,187.03,184.76,186.77,24850
2021-01-12,AMP,188.13,190.92,186.86,189.77,57525
2021-01-13,AMP,188.92,189.8,186.83,188.14,22529
2021-01-14,AMP,188.83,191.96,187.94,191.75,31120
2021-01-15,AMP,189.54,193.19,188.57,192.95,26935
2021-01-19,AMP,194.15,197.94,193.94,197.27,44480
2021-01-20,AMP,198.26,198.46,195.99,197.49,21760
2021-01-21,AMP,197.66,198.72,196.36,196.36,32050
2021-01-22,AMP,195.36,196.76,194.67,196.22,26535
2021-01-25,AMP,195.15,197.75,194.11,196.17,34209
2021-01-26,AMP,197.23,197.52,195.05,195.53,34123
2021-01-27,AMP,191.79,194.32,186.42,186.75,44330
2021-01-28,AMP,188.48,193.83,185.18,191.32,61905
2021-01-29,AMP,188.36,188.91,183.54,183.97,68561
2021-02-01,AMP,185.35,186.17,182.35,186.09,39290
2021-02-02,AMP,188.92,190.92,187.88,189.99,39749
2021-02-03,AMP,190.02,190.02,186.27,186.97,37623
2021-02-04,AMP,187.39,193.82,187.39,193.63,23463
2021-02-05,AMP,195.64,197.41,194.47,195.72,24634
2021-02-08,AMP,196.46,197.74,195.53,197.51,20456
2021-02-09,AMP,196.65,199.6,195.98,198.89,34978
2021-02-10,AMP,199.2,201.69,198.25,199.04,34427
2021-02-11,AMP,199.71,200.75,198.26,199.73,32238
2021-02-12,AMP,200.01,202.97,200.01,202.86,16790
2021-02-16,AMP,203.97,205.81,203.8,204.9,25067
2021-02-17,AMP,204.06,204.32,201.8,203.28,16517
2021-02-18,AMP,201.62,202.3,198.14,199.39,28054
2021-02-19,AMP,200.62,209.08,200.62,209.08,59520
2021-02-22,AMP,207.59,212.19,207.59,210.26,48116
2021-02-23,AMP,211.39,211.44,207.45,210.97,46332
2021-02-24,AMP,210.53,216.69,210.46,216.04,48811
2021-02-25,AMP,217.4,217.76,207.7,208.8,40140
2021-02-26,AMP,208.12,210.35,205.4,206.21,64326
2021-03-01,AMP,209.8,214.71,209.8,213.07,34861
2021-03-02,AMP,211.94,213.25,210.32,210.33,26703
2021-03-03,AMP,211.34,211.8,208.01,208.16,71761
2021-03-04,AMP,206.64,208.57,198.67,201.9,71300
2021-03-05,AMP,205.17,207.8,199.26,207.01,55010
2021-03-08,AMP,209.08,213.92,208.09,208.52,63325
2021-03-09,AMP,208.78,211.33,206.08,208.06,60189
2021-03-10,AMP,209.16,212.52,208.99,209.77,109085
2021-03-11,AMP,209.75,213.46,207.69,210.89,65403
