date,tic,open,high,low,close,volume
2021-01-04,AMT,196.76,196.99,191.15,191.5,131781
2021-01-05,AMT,192.22,193.95,190.96,192.23,93483
2021-01-06,AMT,191.12,191.12,187.02,187.24,159147
2021-01-07,AMT,187.81,191.33,187.36,189.58,143072
2021-01-08,AMT,190.61,195.03,190.61,193.64,106188
2021-01-11,AMT,192.66,193.36,186.74,187.34,149557
2021-01-12,AMT,187.16,187.95,183.63,187.53,109118
2021-01-13,AMT,187.4,189.25,186.48,188.65,97908
2021-01-14,AMT,188.83,189.04,186.89,187.45,159751
2021-01-15,AMT,187.69,192.15,187.02,191.78,109681
2021-01-19,AMT,192.64,193.06,188.31,189.12,128505
2021-01-20,AMT,189.48,194.89,188.49,194.22,175670
2021-01-21,AMT,193.46,194.28,190.4,193.76,107072
2021-01-22,AMT,193.8,196.05,193.52,195.34,77922
2021-01-25,AMT,195.31,199.31,193.68,198.21,109427
2021-01-26,AMT,198.36,203.04,195.53,202.52,106558
2021-01-27,AMT,203.75,203.78,198.42,199.59,190524
2021-01-28,AMT,198.95,202.93,197.69,198.9,104873
2021-01-29,AMT,198.47,199.41,196.23,198.1,102640
2021-02-01,AMT,199.51,205.4,197.25,205.27,118506
2021-02-02,AMT,205.32,207.36,204.47,205.8,153759
2021-02-03,AMT,204.6,205.18,201.25,202.64,133943
2021-02-04,AMT,202.13,204.53,201.61,202.4,76416
2021-02-05,AMT,202.74,204.7,202.03,203.09,154972
2021-02-08,AMT,203.16,203.22,199.43,202.93,80022
2021-02-09,AMT,203.48,204.3,201.43,201.85,63375
2021-02-10,AMT,202.87,204.08,201.0,201.92,75316
2021-02-11,AMT,201.67,201.67,197.95,198.56,79050
2021-02-12,AMT,198.59,199.08,194.92,198.11,88887
2021-02-16,AMT,197.42,198.03,194.59,196.15,204795
2021-02-17,AMT,195.09,197.62,194.75,197.3,69740
2021-02-18,AMT,196.58,199.15,196.58,198.94,53630
2021-02-19,AMT,199.06,200.18,197.18,197.29,71800
2021-02-22,AMT,197.42,197.77,193.68,196.12,71168
2021-02-23,AMT,197.38,198.7,193.24,194.61,70145
2021-02-24,AMT,194.44,197.29,193.95,195.94,96179
