date,tic,open,high,low,close,volume
2021-01-04,ANET,18.18,18.2,17.53,17.68,1013296
2021-01-05,ANET,17.81,17.98,17.78,17.85,436304
2021-01-06,ANET,18.17,18.27,17.76,17.87,762000
2021-01-07,ANET,18.31,18.5,18.13,18.5,796912
2021-01-08,ANET,18.68,19.18,18.68,19.13,758832
2021-01-11,ANET,18.93,19.01,18.78,18.94,393424
2021-01-12,ANET,18.96,19.8,18.95,19.78,949856
2021-01-13,ANET,19.59,19.62,19.27,19.36,458640
2021-01-14,ANET,19.47,20.0,19.45,19.58,923936
2021-01-15,ANET,19.63,19.97,19.36,19.82,737744
2021-01-19,ANET,19.92,19.93,19.56,19.85,411024
2021-01-20,ANET,19.96,19.97,19.58,19.65,530176
2021-01-21,ANET,19.66,19.81,19.31,19.51,387824
2021-01-22,ANET,19.4,19.53,19.27,19.45,383792
2021-01-25,ANET,19.72,19.73,19.17,19.22,420128
2021-01-26,ANET,19.25,19.28,19.11,19.19,677072
2021-01-27,ANET,19.07,19.29,18.86,19.11,1129376
2021-01-28,ANET,19.03,19.41,18.99,19.37,601632
2021-01-29,ANET,19.34,19.7,19.14,19.28,578416
2021-02-01,ANET,19.42,19.97,19.39,19.79,774288
2021-02-02,ANET,19.88,19.99,19.69,19.76,350176
2021-02-03,ANET,19.77,19.92,19.61,19.79,524704
2021-02-04,ANET,19.71,20.01,19.64,20.0,380384
2021-02-05,ANET,20.13,20.23,19.95,20.11,518384
2021-02-08,ANET,20.23,20.27,19.92,20.0,345280
2021-02-09,ANET,19.96,20.07,19.88,19.99,486880
2021-02-10,ANET,20.04,20.04,19.66,19.9,537472
2021-02-11,ANET,19.85,19.91,19.65,19.86,510544
2021-02-12,ANET,19.78,20.21,19.75,20.19,462688
2021-02-16,ANET,20.32,20.38,19.89,19.93,384720
2021-02-17,ANET,19.75,19.78,19.19,19.54,540336
2021-02-18,ANET,19.22,19.45,19.09,19.31,768224
2021-02-19,ANET,20.19,20.36,19.11,19.42,2166784
2021-02-22,ANET,19.21,19.24,18.25,18.25,1742704
2021-02-23,ANET,17.43,18.05,16.9,17.94,2247216
2021-02-24,ANET,17.66,18.07,17.5,17.88,723088
2021-02-25,ANET,17.98,17.98,17.45,17.55,641328
2021-02-26,ANET,17.72,17.78,17.36,17.49,744768
