date,tic,open,high,low,close,volume
2021-01-04,AON,204.71,204.76,196.8,197.57,105630
2021-01-05,AON,198.03,199.29,195.37,197.5,94362
2021-01-06,AON,197.9,200.95,196.5,199.86,101557
2021-01-07,AON,200.21,201.29,198.65,199.74,49642
2021-01-08,AON,199.68,201.2,196.82,198.15,130198
2021-01-11,AON,197.45,198.56,194.93,195.35,121515
2021-01-12,AON,194.99,197.81,194.02,195.79,111022
2021-01-13,AON,195.08,200.61,194.93,200.15,136552
2021-01-14,AON,200.2,200.94,196.81,199.78,120473
2021-01-15,AON,199.46,201.97,199.15,201.05,99236
2021-01-19,AON,201.67,203.04,200.83,202.16,77231
2021-01-20,AON,202.32,205.67,201.49,204.9,85233
2021-01-21,AON,204.77,206.92,202.39,202.43,61990
2021-01-22,AON,201.63,202.28,199.4,199.4,55514
2021-01-25,AON,199.14,202.66,198.98,201.64,83295
2021-01-26,AON,201.93,204.32,200.56,203.05,77280
2021-01-27,AON,201.43,204.32,198.15,199.63,142139
2021-01-28,AON,201.08,203.35,199.67,199.67,84536
2021-01-29,AON,198.71,200.07,196.09,196.68,75502
2021-02-01,AON,198.05,202.35,197.62,200.25,110236
2021-02-02,AON,202.52,204.65,201.71,203.22,61546
2021-02-03,AON,203.37,203.39,198.44,198.84,85882
2021-02-04,AON,198.35,201.98,198.3,201.64,122759
2021-02-05,AON,204.15,216.35,204.15,216.27,188244
2021-02-08,AON,216.9,218.62,214.2,218.51,109918
2021-02-09,AON,218.41,221.77,218.21,221.32,124740
2021-02-10,AON,222.42,223.4,218.87,219.23,118064
2021-02-11,AON,221.46,224.75,220.77,222.23,75061
2021-02-12,AON,221.75,223.79,219.18,220.89,84558
2021-02-16,AON,220.83,223.0,218.66,220.25,102416
2021-02-17,AON,219.04,222.08,218.56,222.08,71588
2021-02-18,AON,220.8,222.62,218.43,220.19,188552
2021-02-19,AON,220.8,222.45,220.59,221.15,73198
2021-02-22,AON,220.38,222.76,219.84,221.52,106380
2021-02-23,AON,222.01,224.18,220.0,224.13,151205
2021-02-24,AON,224.02,228.49,223.12,226.53,145792
2021-02-25,AON,226.57,227.78,223.06,223.71,125557
2021-02-26,AON,224.4,224.67,219.77,220.52,134327
2021-03-01,AON,222.61,227.11,221.74,225.26,142152
2021-03-02,AON,226.79,227.25,223.47,225.24,81607
2021-03-03,AON,224.39,227.51,220.67,220.84,149955
2021-03-04,AON,221.37,223.69,217.94,218.92,209856
2021-03-05,AON,221.13,225.68,218.75,225.59,100566
2021-03-08,AON,226.47,227.57,222.74,222.84,118002
2021-03-09,AON,223.17,226.23,222.86,224.21,99542
2021-03-10,AON,224.3,224.9,221.99,222.62,126144
2021-03-11,AON,222.28,223.4,220.69,220.98,147964
2021-03-12,AON,221.42,222.66,220.17,220.86,75943
2021-03-15,AON,220.96,221.09,217.92,218.63,140642
2021-03-16,AON,218.4,220.96,217.92,219.75,165625
2021-03-17,AON,220.05,220.21,218.32,218.78,138989
2021-03-18,AON,218.87,219.35,216.93,217.17,143533
2021-03-19,AON,217.17,217.89,214.96,216.02,248015
2021-03-22,AON,215.06,217.58,215.06,216.35,208889
2021-03-23,AON,216.98,219.04,216.53,216.94,153981
2021-03-24,AON,217.16,220.13,216.54,218.05,258403
2021-03-25,AON,218.71,218.99,215.86,218.03,213069
2021-03-26,AON,218.73,221.31,216.45,221.28,235092
2021-03-29,AON,220.26,226.64,218.94,226.27,159092
2021-03-30,AON,225.49,227.13,223.96,225.06,95582
2021-03-31,AON,225.26,225.46,222.51,222.84,173818
2021-04-01,AON,222.85,225.75,221.88,224.6,120480
2021-04-05,AON,225.4,226.74,225.15,226.74,91235
2021-04-06,AON,226.81,227.14,225.75,226.87,61872
2021-04-07,AON,226.79,229.23,226.61,228.95,86110
2021-04-08,AON,229.31,230.94,227.49,227.64,128589
2021-04-09,AON,228.66,230.98,227.36,229.83,73684
2021-04-12,AON,229.82,231.48,228.65,231.2,93147
2021-04-13,AON,231.17,232.24,229.26,231.8,58169
2021-04-14,AON,231.72,232.3,226.42,227.23,77278
2021-04-15,AON,228.23,229.88,227.4,229.09,59543
2021-04-16,AON,229.23,232.49,228.44,231.55,90790
2021-04-20,AON,229.08,229.48,227.29,227.44,76704
2021-04-21,AON,228.41,229.31,226.05,226.19,100806
2021-04-22,AON,225.06,225.81,222.75,224.05,131511
2021-04-23,AON,224.7,224.96,223.25,223.83,44608
2021-04-26,AON,224.5,225.1,222.23,222.25,73501
2021-04-27,AON,222.8,227.64,222.8,226.49,78994
2021-04-28,AON,226.52,231.52,225.73,230.88,215044
2021-04-29,AON,231.5,232.47,228.41,231.95,171246
2021-04-30,AON,233.97,247.2,233.97,243.84,200960
2021-05-03,AON,244.11,246.25,242.02,245.04,78111
2021-05-04,AON,244.23,246.78,244.06,246.45,58502
2021-05-05,AON,246.48,248.14,245.28,246.93,78698
2021-05-06,AON,247.31,249.99,247.24,248.88,85092
2021-05-07,AON,248.33,251.78,248.33,250.93,104858
2021-05-10,AON,250.99,253.11,249.92,250.95,79405
2021-05-11,AON,249.77,249.78,245.69,246.64,87509
2021-05-12,AON,245.48,247.4,242.17,242.4,119020
2021-05-13,AON,242.44,246.1,242.01,244.62,119889
2021-05-14,AON,246.17,247.95,244.57,246.78,72014
2021-05-17,AON,246.57,248.03,245.96,247.74,68340
2021-05-18,AON,249.46,249.58,246.62,246.62,81521
2021-05-19,AON,245.2,245.26,241.48,244.78,57022
2021-05-20,AON,245.16,248.51,245.1,247.21,54067
2021-05-21,AON,247.24,247.96,245.04,245.92,45604
2021-05-24,AON,246.18,247.72,245.69,245.73,30675
2021-05-25,AON,246.06,246.06,244.15,244.95,37857
2021-05-26,AON,244.56,245.05,243.19,243.7,55158
2021-05-27,AON,244.6,247.49,242.94,246.24,114219
2021-05-28,AON,247.37,247.37,245.48,246.15,40323
2021-06-01,AON,247.01,247.46,244.72,245.83,75683
2021-06-02,AON,246.88,247.92,245.03,245.52,62474
