date,tic,open,high,low,close,volume
2021-01-04,APD,245.43,245.94,237.83,238.53,84537
2021-01-05,APD,239.31,252.21,239.31,251.2,127930
2021-01-06,APD,252.26,260.9,252.26,257.85,123241
2021-01-07,APD,258.05,258.12,252.63,253.87,72363
2021-01-08,APD,254.8,255.39,250.44,254.26,54270
2021-01-11,APD,252.41,254.76,251.19,252.02,33209
2021-01-12,APD,252.25,252.61,249.39,251.93,63237
2021-01-13,APD,253.35,260.04,252.83,258.91,88056
2021-01-14,APD,259.53,259.53,254.52,254.84,53332
2021-01-15,APD,252.89,256.46,251.01,255.4,97500
2021-01-19,APD,257.59,257.77,252.53,254.15,61347
2021-01-20,APD,255.68,256.92,254.69,255.1,46968
2021-01-21,APD,254.75,255.41,250.84,251.53,58822
2021-01-22,APD,250.5,255.48,250.04,252.37,34192
2021-01-25,APD,251.78,252.12,246.29,248.26,54973
2021-01-26,APD,249.34,250.59,247.33,247.33,71320
2021-01-27,APD,243.94,244.17,238.33,240.17,69917
2021-01-28,APD,242.44,248.11,240.3,245.53,67029
2021-01-29,APD,242.9,245.11,236.84,236.98,86536
2021-02-01,APD,239.94,240.54,236.2,239.25,66554
2021-02-02,APD,242.86,245.81,240.62,243.96,64440
2021-02-03,APD,244.7,249.06,243.97,246.22,87246
2021-02-04,APD,234.65,236.45,218.7,228.36,524480
2021-02-05,APD,228.42,228.67,222.38,225.38,217556
2021-02-08,APD,230.76,231.82,224.13,225.56,164988
2021-02-09,APD,226.4,227.91,222.36,226.36,80383
2021-02-10,APD,227.05,227.68,223.57,225.48,114730
2021-02-11,APD,227.09,230.33,226.39,229.17,92937
2021-02-12,APD,228.65,234.29,228.65,231.84,115831
2021-02-16,APD,233.59,234.49,231.32,231.98,53770
2021-02-17,APD,230.8,232.68,228.7,231.51,52070
2021-02-18,APD,231.5,234.8,230.08,233.69,84372
2021-02-19,APD,234.14,236.23,233.67,234.68,78989
2021-02-22,APD,233.06,236.36,232.34,236.16,51950
2021-02-23,APD,236.55,237.97,231.01,234.17,84364
