date,tic,open,high,low,close,volume
2021-01-04,APH,31.38,31.52,30.52,30.68,215152
2021-01-05,APH,30.76,31.36,30.74,31.23,177712
2021-01-06,APH,31.49,32.17,31.49,31.97,306756
2021-01-07,APH,32.21,32.55,32.02,32.45,185048
2021-01-08,APH,32.58,32.69,31.98,32.32,186160
2021-01-11,APH,31.93,32.44,31.89,32.39,138820
2021-01-12,APH,32.35,32.5,32.17,32.21,88752
2021-01-13,APH,32.15,32.23,31.98,32.1,127564
2021-01-14,APH,32.27,32.27,31.91,31.97,127888
2021-01-15,APH,31.82,31.82,31.27,31.46,169836
2021-01-19,APH,31.76,31.88,31.37,31.62,212952
2021-01-20,APH,31.9,32.07,31.75,32.01,134860
2021-01-21,APH,32.12,32.43,31.76,31.79,216076
2021-01-22,APH,31.53,31.65,31.43,31.56,133892
2021-01-25,APH,31.62,31.78,31.13,31.7,367848
2021-01-26,APH,31.93,31.93,31.01,31.05,331216
2021-01-27,APH,30.56,30.56,29.35,30.07,443164
2021-01-28,APH,30.43,30.51,29.84,30.31,226596
2021-01-29,APH,30.22,30.32,29.81,29.82,329532
2021-02-01,APH,30.17,30.5,29.63,30.0,344856
2021-02-02,APH,30.4,30.68,30.22,30.34,261128
2021-02-03,APH,30.42,30.52,30.19,30.21,219120
2021-02-04,APH,30.1,30.72,30.09,30.67,246916
2021-02-05,APH,30.89,31.04,30.75,30.91,238064
2021-02-08,APH,31.15,31.58,31.15,31.57,245964
2021-02-09,APH,31.5,31.81,31.46,31.54,129956
2021-02-10,APH,31.74,31.84,31.32,31.33,165032
2021-02-11,APH,31.52,31.67,31.09,31.66,171860
2021-02-12,APH,31.61,32.47,31.59,32.47,301232
2021-02-16,APH,32.73,32.98,32.33,32.41,327412
2021-02-17,APH,32.23,32.29,31.83,32.0,166076
2021-02-18,APH,31.74,31.74,31.16,31.21,284772
2021-02-19,APH,31.48,31.89,31.39,31.63,393164
2021-02-22,APH,31.31,31.64,31.02,31.03,320620
2021-02-23,APH,30.69,30.75,29.94,30.42,839884
2021-02-24,APH,30.46,31.08,30.42,30.92,478620
2021-02-25,APH,30.82,30.82,29.78,29.89,401504
2021-02-26,APH,30.2,30.26,29.81,30.01,323708
2021-03-01,APH,30.47,31.09,30.45,31.01,274968
2021-03-02,APH,31.12,31.21,30.78,30.81,240680
2021-03-03,APH,30.61,30.71,30.0,30.0,357960
2021-03-04,APH,29.79,29.79,28.47,28.64,410076
2021-03-05,APH,29.06,29.54,27.98,29.39,367208
2021-03-08,APH,29.44,29.86,28.97,29.28,257032
2021-03-09,APH,29.69,30.05,29.67,29.67,167082
2021-03-10,APH,29.8,30.08,29.63,29.64,172588
2021-03-11,APH,29.97,30.58,29.97,30.52,342774
2021-03-12,APH,30.38,30.64,30.36,30.61,185308
2021-03-15,APH,30.71,31.45,30.68,31.45,201218
2021-03-16,APH,31.86,31.86,31.0,31.18,94312
2021-03-17,APH,31.01,31.29,30.91,31.16,99484
2021-03-18,APH,31.04,31.53,30.91,31.04,171584
2021-03-19,APH,30.94,31.03,30.5,30.71,167710
2021-03-22,APH,30.74,31.13,30.56,30.97,185402
2021-03-23,APH,30.82,31.07,29.93,30.13,270306
2021-03-24,APH,30.24,30.83,30.21,30.45,217922
2021-03-25,APH,30.11,30.93,30.1,30.86,257326
2021-03-26,APH,30.99,31.87,30.96,31.87,152392
2021-03-29,APH,31.74,31.96,31.37,31.67,222076
2021-03-30,APH,31.66,31.76,31.19,31.38,312158
2021-03-31,APH,31.43,31.83,31.31,31.58,232220
2021-04-01,APH,31.78,32.14,31.38,32.1,339454
2021-04-05,APH,32.5,32.98,32.34,32.94,173066
2021-04-06,APH,32.76,32.83,32.48,32.66,197908
2021-04-07,APH,32.75,32.84,32.17,32.2,264490
2021-04-08,APH,32.41,32.57,32.03,32.57,661988
2021-04-09,APH,32.61,32.78,32.32,32.78,329320
2021-04-12,APH,32.69,32.73,32.33,32.4,287974
2021-04-13,APH,32.39,32.52,32.13,32.45,126314
2021-04-14,APH,32.54,32.75,32.34,32.42,218836
2021-04-15,APH,32.66,32.91,32.59,32.79,132916
2021-04-16,APH,32.92,32.99,32.7,32.78,313200
2021-04-20,APH,32.23,32.34,31.87,31.97,102666
2021-04-21,APH,32.04,32.51,31.92,32.42,259346
2021-04-22,APH,32.4,32.74,32.32,32.35,374160
2021-04-23,APH,32.48,33.01,32.45,32.92,282460
2021-04-26,APH,32.97,33.31,32.93,32.99,182160
