date,tic,open,high,low,close,volume
2021-01-04,ARE,147.77,147.77,141.04,141.29,39858
2021-01-05,ARE,142.22,142.57,140.75,140.96,30589
2021-01-06,ARE,136.02,136.02,133.76,134.94,219602
2021-01-07,ARE,136.75,137.57,135.55,136.61,77170
2021-01-08,ARE,137.05,137.65,135.5,137.02,45712
2021-01-11,ARE,137.08,137.35,135.71,136.34,30582
2021-01-12,ARE,135.49,136.45,133.97,135.8,55412
2021-01-13,ARE,136.74,140.36,135.71,139.51,112236
2021-01-14,ARE,139.68,140.13,138.31,138.41,56269
2021-01-15,ARE,138.33,139.5,136.89,139.21,59361
2021-01-19,ARE,140.12,140.12,137.27,137.69,34666
2021-01-20,ARE,138.4,142.28,137.93,141.37,70337
2021-01-21,ARE,141.27,142.15,140.65,141.85,63737
2021-01-22,ARE,141.54,142.28,139.66,139.66,32098
2021-01-25,ARE,138.7,140.75,138.39,140.13,44758
2021-01-26,ARE,140.86,140.98,138.97,139.75,44352
2021-01-27,ARE,138.75,139.61,136.49,137.4,56192
2021-01-28,ARE,137.35,140.46,137.35,138.38,32731
2021-01-29,ARE,136.84,139.52,136.7,138.12,74910
2021-02-01,ARE,138.33,140.14,137.95,140.14,39930
2021-02-02,ARE,138.81,140.98,137.65,137.68,42761
2021-02-03,ARE,137.66,139.83,136.55,139.65,47552
2021-02-04,ARE,140.61,142.7,140.21,141.43,36765
2021-02-05,ARE,141.93,142.52,141.26,142.0,26167
2021-02-08,ARE,141.35,142.43,140.77,140.92,23296
2021-02-09,ARE,141.11,142.06,140.65,141.63,42116
2021-02-10,ARE,141.39,144.11,141.39,142.8,43153
2021-02-11,ARE,143.08,143.08,141.38,142.22,31227
2021-02-12,ARE,142.28,143.42,141.52,143.09,57294
2021-02-16,ARE,143.62,143.62,139.88,140.98,56588
2021-02-17,ARE,141.09,141.09,139.56,140.04,30962
2021-02-18,ARE,139.66,140.26,138.83,139.17,45710
2021-02-19,ARE,140.34,140.34,137.27,137.43,50440
2021-02-22,ARE,136.84,137.42,135.33,137.12,62728
2021-02-23,ARE,137.11,137.46,135.26,135.26,70018
2021-02-24,ARE,134.73,135.94,134.61,135.56,70335
2021-02-25,ARE,135.58,136.3,132.97,134.4,53471
2021-02-26,ARE,134.05,134.78,131.99,132.07,92516
2021-03-01,ARE,133.58,134.44,131.54,131.98,59388
2021-03-02,ARE,132.33,133.54,131.28,133.02,39092
2021-03-03,ARE,133.01,133.21,131.47,131.78,74231
2021-03-04,ARE,131.67,133.24,129.86,130.37,122093
2021-03-05,ARE,129.62,131.23,127.74,130.92,80687
2021-03-08,ARE,131.48,133.61,130.15,132.6,60766
2021-03-09,ARE,133.66,135.61,133.66,134.7,86648
2021-03-10,ARE,134.74,134.99,133.51,133.68,56668
2021-03-11,ARE,134.02,135.18,133.53,133.96,33437
2021-03-12,ARE,134.22,135.27,133.95,135.17,41923
2021-03-15,ARE,135.4,137.8,135.16,137.46,53701
2021-03-16,ARE,137.29,139.99,137.29,139.86,34389
2021-03-17,ARE,138.94,139.75,138.12,139.56,33483
2021-03-18,ARE,138.77,139.8,137.79,139.7,30280
2021-03-19,ARE,139.68,139.93,137.17,137.22,46914
2021-03-22,ARE,137.36,138.06,136.64,137.73,23569
2021-03-23,ARE,138.12,139.13,136.73,137.29,32489
2021-03-24,ARE,137.12,139.29,137.05,137.81,47656
2021-03-25,ARE,136.88,140.05,136.5,139.9,28998
2021-03-26,ARE,139.97,140.27,137.88,139.71,52077
