date,tic,open,high,low,close,volume
2023-09-14,ARM,56.175,66.17,55.56,63.485,4618726
2023-09-15,ARM,68.76,69.0,60.755,60.88,1059555
2023-09-18,ARM,57.9,58.74,55.03,57.975,653379
2023-09-19,ARM,56.13,56.73,53.895,55.2,379051
2023-09-20,ARM,55.175,55.29,51.52,52.8,284578
2023-09-21,ARM,51.77,52.41,49.89,52.25,397189
2023-09-22,ARM,52.875,52.875,50.38,51.28,369807
2023-09-25,ARM,51.17,54.5,50.05,54.41,344283
2023-09-26,ARM,53.88,54.52,52.75,53.52,235421
2023-09-27,ARM,54.26,54.4,51.84,53.2,158181
2023-09-28,ARM,53.34,56.36,53.02,55.49,245797
2023-09-29,ARM,56.295,56.75,53.095,53.55,459486
2023-10-02,ARM,53.515,54.15,51.93,52.27,229436
2023-10-03,ARM,51.96,52.2,50.8,51.545,199993
2023-10-04,ARM,51.85,53.78,51.4,53.45,194096
2023-10-05,ARM,53.44,53.63,52.11,52.5,84452
2023-10-06,ARM,52.68,54.21,51.57,54.08,182308
2023-10-09,ARM,54.32,55.79,53.42,54.28,257605
2023-10-10,ARM,55.31,55.83,54.27,55.69,126246
2023-10-11,ARM,56.1,56.3,54.47,54.63,101464
2023-10-12,ARM,54.67,54.67,51.435,51.85,276388
2023-10-13,ARM,52.48,52.49,50.02,50.74,127346
2023-10-16,ARM,51.41,52.31,51.22,52.05,136162
2023-10-17,ARM,51.01,52.74,50.74,52.27,92211
2023-10-18,ARM,52.07,52.655,51.28,51.9,53430
2023-10-19,ARM,52.095,52.69,49.54,49.74,129835
2023-10-20,ARM,49.65,49.65,46.525,47.87,249064
2023-10-23,ARM,47.13,51.77,46.56,50.23,354517
2023-10-24,ARM,51.94,52.85,51.14,52.385,250690
2023-10-25,ARM,52.6,52.74,49.335,49.44,172112
2023-10-26,ARM,50.3,51.095,49.5,50.17,135607
2023-10-27,ARM,51.265,51.265,48.81,49.05,103590
2023-10-30,ARM,49.65,49.89,47.31,47.87,148844
2023-10-31,ARM,47.75,49.63,47.12,49.28,102799
2023-11-01,ARM,49.45,50.52,48.37,50.52,84000
2023-11-02,ARM,51.54,53.545,51.37,52.8,202762
2023-11-03,ARM,52.9,53.84,52.31,53.475,101436
2023-11-06,ARM,54.15,54.36,52.53,53.08,45203
2023-11-07,ARM,53.345,56.03,53.345,55.26,125179
2023-11-08,ARM,55.21,55.21,53.43,54.41,164090
2023-11-09,ARM,50.93,52.05,49.87,51.55,623844
2023-11-10,ARM,51.58,52.5,51.01,52.24,138000
2023-11-13,ARM,52.25,52.44,50.575,51.67,127478
2023-11-14,ARM,52.93,53.5,52.46,53.44,81343
2023-11-15,ARM,54.41,56.02,54.1,55.38,154468
2023-11-16,ARM,55.51,55.595,53.47,54.23,156406
2023-11-17,ARM,55.14,55.73,54.27,54.99,78004
2023-11-20,ARM,55.4,59.17,55.4,58.66,243998
2023-11-21,ARM,57.98,58.89,56.46,58.65,228350
2023-11-22,ARM,59.1,64.87,59.1,61.755,420742
2023-11-24,ARM,61.525,64.19,61.525,63.96,128330
2023-11-27,ARM,63.06,63.525,60.99,61.0,151578
2023-11-28,ARM,60.85,62.66,60.8,61.88,100911
2023-11-29,ARM,62.71,63.375,61.775,62.23,78099
2023-11-30,ARM,62.68,63.47,60.92,61.5,96752
2023-12-01,ARM,61.51,64.39,60.99,63.93,155541
2023-12-04,ARM,63.675,63.675,60.84,61.905,477293
2023-12-05,ARM,61.655,64.31,60.38,63.57,165207
2023-12-06,ARM,64.42,64.625,60.89,61.06,72391
2023-12-07,ARM,61.445,62.95,61.28,62.42,89447
2023-12-08,ARM,62.56,67.42,62.4,67.23,280240
2023-12-11,ARM,67.19,67.19,64.46,64.85,172703
2023-12-12,ARM,65.18,66.215,63.325,64.7,97796
2023-12-13,ARM,65.27,66.5,62.8,65.62,131354
2023-12-14,ARM,66.99,71.65,66.99,70.72,238291
2023-12-15,ARM,70.55,71.81,69.45,70.96,204816
2023-12-18,ARM,69.91,70.05,68.02,68.85,103823
2023-12-19,ARM,69.24,70.53,68.87,69.44,86842
2023-12-20,ARM,70.06,72.97,68.4,68.44,157381
2023-12-21,ARM,70.05,71.95,69.34,71.26,155948
2023-12-22,ARM,72.07,73.42,71.5,72.32,178541
2023-12-26,ARM,73.39,74.0,71.81,73.42,67386
2023-12-27,ARM,74.75,74.75,73.44,74.24,74351
2023-12-28,ARM,74.75,78.33,74.55,77.45,111730
2023-12-29,ARM,78.44,78.61,74.61,75.15,138296
2024-01-02,ARM,73.44,73.44,68.25,68.91,142804
2024-01-03,ARM,66.92,68.4,65.28,67.87,155469
2024-01-04,ARM,68.99,69.52,67.4,68.31,92047
2024-01-05,ARM,69.22,70.37,66.56,67.04,184422
2024-01-08,ARM,67.98,73.15,67.795,72.825,190470
2024-01-09,ARM,72.62,72.945,70.94,71.85,150238
2024-01-10,ARM,72.6,74.38,69.92,70.78,123115
2024-01-11,ARM,71.705,71.8,68.27,69.8,143175
2024-01-12,ARM,70.82,70.9,69.02,69.985,76452
2024-01-16,ARM,69.85,69.85,67.6,68.47,160503
2024-01-17,ARM,68.055,69.95,66.695,69.86,209068
2024-01-18,ARM,72.055,74.79,71.45,74.21,267205
2024-01-19,ARM,75.07,78.92,74.47,78.59,191108
2024-01-22,ARM,78.68,79.86,76.67,77.08,124041
2024-01-23,ARM,77.14,77.465,75.68,76.35,57931
2024-01-24,ARM,77.11,77.53,74.92,75.72,80573
2024-01-25,ARM,76.33,79.59,73.305,73.9,155369
2024-01-26,ARM,73.02,73.89,70.885,71.17,218684
2024-01-29,ARM,72.43,72.93,71.22,72.92,163230
2024-01-30,ARM,73.42,74.04,70.85,71.99,64319
2024-01-31,ARM,70.19,72.47,69.71,70.67,114124
2024-02-01,ARM,72.095,72.38,69.355,70.49,80485
2024-02-02,ARM,70.95,71.94,70.045,70.96,105598
2024-02-05,ARM,72.105,74.25,71.7,73.19,189446
2024-02-06,ARM,75.23,75.38,71.88,72.93,181410
2024-02-07,ARM,73.17,77.7,72.32,76.95,248928
2024-02-08,ARM,94.715,126.44,94.715,113.95,2271294
2024-02-09,ARM,105.36,117.75,102.14,115.375,469666
2024-02-12,ARM,120.24,163.97,118.86,149.005,2086172
2024-02-13,ARM,127.985,137.44,117.055,120.1,2077762
2024-02-14,ARM,134.31,134.59,121.26,126.4,447814
2024-02-15,ARM,131.28,134.96,123.57,133.63,358468
2024-02-16,ARM,129.67,135.92,123.31,128.29,335843
2024-02-20,ARM,123.39,123.56,115.66,121.75,363134
2024-02-21,ARM,117.75,125.47,117.01,123.44,326857
2024-02-22,ARM,133.065,138.4,128.52,128.55,330614
2024-02-23,ARM,129.095,136.0,128.99,133.33,330766
2024-02-26,ARM,138.35,149.825,138.35,146.17,313352
2024-02-27,ARM,144.92,147.18,137.16,137.96,178806
2024-02-28,ARM,136.14,136.14,131.475,133.81,130578
2024-02-29,ARM,136.39,141.21,135.81,141.035,83678
2024-03-01,ARM,141.48,144.82,139.19,141.64,110812
2024-03-04,ARM,145.745,148.28,137.79,138.02,237906
2024-03-05,ARM,135.03,136.32,130.11,134.1,202763
2024-03-06,ARM,137.81,139.22,133.5,136.99,181221
2024-03-07,ARM,139.915,146.475,139.01,140.8,349320
2024-03-08,ARM,139.69,142.635,131.225,131.44,352331
2024-03-11,ARM,126.34,130.69,124.33,126.75,375576
2024-03-12,ARM,125.0,129.89,121.51,129.47,300202
2024-03-13,ARM,129.48,132.61,125.8,131.27,342803
2024-03-14,ARM,130.955,136.27,127.7,131.03,212089
2024-03-15,ARM,129.04,133.99,126.25,126.94,202695
2024-03-18,ARM,128.285,132.58,127.73,129.76,101454
2024-03-19,ARM,125.17,126.83,121.65,124.54,134193
2024-03-20,ARM,126.61,131.925,125.64,131.28,94014
2024-03-21,ARM,135.0,136.93,132.13,133.63,163179
2024-03-22,ARM,133.61,135.77,132.58,134.11,72832
2024-03-25,ARM,137.63,143.41,137.34,138.35,117794
2024-03-26,ARM,141.24,144.76,126.91,127.92,349823
2024-03-27,ARM,130.435,130.435,122.89,125.655,176979
2024-03-28,ARM,126.1,128.2,124.25,125.005,117398
2024-04-01,ARM,126.65,128.61,124.7,126.93,53685
2024-04-02,ARM,125.23,125.48,121.14,124.29,62866
2024-04-03,ARM,123.62,125.92,122.62,125.34,47226
2024-04-04,ARM,126.665,127.84,121.83,121.98,69269
2024-04-05,ARM,122.655,125.69,120.11,124.81,78044
2024-04-08,ARM,124.885,130.49,123.47,129.29,115479
2024-04-09,ARM,133.365,135.3,124.5,126.8,168527
2024-04-10,ARM,124.74,127.45,123.895,125.19,87124
2024-04-11,ARM,126.12,131.2,125.59,131.12,96596
2024-04-12,ARM,128.99,130.23,125.415,126.395,79161
2024-04-15,ARM,126.37,126.82,120.975,122.32,101560
2024-04-16,ARM,122.0,124.18,120.93,122.21,71818
2024-04-17,ARM,121.44,122.66,107.02,107.51,439845
2024-04-18,ARM,106.18,106.91,102.645,104.91,208409
2024-04-19,ARM,100.0,102.99,85.63,87.19,1933786
2024-04-22,ARM,89.95,94.315,89.13,93.1,389251
2024-04-23,ARM,97.1,98.27,95.11,95.95,172868
2024-04-24,ARM,102.515,103.55,97.25,99.91,174695
2024-04-25,ARM,96.02,99.67,95.6,97.9,121220
2024-04-26,ARM,101.425,102.26,98.25,102.0,103492
2024-04-29,ARM,102.22,103.35,99.15,103.26,87279
2024-04-30,ARM,102.92,105.16,100.93,101.17,93836
2024-05-01,ARM,99.99,100.4,95.27,95.38,140741
2024-05-02,ARM,98.895,100.23,96.25,98.0,90100
2024-05-03,ARM,101.38,104.28,100.74,101.73,142238
2024-05-06,ARM,104.1,107.85,104.09,106.95,135962
2024-05-07,ARM,108.48,109.64,106.73,107.715,180397
2024-05-08,ARM,108.365,109.91,104.67,106.21,234120
2024-05-09,ARM,98.965,106.82,97.81,103.665,376496
2024-05-10,ARM,107.27,110.19,106.28,108.83,168437
2024-05-13,ARM,114.29,117.54,110.9,117.23,207435
2024-05-14,ARM,115.445,117.385,114.41,116.605,119614
2024-05-15,ARM,118.445,118.445,112.54,113.67,289700
2024-05-16,ARM,115.82,116.84,113.92,114.26,112001
2024-05-17,ARM,115.555,115.555,109.63,110.34,185318
2024-05-20,ARM,110.99,111.265,108.86,110.48,113934
2024-05-21,ARM,109.675,115.76,109.675,114.68,117043
2024-05-22,ARM,115.72,117.29,111.68,112.38,111991
2024-05-23,ARM,117.13,117.24,110.43,112.53,147034
2024-05-24,ARM,112.62,115.55,111.8,114.65,99650
2024-05-28,ARM,115.55,125.89,115.38,124.9,166975
2024-05-29,ARM,123.33,123.435,119.195,120.62,147084
2024-05-30,ARM,121.235,123.48,117.77,120.755,107010
2024-05-31,ARM,119.44,123.78,116.2,120.59,288320
2024-06-03,ARM,125.01,129.735,122.805,126.99,75570
2024-06-04,ARM,126.875,127.17,122.935,125.86,129294
2024-06-05,ARM,127.03,136.82,126.74,136.67,201179
2024-06-06,ARM,134.7,138.35,132.7,137.05,108298
2024-06-07,ARM,136.375,140.7,135.5,136.53,63919
2024-06-10,ARM,134.97,142.03,132.585,139.88,126987
2024-06-11,ARM,139.41,147.49,139.27,143.85,142124
2024-06-12,ARM,146.01,158.71,145.235,155.48,258518
