date,tic,open,high,low,close,volume
2021-01-04,ASML,480.64,485.34,471.91,480.84,63725
2021-01-05,ASML,476.34,485.69,476.09,485.69,30376
2021-01-06,ASML,473.01,480.25,471.08,471.13,50346
2021-01-07,ASML,477.9,483.47,476.73,482.03,33856
2021-01-08,ASML,492.84,494.55,482.78,488.82,32557
2021-01-11,ASML,481.28,489.41,480.78,488.7,32988
2021-01-12,ASML,487.72,494.89,484.44,494.4,27132
2021-01-13,ASML,492.34,495.58,489.86,494.33,22485
2021-01-14,ASML,509.79,525.31,509.65,524.2,70071
2021-01-15,ASML,511.85,516.16,505.43,507.52,57590
2021-01-19,ASML,512.64,529.16,510.38,528.45,127101
2021-01-20,ASML,534.56,536.59,522.42,528.66,64215
2021-01-21,ASML,546.84,551.49,544.31,549.23,73276
2021-01-22,ASML,542.12,548.61,542.12,547.86,33724
2021-01-25,ASML,541.55,546.3,533.18,546.06,48540
2021-01-26,ASML,541.77,542.04,527.67,528.14,59836
2021-01-27,ASML,514.47,518.73,502.76,504.8,102647
2021-01-28,ASML,521.5,532.62,517.19,526.37,55027
2021-01-29,ASML,520.21,522.39,508.36,513.41,50696
2021-02-01,ASML,526.45,533.78,523.89,533.27,39438
2021-02-02,ASML,532.94,535.24,528.88,532.25,29442
2021-02-03,ASML,530.38,530.38,521.25,523.29,29881
2021-02-04,ASML,525.72,534.35,523.54,534.3,20514
2021-02-05,ASML,533.49,534.51,529.92,531.69,21096
2021-02-08,ASML,537.0,544.91,536.99,542.39,51253
2021-02-09,ASML,544.83,549.9,543.97,544.56,23769
2021-02-10,ASML,549.75,551.06,539.37,545.04,17191
2021-02-11,ASML,552.7,568.96,551.9,568.2,36497
2021-02-12,ASML,569.43,578.07,566.86,574.44,34221
2021-02-16,ASML,581.94,585.21,576.38,579.71,23491
2021-02-17,ASML,574.47,574.67,559.58,565.47,28050
2021-02-18,ASML,561.97,566.36,554.66,560.48,31674
2021-02-19,ASML,569.31,577.73,568.11,571.6,40981
2021-02-22,ASML,564.7,566.88,554.72,556.89,29544
2021-02-23,ASML,549.44,556.75,539.13,553.7,51488
2021-02-24,ASML,551.15,572.84,544.34,571.73,46039
2021-02-25,ASML,560.31,563.79,538.61,538.61,53057
2021-02-26,ASML,550.41,550.9,539.26,545.3,35936
2021-03-01,ASML,550.9,561.64,547.88,561.64,29658
2021-03-02,ASML,557.21,557.3,542.03,542.09,24475
2021-03-03,ASML,542.66,543.8,520.46,522.83,52364
2021-03-04,ASML,517.39,520.39,483.99,491.33,48139
2021-03-05,ASML,507.42,510.23,489.5,506.32,42351
2021-03-08,ASML,506.28,508.57,482.42,482.42,45487
2021-03-09,ASML,507.11,522.06,505.38,518.6,61877
2021-03-10,ASML,519.39,521.04,501.35,503.22,62341
2021-03-11,ASML,526.03,527.34,519.92,523.93,50107
2021-03-12,ASML,511.47,517.9,508.56,516.77,27409
2021-03-15,ASML,517.81,526.7,515.76,526.7,34486
2021-03-16,ASML,525.45,534.08,525.08,527.31,26292
2021-03-17,ASML,526.55,543.52,522.65,537.83,34156
2021-03-18,ASML,526.68,531.11,518.92,518.92,30159
2021-03-19,ASML,522.86,535.32,521.0,526.36,37066
2021-03-22,ASML,545.76,555.79,542.86,553.77,74937
2021-03-23,ASML,548.01,549.31,534.25,537.92,31507
2021-03-24,ASML,564.76,571.69,556.44,556.44,95912
2021-03-25,ASML,548.63,562.88,548.06,561.68,42503
2021-03-26,ASML,566.68,600.91,566.68,600.91,168958
2021-03-29,ASML,591.11,592.82,578.4,584.45,48538
2021-03-30,ASML,575.8,582.89,573.07,576.59,32110
2021-03-31,ASML,582.86,596.95,582.57,594.41,54910
2021-04-01,ASML,596.73,614.73,596.08,612.69,83322
2021-04-05,ASML,626.5,626.5,614.0,616.34,86541
2021-04-06,ASML,609.04,610.62,595.42,604.08,64291
2021-04-07,ASML,602.6,606.55,598.7,602.63,43788
2021-04-08,ASML,611.41,615.7,608.89,615.7,43422
2021-04-09,ASML,610.12,613.8,604.79,610.17,41495
2021-04-12,ASML,606.21,607.19,596.85,606.04,47848
2021-04-13,ASML,611.28,612.02,599.86,605.33,17892
2021-04-14,ASML,611.48,616.39,603.05,607.0,29699
2021-04-15,ASML,609.5,618.08,603.64,617.08,45828
2021-04-16,ASML,615.63,622.86,614.27,621.08,27637
2021-04-19,ASML,613.11,614.44,599.58,605.59,67380
2021-04-20,ASML,602.01,603.53,589.54,594.32,61724
2021-04-21,ASML,613.29,630.43,611.72,630.35,97937
2021-04-22,ASML,638.75,639.66,616.52,623.14,58956
2021-04-23,ASML,633.43,645.27,633.43,645.1,58909
2021-04-26,ASML,641.84,649.67,641.71,644.73,27619
2021-04-27,ASML,644.65,648.77,636.8,646.47,31920
2021-04-28,ASML,638.55,644.71,636.18,639.25,19888
2021-04-29,ASML,640.46,640.46,629.33,637.54,22247
2021-04-30,ASML,629.31,634.4,621.5,623.65,21071
2021-05-03,ASML,634.05,634.06,624.89,631.17,41629
2021-05-04,ASML,612.5,615.43,593.83,606.3,91939
2021-05-05,ASML,619.24,628.44,613.56,618.29,64432
2021-05-06,ASML,615.17,620.93,608.66,620.66,35213
2021-05-07,ASML,628.42,636.95,624.97,635.02,32575
2021-05-10,ASML,625.06,625.06,604.62,604.79,67442
2021-05-11,ASML,593.56,610.77,593.09,607.87,57453
2021-05-12,ASML,592.82,596.99,578.71,580.11,66191
2021-05-13,ASML,599.27,605.79,590.33,600.37,80825
2021-05-14,ASML,607.75,627.68,602.91,623.89,56752
2021-05-17,ASML,609.16,612.57,601.07,612.37,68932
2021-05-18,ASML,617.58,620.35,609.07,609.07,36793
2021-05-19,ASML,586.13,608.18,585.93,608.18,43246
2021-05-20,ASML,610.16,628.25,609.03,625.77,45532
2021-05-21,ASML,623.96,623.96,614.53,615.82,44200
2021-05-24,ASML,624.1,638.35,622.89,635.39,36408
2021-05-25,ASML,647.21,654.72,644.22,648.14,43461
2021-05-26,ASML,643.21,645.3,636.82,640.91,28178
2021-05-27,ASML,637.08,643.39,635.29,642.13,31729
2021-05-28,ASML,644.01,651.57,643.2,650.84,32633
2021-06-01,ASML,659.86,663.19,644.67,646.75,38288
2021-06-02,ASML,646.41,654.1,645.11,650.07,41038
2021-06-03,ASML,642.98,646.18,636.99,642.38,29891
2021-06-04,ASML,650.53,659.29,649.39,657.58,22023
2021-06-07,ASML,654.98,659.34,652.37,657.24,25461
2021-06-08,ASML,665.27,666.34,652.75,655.96,26142
2021-06-09,ASML,660.27,662.57,656.59,659.07,29900
2021-06-10,ASML,663.85,679.32,662.26,674.85,39288
2021-06-11,ASML,672.3,673.5,666.85,672.09,20003
2021-06-14,ASML,674.36,683.73,671.19,683.42,27451
2021-06-15,ASML,682.24,684.81,672.71,675.6,20252
2021-06-16,ASML,680.79,683.54,668.86,674.47,25610
2021-06-17,ASML,666.33,678.66,666.33,673.75,36629
2021-06-18,ASML,660.55,662.22,644.7,648.59,44360
2021-06-21,ASML,654.08,657.18,649.07,656.26,26377
2021-06-22,ASML,655.96,662.08,652.52,660.69,18871
2021-06-23,ASML,663.98,664.43,655.33,657.27,24774
2021-06-24,ASML,666.56,672.18,666.56,670.42,28104
2021-06-25,ASML,669.57,670.49,661.66,662.37,20613
2021-06-28,ASML,673.94,679.3,673.94,679.25,34124
2021-06-29,ASML,674.66,679.3,673.26,678.37,22413
2021-06-30,ASML,669.24,671.37,662.09,666.11,40946
2021-07-01,ASML,662.1,666.72,650.71,655.09,69455
2021-07-02,ASML,663.8,664.58,659.18,662.86,23525
2021-07-06,ASML,664.96,667.46,652.35,660.62,44988
2021-07-07,ASML,668.72,670.69,661.35,665.35,20185
2021-07-08,ASML,647.44,651.16,641.01,649.44,44434
2021-07-09,ASML,658.81,667.9,654.92,666.39,27613
2021-07-12,ASML,674.79,682.92,674.45,681.93,26846
2021-07-13,ASML,680.79,684.77,678.35,680.65,22643
2021-07-14,ASML,694.14,696.64,688.76,689.78,45638
2021-07-15,ASML,685.86,687.35,671.8,677.44,34476
2021-07-16,ASML,678.37,680.45,662.35,663.19,32862
2021-07-19,ASML,649.27,659.12,647.46,659.12,47154
2021-07-20,ASML,653.11,663.73,649.23,659.27,36823
2021-07-21,ASML,680.38,695.03,675.51,695.03,48980
2021-07-22,ASML,706.49,712.32,698.14,703.83,35507
2021-07-23,ASML,721.25,729.24,716.92,721.63,54372
2021-07-26,ASML,728.94,730.88,721.5,726.89,31446
2021-07-27,ASML,723.34,723.34,706.72,718.89,42162
2021-07-28,ASML,723.19,733.18,718.9,732.54,28320
2021-07-29,ASML,734.27,739.69,732.71,738.02,23049
2021-07-30,ASML,733.35,740.73,730.54,738.51,17491
2021-08-02,ASML,743.08,747.69,741.39,741.58,32160
2021-08-03,ASML,743.53,751.71,740.33,751.32,20901
2021-08-04,ASML,764.13,769.68,760.09,766.86,17758
2021-08-05,ASML,774.73,774.79,762.29,766.35,48152
2021-08-06,ASML,756.06,757.69,752.1,755.04,33837
2021-08-09,ASML,762.24,763.48,758.33,760.38,16845
2021-08-10,ASML,767.18,767.18,755.87,761.0,37282
2021-08-11,ASML,762.88,763.85,753.31,760.65,14632
2021-08-12,ASML,759.82,759.82,751.28,752.92,28365
2021-08-13,ASML,750.4,761.08,749.06,761.08,17391
2021-08-16,ASML,759.48,761.71,752.37,759.49,14343
2021-08-17,ASML,753.62,753.62,743.26,747.54,23015
2021-08-18,ASML,749.85,756.82,744.43,744.43,18592
