date,tic,open,high,low,close,volume
2021-01-04,ATO,84.44,84.44,82.72,83.02,28622
2021-01-05,ATO,83.15,83.15,81.18,81.62,49879
2021-01-06,ATO,82.05,82.79,81.59,82.67,40411
2021-01-07,ATO,82.35,82.35,78.89,79.2,26267
2021-01-08,ATO,79.26,79.58,77.97,78.73,41992
2021-01-11,ATO,78.45,79.32,77.05,77.33,51510
2021-01-12,ATO,77.18,78.14,76.81,77.26,35345
2021-01-13,ATO,77.32,78.14,77.29,78.0,66642
2021-01-14,ATO,78.23,78.45,76.93,77.33,24529
2021-01-15,ATO,77.47,79.46,77.09,79.4,61610
2021-01-19,ATO,79.78,80.15,79.09,79.5,112391
2021-01-20,ATO,79.65,80.73,79.11,79.47,71033
2021-01-21,ATO,79.21,79.45,78.62,78.92,33688
2021-01-22,ATO,78.74,79.25,77.61,78.61,21969
2021-01-25,ATO,78.26,80.68,78.11,79.71,61251
2021-01-26,ATO,80.17,80.7,79.29,80.22,51169
2021-01-27,ATO,79.9,81.09,79.8,79.98,58542
2021-01-28,ATO,80.32,80.77,77.6,78.16,108618
2021-01-29,ATO,77.48,79.43,77.44,78.53,95429
2021-02-01,ATO,78.68,78.9,77.66,78.16,43776
2021-02-02,ATO,78.2,79.59,77.65,78.25,39778
2021-02-03,ATO,78.41,78.59,76.51,76.78,48281
2021-02-04,ATO,77.13,78.34,76.81,78.34,60147
2021-02-05,ATO,78.5,78.88,78.11,78.56,30618
2021-02-08,ATO,79.12,79.13,78.16,78.57,40111
2021-02-09,ATO,78.88,79.04,77.87,78.98,24467
2021-02-10,ATO,79.69,81.26,79.62,81.02,63833
2021-02-11,ATO,80.48,81.11,79.8,80.34,58483
2021-02-12,ATO,80.5,80.84,79.57,80.3,37323
2021-02-16,ATO,80.16,80.68,79.73,80.36,50409
2021-02-17,ATO,80.65,81.93,80.17,81.52,57625
2021-02-18,ATO,81.71,83.14,81.71,82.63,42180
2021-02-19,ATO,82.54,83.56,81.87,83.06,57018
2021-02-22,ATO,80.29,80.78,78.72,79.41,137097
2021-02-23,ATO,80.44,81.42,79.31,79.65,72535
2021-02-24,ATO,79.76,79.76,78.65,78.77,72145
2021-02-25,ATO,78.83,80.04,78.22,78.26,48546
2021-02-26,ATO,78.62,78.62,75.12,75.12,64171
2021-03-01,ATO,76.61,77.11,76.0,76.14,28501
2021-03-02,ATO,76.58,77.64,76.23,77.49,42806
2021-03-03,ATO,77.69,79.4,77.22,78.5,52576
2021-03-04,ATO,79.65,80.94,78.62,78.88,84518
2021-03-05,ATO,79.57,82.26,79.57,81.4,126964
2021-03-08,ATO,81.51,81.86,79.68,81.46,55652
2021-03-09,ATO,80.73,80.85,79.26,79.37,51991
2021-03-10,ATO,79.71,80.89,79.29,80.63,43203
2021-03-11,ATO,80.31,80.44,79.55,79.81,50814
2021-03-12,ATO,80.6,81.59,80.2,81.25,36996
2021-03-15,ATO,81.78,82.81,81.43,82.74,38756
2021-03-16,ATO,82.65,83.49,82.49,83.31,47026
2021-03-17,ATO,83.09,83.89,81.98,82.07,44168
2021-03-18,ATO,82.03,83.26,81.41,83.03,42422
2021-03-19,ATO,83.45,84.24,82.46,83.69,54075
2021-03-22,ATO,83.6,83.61,81.76,83.12,43068
2021-03-23,ATO,82.82,83.88,82.47,83.64,32772
2021-03-24,ATO,83.58,85.59,83.51,85.09,44927
2021-03-25,ATO,85.82,86.46,84.68,86.19,33313
