date,tic,open,high,low,close,volume
2021-01-04,AVB,137.5,137.58,132.47,132.82,41854
2021-01-05,AVB,132.85,133.68,132.26,132.49,43143
2021-01-06,AVB,133.08,136.51,132.86,135.96,74210
2021-01-07,AVB,134.56,135.43,133.21,134.01,29384
2021-01-08,AVB,134.56,135.52,133.64,135.4,45926
2021-01-11,AVB,135.1,135.47,133.62,134.34,42667
2021-01-12,AVB,133.51,134.88,133.26,134.41,42200
2021-01-13,AVB,135.02,136.86,134.46,136.06,57757
2021-01-14,AVB,136.76,138.55,135.58,137.12,62048
2021-01-15,AVB,137.74,140.21,136.59,140.08,26931
2021-01-19,AVB,140.9,140.9,137.92,138.72,28910
2021-01-20,AVB,138.07,142.77,137.53,141.72,47286
2021-01-21,AVB,139.75,142.01,139.29,141.29,35709
2021-01-22,AVB,140.37,141.43,139.5,140.83,43449
2021-01-25,AVB,139.96,142.95,139.74,142.35,68176
2021-01-26,AVB,143.07,144.62,142.13,143.61,40078
2021-01-27,AVB,142.51,143.12,139.14,139.91,65238
2021-01-28,AVB,140.03,144.3,139.98,141.8,31045
2021-01-29,AVB,139.85,142.41,139.15,139.67,63566
2021-02-01,AVB,140.37,141.34,138.0,141.15,104727
2021-02-02,AVB,140.82,142.92,140.81,142.16,95993
2021-02-03,AVB,140.78,144.18,140.78,143.24,160519
2021-02-04,AVB,141.25,148.67,140.26,147.19,117135
2021-02-05,AVB,147.29,147.29,144.35,147.16,75018
2021-02-08,AVB,146.79,148.32,145.87,148.13,33779
2021-02-09,AVB,148.14,149.01,147.46,148.46,23380
2021-02-10,AVB,148.07,150.33,148.07,150.13,25117
2021-02-11,AVB,150.32,153.42,148.7,152.85,110341
2021-02-12,AVB,151.46,153.44,151.19,153.44,48080
2021-02-16,AVB,152.73,153.71,152.04,152.6,34294
2021-02-17,AVB,151.75,153.04,150.31,152.91,64272
2021-02-18,AVB,151.86,152.46,151.36,151.86,44388
2021-02-19,AVB,151.85,152.59,151.47,152.05,26160
2021-02-22,AVB,152.33,154.12,151.91,152.29,40323
2021-02-23,AVB,154.23,155.58,152.6,154.41,70948
2021-02-24,AVB,155.12,158.24,154.41,158.03,100604
2021-02-25,AVB,156.76,158.59,153.36,154.14,57788
2021-02-26,AVB,153.48,154.15,150.14,150.14,42907
2021-03-01,AVB,153.65,154.7,151.22,151.39,30174
2021-03-02,AVB,150.56,153.14,150.22,152.17,43828
2021-03-03,AVB,152.76,156.63,152.24,154.96,92456
2021-03-04,AVB,154.31,155.29,150.46,152.1,48826
2021-03-05,AVB,152.81,152.92,149.68,151.71,59794
2021-03-08,AVB,152.29,158.08,152.06,157.02,59759
2021-03-09,AVB,156.66,159.19,155.47,155.49,60290
2021-03-10,AVB,155.3,158.77,152.87,158.29,35337
2021-03-11,AVB,158.19,160.77,158.06,159.14,50292
2021-03-12,AVB,160.55,162.71,159.89,162.71,42461
2021-03-15,AVB,162.97,166.82,161.49,165.3,34961
2021-03-16,AVB,165.08,165.76,161.52,162.54,31814
2021-03-17,AVB,163.06,163.06,159.89,161.99,54033
2021-03-18,AVB,161.76,161.96,159.97,161.17,67701
