date,tic,open,high,low,close,volume
2021-01-04,AVGO,39.53,39.79,37.92,38.23,1253120
2021-01-05,AVGO,38.4,38.58,38.02,38.52,574050
2021-01-06,AVGO,38.22,39.1,37.86,38.32,989790
2021-01-07,AVGO,38.87,39.99,38.75,39.89,961600
2021-01-08,AVGO,40.22,40.49,39.49,40.13,773720
2021-01-11,AVGO,39.75,40.38,39.75,40.13,475860
2021-01-12,AVGO,40.23,40.92,40.1,40.45,1190800
2021-01-13,AVGO,40.45,40.8,40.34,40.61,541380
2021-01-14,AVGO,40.8,41.24,40.66,40.66,665080
2021-01-15,AVGO,40.32,40.47,39.67,40.15,877930
2021-01-19,AVGO,40.52,41.34,40.44,41.33,686810
2021-01-20,AVGO,41.32,41.89,40.99,41.6,756500
2021-01-21,AVGO,41.54,42.24,41.44,42.03,804880
2021-01-22,AVGO,41.78,42.07,41.63,41.81,1028660
2021-01-25,AVGO,42.29,42.29,41.08,41.86,503590
2021-01-26,AVGO,41.7,42.02,41.59,41.74,1003320
2021-01-27,AVGO,41.01,41.08,39.75,40.01,1309860
2021-01-28,AVGO,40.88,41.25,40.23,40.65,1053420
2021-01-29,AVGO,40.5,41.19,40.31,40.51,1210870
2021-02-01,AVGO,40.94,42.22,40.86,42.0,755080
2021-02-02,AVGO,42.27,42.92,42.17,42.9,827130
2021-02-03,AVGO,42.92,42.95,41.81,41.86,615090
2021-02-04,AVGO,41.52,42.39,41.17,42.39,856120
2021-02-05,AVGO,42.65,42.9,41.91,41.95,705620
2021-02-08,AVGO,42.19,42.57,41.93,42.57,1040910
2021-02-09,AVGO,42.56,42.75,42.26,42.71,893460
2021-02-10,AVGO,42.94,42.95,42.02,42.26,656870
2021-02-11,AVGO,42.5,43.11,42.26,43.11,1259340
2021-02-12,AVGO,42.99,43.79,42.86,43.78,836880
2021-02-16,AVGO,44.06,44.51,43.82,44.01,1203720
2021-02-17,AVGO,43.54,43.72,42.75,43.46,1074040
2021-02-18,AVGO,43.19,43.67,42.77,43.46,911820
2021-02-19,AVGO,43.93,44.53,43.83,44.09,704180
2021-02-22,AVGO,43.55,43.76,42.78,42.88,873480
2021-02-23,AVGO,42.44,42.7,41.04,42.45,1212120
2021-02-24,AVGO,42.02,43.3,41.67,43.3,799460
2021-02-25,AVGO,42.63,43.14,40.98,41.16,1086960
2021-02-26,AVGO,42.09,42.8,41.46,42.31,1074600
2021-03-01,AVGO,43.03,44.08,42.66,44.07,1334680
2021-03-02,AVGO,44.13,44.13,43.16,43.17,1040540
2021-03-03,AVGO,43.0,43.3,41.61,41.61,1104630
2021-03-04,AVGO,41.59,41.95,39.75,39.88,2011200
2021-03-05,AVGO,40.88,40.92,38.99,40.49,2406700
2021-03-08,AVGO,40.29,40.29,37.74,37.81,2183580
2021-03-09,AVGO,39.21,40.21,38.79,39.91,1495320
2021-03-10,AVGO,40.31,40.82,39.19,39.35,1140580
2021-03-11,AVGO,40.37,41.15,39.79,40.82,1453970
2021-03-12,AVGO,40.08,40.78,40.08,40.58,1493950
2021-03-15,AVGO,40.93,42.39,40.81,42.35,1607860
2021-03-16,AVGO,42.43,43.53,42.11,43.04,1746170
2021-03-17,AVGO,42.47,43.83,42.31,43.5,1053510
2021-03-18,AVGO,42.58,43.49,41.73,41.73,2013800
2021-03-19,AVGO,41.56,43.22,41.23,43.03,3046210
2021-03-22,AVGO,42.94,43.62,42.81,43.09,1574510
2021-03-23,AVGO,42.94,43.06,41.96,42.05,1298130
2021-03-24,AVGO,42.56,42.61,41.47,41.47,1484890
2021-03-25,AVGO,41.21,42.05,40.74,41.89,816360
2021-03-26,AVGO,41.53,43.77,41.45,43.77,974720
2021-03-29,AVGO,43.57,43.57,42.5,42.84,1016000
2021-03-30,AVGO,42.02,42.02,40.98,41.38,1853990
2021-03-31,AVGO,41.64,42.34,41.02,42.08,1613820
2021-04-01,AVGO,42.76,43.2,42.58,43.15,1459750
2021-04-05,AVGO,43.51,44.39,43.31,44.29,1197150
2021-04-06,AVGO,43.8,44.26,43.34,43.88,1091600
2021-04-07,AVGO,43.54,43.86,43.35,43.7,885610
2021-04-08,AVGO,44.11,44.16,43.54,44.05,1152760
2021-04-09,AVGO,43.57,44.0,43.22,43.96,863520
2021-04-12,AVGO,43.69,43.98,43.42,43.87,764730
2021-04-13,AVGO,43.99,44.21,43.57,43.99,529110
2021-04-14,AVGO,43.83,44.35,43.1,43.29,1089220
2021-04-15,AVGO,43.66,43.72,43.26,43.52,1382530
2021-04-16,AVGO,43.54,43.67,43.25,43.43,752390
2021-04-19,AVGO,43.13,43.13,41.72,41.89,1507980
2021-04-20,AVGO,41.75,41.87,41.23,41.45,1076200
2021-04-21,AVGO,41.41,41.71,41.05,41.71,1125200
2021-04-22,AVGO,41.3,41.8,40.72,41.23,1477620
2021-04-23,AVGO,41.5,42.42,41.5,42.26,979740
2021-04-26,AVGO,42.25,42.95,42.08,42.79,1042110
2021-04-27,AVGO,42.96,43.0,42.17,42.28,758100
2021-04-28,AVGO,42.18,42.18,41.36,41.6,1279710
2021-04-29,AVGO,42.42,42.42,41.64,42.3,901190
2021-04-30,AVGO,41.67,41.77,41.16,41.37,920470
2021-05-03,AVGO,41.52,41.59,40.66,40.8,894950
2021-05-04,AVGO,40.46,40.46,39.67,40.33,1625380
2021-05-05,AVGO,40.76,40.9,40.13,40.26,945790
2021-05-06,AVGO,40.05,40.71,39.88,40.69,860030
2021-05-07,AVGO,41.2,41.55,40.78,41.01,724330
2021-05-10,AVGO,40.66,40.66,39.51,39.54,1057520
2021-05-11,AVGO,38.59,40.05,38.38,39.95,973050
2021-05-12,AVGO,38.96,38.96,38.02,38.28,2255740
2021-05-13,AVGO,38.92,39.42,38.61,39.01,1344920
2021-05-14,AVGO,39.52,40.35,39.2,40.0,1046250
2021-05-17,AVGO,40.05,40.07,39.26,39.87,615040
2021-05-18,AVGO,40.19,40.22,39.29,39.3,692280
2021-05-19,AVGO,38.7,40.09,38.61,40.06,1304690
2021-05-20,AVGO,40.4,41.63,40.4,41.26,1245140
2021-05-21,AVGO,41.49,41.49,40.76,40.89,610260
2021-05-24,AVGO,41.43,41.92,41.4,41.62,677410
2021-05-25,AVGO,41.93,41.97,41.4,41.68,502800
2021-05-26,AVGO,41.83,41.88,41.31,41.78,542070
2021-05-27,AVGO,41.72,42.47,41.7,42.43,957210
2021-05-28,AVGO,42.55,43.03,42.41,42.84,853090
2021-06-01,AVGO,43.11,43.3,42.4,42.44,802330
2021-06-02,AVGO,42.68,43.29,42.65,42.99,830110
2021-06-03,AVGO,42.51,42.59,42.0,42.15,1320880
2021-06-04,AVGO,42.65,43.36,42.6,43.07,1543930
2021-06-07,AVGO,43.01,43.01,41.94,42.05,1113590
2021-06-08,AVGO,42.44,42.83,42.03,42.03,1190060
2021-06-09,AVGO,42.14,42.25,41.9,42.07,674640
2021-06-10,AVGO,42.04,42.56,41.74,42.51,670770
2021-06-11,AVGO,42.52,42.8,42.37,42.63,598000
2021-06-14,AVGO,42.55,43.15,42.27,43.15,769220
2021-06-15,AVGO,43.18,43.2,42.5,42.66,425880
2021-06-16,AVGO,42.65,42.71,41.85,42.21,878710
2021-06-17,AVGO,42.06,43.09,42.06,42.71,645840
2021-06-18,AVGO,42.26,42.59,41.76,42.01,985330
2021-06-21,AVGO,42.23,42.51,41.89,42.47,709970
2021-06-22,AVGO,42.3,42.8,42.24,42.42,517100
2021-06-23,AVGO,42.54,42.75,42.4,42.64,1457540
2021-06-24,AVGO,42.97,43.27,42.85,42.95,714620
2021-06-25,AVGO,42.95,43.16,42.14,42.22,759330
2021-06-28,AVGO,42.58,43.49,42.53,43.18,702150
2021-06-29,AVGO,43.17,43.61,43.04,43.6,773720
2021-06-30,AVGO,43.62,43.66,43.18,43.57,961860
2021-07-01,AVGO,43.46,43.46,42.85,42.9,612360
2021-07-02,AVGO,43.47,43.71,41.74,42.79,1495630
2021-07-06,AVGO,42.98,43.56,42.81,43.23,722330
2021-07-07,AVGO,43.38,43.38,42.63,42.9,721610
2021-07-08,AVGO,42.44,43.02,42.17,43.01,667290
2021-07-09,AVGO,42.86,43.93,42.81,43.88,830000
2021-07-12,AVGO,44.1,45.11,43.25,44.38,1784290
2021-07-13,AVGO,44.35,44.54,44.06,44.23,402910
2021-07-14,AVGO,44.73,44.93,43.94,43.95,638050
2021-07-15,AVGO,44.03,44.09,43.23,43.62,638510
2021-07-16,AVGO,43.77,43.84,42.7,42.78,735670
2021-07-19,AVGO,42.31,42.57,41.82,42.57,879300
2021-07-20,AVGO,42.58,43.14,42.34,42.81,767980
2021-07-21,AVGO,42.96,43.79,42.82,43.79,563470
2021-07-22,AVGO,43.51,43.76,43.36,43.53,608620
2021-07-23,AVGO,43.71,44.18,43.59,44.15,706050
2021-07-26,AVGO,43.99,44.18,43.83,44.07,491450
2021-07-27,AVGO,43.93,43.93,42.76,43.42,685100
2021-07-28,AVGO,43.6,43.77,43.36,43.66,267180
2021-07-29,AVGO,43.74,44.38,43.64,44.22,397360
2021-07-30,AVGO,44.06,44.41,43.86,44.35,441770
2021-08-02,AVGO,44.62,45.16,44.2,44.3,551300
2021-08-03,AVGO,44.42,44.55,43.86,44.49,374490
2021-08-04,AVGO,44.61,44.7,44.23,44.59,575810
2021-08-05,AVGO,44.72,44.77,44.34,44.58,379550
2021-08-06,AVGO,44.46,44.58,44.23,44.37,346470
2021-08-09,AVGO,44.45,44.45,43.98,44.27,196730
2021-08-10,AVGO,44.42,44.44,43.71,44.06,443310
2021-08-11,AVGO,44.31,44.38,43.88,44.16,314970
2021-08-12,AVGO,43.91,44.31,43.58,44.19,626130
2021-08-13,AVGO,44.13,44.65,44.11,44.43,395840
2021-08-16,AVGO,44.42,44.65,44.27,44.62,494830
2021-08-17,AVGO,44.25,44.25,43.37,43.74,794340
2021-08-18,AVGO,43.5,43.57,42.8,42.82,608960
