date,tic,open,high,low,close,volume
2021-01-04,AVY,143.78,144.34,138.99,139.71,46720
2021-01-05,AVY,141.58,141.78,139.58,139.94,39045
2021-01-06,AVY,141.17,145.68,141.17,145.21,57287
2021-01-07,AVY,147.98,150.01,147.42,149.92,31510
2021-01-08,AVY,150.06,150.56,143.33,144.35,47582
2021-01-11,AVY,144.41,149.49,144.41,148.32,37488
2021-01-12,AVY,149.31,150.92,148.21,150.36,25135
2021-01-13,AVY,148.86,150.56,147.74,149.75,30905
2021-01-14,AVY,149.62,150.78,148.53,148.86,27687
2021-01-15,AVY,147.16,147.76,145.71,146.8,17498
2021-01-19,AVY,147.45,147.96,146.28,146.96,20895
2021-01-20,AVY,146.74,148.52,146.59,146.79,22553
2021-01-21,AVY,146.36,147.81,145.78,146.97,14950
2021-01-22,AVY,146.23,146.23,143.97,144.09,21756
2021-01-25,AVY,144.21,144.21,141.34,143.33,29622
2021-01-26,AVY,144.72,144.72,142.65,142.76,16508
2021-01-27,AVY,139.24,139.96,135.67,136.73,26918
2021-01-28,AVY,139.63,143.2,139.63,142.06,24354
2021-01-29,AVY,140.92,141.12,138.43,138.75,19575
2021-02-01,AVY,140.89,141.38,137.52,140.82,23248
2021-02-02,AVY,141.41,144.46,140.66,143.42,26013
2021-02-03,AVY,147.16,154.31,146.64,153.23,55587
2021-02-04,AVY,153.23,156.26,149.89,156.26,45118
2021-02-05,AVY,157.32,159.15,156.02,159.07,53675
2021-02-08,AVY,159.18,161.27,158.05,160.85,41273
2021-02-09,AVY,158.98,160.04,157.87,158.73,28023
2021-02-10,AVY,160.09,162.21,159.0,160.54,33412
2021-02-11,AVY,160.51,160.51,157.58,159.61,22357
2021-02-12,AVY,159.71,163.08,158.52,163.08,15311
2021-02-16,AVY,163.99,164.85,162.98,164.75,27591
2021-02-17,AVY,163.1,164.61,161.13,161.25,27714
2021-02-18,AVY,160.24,161.45,157.93,158.83,40587
2021-02-19,AVY,160.04,162.54,159.62,161.26,34203
