date,tic,open,high,low,close,volume
2021-01-04,AXON,123.18,123.39,115.72,116.73,30378
2021-01-05,AXON,116.01,122.52,116.01,122.27,40575
2021-01-06,AXON,122.44,123.0,118.64,121.78,56205
2021-01-07,AXON,122.19,125.02,121.485,124.48,19512
2021-01-08,AXON,125.42,128.27,123.6,125.49,34407
2021-01-11,AXON,124.51,127.67,124.0,124.95,35483
2021-01-12,AXON,127.36,135.0,127.36,135.0,55639
2021-01-13,AXON,135.745,146.055,135.38,145.71,160799
2021-01-14,AXON,146.46,151.99,146.46,149.61,67861
2021-01-15,AXON,161.9,166.48,150.01,150.82,99693
2021-01-19,AXON,154.36,159.85,154.0,159.29,51214
2021-01-20,AXON,162.41,168.22,162.41,164.58,82441
2021-01-21,AXON,168.0,168.4,162.255,162.46,64518
2021-01-22,AXON,161.095,171.64,160.85,170.34,39557
2021-01-25,AXON,173.665,177.705,168.65,174.52,36953
2021-01-26,AXON,176.15,180.56,175.445,176.715,31860
2021-01-27,AXON,171.64,176.605,169.29,170.085,45338
2021-01-28,AXON,169.99,175.245,163.49,164.095,54707
2021-01-29,AXON,162.56,168.81,162.56,164.2,21928
2021-02-01,AXON,166.37,167.795,163.54,165.87,20011
2021-02-02,AXON,171.24,171.24,165.17,166.25,18210
2021-02-03,AXON,167.85,167.85,164.25,167.79,8616
2021-02-04,AXON,166.47,175.36,166.47,175.36,21008
2021-02-05,AXON,176.04,177.59,173.315,177.21,8825
2021-02-08,AXON,178.755,182.345,176.71,181.765,22892
2021-02-09,AXON,181.32,184.625,181.32,182.65,15176
2021-02-10,AXON,184.86,189.93,182.375,188.01,28934
2021-02-11,AXON,190.3,212.11,189.87,203.55,223902
2021-02-12,AXON,202.0,202.275,194.84,195.56,51330
2021-02-16,AXON,196.32,196.32,176.12,176.2,50850
2021-02-17,AXON,177.17,180.64,175.005,177.66,75733
2021-02-18,AXON,173.57,178.12,172.09,173.8,15808
2021-02-19,AXON,176.045,180.5,176.045,177.0,37736
2021-02-22,AXON,177.47,178.93,169.11,169.99,23066
2021-02-23,AXON,162.69,170.63,157.54,168.82,28005
2021-02-24,AXON,171.12,171.12,160.415,161.265,54312
2021-02-25,AXON,161.225,168.085,159.08,160.13,19622
2021-02-26,AXON,164.495,168.76,160.34,166.17,43040
2021-03-01,AXON,172.41,174.5,167.81,169.58,40396
2021-03-02,AXON,168.05,172.48,163.655,166.59,35792
2021-03-03,AXON,164.88,166.94,154.5,154.92,19404
2021-03-04,AXON,150.96,154.995,138.37,144.83,65584
2021-03-05,AXON,144.5,144.69,128.275,143.14,42287
2021-03-08,AXON,142.345,146.87,137.565,138.78,21847
2021-03-09,AXON,144.64,147.39,143.38,144.06,26775
2021-03-10,AXON,149.38,150.2,141.15,141.41,27112
2021-03-11,AXON,147.175,153.76,147.175,152.87,57875
2021-03-12,AXON,149.62,153.965,147.8,152.36,19272
2021-03-15,AXON,152.85,154.71,150.78,153.63,26020
2021-03-16,AXON,154.74,154.74,144.71,146.8,16436
2021-03-17,AXON,144.27,149.09,143.41,148.57,14125
2021-03-18,AXON,145.5,145.5,139.77,139.77,12543
2021-03-19,AXON,139.0,145.99,137.9,144.37,22576
2021-03-22,AXON,147.37,148.9,144.66,144.66,19622
2021-03-23,AXON,144.26,144.99,138.8,139.62,19516
2021-03-24,AXON,140.0,140.3,133.15,133.5,32484
2021-03-25,AXON,129.42,137.09,127.29,136.7,25287
2021-03-26,AXON,136.64,139.035,132.8,138.0,32073
2021-03-29,AXON,136.1,137.69,132.05,134.15,32027
2021-03-30,AXON,133.37,140.03,133.34,139.095,29808
2021-03-31,AXON,141.185,143.93,140.925,142.635,22005
2021-04-01,AXON,145.24,147.16,142.62,143.01,29289
2021-04-05,AXON,146.58,147.2,144.225,146.57,41430
2021-04-06,AXON,147.39,148.28,145.285,145.76,39581
2021-04-07,AXON,146.79,147.32,144.6,147.11,26251
2021-04-08,AXON,148.705,151.93,148.005,150.565,31534
2021-04-09,AXON,148.35,149.905,145.35,149.42,51317
2021-04-12,AXON,149.11,149.71,145.925,149.03,13785
2021-04-13,AXON,150.685,152.45,149.01,152.44,9780
2021-04-14,AXON,154.12,156.33,152.15,152.48,22474
2021-04-15,AXON,154.38,154.97,152.09,153.345,12226
2021-04-16,AXON,153.75,154.705,151.47,152.75,16084
2021-04-19,AXON,150.0,150.68,145.66,150.68,28109
2021-04-20,AXON,153.49,154.26,147.5,150.88,71174
2021-04-21,AXON,150.065,152.58,147.965,149.91,34734
2021-04-22,AXON,150.74,155.92,150.61,153.71,26644
2021-04-23,AXON,154.81,156.11,153.815,153.825,19082
2021-04-26,AXON,154.5,159.51,151.045,159.28,21571
2021-04-27,AXON,160.25,161.3,156.7,156.7,19669
2021-04-28,AXON,157.0,159.03,154.75,155.6,17706
2021-04-29,AXON,155.84,155.86,152.0,154.03,10320
2021-04-30,AXON,152.98,154.655,151.23,151.51,8780
2021-05-03,AXON,150.39,150.66,148.65,148.93,7232
2021-05-04,AXON,148.18,148.18,142.165,142.19,19392
2021-05-05,AXON,143.01,143.84,140.25,141.1,10840
2021-05-06,AXON,140.19,141.03,128.49,130.78,49875
2021-05-07,AXON,138.65,140.58,132.5,134.67,50671
2021-05-10,AXON,132.63,133.25,127.52,129.0,30979
2021-05-11,AXON,124.75,134.63,123.84,132.06,49101
2021-05-12,AXON,128.05,129.87,123.415,124.16,37445
2021-05-13,AXON,125.04,127.5,123.24,126.29,24108
2021-05-14,AXON,128.67,132.99,128.67,132.87,21596
2021-05-17,AXON,131.445,133.96,130.82,133.86,17354
2021-05-18,AXON,134.16,134.46,121.205,123.4,127428
2021-05-19,AXON,123.86,128.14,123.71,126.8,29319
2021-05-20,AXON,127.59,131.28,127.09,130.39,19327
