date,tic,open,high,low,close,volume
2021-01-04,AXP,113.97,114.28,109.83,110.91,176644
2021-01-05,AXP,111.03,112.06,110.1,111.57,146789
2021-01-06,AXP,113.83,117.2,113.83,115.64,244406
2021-01-07,AXP,117.21,118.54,110.83,114.76,447769
2021-01-08,AXP,115.17,115.17,112.86,114.83,92595
2021-01-11,AXP,112.88,114.51,112.64,114.12,143326
2021-01-12,AXP,114.73,115.29,113.97,114.74,87539
2021-01-13,AXP,114.49,116.83,114.49,115.46,202307
2021-01-14,AXP,115.68,117.39,115.24,116.75,140486
2021-01-15,AXP,115.55,115.86,114.82,115.22,147365
2021-01-19,AXP,118.28,120.76,117.53,119.55,236914
2021-01-20,AXP,120.0,122.17,120.0,121.68,219428
2021-01-21,AXP,120.88,121.19,118.95,120.21,170624
2021-01-22,AXP,118.64,119.84,117.82,118.97,124270
2021-01-25,AXP,117.81,117.81,113.51,114.31,478171
2021-01-26,AXP,112.56,113.28,109.15,109.62,514440
2021-01-27,AXP,108.46,110.16,105.78,107.56,372242
2021-01-28,AXP,110.76,113.48,110.01,112.23,249075
2021-01-29,AXP,110.74,111.65,109.25,109.78,321340
2021-02-01,AXP,111.18,112.43,110.4,110.47,116798
2021-02-02,AXP,111.64,115.46,111.64,113.86,289717
2021-02-03,AXP,113.34,114.06,112.84,113.66,157143
2021-02-04,AXP,114.61,118.27,114.61,117.89,173275
2021-02-05,AXP,119.37,120.06,118.61,119.11,172011
2021-02-08,AXP,119.67,121.11,119.67,120.69,128515
2021-02-09,AXP,119.99,120.23,119.08,119.44,82557
2021-02-10,AXP,120.15,121.37,119.8,120.91,112568
2021-02-11,AXP,120.3,121.77,119.87,121.06,156198
2021-02-12,AXP,120.79,123.05,120.79,122.3,112201
2021-02-16,AXP,121.73,123.43,121.17,123.27,123433
2021-02-17,AXP,122.71,123.71,121.16,121.23,185908
2021-02-18,AXP,119.94,121.48,118.92,121.19,98542
2021-02-19,AXP,122.48,125.79,122.48,124.23,207160
2021-02-22,AXP,124.03,128.64,124.03,128.17,186937
2021-02-23,AXP,128.72,130.42,126.7,129.23,304744
2021-02-24,AXP,129.64,132.9,129.22,132.0,183374
2021-02-25,AXP,132.62,132.62,128.74,129.27,141840
2021-02-26,AXP,129.17,130.28,126.54,127.66,122306
2021-03-01,AXP,130.87,131.83,130.28,130.8,137463
2021-03-02,AXP,130.46,132.17,130.24,131.28,100651
2021-03-03,AXP,132.15,136.05,132.15,134.47,243881
2021-03-04,AXP,133.96,135.87,132.04,134.51,321140
2021-03-05,AXP,136.52,139.53,134.07,139.0,328533
2021-03-08,AXP,138.94,142.82,138.39,141.74,237664
2021-03-09,AXP,140.0,140.53,135.96,137.02,254044
2021-03-10,AXP,137.95,139.73,137.21,138.41,140748
2021-03-11,AXP,137.81,139.42,136.94,139.37,143534
2021-03-12,AXP,140.64,142.02,139.66,140.16,110957
2021-03-15,AXP,140.24,140.24,137.78,138.68,146466
