date,tic,open,high,low,close,volume
2021-01-04,AZN,45.53,45.62,44.6,45.14,393589
2021-01-05,AZN,45.07,45.43,44.72,45.32,316643
2021-01-06,AZN,45.45,45.96,45.28,45.51,216528
2021-01-07,AZN,45.21,45.36,44.75,44.85,348891
2021-01-08,AZN,45.21,45.48,45.0,45.45,360723
2021-01-11,AZN,45.27,45.66,45.07,45.18,287048
2021-01-12,AZN,45.21,45.27,44.8,44.95,313595
2021-01-13,AZN,45.37,45.81,45.29,45.51,213628
2021-01-14,AZN,45.93,46.28,45.74,45.83,177926
2021-01-15,AZN,45.85,46.08,45.7,45.88,163512
2021-01-19,AZN,46.95,47.07,46.67,47.0,283560
2021-01-20,AZN,47.05,47.05,46.4,46.71,381328
2021-01-21,AZN,46.98,47.14,46.62,46.96,339882
2021-01-22,AZN,47.14,47.85,47.07,47.63,265338
2021-01-25,AZN,48.04,48.45,47.94,48.28,216627
2021-01-26,AZN,48.72,48.84,48.45,48.64,159184
2021-01-27,AZN,47.7,47.73,46.51,46.57,391894
2021-01-28,AZN,46.62,47.32,46.49,46.49,264656
2021-01-29,AZN,46.24,46.66,45.15,45.19,288426
2021-02-01,AZN,45.82,45.85,44.88,45.04,462932
2021-02-02,AZN,45.12,45.23,44.72,44.78,310955
2021-02-03,AZN,44.84,44.99,44.46,44.72,189367
2021-02-04,AZN,44.98,45.09,44.73,45.02,204763
2021-02-05,AZN,44.65,44.76,44.38,44.43,306243
2021-02-08,AZN,44.77,45.16,44.52,44.77,199811
2021-02-09,AZN,44.83,45.26,44.75,45.05,252535
2021-02-10,AZN,45.43,45.43,44.48,44.69,282616
2021-02-11,AZN,45.0,45.07,44.34,44.75,299476
2021-02-12,AZN,45.53,46.24,45.41,46.21,492286
2021-02-16,AZN,45.65,45.82,45.23,45.54,654656
2021-02-17,AZN,45.61,46.28,45.45,45.95,355835
2021-02-18,AZN,46.03,46.46,45.96,46.03,187978
2021-02-19,AZN,45.7,45.73,45.19,45.21,191300
2021-02-22,AZN,45.29,45.42,45.02,45.19,251254
2021-02-23,AZN,45.36,45.37,44.0,44.06,339400
2021-02-24,AZN,44.38,44.97,44.26,44.8,205106
2021-02-25,AZN,45.4,45.42,44.41,44.56,210687
2021-02-26,AZN,44.51,44.54,43.71,44.08,158242
2021-03-01,AZN,44.14,44.34,43.8,43.8,344770
2021-03-02,AZN,44.1,44.1,43.42,43.48,333839
2021-03-03,AZN,43.38,43.38,42.67,42.97,323854
2021-03-04,AZN,43.35,43.66,42.35,43.03,331489
2021-03-05,AZN,43.32,43.83,42.95,43.78,262877
2021-03-08,AZN,43.51,44.14,43.42,43.89,415615
2021-03-09,AZN,45.01,45.43,44.7,44.87,389132
2021-03-10,AZN,45.73,45.81,45.29,45.35,261420
2021-03-11,AZN,44.57,44.85,44.26,44.35,254563
2021-03-12,AZN,43.95,44.24,43.63,44.11,342665
2021-03-15,AZN,44.23,44.42,43.85,44.41,234074
2021-03-16,AZN,45.52,45.96,45.42,45.61,427526
2021-03-17,AZN,45.33,45.65,44.72,45.62,289425
2021-03-18,AZN,45.02,45.51,44.89,44.92,348387
2021-03-19,AZN,44.82,45.06,44.56,44.84,174847
2021-03-22,AZN,45.51,46.65,45.43,46.65,279374
2021-03-23,AZN,45.54,45.73,44.78,44.99,280741
2021-03-24,AZN,44.71,44.9,44.43,44.43,235303
2021-03-25,AZN,44.57,45.35,44.48,45.24,170763
2021-03-26,AZN,45.14,46.15,45.07,46.14,255485
2021-03-29,AZN,46.05,46.5,46.05,46.28,336365
2021-03-30,AZN,45.65,45.67,45.27,45.53,393905
2021-03-31,AZN,45.59,45.63,45.29,45.32,154745
2021-04-01,AZN,45.19,45.33,44.93,45.13,173179
2021-04-05,AZN,45.03,45.35,45.01,45.12,144313
2021-04-06,AZN,45.04,45.25,44.78,44.83,207158
2021-04-07,AZN,44.66,44.73,43.96,44.12,313947
2021-04-08,AZN,45.24,45.36,45.02,45.08,228424
2021-04-09,AZN,45.65,45.65,45.25,45.48,130398
2021-04-12,AZN,45.4,45.46,44.97,45.02,124627
2021-04-13,AZN,44.78,45.17,44.61,44.8,176733
2021-04-14,AZN,45.57,45.84,45.31,45.42,504244
2021-04-15,AZN,46.21,46.71,46.11,46.31,353486
2021-04-16,AZN,46.28,46.45,46.1,46.2,988893
2021-04-19,AZN,47.04,47.19,46.7,47.06,327541
2021-04-20,AZN,47.45,47.68,47.33,47.62,392797
2021-04-21,AZN,48.19,48.42,48.0,48.38,321766
2021-04-22,AZN,48.33,48.37,47.76,48.03,197954
2021-04-23,AZN,48.05,48.05,47.51,47.63,126783
2021-04-26,AZN,47.78,47.8,47.37,47.69,136292
2021-04-27,AZN,48.09,48.1,47.65,47.68,357795
2021-04-28,AZN,47.71,47.91,47.3,47.45,181120
2021-04-29,AZN,47.62,47.62,46.21,46.79,341215
2021-04-30,AZN,48.52,49.7,48.22,48.31,350620
2021-05-03,AZN,48.59,48.95,48.4,48.94,271134
2021-05-04,AZN,48.52,48.6,48.05,48.24,279811
2021-05-05,AZN,48.51,48.91,48.35,48.84,293273
2021-05-06,AZN,48.57,48.75,48.25,48.74,160028
2021-05-07,AZN,48.8,49.21,48.77,49.0,110446
2021-05-10,AZN,49.65,49.82,49.35,49.54,342052
2021-05-11,AZN,48.59,49.35,48.59,49.29,304536
2021-05-12,AZN,49.85,50.11,49.54,49.67,346582
2021-05-13,AZN,49.62,50.29,49.6,50.15,253228
2021-05-14,AZN,50.29,50.43,50.18,50.32,286894
2021-05-17,AZN,50.54,50.89,50.5,50.89,168326
2021-05-18,AZN,51.2,51.32,51.01,51.01,152726
2021-05-19,AZN,51.25,51.34,50.97,51.31,189940
2021-05-20,AZN,51.89,52.49,51.82,52.35,221128
2021-05-21,AZN,52.44,52.57,52.25,52.29,229058
2021-05-24,AZN,52.38,52.57,52.31,52.33,149407
2021-05-25,AZN,52.22,52.22,51.71,51.86,215333
2021-05-26,AZN,51.93,51.97,51.48,51.52,149505
2021-05-27,AZN,51.2,52.24,51.2,51.84,311575
2021-05-28,AZN,51.67,52.31,51.66,51.69,169600
2021-06-01,AZN,52.05,52.05,51.15,51.24,227021
2021-06-02,AZN,50.91,51.21,50.89,51.07,133921
2021-06-03,AZN,50.8,51.36,50.8,51.25,202597
2021-06-04,AZN,51.6,51.97,51.53,51.73,189956
2021-06-07,AZN,51.59,51.88,51.33,51.4,286913
2021-06-08,AZN,51.73,51.73,50.94,51.3,111766
2021-06-09,AZN,51.84,52.51,51.8,52.49,228303
2021-06-10,AZN,52.94,53.63,52.79,53.62,309461
2021-06-11,AZN,53.86,53.86,53.34,53.51,211082
2021-06-14,AZN,53.71,53.71,53.13,53.51,318344
2021-06-15,AZN,53.72,53.72,53.37,53.6,198122
2021-06-16,AZN,53.6,54.05,53.09,53.21,211976
2021-06-17,AZN,52.95,53.25,52.72,53.15,221341
2021-06-18,AZN,52.72,53.29,52.45,53.17,261967
2021-06-21,AZN,53.02,53.25,52.82,53.13,168404
2021-06-22,AZN,53.0,53.12,52.55,52.72,167752
2021-06-23,AZN,53.59,53.59,52.74,52.81,127520
2021-06-24,AZN,53.19,53.8,53.13,53.25,194028
2021-06-25,AZN,53.78,54.11,53.57,54.11,332189
2021-06-28,AZN,54.45,54.98,54.42,54.72,166418
2021-06-29,AZN,54.72,54.95,54.57,54.84,186266
2021-06-30,AZN,54.73,54.91,54.41,54.57,145502
2021-07-01,AZN,54.51,55.04,54.42,54.94,179322
2021-07-02,AZN,54.87,55.45,54.73,55.36,214577
2021-07-06,AZN,55.03,55.13,54.53,54.54,282914
