date,tic,open,high,low,close,volume
2021-01-04,BALL,86.41,86.44,83.43,84.31,114941
2021-01-05,BALL,84.41,85.47,84.25,85.12,57850
2021-01-06,BALL,85.54,87.29,85.28,86.13,70995
2021-01-07,BALL,86.4,86.4,84.8,85.18,83268
2021-01-08,BALL,85.48,85.59,84.31,85.04,43342
2021-01-11,BALL,84.97,85.45,84.74,85.02,61854
2021-01-12,BALL,84.71,85.28,84.37,84.72,56272
2021-01-13,BALL,84.99,86.22,84.48,85.51,71565
2021-01-14,BALL,85.94,85.98,84.4,84.48,71331
2021-01-15,BALL,84.38,84.94,83.92,84.9,89234
2021-01-19,BALL,85.16,85.83,84.59,84.95,66645
2021-01-20,BALL,84.91,87.34,84.7,86.68,71104
2021-01-21,BALL,86.27,86.68,85.44,85.84,69060
2021-01-22,BALL,85.41,85.71,84.46,85.2,60087
2021-01-25,BALL,85.04,85.07,83.03,84.4,52973
2021-01-26,BALL,84.11,85.3,83.39,83.44,98856
2021-01-27,BALL,82.1,82.18,80.05,80.05,106435
2021-01-28,BALL,80.95,83.31,80.82,82.91,90538
2021-01-29,BALL,82.23,83.57,81.98,82.69,87579
2021-02-01,BALL,83.35,84.23,82.85,83.99,101537
2021-02-02,BALL,84.7,86.06,84.65,85.06,65294
2021-02-03,BALL,85.11,85.69,84.6,85.45,105803
2021-02-04,BALL,84.5,84.65,81.98,83.46,235916
2021-02-05,BALL,84.06,84.14,82.3,83.95,132971
2021-02-08,BALL,84.55,85.0,84.02,84.19,62267
2021-02-09,BALL,84.54,85.03,83.37,83.38,53098
2021-02-10,BALL,84.1,84.94,83.68,84.43,55954
2021-02-11,BALL,84.21,84.47,82.41,83.13,65376
2021-02-12,BALL,82.75,84.21,82.75,84.21,80788
2021-02-16,BALL,84.38,85.14,83.75,84.72,132770
2021-02-17,BALL,84.3,84.7,83.77,84.46,74085
2021-02-18,BALL,84.05,85.42,83.99,84.87,73613
2021-02-19,BALL,85.01,85.71,84.51,85.0,80298
2021-02-22,BALL,84.24,84.27,82.51,82.74,64199
2021-02-23,BALL,82.87,82.87,80.98,81.29,183207
2021-02-24,BALL,81.08,81.58,80.19,81.03,192035
2021-02-25,BALL,80.98,81.61,80.62,81.04,137320
2021-02-26,BALL,81.01,81.76,80.36,80.36,135967
2021-03-01,BALL,80.54,82.14,80.39,81.39,144630
2021-03-02,BALL,81.87,81.88,81.12,81.26,129037
2021-03-03,BALL,80.77,80.77,79.36,79.6,78297
2021-03-04,BALL,79.8,80.21,77.06,78.56,111937
2021-03-05,BALL,78.62,78.62,75.99,77.35,216990
2021-03-08,BALL,77.37,79.44,76.46,77.74,228414
2021-03-09,BALL,78.51,81.39,78.15,81.2,243778
2021-03-10,BALL,81.5,81.5,80.1,80.18,58670
2021-03-11,BALL,80.2,80.5,78.26,78.68,93335
2021-03-12,BALL,78.81,80.07,78.66,79.67,87794
2021-03-15,BALL,79.46,80.97,78.68,80.36,132077
2021-03-16,BALL,80.19,80.19,78.6,78.91,202457
2021-03-17,BALL,78.48,79.07,78.28,78.62,202684
2021-03-18,BALL,78.19,78.19,76.87,77.76,185274
2021-03-19,BALL,77.35,78.16,76.41,76.43,256681
2021-03-22,BALL,76.68,79.76,76.56,79.32,205490
2021-03-23,BALL,79.07,81.2,78.88,80.32,305429
2021-03-24,BALL,80.03,81.33,79.82,80.3,122318
2021-03-25,BALL,80.21,80.21,78.76,79.11,120317
2021-03-26,BALL,79.25,79.47,78.08,79.15,95777
2021-03-29,BALL,78.66,80.23,77.82,80.05,112398
2021-03-30,BALL,79.63,79.76,78.8,79.52,52627
2021-03-31,BALL,79.67,80.36,78.91,79.73,94930
2021-04-01,BALL,80.29,81.59,80.01,81.18,102258
2021-04-05,BALL,81.29,81.95,80.59,81.77,69342
2021-04-06,BALL,81.45,83.05,80.99,82.76,65121
2021-04-07,BALL,82.69,83.0,81.01,81.41,75239
2021-04-08,BALL,81.72,82.46,81.66,82.44,43367
2021-04-09,BALL,83.6,84.59,83.42,84.59,83659
2021-04-12,BALL,84.58,85.92,84.21,85.34,118940
2021-04-13,BALL,85.17,85.99,84.75,85.44,36966
2021-04-14,BALL,85.44,85.58,83.38,84.16,75051
2021-04-15,BALL,84.73,85.41,84.64,85.21,100357
2021-04-16,BALL,85.92,85.92,84.83,85.63,77951
2021-04-20,BALL,85.74,87.38,85.71,86.88,94514
2021-04-21,BALL,87.03,87.6,86.58,87.42,57685
2021-04-22,BALL,87.42,88.01,86.7,87.23,62304
2021-04-23,BALL,87.49,88.63,87.42,88.42,73158
2021-04-26,BALL,88.34,88.34,87.15,87.44,29465
2021-04-27,BALL,86.58,87.87,86.58,87.43,25821
2021-04-28,BALL,87.71,87.88,85.79,85.98,42711
2021-04-29,BALL,86.55,88.11,86.55,87.87,45651
2021-04-30,BALL,87.36,88.17,87.36,88.12,31186
2021-05-03,BALL,88.5,88.59,87.63,87.74,38816
2021-05-04,BALL,87.86,88.45,87.66,88.08,75623
2021-05-05,BALL,88.34,88.34,87.3,87.4,46405
2021-05-06,BALL,87.11,87.27,84.23,85.23,113978
2021-05-07,BALL,85.32,86.76,84.66,85.39,81946
2021-05-10,BALL,86.25,86.64,84.39,84.6,126347
2021-05-11,BALL,84.04,85.24,83.48,85.23,194349
2021-05-12,BALL,84.96,84.96,82.61,82.68,69871
2021-05-13,BALL,83.18,83.81,82.9,83.24,56321
2021-05-14,BALL,83.74,84.34,83.25,83.9,40362
2021-05-17,BALL,83.54,83.97,83.29,83.4,40654
2021-05-18,BALL,83.12,83.19,81.9,81.94,44878
2021-05-19,BALL,81.07,81.32,80.29,80.73,28843
2021-05-20,BALL,81.89,82.72,81.65,82.07,71062
2021-05-21,BALL,82.67,82.67,81.48,81.68,51588
2021-05-24,BALL,81.92,82.54,81.51,82.0,52857
2021-05-25,BALL,81.91,82.09,80.32,80.82,76916
2021-05-26,BALL,78.95,78.95,76.71,77.34,175053
2021-05-27,BALL,77.81,78.6,77.43,77.77,114039
2021-05-28,BALL,77.64,77.82,77.09,77.44,152484
2021-06-01,BALL,78.12,78.12,77.03,77.51,69830
2021-06-02,BALL,77.86,77.93,76.71,77.1,95499
2021-06-03,BALL,76.75,78.87,76.71,78.59,107920
2021-06-04,BALL,78.9,78.94,76.92,77.79,76872
2021-06-07,BALL,77.43,77.87,76.4,76.63,62419
2021-06-08,BALL,76.68,76.91,75.55,75.96,45079
2021-06-09,BALL,76.19,76.44,75.68,76.28,50640
2021-06-10,BALL,76.26,76.58,75.61,75.89,129912
2021-06-11,BALL,76.28,76.87,75.72,76.86,164523
2021-06-14,BALL,76.87,77.18,75.97,76.48,56531
2021-06-15,BALL,76.75,77.14,76.49,76.7,123286
2021-06-16,BALL,76.94,77.19,75.73,75.89,73772
2021-06-17,BALL,75.82,75.87,75.09,75.36,140766
2021-06-18,BALL,74.46,75.27,74.31,74.67,182787
2021-06-21,BALL,75.3,75.53,74.76,75.35,65557
2021-06-22,BALL,76.27,77.36,76.24,77.01,177806
2021-06-23,BALL,77.24,77.39,76.71,76.89,91343
2021-06-24,BALL,77.19,77.85,76.83,77.32,130448
2021-06-25,BALL,77.91,78.67,77.79,78.02,118042
2021-06-28,BALL,77.94,77.94,76.7,77.16,63251
2021-06-29,BALL,77.55,77.55,76.76,76.93,53921
2021-06-30,BALL,77.07,77.31,76.09,76.4,43878
2021-07-01,BALL,76.89,77.9,76.8,77.62,82840
2021-07-02,BALL,77.48,77.61,76.87,77.09,60659
2021-07-06,BALL,77.29,77.75,76.9,77.34,64656
2021-07-07,BALL,77.53,78.2,77.44,78.01,65122
2021-07-08,BALL,77.61,81.01,77.49,80.36,249825
2021-07-09,BALL,80.19,80.28,79.3,79.9,120681
2021-07-12,BALL,79.28,79.97,78.67,79.92,79255
2021-07-13,BALL,80.07,80.23,79.1,79.48,50992
2021-07-14,BALL,79.37,80.21,78.82,79.75,76151
2021-07-15,BALL,79.63,80.17,79.22,80.08,90297
2021-07-16,BALL,80.27,81.7,80.04,80.82,211697
2021-07-19,BALL,80.32,80.32,78.17,78.95,90072
2021-07-20,BALL,79.44,80.6,79.22,79.56,133698
2021-07-21,BALL,79.76,79.76,77.96,77.99,57944
2021-07-22,BALL,78.36,78.5,76.84,77.01,63943
