date,tic,open,high,low,close,volume
2021-01-04,BAX,72.16,72.7,71.34,71.93,50897
2021-01-05,BAX,71.98,73.44,71.47,72.97,97017
2021-01-06,BAX,71.87,73.18,71.76,72.76,136790
2021-01-07,BAX,72.57,73.43,72.27,73.25,70390
2021-01-08,BAX,73.48,73.81,72.84,73.48,59816
2021-01-11,BAX,73.85,74.41,73.14,74.07,98152
2021-01-12,BAX,73.87,73.92,71.8,72.4,148555
2021-01-13,BAX,72.35,74.43,72.2,74.08,318895
2021-01-14,BAX,74.0,74.03,71.76,72.01,262709
2021-01-15,BAX,71.93,72.1,71.2,71.89,86048
2021-01-19,BAX,72.24,72.24,70.6,70.86,126841
2021-01-20,BAX,70.68,71.66,70.68,71.49,204601
2021-01-21,BAX,71.33,72.16,70.86,71.89,85210
2021-01-22,BAX,71.86,72.0,71.5,71.5,95348
2021-01-25,BAX,71.4,72.5,71.2,72.0,97679
2021-01-26,BAX,71.98,72.83,71.12,72.65,87024
2021-01-27,BAX,71.85,71.86,69.89,69.94,102919
2021-01-28,BAX,70.5,71.16,69.31,69.31,129371
2021-01-29,BAX,67.68,69.89,67.57,69.05,283771
2021-02-01,BAX,69.93,69.96,68.52,68.61,186300
2021-02-02,BAX,69.11,69.89,68.77,68.78,222609
2021-02-03,BAX,68.57,69.96,68.2,69.55,113186
2021-02-04,BAX,68.84,72.28,68.81,69.37,267015
2021-02-05,BAX,69.64,70.14,69.36,69.47,90563
2021-02-08,BAX,69.89,70.21,69.43,69.72,85115
2021-02-09,BAX,69.64,69.76,69.0,69.18,104444
2021-02-10,BAX,69.35,70.15,69.3,69.68,148385
2021-02-11,BAX,70.1,70.25,69.82,69.97,64117
2021-02-12,BAX,69.92,70.95,69.92,70.79,183766
2021-02-16,BAX,70.74,71.03,69.45,69.89,133724
2021-02-17,BAX,69.65,69.98,69.1,69.79,100393
2021-02-18,BAX,69.71,71.3,69.71,70.84,126734
2021-02-19,BAX,70.86,71.11,69.97,70.46,230354
2021-02-22,BAX,70.37,71.08,69.82,70.89,110512
2021-02-23,BAX,71.36,72.18,70.06,70.23,243433
2021-02-24,BAX,70.38,70.67,69.64,70.57,117553
2021-02-25,BAX,70.38,71.1,70.35,70.9,133221
2021-02-26,BAX,71.09,71.09,69.24,70.07,155325
2021-03-01,BAX,70.44,70.64,69.99,70.31,94169
2021-03-02,BAX,70.61,71.17,69.99,69.99,65645
2021-03-03,BAX,69.64,69.94,68.98,69.53,116704
2021-03-04,BAX,69.52,69.59,68.44,68.9,137550
2021-03-05,BAX,69.3,70.57,69.27,70.39,91221
2021-03-08,BAX,70.14,71.48,70.06,70.63,79677
2021-03-09,BAX,70.82,71.33,69.64,69.7,111009
2021-03-10,BAX,69.62,70.2,69.39,70.09,84452
2021-03-11,BAX,69.92,70.35,69.51,70.1,75013
2021-03-12,BAX,70.13,70.63,69.91,70.33,63642
2021-03-15,BAX,70.27,70.94,69.93,70.91,60562
2021-03-16,BAX,70.82,71.15,70.36,71.12,51199
2021-03-17,BAX,71.24,72.31,70.96,71.83,200686
2021-03-18,BAX,71.81,72.55,71.71,72.0,83594
2021-03-19,BAX,71.94,72.85,71.65,72.39,91619
2021-03-22,BAX,71.82,73.47,71.82,73.27,93048
2021-03-23,BAX,73.5,74.44,73.28,73.55,131628
2021-03-24,BAX,73.1,74.31,73.1,74.04,118302
2021-03-25,BAX,74.66,75.33,74.09,75.21,93568
2021-03-26,BAX,75.0,77.6,75.0,77.6,201155
2021-03-29,BAX,76.97,78.03,76.38,77.55,164964
2021-03-30,BAX,77.35,77.86,76.77,77.13,168883
2021-03-31,BAX,77.16,77.35,76.04,76.08,101072
2021-04-01,BAX,76.04,76.18,75.21,76.01,80118
2021-04-05,BAX,76.31,77.23,76.1,76.86,121304
2021-04-06,BAX,76.4,76.86,76.13,76.55,92332
2021-04-07,BAX,76.78,76.78,76.04,76.35,42766
2021-04-08,BAX,76.52,76.76,75.73,75.74,54447
2021-04-09,BAX,75.83,76.54,75.55,76.54,110167
2021-04-12,BAX,76.23,77.03,76.15,76.18,66011
2021-04-13,BAX,75.53,76.85,75.51,76.48,37461
2021-04-14,BAX,76.49,76.49,75.94,76.28,105129
2021-04-15,BAX,76.35,77.9,76.31,77.34,152096
2021-04-16,BAX,77.89,78.29,77.45,78.0,337705
2021-04-20,BAX,78.07,79.28,78.07,78.55,136143
2021-04-21,BAX,79.1,79.38,78.78,79.24,87731
2021-04-22,BAX,78.92,79.6,78.75,79.34,103168
2021-04-23,BAX,79.4,79.62,78.93,79.24,94605
2021-04-26,BAX,79.3,79.3,78.48,78.78,83045
2021-04-27,BAX,78.04,78.6,77.72,78.22,92103
2021-04-28,BAX,78.37,78.63,77.94,78.44,148851
2021-04-29,BAX,78.65,78.65,75.58,76.9,139346
2021-04-30,BAX,77.07,77.47,76.56,77.25,187729
2021-05-03,BAX,77.46,78.29,77.37,78.0,63286
2021-05-04,BAX,77.87,79.0,77.77,78.8,166720
2021-05-05,BAX,78.73,78.73,77.67,78.17,132371
2021-05-06,BAX,78.03,78.94,77.9,78.92,113742
2021-05-07,BAX,79.06,79.26,77.9,78.09,70178
2021-05-10,BAX,78.49,78.94,77.97,77.98,260493
2021-05-11,BAX,77.94,77.96,75.34,75.35,227492
