date,tic,open,high,low,close,volume
2021-01-04,BBY,80.76,81.57,79.69,81.1,157673
2021-01-05,BBY,81.15,82.11,80.91,81.56,131439
2021-01-06,BBY,81.06,85.64,81.06,85.51,293604
2021-01-07,BBY,85.72,87.56,85.59,87.0,180124
2021-01-08,BBY,87.22,88.39,85.76,86.97,131538
2021-01-11,BBY,86.43,89.78,86.43,89.46,187968
2021-01-12,BBY,89.18,93.26,89.14,92.68,222025
2021-01-13,BBY,92.42,92.88,91.37,91.49,67693
2021-01-14,BBY,91.65,93.02,91.38,92.0,115239
2021-01-15,BBY,91.62,93.45,90.21,92.06,115664
2021-01-19,BBY,92.58,92.62,89.81,90.11,113355
2021-01-20,BBY,90.46,90.89,89.52,90.69,67387
2021-01-21,BBY,91.21,93.67,91.21,92.48,133005
2021-01-22,BBY,91.81,93.07,90.78,92.88,85660
2021-01-25,BBY,92.86,95.26,91.68,91.78,115597
2021-01-26,BBY,92.46,93.28,91.28,92.64,107022
2021-01-27,BBY,91.66,93.83,91.21,91.62,134278
2021-01-28,BBY,91.5,94.11,90.69,90.69,141237
2021-01-29,BBY,90.48,90.65,87.55,87.9,119335
2021-02-01,BBY,88.4,88.74,85.42,87.0,133407
2021-02-02,BBY,87.14,89.5,86.19,87.88,103030
2021-02-03,BBY,88.11,89.77,88.11,89.08,77318
2021-02-04,BBY,91.03,92.66,90.48,91.91,87864
2021-02-05,BBY,92.31,92.79,91.54,92.54,67703
2021-02-08,BBY,92.92,95.26,92.88,95.26,72107
2021-02-09,BBY,94.99,96.32,94.34,95.63,66663
2021-02-10,BBY,95.72,96.28,94.5,95.94,77324
2021-02-11,BBY,95.98,97.66,95.77,96.58,80821
2021-02-12,BBY,95.94,97.79,95.71,97.27,104924
2021-02-16,BBY,97.31,99.49,97.31,97.52,95389
2021-02-17,BBY,96.91,98.66,95.5,95.59,79476
2021-02-18,BBY,95.28,95.65,94.02,94.3,98603
2021-02-19,BBY,94.93,96.1,94.86,95.32,122834
2021-02-22,BBY,94.68,95.36,93.6,94.27,101927
2021-02-23,BBY,93.52,93.59,91.41,93.29,107210
2021-02-24,BBY,93.39,94.5,91.08,91.72,131406
2021-02-25,BBY,83.94,90.57,81.95,83.19,732297
2021-02-26,BBY,81.77,82.59,80.65,81.08,219932
2021-03-01,BBY,81.4,82.79,81.31,82.08,212109
2021-03-02,BBY,82.52,83.76,82.0,82.8,146494
2021-03-03,BBY,82.67,82.7,80.8,81.07,114255
2021-03-04,BBY,80.61,81.05,77.52,79.31,211489
2021-03-05,BBY,80.37,83.34,78.6,83.02,272810
2021-03-08,BBY,83.4,86.75,83.07,86.08,219146
