date,tic,open,high,low,close,volume
2021-01-04,BDX,231.58,231.94,227.71,231.41,43735
2021-01-05,BDX,231.37,232.92,228.38,231.66,50965
2021-01-06,BDX,231.29,234.78,231.29,234.11,69644
2021-01-07,BDX,234.45,235.94,231.91,233.92,74641
2021-01-08,BDX,235.18,236.85,234.15,235.44,37808
2021-01-11,BDX,235.93,237.76,235.67,237.27,32897
2021-01-12,BDX,240.84,246.52,239.67,242.66,104591
2021-01-13,BDX,242.09,245.56,241.87,242.68,75543
2021-01-14,BDX,242.68,242.68,237.65,238.13,79071
2021-01-15,BDX,238.49,241.74,238.09,241.56,57822
2021-01-19,BDX,242.8,244.46,239.41,240.77,58026
2021-01-20,BDX,240.68,243.22,239.32,243.12,51114
2021-01-21,BDX,242.67,243.08,240.21,241.64,69965
2021-01-22,BDX,242.1,242.1,238.8,238.81,37575
2021-01-25,BDX,238.58,240.9,237.59,240.19,48314
2021-01-26,BDX,240.13,240.13,235.83,238.48,59475
2021-01-27,BDX,237.02,237.02,231.18,231.47,64185
2021-01-28,BDX,232.91,238.83,232.9,236.6,70275
2021-01-29,BDX,235.6,244.15,235.23,241.41,109031
2021-02-01,BDX,243.58,244.44,240.73,241.38,88861
2021-02-02,BDX,241.77,243.66,238.18,238.18,137153
2021-02-03,BDX,238.66,243.24,237.34,240.7,144487
2021-02-04,BDX,239.99,240.25,233.13,235.07,137993
2021-02-05,BDX,236.44,238.2,232.74,235.08,55321
2021-02-08,BDX,236.12,238.34,235.66,237.02,54036
2021-02-09,BDX,236.79,237.3,233.5,234.49,59160
2021-02-10,BDX,236.23,236.76,232.61,233.22,70122
2021-02-11,BDX,233.76,233.98,231.38,233.72,51540
2021-02-12,BDX,233.13,237.04,233.13,236.72,70988
2021-02-16,BDX,237.05,237.78,235.46,237.41,55544
2021-02-17,BDX,236.71,237.38,234.81,236.99,48642
2021-02-18,BDX,236.57,238.04,234.38,236.03,56710
2021-02-19,BDX,236.11,236.11,228.69,228.77,109462
2021-02-22,BDX,228.8,228.93,223.26,227.17,129562
2021-02-23,BDX,227.61,229.52,224.61,228.71,109411
2021-02-24,BDX,227.87,228.83,225.82,227.78,92221
2021-02-25,BDX,227.24,230.74,226.51,228.09,112353
2021-02-26,BDX,228.06,228.38,222.49,222.5,65823
2021-03-01,BDX,224.02,227.09,223.22,227.09,75689
2021-03-02,BDX,227.05,227.55,224.7,225.92,43892
2021-03-03,BDX,224.76,224.85,222.7,223.05,68398
2021-03-04,BDX,222.9,224.95,220.12,222.37,69183
2021-03-05,BDX,223.28,228.42,222.34,227.52,52328
2021-03-08,BDX,226.38,230.34,225.4,227.05,53495
2021-03-09,BDX,228.7,229.47,224.74,224.93,47719
2021-03-10,BDX,226.17,226.66,219.32,220.4,154858
2021-03-11,BDX,220.26,221.92,218.58,220.62,186450
2021-03-12,BDX,221.8,222.12,218.87,220.46,68104
2021-03-15,BDX,221.34,223.06,220.37,223.06,63763
2021-03-16,BDX,223.43,223.43,220.98,221.94,63462
2021-03-17,BDX,222.01,223.07,221.1,221.68,43140
2021-03-18,BDX,220.63,222.77,220.63,221.51,64716
2021-03-19,BDX,222.17,223.33,220.25,221.29,59974
2021-03-22,BDX,220.67,223.79,220.67,223.79,52182
2021-03-23,BDX,223.87,223.97,221.78,222.18,51729
2021-03-24,BDX,221.25,224.26,221.14,223.81,44449
2021-03-25,BDX,224.87,225.04,220.93,223.98,80889
2021-03-26,BDX,224.37,227.15,221.55,227.09,55422
2021-03-29,BDX,225.5,229.97,225.5,228.71,46251
2021-03-30,BDX,228.23,229.62,226.2,226.91,48158
2021-03-31,BDX,226.29,227.55,224.41,225.23,47838
2021-04-01,BDX,225.32,226.2,222.75,223.65,38494
2021-04-05,BDX,224.71,228.79,224.71,226.87,52200
2021-04-06,BDX,228.03,228.67,225.41,226.52,89958
2021-04-07,BDX,226.57,226.73,224.45,225.82,38281
2021-04-08,BDX,225.64,226.17,224.52,224.88,60859
2021-04-09,BDX,225.49,229.59,225.11,229.59,83207
2021-04-12,BDX,229.23,229.37,227.73,229.07,53842
2021-04-13,BDX,228.73,232.69,228.41,232.16,45332
2021-04-14,BDX,231.92,232.19,230.25,231.39,74675
2021-04-15,BDX,232.24,239.55,232.19,238.8,203211
2021-04-16,BDX,240.06,242.6,239.03,241.62,213257
2021-04-20,BDX,238.84,241.2,237.23,237.42,100628
2021-04-21,BDX,238.67,240.23,238.14,239.07,88470
2021-04-22,BDX,238.6,239.24,237.14,237.98,95299
2021-04-23,BDX,238.05,238.11,233.57,236.89,111081
2021-04-26,BDX,237.68,239.13,236.93,238.17,42566
2021-04-27,BDX,238.18,240.18,234.52,239.43,66708
2021-04-28,BDX,239.22,240.58,237.82,238.43,42085
2021-04-29,BDX,238.94,238.94,232.56,232.65,72091
2021-04-30,BDX,232.23,232.9,229.08,230.37,91787
2021-05-03,BDX,231.12,234.91,230.81,234.18,57437
2021-05-04,BDX,233.29,233.98,231.06,232.85,67196
2021-05-05,BDX,232.88,232.88,227.92,231.47,114465
2021-05-06,BDX,225.0,225.92,220.64,223.06,176926
2021-05-07,BDX,223.22,226.66,221.3,221.54,156403
2021-05-10,BDX,221.92,230.31,221.42,228.43,118778
2021-05-11,BDX,229.29,230.19,222.76,223.3,90680
2021-05-12,BDX,222.42,225.43,222.4,223.8,64903
2021-05-13,BDX,224.16,227.67,224.16,226.16,127468
2021-05-14,BDX,227.71,227.76,224.27,224.51,85166
2021-05-17,BDX,225.37,227.12,223.19,223.22,31791
2021-05-18,BDX,223.43,225.07,221.55,224.17,113043
2021-05-19,BDX,223.82,224.76,222.79,224.61,45112
2021-05-20,BDX,223.86,227.11,223.86,226.69,54759
2021-05-21,BDX,227.47,230.55,226.05,226.39,36846
2021-05-24,BDX,227.05,227.81,224.58,225.66,77117
2021-05-25,BDX,225.37,226.2,223.16,224.4,52130
2021-05-26,BDX,223.04,225.13,221.75,224.09,65165
2021-05-27,BDX,223.32,224.87,222.74,223.06,120338
2021-05-28,BDX,224.95,226.17,223.75,223.93,61450
2021-06-01,BDX,223.38,223.61,220.67,220.79,125128
2021-06-02,BDX,221.07,221.71,220.56,220.94,70453
2021-06-03,BDX,220.57,223.34,220.48,222.87,48273
2021-06-04,BDX,223.02,224.42,222.38,222.87,33961
2021-06-07,BDX,223.59,223.84,221.63,221.86,37479
2021-06-08,BDX,222.66,224.37,220.53,222.27,81237
2021-06-09,BDX,223.14,226.27,222.96,226.23,34630
2021-06-10,BDX,225.76,228.09,225.69,227.98,35597
2021-06-11,BDX,229.15,229.15,224.9,225.34,48182
2021-06-14,BDX,226.04,226.05,222.89,225.57,39792
2021-06-15,BDX,225.74,225.74,223.84,224.21,109945
2021-06-16,BDX,225.29,225.42,222.52,223.27,59093
2021-06-17,BDX,223.54,224.49,222.95,223.21,72969
2021-06-18,BDX,222.34,225.36,221.87,223.45,113393
2021-06-21,BDX,223.96,224.39,222.84,223.76,53006
2021-06-22,BDX,223.68,223.99,222.08,223.29,132844
2021-06-23,BDX,222.47,224.31,221.92,223.2,60466
2021-06-24,BDX,223.11,224.34,222.82,222.95,40318
2021-06-25,BDX,223.11,224.53,222.87,224.09,47823
2021-06-28,BDX,224.5,227.04,224.5,226.35,53969
2021-06-29,BDX,227.08,230.05,226.83,229.42,73653
2021-06-30,BDX,229.55,229.56,224.46,225.97,63554
2021-07-01,BDX,225.49,229.51,225.49,229.29,59612
2021-07-02,BDX,229.5,231.24,229.01,230.81,54737
2021-07-06,BDX,231.0,231.77,229.11,231.68,35780
2021-07-07,BDX,231.86,234.11,230.22,234.06,69318
2021-07-08,BDX,232.85,233.33,231.46,233.33,65073
2021-07-09,BDX,233.75,233.86,230.29,232.04,47464
2021-07-12,BDX,232.3,233.24,231.59,231.87,37372
2021-07-13,BDX,230.76,232.23,230.55,230.95,21046
2021-07-14,BDX,230.5,231.4,227.68,228.47,58311
2021-07-15,BDX,226.86,229.51,225.8,229.15,48945
2021-07-16,BDX,229.68,231.61,228.73,230.46,253469
2021-07-19,BDX,230.32,230.97,228.48,229.73,69645
2021-07-20,BDX,230.68,232.32,229.01,229.48,43394
2021-07-21,BDX,230.17,230.17,226.86,228.88,53978
2021-07-22,BDX,230.08,231.89,228.61,231.73,57901
2021-07-23,BDX,232.63,233.75,232.06,233.26,66750
2021-07-26,BDX,232.74,233.21,231.04,231.79,14078
2021-07-27,BDX,232.55,238.19,232.55,236.65,58780
2021-07-28,BDX,236.33,236.9,235.3,235.65,16387
2021-07-29,BDX,236.48,237.74,235.42,237.24,43507
2021-07-30,BDX,236.78,238.57,236.03,237.68,36219
2021-08-02,BDX,238.69,239.58,236.71,237.88,36522
2021-08-03,BDX,238.47,239.36,237.11,237.67,17962
2021-08-04,BDX,237.23,238.28,235.6,236.59,70156
2021-08-05,BDX,224.29,227.67,222.99,225.87,165344
2021-08-06,BDX,225.07,225.5,222.94,224.05,97988
2021-08-09,BDX,223.66,225.08,220.8,221.6,63708
