date,tic,open,high,low,close,volume
2021-01-04,BF.B,71.83,71.91,70.24,70.77,49436
2021-01-05,BF.B,70.76,70.96,69.46,70.72,54246
2021-01-06,BF.B,70.77,70.77,69.87,70.43,73353
2021-01-07,BF.B,70.91,71.31,69.67,70.46,47115
2021-01-08,BF.B,70.96,71.24,70.39,71.24,20846
2021-01-11,BF.B,71.41,71.41,69.89,70.1,96509
2021-01-12,BF.B,69.53,69.63,68.48,69.14,17357
2021-01-13,BF.B,68.43,68.92,68.04,68.75,27542
2021-01-14,BF.B,69.06,69.31,66.63,66.7,54648
2021-01-15,BF.B,66.12,67.24,65.66,67.11,31062
2021-01-19,BF.B,67.58,67.74,67.02,67.43,25555
2021-01-20,BF.B,67.09,67.15,65.81,66.59,59879
2021-01-21,BF.B,66.53,66.66,65.76,66.42,43241
2021-01-22,BF.B,66.56,66.75,65.56,66.13,31261
2021-01-25,BF.B,65.8,66.33,65.12,65.35,58042
2021-01-26,BF.B,65.65,66.55,65.65,66.48,33828
2021-01-27,BF.B,65.82,67.18,65.82,66.6,67850
2021-01-28,BF.B,66.95,68.22,66.76,67.31,34678
2021-01-29,BF.B,66.47,66.62,65.02,65.11,37327
2021-02-01,BF.B,65.85,65.85,64.88,65.52,26322
2021-02-02,BF.B,66.09,67.14,65.96,66.21,29515
2021-02-03,BF.B,66.15,66.95,66.03,66.35,31003
2021-02-04,BF.B,65.96,67.16,65.84,66.78,66658
2021-02-05,BF.B,67.27,68.42,67.2,67.64,70243
2021-02-08,BF.B,68.08,68.91,68.0,68.91,33344
2021-02-09,BF.B,69.04,69.9,68.57,69.51,29276
2021-02-10,BF.B,70.0,70.23,69.41,69.8,19753
2021-02-11,BF.B,69.76,70.04,69.09,69.41,26482
2021-02-12,BF.B,69.07,69.8,68.62,69.8,14825
2021-02-16,BF.B,69.71,69.73,68.56,69.21,12889
2021-02-17,BF.B,68.88,69.39,68.38,68.99,11053
2021-02-18,BF.B,68.9,69.88,68.9,69.59,10872
2021-02-19,BF.B,69.44,69.99,68.43,68.45,13222
2021-02-22,BF.B,67.87,68.07,67.45,67.8,19445
2021-02-23,BF.B,68.09,69.15,67.75,68.16,22055
2021-02-24,BF.B,67.54,68.48,67.54,68.13,25401
2021-02-25,BF.B,68.47,68.58,66.86,66.9,14442
2021-02-26,BF.B,66.86,67.04,64.92,64.98,52878
2021-03-01,BF.B,65.55,66.8,65.49,66.16,40133
2021-03-02,BF.B,66.38,66.38,65.16,65.42,36064
2021-03-03,BF.B,65.43,65.98,63.05,63.23,69794
2021-03-04,BF.B,63.34,65.19,61.67,62.11,61146
2021-03-05,BF.B,62.21,64.77,61.78,64.74,54624
2021-03-08,BF.B,64.44,65.34,63.47,63.5,37439
2021-03-09,BF.B,64.02,65.18,63.86,64.29,41932
2021-03-10,BF.B,64.28,65.87,64.18,65.53,26310
2021-03-11,BF.B,65.26,65.97,64.98,65.19,14228
2021-03-12,BF.B,65.24,65.94,65.18,65.44,16013
2021-03-15,BF.B,65.99,66.11,65.16,65.84,17332
2021-03-16,BF.B,65.52,66.55,65.52,66.09,22335
2021-03-17,BF.B,65.84,66.08,65.24,65.26,36227
2021-03-18,BF.B,64.88,64.95,64.11,64.27,29367
2021-03-19,BF.B,63.57,64.29,62.51,62.54,87693
2021-03-22,BF.B,61.83,63.46,61.71,62.91,89655
2021-03-23,BF.B,62.92,64.16,62.45,63.58,79269
2021-03-24,BF.B,63.63,63.77,62.84,62.84,42068
2021-03-25,BF.B,62.84,62.86,62.02,62.78,37389
2021-03-26,BF.B,63.03,63.15,62.18,63.15,24420
2021-03-29,BF.B,63.14,64.37,63.14,64.05,51031
2021-03-30,BF.B,63.69,63.76,62.54,63.7,36409
2021-03-31,BF.B,63.91,63.91,62.62,62.83,54210
2021-04-01,BF.B,62.85,63.58,62.41,63.4,100519
2021-04-05,BF.B,63.65,64.63,63.56,64.29,24634
2021-04-06,BF.B,64.21,65.08,64.21,64.56,23629
2021-04-07,BF.B,64.77,64.86,64.04,64.04,28640
2021-04-08,BF.B,64.13,64.88,64.13,64.71,37064
2021-04-09,BF.B,64.68,64.86,64.01,64.66,29370
2021-04-12,BF.B,64.86,66.59,64.86,65.88,88001
2021-04-13,BF.B,65.67,65.91,65.22,65.91,30736
2021-04-14,BF.B,66.12,66.37,65.57,66.05,57055
2021-04-15,BF.B,66.66,67.0,66.23,66.92,75918
2021-04-16,BF.B,67.17,68.12,66.7,67.57,106218
2021-04-20,BF.B,68.22,69.36,68.16,69.13,63945
2021-04-21,BF.B,69.71,70.37,69.64,70.22,50738
2021-04-22,BF.B,70.25,71.15,70.13,70.31,44418
2021-04-23,BF.B,70.09,70.63,70.02,70.14,24336
2021-04-26,BF.B,69.69,69.71,68.96,69.14,29009
2021-04-27,BF.B,68.93,69.06,68.16,69.01,40695
2021-04-28,BF.B,69.31,69.53,68.94,69.37,33020
2021-04-29,BF.B,69.59,71.05,69.59,71.05,22506
2021-04-30,BF.B,70.78,70.78,69.15,69.43,28846
2021-05-03,BF.B,69.67,70.86,69.58,70.62,30442
2021-05-04,BF.B,70.78,70.8,69.61,69.9,45879
2021-05-05,BF.B,70.24,70.24,68.94,69.04,24392
2021-05-06,BF.B,69.64,69.91,69.13,69.84,21267
2021-05-07,BF.B,69.8,70.46,69.47,69.76,49752
2021-05-10,BF.B,70.48,70.85,70.08,70.75,43557
2021-05-11,BF.B,70.7,71.05,70.13,70.75,45942
2021-05-12,BF.B,70.76,70.77,69.28,69.3,23387
2021-05-13,BF.B,69.53,70.79,69.43,70.55,21950
2021-05-14,BF.B,71.05,71.86,71.05,71.29,31104
2021-05-17,BF.B,71.25,71.76,70.92,70.92,18832
2021-05-18,BF.B,71.12,71.71,70.48,71.15,21252
2021-05-19,BF.B,70.59,71.15,70.39,71.09,28894
2021-05-20,BF.B,71.5,72.82,71.5,72.4,13619
2021-05-21,BF.B,72.76,72.98,72.4,72.59,12116
2021-05-24,BF.B,72.61,72.86,72.37,72.38,27188
2021-05-25,BF.B,72.25,72.75,71.97,72.61,20668
2021-05-26,BF.B,72.82,73.52,72.78,73.17,39651
2021-05-27,BF.B,73.26,73.67,72.4,72.71,35625
2021-05-28,BF.B,72.73,73.44,72.73,73.13,26164
2021-06-01,BF.B,73.6,73.82,72.65,72.97,28569
2021-06-02,BF.B,73.35,73.7,73.23,73.59,12488
2021-06-03,BF.B,73.26,73.94,72.81,73.84,22756
2021-06-04,BF.B,74.19,74.19,72.84,73.45,20757
2021-06-07,BF.B,73.33,73.73,72.32,72.96,60395
2021-06-08,BF.B,72.88,72.91,71.9,72.68,32916
2021-06-09,BF.B,69.81,70.44,68.19,68.56,64687
2021-06-10,BF.B,68.3,68.92,67.59,68.87,36282
2021-06-11,BF.B,68.53,68.98,68.4,68.9,26131
2021-06-14,BF.B,68.55,69.24,68.2,69.03,21641
