date,tic,open,high,low,close,volume
2021-01-04,BIIB,245.63,245.63,238.51,242.95,62955
2021-01-05,BIIB,242.675,247.22,240.52,246.22,59614
2021-01-06,BIIB,245.36,248.0,243.36,247.96,147618
2021-01-07,BIIB,247.36,251.29,247.29,250.465,76120
2021-01-08,BIIB,250.315,252.46,248.93,252.31,81019
2021-01-11,BIIB,255.56,275.325,253.77,267.66,111958
2021-01-12,BIIB,268.18,268.58,263.69,267.51,53864
2021-01-13,BIIB,269.31,269.31,265.36,266.7,45714
2021-01-14,BIIB,270.0,280.49,268.5,280.43,80499
2021-01-15,BIIB,279.55,282.45,275.44,276.26,119032
2021-01-19,BIIB,276.75,282.18,272.705,273.97,74380
2021-01-20,BIIB,274.02,274.17,267.755,270.7,87455
2021-01-21,BIIB,270.25,270.44,267.84,270.31,51904
2021-01-22,BIIB,270.28,272.02,268.48,269.37,36610
2021-01-25,BIIB,271.49,276.94,271.49,275.33,45463
2021-01-26,BIIB,274.73,274.87,268.29,271.7,55321
2021-01-27,BIIB,268.335,268.38,263.0,265.07,54489
2021-01-28,BIIB,265.16,270.87,265.05,268.13,62065
2021-01-29,BIIB,291.01,296.19,281.61,282.53,438521
2021-02-01,BIIB,283.2,284.74,274.775,278.805,106205
2021-02-02,BIIB,279.31,282.32,276.93,277.675,72652
2021-02-03,BIIB,269.5,278.16,262.38,263.31,239418
2021-02-04,BIIB,262.33,270.32,260.97,267.46,136239
2021-02-05,BIIB,266.59,267.34,263.9,265.34,54709
2021-02-08,BIIB,266.21,270.17,265.43,269.075,57402
2021-02-09,BIIB,267.06,269.29,265.96,269.21,43798
2021-02-10,BIIB,270.58,277.04,268.46,275.04,111279
2021-02-11,BIIB,278.085,282.73,276.69,278.92,100150
2021-02-12,BIIB,278.1,280.02,274.87,278.05,59940
2021-02-16,BIIB,276.86,282.79,276.85,279.25,68826
2021-02-17,BIIB,276.78,280.0,273.77,276.61,47080
2021-02-18,BIIB,275.14,277.79,272.01,275.65,53353
2021-02-19,BIIB,277.045,281.15,275.88,278.1,57418
2021-02-22,BIIB,274.53,288.08,274.53,284.76,107599
2021-02-23,BIIB,281.7,284.59,275.73,279.35,90931
2021-02-24,BIIB,278.86,285.56,276.92,282.85,51359
2021-02-25,BIIB,281.87,284.39,274.75,277.42,54697
2021-02-26,BIIB,278.735,278.735,269.57,272.9,102676
