date,tic,open,high,low,close,volume
2021-01-04,BK,36.85,36.92,35.72,36.11,148938
2021-01-05,BK,36.1,36.74,35.81,36.5,247462
2021-01-06,BK,37.62,39.34,37.62,38.97,364985
2021-01-07,BK,39.47,39.86,39.18,39.19,188349
2021-01-08,BK,39.34,39.36,38.48,38.8,171643
2021-01-11,BK,38.38,39.47,38.26,39.45,152445
2021-01-12,BK,39.72,40.41,39.72,40.35,190771
2021-01-13,BK,40.31,40.54,40.01,40.12,148746
2021-01-14,BK,40.23,40.56,39.71,40.29,154953
2021-01-15,BK,39.51,39.87,39.27,39.46,126270
2021-01-19,BK,39.63,40.12,39.21,39.68,238477
2021-01-20,BK,37.97,38.01,36.61,36.8,538316
2021-01-21,BK,36.82,37.02,36.12,36.6,341045
2021-01-22,BK,36.12,36.61,35.93,36.33,160135
2021-01-25,BK,35.86,36.09,35.61,35.74,278257
2021-01-26,BK,35.93,36.08,35.41,35.79,195784
2021-01-27,BK,35.27,35.36,34.28,34.41,390532
2021-01-28,BK,34.76,35.55,34.69,35.26,212539
2021-01-29,BK,35.11,35.43,34.44,34.76,279327
2021-02-01,BK,35.04,35.83,34.93,35.32,263779
2021-02-02,BK,35.63,36.33,35.41,35.65,166484
2021-02-03,BK,35.61,36.05,35.41,35.85,163550
2021-02-04,BK,36.06,36.91,36.06,36.86,141833
2021-02-05,BK,37.15,37.15,36.56,36.68,138761
2021-02-08,BK,37.0,37.04,36.48,36.63,132245
2021-02-09,BK,36.45,36.78,36.14,36.61,150188
2021-02-10,BK,36.75,36.99,36.41,36.41,154529
2021-02-11,BK,37.53,38.25,36.69,36.77,462563
2021-02-12,BK,36.62,37.12,36.3,36.6,333964
2021-02-16,BK,36.93,37.81,36.75,37.31,321904
2021-02-17,BK,37.43,37.79,37.04,37.46,104689
2021-02-18,BK,37.23,37.34,36.57,36.81,95915
2021-02-19,BK,37.04,37.43,36.88,36.95,177935
2021-02-22,BK,36.84,38.38,36.77,38.17,231811
2021-02-23,BK,38.36,38.87,38.12,38.25,330306
2021-02-24,BK,38.3,38.88,38.27,38.62,286000
2021-02-25,BK,38.94,39.2,37.75,37.91,309826
2021-02-26,BK,37.55,37.66,36.65,36.84,228403
2021-03-01,BK,37.45,38.28,37.42,38.14,176994
2021-03-02,BK,38.21,38.66,38.07,38.07,125247
2021-03-03,BK,38.31,39.76,38.27,38.87,315556
2021-03-04,BK,39.08,39.57,38.45,39.06,264151
2021-03-05,BK,39.6,39.85,38.77,39.32,262880
2021-03-08,BK,39.68,40.28,39.43,39.81,195408
2021-03-09,BK,39.29,40.09,38.74,39.21,255252
2021-03-10,BK,39.31,40.37,39.22,40.05,274990
2021-03-11,BK,39.69,40.15,39.46,39.92,164420
2021-03-12,BK,40.37,40.92,40.37,40.69,146379
2021-03-15,BK,40.76,40.8,40.17,40.78,130006
2021-03-16,BK,40.46,40.69,40.08,40.36,126541
2021-03-17,BK,40.66,40.86,40.06,40.59,131912
2021-03-18,BK,41.1,41.68,40.62,40.75,238377
2021-03-19,BK,40.26,40.75,39.82,40.48,322789
2021-03-22,BK,39.64,39.85,39.18,39.47,127310
2021-03-23,BK,39.14,39.57,38.57,38.73,128225
2021-03-24,BK,39.72,40.17,39.51,39.51,158612
2021-03-25,BK,39.54,40.46,39.02,40.43,217319
2021-03-26,BK,40.84,41.48,40.81,41.48,288006
2021-03-29,BK,40.99,41.8,40.59,41.47,157888
2021-03-30,BK,41.67,42.01,41.55,41.68,163938
2021-03-31,BK,41.71,41.76,41.22,41.26,154634
2021-04-01,BK,41.27,41.47,40.89,41.44,146482
2021-04-05,BK,41.85,42.32,41.65,41.99,287709
2021-04-06,BK,41.86,41.96,41.39,41.71,126573
2021-04-07,BK,41.94,42.15,41.56,41.75,148729
2021-04-08,BK,41.59,41.93,41.39,41.9,213391
2021-04-09,BK,42.14,42.5,42.06,42.41,128693
2021-04-12,BK,42.43,42.88,42.43,42.84,88927
2021-04-13,BK,42.63,42.63,42.16,42.18,57379
2021-04-14,BK,42.16,42.74,42.05,42.43,154787
2021-04-15,BK,42.43,42.47,41.85,41.89,243527
2021-04-16,BK,41.17,41.17,39.97,40.21,320588
2021-04-20,BK,40.49,41.2,40.4,40.66,200762
2021-04-21,BK,40.45,41.37,40.34,41.2,105344
2021-04-22,BK,40.84,41.21,40.49,40.61,158852
2021-04-23,BK,40.49,41.79,40.43,41.57,80729
2021-04-26,BK,41.82,42.37,41.68,41.97,118562
2021-04-27,BK,42.02,42.73,41.83,42.65,99333
2021-04-28,BK,42.73,43.25,42.73,43.19,141632
2021-04-29,BK,43.47,44.14,43.47,43.98,214483
2021-04-30,BK,43.69,44.13,43.66,43.82,155145
2021-05-03,BK,44.2,44.3,43.67,44.11,75365
2021-05-04,BK,44.02,44.49,43.92,44.32,248347
2021-05-05,BK,44.38,45.31,44.06,45.19,275159
2021-05-06,BK,45.34,45.6,45.1,45.6,220149
2021-05-07,BK,44.85,45.63,44.47,45.51,151844
2021-05-10,BK,45.82,46.38,45.8,45.91,205772
2021-05-11,BK,45.67,46.21,45.11,45.32,225698
2021-05-12,BK,45.79,45.97,44.68,44.82,129352
2021-05-13,BK,44.47,45.68,44.47,45.4,256345
2021-05-14,BK,45.81,45.92,45.36,45.5,117893
2021-05-17,BK,45.62,45.93,45.17,45.74,127365
2021-05-18,BK,45.72,45.89,44.56,44.58,122311
2021-05-19,BK,44.09,44.7,43.78,44.67,119094
2021-05-20,BK,44.66,44.77,44.28,44.45,133019
2021-05-21,BK,44.61,45.46,44.57,45.31,95278
2021-05-24,BK,45.41,45.53,45.23,45.44,65957
2021-05-25,BK,45.52,45.88,44.81,44.88,69936
2021-05-26,BK,45.18,45.42,44.78,45.3,120558
2021-05-27,BK,45.84,46.26,45.53,45.76,159026
2021-05-28,BK,45.64,45.85,45.39,45.76,57134
2021-06-01,BK,46.33,46.41,45.71,45.93,86708
2021-06-02,BK,45.95,46.05,45.47,45.8,164764
2021-06-03,BK,45.61,46.09,45.44,45.84,91957
2021-06-04,BK,45.77,45.88,45.38,45.86,52308
2021-06-07,BK,45.83,45.88,45.48,45.52,65674
2021-06-08,BK,45.06,45.36,44.67,45.17,81780
2021-06-09,BK,44.86,44.86,44.42,44.47,72432
2021-06-10,BK,44.69,44.96,43.77,43.78,152609
2021-06-11,BK,43.89,44.31,43.89,44.28,184541
2021-06-14,BK,44.15,44.24,42.93,43.61,199398
2021-06-15,BK,43.87,44.42,43.62,44.28,123335
2021-06-16,BK,44.22,45.62,43.6,45.02,259247
2021-06-17,BK,45.51,45.53,43.2,43.47,224195
2021-06-18,BK,42.82,42.97,42.21,42.39,197077
2021-06-21,BK,42.77,43.68,42.75,43.63,87546
2021-06-22,BK,43.44,43.68,43.08,43.42,72785
2021-06-23,BK,43.44,43.78,43.36,43.36,114871
2021-06-24,BK,43.51,44.29,43.4,44.11,64099
2021-06-25,BK,44.3,44.92,44.2,44.81,67490
2021-06-28,BK,44.57,44.71,44.06,44.67,89097
2021-06-29,BK,44.95,45.32,44.7,44.81,150063
2021-06-30,BK,44.58,45.12,44.42,45.03,111373
2021-07-01,BK,45.22,45.44,44.94,45.13,89060
2021-07-02,BK,44.98,45.12,44.79,45.02,92962
2021-07-06,BK,44.88,44.88,43.24,43.46,203210
2021-07-07,BK,43.24,43.64,42.98,43.43,59087
2021-07-08,BK,42.86,42.94,42.2,42.43,143697
2021-07-09,BK,43.28,44.0,43.14,43.86,85762
2021-07-12,BK,43.64,44.39,43.3,44.14,73190
2021-07-13,BK,44.09,44.34,43.62,43.87,95154
2021-07-14,BK,44.05,44.24,43.05,43.29,141473
2021-07-15,BK,42.4,43.62,41.82,42.75,357577
2021-07-16,BK,42.88,43.54,42.61,43.37,302784
2021-07-19,BK,42.43,42.64,41.56,41.78,217411
2021-07-20,BK,41.82,43.87,41.61,43.42,285103
2021-07-21,BK,43.73,44.34,43.57,43.95,173404
2021-07-22,BK,43.84,43.96,43.5,43.74,155358
2021-07-23,BK,44.05,44.39,43.65,43.87,161217
2021-07-26,BK,43.86,44.63,43.86,44.41,128803
2021-07-27,BK,43.8,44.95,43.76,44.38,136107
2021-07-28,BK,44.6,44.98,44.15,44.53,174731
2021-07-29,BK,44.91,45.76,44.76,45.36,163479
2021-07-30,BK,45.18,45.7,45.09,45.41,134361
2021-08-02,BK,45.67,46.47,45.29,45.31,316272
2021-08-03,BK,45.56,46.25,44.93,45.98,166196
2021-08-04,BK,45.38,46.03,45.32,45.55,143962
2021-08-05,BK,45.9,46.2,45.62,45.81,157154
2021-08-06,BK,46.38,47.32,46.38,47.02,231157
2021-08-09,BK,46.78,47.5,46.64,47.19,131251
2021-08-10,BK,47.03,47.77,47.03,47.6,141896
2021-08-11,BK,47.78,48.51,47.6,48.42,203347
2021-08-12,BK,48.39,48.65,48.13,48.53,138765
2021-08-13,BK,48.49,48.63,47.55,47.64,240216
2021-08-16,BK,47.3,48.06,47.05,48.0,127502
2021-08-17,BK,47.58,48.04,47.27,47.57,136549
2021-08-18,BK,47.18,48.22,47.18,47.32,151319
2021-08-19,BK,46.82,47.11,46.46,46.63,201802
2021-08-20,BK,46.38,47.31,46.38,47.15,146652
2021-08-23,BK,47.44,48.1,47.44,47.78,123992
2021-08-24,BK,48.0,48.51,48.0,48.22,119451
2021-08-25,BK,48.22,49.49,48.22,49.14,170459
2021-08-26,BK,49.12,49.41,49.01,49.06,142104
2021-08-27,BK,49.08,49.96,49.08,49.89,158085
2021-08-30,BK,49.73,49.76,48.77,48.8,63637
2021-08-31,BK,48.97,49.1,48.54,48.82,79165
2021-09-01,BK,48.89,48.89,47.93,48.11,129246
2021-09-02,BK,48.21,48.32,47.81,48.02,114776
2021-09-03,BK,48.15,48.18,47.5,47.68,115524
2021-09-07,BK,47.69,47.69,46.88,46.98,190779
2021-09-08,BK,46.86,46.94,46.46,46.84,144325
2021-09-09,BK,46.76,47.44,46.69,46.77,189565
2021-09-10,BK,47.01,47.06,45.86,45.92,196166
2021-09-13,BK,46.31,46.51,45.83,46.19,99544
2021-09-14,BK,46.21,46.25,44.99,45.21,138822
2021-09-15,BK,45.31,46.13,45.14,46.04,152349
2021-09-16,BK,46.19,46.36,45.08,45.42,221843
2021-09-17,BK,45.45,45.47,44.63,45.23,186328
2021-09-20,BK,44.03,44.15,43.11,43.86,174569
2021-09-21,BK,44.03,44.11,43.46,43.6,69107
2021-09-22,BK,44.18,44.55,44.05,44.15,96007
2021-09-23,BK,44.65,45.97,44.64,45.53,120735
2021-09-24,BK,45.45,46.09,45.45,45.58,114692
2021-09-27,BK,46.02,47.55,46.02,47.21,153736
2021-09-28,BK,47.32,48.0,46.7,46.78,200481
2021-09-29,BK,46.74,46.84,46.32,46.55,73832
2021-09-30,BK,46.66,47.02,45.85,45.85,95056
2021-10-01,BK,45.92,47.17,45.85,46.82,74544
2021-10-04,BK,46.7,47.63,46.59,46.74,120817
2021-10-05,BK,46.98,48.39,46.96,48.12,95546
2021-10-06,BK,47.67,48.43,47.35,48.23,108571
2021-10-07,BK,48.7,49.0,48.11,48.22,205101
2021-10-08,BK,48.47,49.64,48.35,49.37,106856
2021-10-11,BK,49.67,50.08,49.08,49.11,120196
2021-10-12,BK,49.11,49.56,48.92,49.09,117507
2021-10-13,BK,49.06,49.18,48.2,48.85,156701
2021-10-14,BK,49.46,50.06,49.09,50.03,263375
2021-10-15,BK,50.58,51.02,50.19,50.57,99904
2021-10-18,BK,50.48,51.28,50.48,50.78,129081
2021-10-19,BK,49.51,51.0,49.11,51.0,214394
2021-10-20,BK,51.08,52.75,51.08,52.44,143044
2021-10-21,BK,52.33,53.11,52.32,52.83,108901
2021-10-22,BK,53.11,53.46,52.64,52.8,186873
2021-10-26,BK,52.7,52.7,52.13,52.26,174240
