date,tic,open,high,low,close,volume
2021-01-04,BKR,18.68,18.92,18.34,18.52,185314
2021-01-05,BKR,18.84,19.42,18.73,18.73,576079
2021-01-06,BKR,19.12,19.78,18.93,19.53,403366
2021-01-07,BKR,19.61,20.02,19.57,19.98,245589
2021-01-08,BKR,20.11,20.17,19.62,19.79,241599
2021-01-11,BKR,19.16,20.01,18.99,19.96,194576
2021-01-12,BKR,20.17,20.69,20.0,20.29,367410
2021-01-13,BKR,20.21,20.44,19.95,20.27,160395
2021-01-14,BKR,20.48,21.17,20.37,20.9,241401
2021-01-15,BKR,20.37,20.6,19.72,20.15,282947
2021-01-19,BKR,20.25,20.36,19.94,20.14,240505
2021-01-20,BKR,20.31,20.38,19.86,20.18,382876
2021-01-21,BKR,19.76,21.04,19.55,19.87,589276
2021-01-22,BKR,19.55,19.65,19.11,19.55,266805
2021-01-25,BKR,19.25,19.25,18.25,18.54,408162
2021-01-26,BKR,18.84,19.07,18.1,18.16,278549
2021-01-27,BKR,17.85,18.63,17.35,17.95,197390
2021-01-28,BKR,18.07,18.31,17.71,18.14,138490
2021-01-29,BKR,18.0,18.31,17.57,17.7,227469
2021-02-01,BKR,17.92,18.06,17.58,17.89,164529
2021-02-02,BKR,18.32,18.44,17.89,17.97,93256
2021-02-03,BKR,18.17,18.91,18.04,18.86,130816
2021-02-04,BKR,18.94,19.7,18.67,19.7,389707
2021-02-05,BKR,20.1,20.1,19.28,19.44,146669
2021-02-08,BKR,19.67,20.25,19.63,19.99,146300
2021-02-09,BKR,19.73,19.99,19.61,19.75,121210
2021-02-10,BKR,19.88,20.48,19.72,20.45,325755
2021-02-11,BKR,20.29,20.29,19.56,20.01,271434
2021-02-12,BKR,19.79,20.27,19.78,20.16,259391
2021-02-16,BKR,20.57,20.95,20.5,20.64,167024
2021-02-17,BKR,20.77,20.97,20.59,20.93,240003
2021-02-18,BKR,20.79,20.82,20.46,20.49,259860
2021-02-19,BKR,20.52,21.01,20.49,20.76,242976
2021-02-22,BKR,20.78,21.88,20.7,21.43,210470
2021-02-23,BKR,21.59,21.67,20.7,21.22,230789
2021-02-24,BKR,21.44,22.48,21.39,22.34,243709
2021-02-25,BKR,22.6,22.74,21.69,21.98,490293
2021-02-26,BKR,21.42,21.95,20.88,21.76,335403
2021-03-01,BKR,21.96,22.59,21.91,22.18,740973
2021-03-02,BKR,22.03,22.54,21.55,21.63,383317
2021-03-03,BKR,21.87,21.95,21.6,21.72,489684
2021-03-04,BKR,21.92,21.92,20.44,21.3,498363
2021-03-05,BKR,21.79,21.79,20.03,21.62,757055
2021-03-08,BKR,21.71,21.8,20.93,21.6,453756
2021-03-09,BKR,21.43,21.95,21.04,21.29,386998
2021-03-10,BKR,21.2,21.77,21.14,21.65,289364
2021-03-11,BKR,21.63,22.12,21.42,21.45,313055
2021-03-12,BKR,21.6,21.69,21.39,21.62,253989
2021-03-15,BKR,21.83,22.06,21.39,21.5,179373
2021-03-16,BKR,21.09,21.14,20.41,20.44,483786
2021-03-17,BKR,20.41,21.33,20.41,21.3,314252
2021-03-18,BKR,21.17,21.63,20.24,20.41,531678
2021-03-19,BKR,20.11,20.65,19.86,20.09,492891
2021-03-22,BKR,19.95,20.04,19.55,19.81,351569
2021-03-23,BKR,19.38,19.75,19.1,19.26,428226
2021-03-24,BKR,19.7,19.74,19.43,19.59,372995
2021-03-25,BKR,19.28,19.28,18.39,19.12,324349
2021-03-26,BKR,19.54,19.86,19.33,19.86,198930
2021-03-29,BKR,19.69,20.0,19.47,19.69,132017
2021-03-30,BKR,19.62,19.75,19.25,19.29,123122
2021-03-31,BKR,19.23,19.38,19.06,19.2,117416
2021-04-01,BKR,19.28,19.3,18.76,19.3,457461
2021-04-05,BKR,19.24,19.25,18.81,19.02,255107
2021-04-06,BKR,19.14,19.4,18.84,18.86,274481
2021-04-07,BKR,18.83,19.25,18.79,19.03,162176
2021-04-08,BKR,18.87,18.87,18.02,18.39,628188
2021-04-09,BKR,18.39,18.39,17.64,17.86,620006
2021-04-12,BKR,18.02,18.17,17.7,17.84,220415
2021-04-13,BKR,17.61,17.94,17.48,17.65,250256
2021-04-14,BKR,17.88,18.41,17.83,18.07,346272
2021-04-15,BKR,18.09,18.09,17.59,17.67,155111
2021-04-16,BKR,17.81,17.97,17.64,17.85,233011
2021-04-20,BKR,17.63,17.64,17.09,17.35,478705
2021-04-21,BKR,16.84,17.42,16.67,17.36,489126
2021-04-22,BKR,17.5,17.84,17.36,17.61,306869
2021-04-23,BKR,17.63,17.96,17.42,17.78,256278
2021-04-26,BKR,17.94,18.11,17.79,17.87,356028
2021-04-27,BKR,17.95,17.99,17.37,17.69,375878
2021-04-28,BKR,17.77,18.14,17.72,17.98,322860
2021-04-29,BKR,18.17,18.29,17.84,18.24,399369
2021-04-30,BKR,17.99,18.38,17.83,17.84,319987
2021-05-03,BKR,18.29,19.49,18.27,19.26,317633
2021-05-04,BKR,19.38,19.54,19.13,19.13,522949
2021-05-05,BKR,19.46,20.17,19.38,20.06,724958
2021-05-06,BKR,20.17,20.52,19.92,20.49,799609
2021-05-07,BKR,20.13,21.98,20.13,21.89,731442
2021-05-10,BKR,22.05,22.39,21.86,21.87,373041
2021-05-11,BKR,21.46,22.47,21.35,22.03,486902
2021-05-12,BKR,21.84,22.4,21.23,21.29,580112
2021-05-13,BKR,21.13,22.04,20.98,21.62,527283
2021-05-14,BKR,21.86,22.39,21.79,22.29,289606
2021-05-17,BKR,22.18,23.42,22.16,23.36,212614
2021-05-18,BKR,23.48,23.58,22.87,22.92,417090
2021-05-19,BKR,22.43,22.62,21.83,22.42,245805
2021-05-20,BKR,22.35,22.61,21.95,22.53,113257
2021-05-21,BKR,22.71,22.78,22.36,22.67,256472
2021-05-24,BKR,22.89,22.89,22.42,22.49,260173
2021-05-25,BKR,22.31,22.5,21.54,21.59,258144
2021-05-26,BKR,21.59,21.86,21.41,21.61,538227
2021-05-27,BKR,21.9,22.18,21.71,21.79,230989
2021-05-28,BKR,21.88,21.88,21.56,21.81,126319
2021-06-01,BKR,22.22,22.97,22.22,22.81,283485
2021-06-02,BKR,22.99,23.62,22.64,23.49,391613
