date,tic,open,high,low,close,volume
2021-01-04,BLK,646.03,646.03,623.44,630.43,27419
2021-01-05,BLK,632.83,635.52,626.08,633.66,23920
2021-01-06,BLK,638.17,660.25,636.5,651.97,52380
2021-01-07,BLK,662.51,666.98,659.87,664.72,55113
2021-01-08,BLK,670.56,673.13,664.18,670.88,44870
2021-01-11,BLK,666.12,682.62,666.12,679.76,52099
2021-01-12,BLK,678.26,690.95,678.26,690.06,67046
2021-01-13,BLK,689.97,698.65,689.24,693.33,86680
2021-01-14,BLK,665.64,678.63,656.11,658.72,132357
2021-01-15,BLK,658.08,667.53,642.25,645.71,95464
2021-01-19,BLK,654.27,659.33,646.54,650.83,49615
2021-01-20,BLK,654.5,658.24,646.5,657.41,43871
2021-01-21,BLK,659.55,661.13,655.54,659.0,49675
2021-01-22,BLK,656.94,659.29,648.12,652.24,33513
2021-01-25,BLK,649.52,652.18,632.71,640.44,52621
2021-01-26,BLK,646.64,650.36,638.44,639.65,82032
2021-01-27,BLK,633.04,633.04,608.33,617.49,62815
2021-01-28,BLK,621.37,647.84,620.84,638.63,54938
2021-01-29,BLK,635.78,635.78,619.57,621.9,50854
2021-02-01,BLK,629.54,632.99,622.79,632.42,29295
2021-02-02,BLK,638.37,649.99,638.37,646.61,68009
2021-02-03,BLK,641.33,644.58,636.18,642.05,35826
2021-02-04,BLK,643.38,653.36,643.38,648.43,34792
2021-02-05,BLK,651.89,653.68,643.04,644.09,36913
2021-02-08,BLK,647.43,648.04,639.07,643.85,29195
2021-02-09,BLK,644.51,648.19,637.96,646.18,41072
2021-02-10,BLK,648.73,648.73,639.25,641.43,47298
2021-02-11,BLK,645.66,645.66,635.6,639.63,89209
2021-02-12,BLK,634.53,641.97,632.66,640.84,92369
2021-02-16,BLK,645.63,653.71,645.02,647.33,39505
2021-02-17,BLK,641.67,645.79,637.33,639.31,62572
2021-02-18,BLK,634.56,635.4,617.82,623.07,82313
2021-02-19,BLK,626.6,635.03,626.6,629.76,66932
2021-02-22,BLK,625.9,625.9,618.21,623.18,81804
2021-02-23,BLK,618.25,625.59,610.44,624.01,95305
2021-02-24,BLK,625.07,631.95,621.24,631.95,59212
2021-02-25,BLK,632.84,633.27,613.96,615.78,40339
2021-02-26,BLK,619.06,621.39,613.32,616.1,38495
2021-03-01,BLK,626.08,639.92,626.08,637.33,42224
2021-03-02,BLK,637.24,641.43,633.07,636.04,30652
2021-03-03,BLK,636.59,638.98,621.83,621.83,57402
2021-03-04,BLK,619.18,622.51,603.55,608.37,85985
2021-03-05,BLK,616.35,627.67,598.41,626.64,41520
2021-03-08,BLK,625.28,635.05,622.52,623.22,49714
2021-03-09,BLK,633.04,646.75,628.27,644.01,77222
2021-03-10,BLK,649.26,653.92,645.97,650.12,64323
2021-03-11,BLK,654.39,654.39,641.73,643.99,45875
2021-03-12,BLK,643.94,644.41,635.74,638.68,37976
2021-03-15,BLK,640.35,641.56,631.36,641.56,38580
2021-03-16,BLK,644.74,648.35,638.44,644.52,33677
2021-03-17,BLK,644.79,651.5,642.23,649.27,25936
2021-03-18,BLK,651.39,659.15,644.52,645.35,33971
2021-03-19,BLK,643.45,660.63,636.67,651.65,51247
2021-03-22,BLK,650.69,656.42,647.41,651.75,25166
2021-03-23,BLK,647.59,649.35,637.27,638.95,34456
2021-03-24,BLK,644.89,652.14,644.38,644.38,22302
2021-03-25,BLK,643.46,649.36,636.11,648.62,28130
2021-03-26,BLK,653.15,675.76,652.97,675.4,56595
2021-03-29,BLK,667.44,679.41,664.46,676.01,31488
2021-03-30,BLK,675.36,680.36,666.41,666.61,37203
2021-03-31,BLK,668.69,679.58,668.69,673.05,36218
2021-04-01,BLK,678.04,683.88,676.66,683.77,42205
2021-04-05,BLK,690.03,702.66,689.11,699.64,44272
2021-04-06,BLK,699.58,699.9,694.61,696.72,32523
2021-04-07,BLK,697.86,704.79,697.86,702.52,29370
2021-04-08,BLK,706.38,715.16,704.49,714.07,39305
2021-04-09,BLK,716.55,722.61,713.36,721.5,30087
2021-04-12,BLK,717.81,722.13,715.38,721.31,41017
2021-04-13,BLK,719.49,719.49,714.39,716.08,20058
2021-04-14,BLK,713.62,723.4,712.97,714.49,42154
2021-04-15,BLK,724.99,736.26,724.66,729.85,46401
2021-04-16,BLK,733.65,735.61,719.01,723.07,40153
2021-04-20,BLK,719.41,725.07,714.58,718.07,25660
2021-04-21,BLK,717.45,723.99,713.43,723.96,22730
2021-04-22,BLK,722.68,723.13,708.0,709.4,40196
2021-04-23,BLK,712.02,728.59,710.51,725.52,23403
2021-04-26,BLK,726.54,732.46,726.54,730.05,19693
2021-04-27,BLK,728.39,733.53,725.81,732.27,19793
2021-04-28,BLK,729.79,731.73,727.53,727.67,28137
2021-04-29,BLK,733.43,739.85,729.0,737.74,79435
2021-04-30,BLK,733.21,733.21,725.87,730.56,34551
2021-05-03,BLK,732.69,742.33,732.69,736.6,20627
2021-05-04,BLK,734.35,746.47,730.87,746.47,44149
2021-05-05,BLK,749.45,759.87,748.68,758.38,44463
2021-05-06,BLK,759.43,773.47,757.61,773.47,84774
2021-05-07,BLK,768.68,781.04,766.55,780.93,36211
2021-05-10,BLK,782.66,785.55,765.0,765.0,36364
2021-05-11,BLK,754.41,762.03,745.83,753.61,40569
2021-05-12,BLK,756.68,756.71,731.54,733.97,55391
2021-05-13,BLK,738.12,753.91,738.12,748.05,31596
2021-05-14,BLK,757.83,766.98,754.44,764.36,44445
2021-05-17,BLK,764.96,767.23,755.01,757.73,11897
2021-05-18,BLK,761.44,762.49,750.44,750.44,11249
2021-05-19,BLK,740.32,747.84,732.33,747.84,29230
2021-05-20,BLK,749.02,759.26,749.02,753.58,8142
2021-05-21,BLK,758.66,771.12,758.66,767.77,31303
2021-05-24,BLK,773.86,781.92,773.03,777.6,23457
2021-05-25,BLK,782.98,785.25,777.32,779.83,16018
2021-05-26,BLK,791.53,791.56,776.46,781.26,20605
2021-05-27,BLK,786.48,787.81,780.77,781.63,42006
