date,tic,open,high,low,close,volume
2021-01-04,BR,141.64,141.91,137.54,139.37,51536
2021-01-05,BR,140.15,140.15,137.69,139.52,52888
2021-01-06,BR,140.41,143.49,139.44,143.31,70354
2021-01-07,BR,143.42,145.68,142.82,143.2,73400
2021-01-08,BR,144.31,145.41,142.53,143.62,41948
2021-01-11,BR,142.84,143.25,141.92,142.63,26097
2021-01-12,BR,142.23,142.78,141.82,142.39,33740
2021-01-13,BR,142.41,142.42,141.08,141.84,98428
2021-01-14,BR,141.85,142.52,141.12,141.3,37813
2021-01-15,BR,140.7,141.64,138.81,139.42,31789
2021-01-19,BR,140.35,140.66,139.06,139.5,20854
2021-01-20,BR,139.81,140.41,138.54,140.24,25835
2021-01-21,BR,140.21,140.37,138.69,138.93,28657
2021-01-22,BR,138.5,138.5,136.89,137.06,65801
2021-01-25,BR,136.79,138.63,136.52,138.63,45535
2021-01-26,BR,138.64,140.16,137.88,139.66,34568
2021-01-27,BR,138.13,138.43,132.09,132.09,63210
2021-01-28,BR,133.61,135.17,132.0,133.22,54757
2021-01-29,BR,132.16,132.3,130.11,130.11,28797
2021-02-01,BR,131.1,134.62,130.69,134.35,30093
2021-02-02,BR,132.84,135.36,132.28,134.74,76281
2021-02-03,BR,135.91,136.2,132.97,132.97,23552
2021-02-04,BR,132.83,133.62,130.79,131.58,42403
2021-02-05,BR,133.59,133.68,132.12,132.62,35962
2021-02-08,BR,133.16,133.17,131.03,131.6,31431
2021-02-09,BR,130.85,131.2,129.88,130.24,26125
2021-02-10,BR,130.83,133.14,130.73,132.89,33801
2021-02-11,BR,132.99,134.01,132.87,133.81,25685
2021-02-12,BR,133.41,136.19,133.17,136.17,55097
2021-02-16,BR,136.57,136.81,134.0,134.56,35579
2021-02-17,BR,133.85,136.71,133.72,135.63,42122
2021-02-18,BR,134.86,137.67,134.86,137.3,34350
2021-02-19,BR,137.44,138.82,136.97,137.64,22335
2021-02-22,BR,135.81,137.03,135.25,135.95,18391
