date,tic,open,high,low,close,volume
2021-01-04,BRO,45.66,45.83,44.1,44.83,135838
2021-01-05,BRO,44.79,45.11,44.55,44.79,45215
2021-01-06,BRO,44.82,45.83,44.38,45.7,121118
2021-01-07,BRO,45.77,46.58,45.68,46.32,37466
2021-01-08,BRO,46.69,47.12,45.9,46.43,68379
2021-01-11,BRO,46.05,46.21,45.33,45.43,43725
2021-01-12,BRO,45.64,45.64,45.17,45.34,24795
2021-01-13,BRO,45.37,45.37,44.71,44.74,26285
2021-01-14,BRO,44.97,45.12,44.21,44.23,28381
2021-01-15,BRO,44.36,45.21,44.17,44.74,73061
2021-01-19,BRO,45.39,45.64,45.07,45.15,42445
2021-01-20,BRO,45.19,46.08,45.02,46.01,32005
2021-01-21,BRO,46.03,46.37,45.8,45.91,60218
2021-01-22,BRO,45.75,46.05,45.61,45.93,42382
2021-01-25,BRO,45.82,46.54,45.75,46.15,52583
2021-01-26,BRO,46.24,46.39,44.13,44.16,114689
2021-01-27,BRO,43.86,43.86,42.6,42.6,103359
2021-01-28,BRO,42.77,43.21,42.41,42.41,85884
2021-01-29,BRO,42.19,42.96,41.65,41.68,83059
2021-02-01,BRO,41.83,42.18,41.31,41.56,55650
2021-02-02,BRO,42.02,43.21,42.02,43.2,56718
2021-02-03,BRO,42.94,42.97,42.1,42.29,58439
2021-02-04,BRO,42.3,43.02,42.02,42.54,79486
2021-02-05,BRO,43.05,43.53,43.05,43.37,28994
2021-02-08,BRO,43.4,44.1,43.31,44.07,51645
2021-02-09,BRO,44.09,44.33,43.87,43.91,57714
2021-02-10,BRO,43.94,44.25,43.57,43.66,23278
2021-02-11,BRO,44.07,44.07,43.59,43.91,39103
2021-02-12,BRO,43.85,43.85,43.23,43.41,48022
2021-02-16,BRO,43.42,43.46,42.72,43.07,75461
2021-02-17,BRO,42.79,42.98,42.56,42.88,45667
2021-02-18,BRO,42.88,43.07,42.61,42.96,33633
2021-02-19,BRO,43.17,44.19,43.17,44.19,114818
2021-02-22,BRO,44.08,44.92,43.76,44.72,68465
2021-02-23,BRO,44.8,45.6,44.49,45.47,54317
2021-02-24,BRO,45.34,46.49,45.32,46.32,121863
2021-02-25,BRO,46.41,46.42,45.29,45.35,44413
2021-02-26,BRO,45.23,45.52,44.51,44.51,48795
2021-03-01,BRO,44.92,45.87,44.8,45.44,54001
2021-03-02,BRO,45.18,45.35,44.47,44.96,57773
2021-03-03,BRO,44.71,45.28,44.16,44.17,50179
2021-03-04,BRO,43.92,44.34,43.41,43.55,54181
2021-03-05,BRO,43.99,44.68,43.64,44.61,23503
2021-03-08,BRO,44.53,45.57,44.53,44.86,34521
2021-03-09,BRO,45.06,45.42,44.63,44.63,66862
2021-03-10,BRO,44.71,45.25,44.55,45.05,41650
2021-03-11,BRO,45.0,45.06,44.65,44.98,87790
2021-03-12,BRO,45.11,45.46,45.0,45.37,37987
2021-03-15,BRO,45.44,45.74,45.2,45.69,33643
2021-03-16,BRO,45.57,45.69,45.14,45.51,42368
2021-03-17,BRO,45.33,45.36,44.85,44.94,71474
2021-03-18,BRO,44.9,44.9,44.22,44.27,65978
2021-03-19,BRO,44.32,44.37,43.24,43.42,87171
2021-03-22,BRO,43.36,44.19,43.34,43.95,62440
2021-03-23,BRO,43.92,44.52,43.88,44.21,50467
2021-03-24,BRO,44.4,44.83,44.3,44.49,42990
2021-03-25,BRO,44.19,44.6,44.15,44.49,39844
2021-03-26,BRO,44.73,44.79,44.31,44.7,41419
2021-03-29,BRO,44.66,45.0,44.44,44.84,18538
2021-03-30,BRO,44.94,44.97,44.46,44.48,27430
2021-03-31,BRO,44.61,44.71,44.15,44.31,47550
2021-04-01,BRO,44.36,45.1,44.36,45.1,39673
2021-04-05,BRO,45.38,45.6,45.03,45.26,29455
2021-04-06,BRO,45.16,45.51,45.14,45.51,30657
2021-04-07,BRO,45.49,45.69,45.26,45.69,24115
2021-04-08,BRO,45.66,45.97,45.47,45.88,23669
2021-04-09,BRO,45.92,46.37,45.73,46.36,36100
2021-04-12,BRO,46.3,46.56,46.19,46.37,36675
2021-04-13,BRO,46.17,47.01,46.17,47.0,15959
2021-04-14,BRO,46.88,47.29,46.66,46.74,29204
2021-04-15,BRO,47.07,47.5,47.07,47.44,23749
2021-04-16,BRO,47.83,48.21,47.64,48.02,47186
2021-04-20,BRO,48.04,48.33,47.8,47.87,40440
2021-04-21,BRO,47.92,48.31,47.79,48.29,45398
2021-04-22,BRO,48.1,48.68,48.1,48.43,44477
2021-04-23,BRO,48.47,49.05,48.47,48.88,61293
2021-04-26,BRO,49.05,49.31,48.24,48.24,23179
2021-04-27,BRO,50.22,51.35,50.1,50.3,128648
2021-04-28,BRO,50.35,51.0,50.35,50.86,73241
2021-04-29,BRO,51.05,51.28,50.84,51.18,61525
2021-04-30,BRO,51.36,52.11,51.36,51.55,83004
2021-05-03,BRO,51.86,51.86,51.17,51.46,49625
2021-05-04,BRO,51.45,51.81,51.42,51.71,31544
2021-05-05,BRO,51.6,51.76,50.97,51.5,39046
2021-05-06,BRO,51.68,52.05,51.62,51.91,52291
2021-05-07,BRO,51.68,52.45,51.68,52.12,59193
2021-05-10,BRO,52.33,52.77,51.83,51.86,57869
2021-05-11,BRO,51.42,51.43,50.37,50.49,41648
2021-05-12,BRO,50.42,50.61,49.39,49.44,41199
2021-05-13,BRO,49.72,50.77,49.67,50.61,41175
2021-05-14,BRO,50.64,51.18,50.64,50.98,31962
2021-05-17,BRO,50.91,50.91,50.39,50.7,21670
2021-05-18,BRO,50.68,51.0,50.49,50.53,27864
2021-05-19,BRO,50.07,50.52,49.95,50.52,20410
2021-05-20,BRO,50.55,51.01,50.44,50.71,24604
2021-05-21,BRO,50.77,50.82,50.26,50.58,28647
2021-05-24,BRO,50.55,50.81,50.5,50.61,35148
2021-05-25,BRO,50.68,50.75,50.26,50.29,27038
2021-05-26,BRO,50.39,50.39,49.98,50.12,43551
2021-05-27,BRO,50.42,50.94,50.15,50.89,34601
2021-05-28,BRO,50.99,51.12,50.84,50.96,17771
2021-06-01,BRO,51.44,51.44,50.78,51.02,53442
2021-06-02,BRO,50.98,51.08,50.76,50.86,20287
2021-06-03,BRO,50.6,51.16,50.42,50.74,28779
2021-06-04,BRO,50.77,50.9,50.56,50.83,13509
2021-06-07,BRO,50.84,50.84,50.19,50.22,24872
2021-06-08,BRO,50.02,50.53,49.96,50.52,20961
2021-06-09,BRO,50.48,50.59,50.17,50.21,13733
2021-06-10,BRO,50.27,50.56,50.26,50.33,14620
2021-06-11,BRO,50.27,50.65,50.27,50.65,19163
2021-06-14,BRO,50.63,50.65,50.4,50.61,40266
2021-06-15,BRO,50.5,51.57,50.5,51.39,50125
2021-06-16,BRO,51.35,51.65,50.99,51.21,54619
2021-06-17,BRO,51.07,51.56,50.83,51.09,75306
2021-06-18,BRO,50.72,50.89,50.22,50.27,59258
2021-06-21,BRO,50.44,51.01,50.1,50.94,74045
2021-06-22,BRO,50.81,51.55,50.81,51.31,23113
2021-06-23,BRO,51.33,51.62,51.25,51.37,32841
2021-06-24,BRO,51.43,51.8,51.3,51.68,41132
2021-06-25,BRO,51.69,52.0,51.6,51.97,26125
2021-06-28,BRO,52.01,52.09,51.27,51.43,45193
2021-06-29,BRO,51.88,52.17,51.59,51.94,42214
2021-06-30,BRO,51.76,52.06,51.5,51.61,33033
2021-07-01,BRO,51.67,52.19,51.65,51.95,43940
2021-07-02,BRO,51.93,52.28,51.93,52.1,29410
2021-07-06,BRO,51.88,52.07,51.62,52.0,27956
2021-07-07,BRO,51.9,52.13,51.82,52.0,32348
2021-07-08,BRO,51.63,51.63,50.67,50.78,29160
2021-07-09,BRO,51.15,51.53,51.1,51.39,34374
2021-07-12,BRO,51.29,51.73,51.27,51.71,38673
2021-07-13,BRO,51.5,51.63,51.1,51.12,26837
2021-07-14,BRO,51.13,51.39,50.97,51.25,24274
2021-07-15,BRO,51.08,52.15,51.06,51.96,50546
2021-07-16,BRO,52.0,52.39,51.85,52.21,28714
2021-07-19,BRO,51.6,51.62,50.71,51.15,28618
2021-07-20,BRO,51.12,52.41,51.12,51.82,50182
