date,tic,open,high,low,close,volume
2021-01-04,BX,54.68,54.72,52.36,53.0,130235
2021-01-05,BX,52.59,53.2,52.4,52.86,216325
2021-01-06,BX,52.45,52.75,51.57,51.83,222215
2021-01-07,BX,52.62,53.44,52.57,53.14,67482
2021-01-08,BX,53.61,53.79,52.22,52.96,55422
2021-01-11,BX,52.49,53.12,52.42,52.75,74167
2021-01-12,BX,52.54,52.99,52.5,52.65,68668
2021-01-13,BX,52.7,54.2,52.66,53.86,73851
2021-01-14,BX,54.24,54.24,53.18,53.41,92378
2021-01-15,BX,52.93,53.34,52.8,53.28,90690
2021-01-19,BX,53.47,54.24,53.37,54.19,66547
2021-01-20,BX,54.3,55.06,54.16,54.86,107528
2021-01-21,BX,55.02,55.36,54.9,55.26,61602
2021-01-22,BX,55.09,55.31,54.52,54.72,84041
2021-01-25,BX,54.92,55.61,54.46,54.67,133567
2021-01-26,BX,54.94,55.65,54.76,54.76,136252
2021-01-27,BX,54.95,57.03,53.93,54.88,429683
2021-01-28,BX,55.07,57.66,55.01,56.43,206319
2021-01-29,BX,56.25,57.47,55.82,56.52,189248
2021-02-01,BX,57.08,58.97,57.08,58.43,218375
2021-02-02,BX,59.34,60.05,58.79,59.72,80492
2021-02-03,BX,59.82,59.98,58.69,58.85,87226
2021-02-04,BX,58.97,59.7,58.95,59.69,71626
2021-02-05,BX,59.74,60.4,59.08,60.39,65235
2021-02-08,BX,60.62,60.62,59.58,60.16,98454
2021-02-09,BX,59.98,61.08,59.98,60.39,224298
2021-02-10,BX,61.02,61.28,60.18,60.39,91649
2021-02-11,BX,60.97,61.45,59.64,60.24,95553
2021-02-12,BX,60.16,60.54,59.86,59.88,51179
2021-02-16,BX,60.38,60.48,59.8,60.0,138788
2021-02-17,BX,59.93,59.99,59.32,59.57,46192
2021-02-18,BX,58.85,59.66,58.67,59.41,89067
2021-02-19,BX,59.52,59.9,59.33,59.66,63195
2021-02-22,BX,59.31,59.54,58.87,59.25,94598
2021-02-23,BX,59.08,59.24,58.09,59.09,88529
2021-02-24,BX,59.28,59.79,58.68,59.67,70331
2021-02-25,BX,59.58,59.75,58.14,58.34,92355
2021-02-26,BX,58.53,59.63,57.99,59.1,97405
2021-03-01,BX,59.95,60.54,59.32,60.31,97471
2021-03-02,BX,60.43,60.47,59.69,59.76,135418
2021-03-03,BX,59.64,59.82,58.95,59.35,126296
2021-03-04,BX,59.12,59.78,56.89,57.2,303916
2021-03-05,BX,57.39,57.47,54.44,56.3,366808
2021-03-08,BX,56.46,59.1,56.1,57.6,292044
2021-03-09,BX,58.13,60.52,57.84,59.16,181981
2021-03-10,BX,60.07,60.6,59.52,60.33,159700
2021-03-11,BX,60.69,63.32,60.69,63.11,202290
2021-03-12,BX,63.02,64.18,62.3,63.81,196616
2021-03-15,BX,64.08,64.36,62.19,63.89,174882
2021-03-16,BX,64.33,65.02,63.15,63.91,250623
2021-03-17,BX,63.74,64.88,63.05,64.85,140848
2021-03-18,BX,64.71,64.71,62.18,62.25,226772
2021-03-19,BX,61.26,62.13,60.91,61.8,87941
2021-03-22,BX,61.9,63.19,61.66,62.72,112692
2021-03-23,BX,62.87,63.19,62.06,62.42,92489
2021-03-24,BX,62.87,63.16,61.51,61.56,111536
2021-03-25,BX,61.49,62.24,60.9,62.24,99901
2021-03-26,BX,62.45,63.36,61.9,63.36,112612
2021-03-29,BX,63.17,64.01,63.11,63.32,98159
2021-03-30,BX,63.31,63.5,62.96,63.21,97534
2021-03-31,BX,63.69,64.14,63.46,63.59,122890
2021-04-01,BX,64.08,64.39,63.75,64.16,73155
2021-04-05,BX,64.38,64.52,63.9,63.97,79821
2021-04-06,BX,63.72,63.91,63.43,63.57,108741
2021-04-07,BX,63.61,64.36,63.4,64.15,143103
2021-04-08,BX,64.5,65.5,64.5,65.45,72845
2021-04-09,BX,65.34,65.6,64.92,65.56,72479
2021-04-12,BX,65.1,65.98,64.65,65.96,67821
2021-04-13,BX,65.87,67.11,65.61,66.89,48812
2021-04-14,BX,66.81,67.89,66.51,66.52,155073
2021-04-15,BX,66.88,68.39,66.88,67.92,160461
2021-04-16,BX,67.85,67.9,67.2,67.6,128647
2021-04-20,BX,67.75,68.21,67.25,67.77,151626
2021-04-21,BX,67.92,68.66,67.87,68.54,189215
2021-04-22,BX,70.64,72.03,69.68,70.75,468922
2021-04-23,BX,70.91,74.54,70.91,74.42,279758
2021-04-26,BX,74.77,74.95,73.78,74.22,352433
2021-04-27,BX,74.3,75.68,74.22,75.54,120896
2021-04-28,BX,75.42,76.19,75.16,75.93,628109
2021-04-29,BX,76.68,77.08,75.45,76.33,156598
2021-04-30,BX,76.02,76.75,75.52,76.18,284239
2021-05-03,BX,76.33,76.51,76.03,76.15,112737
2021-05-04,BX,75.9,76.47,75.36,75.92,104462
2021-05-05,BX,76.42,76.42,75.63,75.82,135268
2021-05-06,BX,75.81,76.39,75.06,75.96,122378
2021-05-07,BX,76.08,77.95,76.08,77.45,227536
