date,tic,open,high,low,close,volume
2021-01-04,BXP,75.16,75.36,71.39,71.39,37599
2021-01-05,BXP,71.53,72.95,70.74,70.78,36399
2021-01-06,BXP,71.48,72.86,70.62,71.86,59024
2021-01-07,BXP,71.45,71.55,70.28,70.89,57906
2021-01-08,BXP,70.75,71.13,70.09,70.75,39743
2021-01-11,BXP,69.98,70.94,69.78,70.44,78806
2021-01-12,BXP,70.36,72.04,70.16,72.02,36530
2021-01-13,BXP,72.12,73.03,72.07,72.4,39010
2021-01-14,BXP,72.92,74.63,72.35,74.33,78620
2021-01-15,BXP,73.77,74.97,72.85,74.81,47796
2021-01-19,BXP,74.8,74.93,73.0,73.34,59600
2021-01-20,BXP,72.9,74.46,72.81,73.57,39584
2021-01-21,BXP,73.11,73.11,71.4,72.31,66362
2021-01-22,BXP,71.53,71.98,70.86,71.78,33881
2021-01-25,BXP,71.39,72.23,70.49,71.77,46373
2021-01-26,BXP,72.27,73.17,71.73,72.91,67552
2021-01-27,BXP,72.0,72.27,69.65,70.5,107268
2021-01-28,BXP,70.77,73.9,70.34,72.18,97820
2021-01-29,BXP,71.45,73.52,70.98,71.7,100026
2021-02-01,BXP,72.06,72.06,69.9,70.91,81746
2021-02-02,BXP,71.01,71.22,69.9,71.14,52788
2021-02-03,BXP,69.87,71.95,69.87,71.54,52173
2021-02-04,BXP,72.06,73.25,72.03,72.66,38842
2021-02-05,BXP,73.07,73.08,71.89,72.42,28538
2021-02-08,BXP,72.41,75.05,72.33,74.98,64017
2021-02-09,BXP,75.21,75.57,74.55,75.52,27650
2021-02-10,BXP,75.8,76.83,74.26,74.42,34850
2021-02-11,BXP,74.26,74.68,73.39,74.68,35898
2021-02-12,BXP,74.2,74.59,73.39,74.03,62855
2021-02-16,BXP,73.68,74.57,72.76,72.91,44606
2021-02-17,BXP,72.91,73.22,72.09,72.95,38955
2021-02-18,BXP,72.62,72.85,71.5,72.07,35368
2021-02-19,BXP,72.11,72.85,71.66,72.49,35668
2021-02-22,BXP,72.87,76.0,72.87,75.79,66141
2021-02-23,BXP,76.5,79.81,75.62,79.49,89299
2021-02-24,BXP,79.87,82.66,79.49,82.32,70450
2021-02-25,BXP,82.33,83.97,80.01,80.74,97524
2021-02-26,BXP,79.91,80.65,77.91,77.95,70684
2021-03-01,BXP,79.8,81.17,78.81,79.63,58360
2021-03-02,BXP,78.95,79.91,78.09,79.65,74250
2021-03-03,BXP,80.05,83.21,79.88,82.13,74625
2021-03-04,BXP,82.57,82.78,78.22,79.23,71133
2021-03-05,BXP,80.56,80.82,78.2,80.33,55965
2021-03-08,BXP,81.58,85.09,80.41,84.75,67733
2021-03-09,BXP,84.53,85.39,83.14,83.15,85923
2021-03-10,BXP,82.74,84.51,82.41,83.67,31645
2021-03-11,BXP,83.16,85.35,83.16,84.44,152447
2021-03-12,BXP,85.3,86.69,84.33,85.35,40452
2021-03-15,BXP,85.03,85.03,83.14,84.12,66625
2021-03-16,BXP,84.08,84.08,82.37,83.34,37387
2021-03-17,BXP,83.52,83.67,82.3,83.38,34316
2021-03-18,BXP,83.81,84.49,82.58,83.03,54138
2021-03-19,BXP,82.46,83.56,81.98,82.04,39303
2021-03-22,BXP,82.09,82.35,80.43,80.52,88018
2021-03-23,BXP,80.26,81.3,79.79,80.42,51941
2021-03-24,BXP,81.1,82.1,80.86,80.86,40773
2021-03-25,BXP,80.27,82.47,79.27,82.31,44474
2021-03-26,BXP,82.39,84.17,82.38,84.15,27928
2021-03-29,BXP,83.45,83.8,80.94,81.02,44985
2021-03-30,BXP,81.61,82.21,80.93,81.65,60005
2021-03-31,BXP,80.96,81.5,79.84,80.44,48940
2021-04-01,BXP,81.13,82.75,80.8,82.75,30733
2021-04-05,BXP,83.38,83.42,81.18,82.53,41486
2021-04-06,BXP,82.05,82.91,82.05,82.65,323554
2021-04-07,BXP,83.42,83.42,82.2,83.09,122461
2021-04-08,BXP,82.96,83.0,82.01,82.48,46373
2021-04-09,BXP,82.75,83.34,82.28,83.11,47858
2021-04-12,BXP,83.48,83.64,82.41,83.48,50097
2021-04-13,BXP,83.25,83.91,82.66,83.84,62352
2021-04-14,BXP,83.82,84.67,83.5,83.86,106934
2021-04-15,BXP,84.32,84.33,83.26,83.73,50875
2021-04-16,BXP,83.49,84.13,82.93,83.61,67114
2021-04-20,BXP,83.27,84.19,83.27,84.18,63854
2021-04-21,BXP,84.46,85.28,83.72,85.2,53677
2021-04-22,BXP,85.3,85.62,83.56,84.11,217719
2021-04-23,BXP,84.0,84.54,83.8,84.11,36695
2021-04-26,BXP,84.54,85.57,84.54,85.33,30920
2021-04-27,BXP,84.99,86.3,84.66,85.83,58132
2021-04-28,BXP,85.85,85.85,84.92,85.37,85469
2021-04-29,BXP,86.73,87.45,85.88,86.84,44360
2021-04-30,BXP,86.38,86.88,86.03,86.73,38426
2021-05-03,BXP,86.86,87.14,85.47,85.7,44231
2021-05-04,BXP,86.3,86.46,85.22,86.03,58481
2021-05-05,BXP,84.94,84.99,83.62,84.31,54087
2021-05-06,BXP,84.52,85.62,84.16,85.34,42371
2021-05-07,BXP,84.78,86.16,84.78,85.86,39866
2021-05-10,BXP,87.16,87.68,85.83,85.93,66201
2021-05-11,BXP,85.17,85.92,84.3,85.35,47534
2021-05-12,BXP,84.74,85.15,82.15,82.34,66876
2021-05-13,BXP,82.54,84.69,81.93,84.19,76968
2021-05-14,BXP,84.56,85.95,84.23,85.84,75278
2021-05-17,BXP,85.69,87.65,85.47,87.39,54370
2021-05-18,BXP,87.43,89.78,87.0,89.28,77803
2021-05-19,BXP,88.41,88.69,85.87,86.88,38385
2021-05-20,BXP,87.14,88.26,86.28,87.67,88258
2021-05-21,BXP,88.03,89.51,87.84,88.95,49731
2021-05-24,BXP,89.38,91.44,89.25,91.24,51736
2021-05-25,BXP,90.27,91.1,89.69,90.75,63081
2021-05-26,BXP,90.91,92.55,90.26,92.06,48935
2021-05-27,BXP,92.11,93.03,92.11,92.6,82847
2021-05-28,BXP,93.01,93.59,92.51,93.3,45075
2021-06-01,BXP,93.48,95.35,93.48,95.25,76438
2021-06-02,BXP,95.69,96.36,94.83,96.36,40247
2021-06-03,BXP,96.03,96.03,94.94,95.29,45203
2021-06-04,BXP,95.26,95.79,94.6,95.42,76717
2021-06-07,BXP,95.85,98.13,95.38,97.68,40639
2021-06-08,BXP,97.31,98.15,96.96,97.09,42562
2021-06-09,BXP,97.56,97.7,97.02,97.1,39114
2021-06-10,BXP,97.23,97.78,96.73,97.33,41732
2021-06-11,BXP,96.47,97.79,96.47,97.79,89797
2021-06-14,BXP,98.01,98.53,97.8,98.44,54726
2021-06-15,BXP,98.52,98.53,96.39,96.81,52549
2021-06-16,BXP,96.8,97.65,96.04,96.11,47092
2021-06-17,BXP,96.31,96.5,94.39,94.6,63877
2021-06-18,BXP,93.96,94.31,93.01,93.03,37430
2021-06-21,BXP,93.76,95.29,93.74,94.91,69423
2021-06-22,BXP,94.58,94.71,93.35,93.47,73463
2021-06-23,BXP,93.78,94.91,93.37,94.29,43122
2021-06-24,BXP,93.9,94.91,93.18,94.47,79511
2021-06-25,BXP,94.65,95.33,94.06,95.06,22672
2021-06-28,BXP,94.37,94.37,91.37,92.61,50663
2021-06-29,BXP,92.5,92.88,91.07,91.09,51175
2021-06-30,BXP,91.19,92.09,91.19,91.73,25720
2021-07-01,BXP,91.75,93.06,91.52,91.94,33013
2021-07-02,BXP,92.51,93.06,91.73,92.92,43527
2021-07-06,BXP,92.73,93.23,91.46,93.04,46391
2021-07-07,BXP,91.46,92.23,91.08,91.51,51425
2021-07-08,BXP,90.7,91.67,89.98,90.81,40782
2021-07-09,BXP,91.87,93.77,91.6,93.75,31998
2021-07-12,BXP,93.57,95.21,93.46,94.94,20388
2021-07-13,BXP,94.73,94.73,93.1,93.1,12903
2021-07-14,BXP,92.9,93.71,92.77,93.47,11350
2021-07-15,BXP,93.57,93.57,92.77,93.29,18147
2021-07-16,BXP,93.63,93.78,92.71,92.95,23081
2021-07-19,BXP,91.22,91.22,87.69,88.59,56577
2021-07-20,BXP,88.83,93.03,88.83,92.87,26637
2021-07-21,BXP,93.62,95.28,93.52,93.6,14916
2021-07-22,BXP,92.9,92.9,91.0,91.6,31068
2021-07-23,BXP,92.28,92.58,91.06,91.96,41928
2021-07-26,BXP,92.33,92.82,91.51,92.31,34130
2021-07-27,BXP,92.18,93.4,92.13,92.91,45695
2021-07-28,BXP,94.01,95.52,92.05,94.59,48607
2021-07-29,BXP,95.36,95.91,94.71,94.74,30004
2021-07-30,BXP,94.91,96.15,93.84,93.95,23429
