date,tic,open,high,low,close,volume
2021-01-04,C,51.51,51.57,49.95,50.27,425819
2021-01-05,C,50.42,51.84,50.26,51.55,608489
2021-01-06,C,54.01,55.67,53.49,54.55,817139
2021-01-07,C,56.07,56.89,55.2,55.21,443611
2021-01-08,C,55.29,55.32,53.82,54.65,565284
2021-01-11,C,54.06,55.69,53.83,55.54,511670
2021-01-12,C,56.36,56.62,55.39,55.85,415003
2021-01-13,C,55.98,56.19,55.18,55.95,328417
2021-01-14,C,56.44,58.04,56.19,57.73,713041
2021-01-15,C,56.2,56.54,53.6,53.72,1010710
2021-01-19,C,54.52,54.52,52.6,53.25,664071
2021-01-20,C,53.32,53.32,52.54,52.92,403966
2021-01-21,C,52.84,52.84,51.62,51.71,431817
2021-01-22,C,50.93,51.69,50.38,51.31,501609
2021-01-25,C,50.68,50.77,49.48,50.63,519667
2021-01-26,C,51.17,51.17,50.26,50.94,484855
2021-01-27,C,50.02,50.15,48.96,49.67,1128932
2021-01-28,C,50.31,51.05,49.89,50.46,466136
2021-01-29,C,50.57,50.76,48.67,48.92,728065
2021-02-01,C,49.4,49.48,48.42,49.36,522000
2021-02-02,C,50.28,50.81,50.04,50.25,1052670
2021-02-03,C,50.15,51.57,50.15,51.54,295944
2021-02-04,C,51.95,52.8,51.83,52.68,621712
2021-02-05,C,53.14,53.2,52.36,52.78,278672
2021-02-08,C,53.18,53.73,53.01,53.71,304138
2021-02-09,C,53.61,53.87,52.73,53.24,407429
2021-02-10,C,53.54,53.97,53.13,53.61,282356
2021-02-11,C,53.54,53.83,52.25,53.33,239870
2021-02-12,C,53.1,54.0,53.06,53.65,533184
2021-02-16,C,54.8,54.89,53.84,54.07,534091
2021-02-17,C,53.81,54.74,53.53,54.61,414236
2021-02-18,C,54.34,54.43,53.23,53.53,332290
2021-02-19,C,54.04,55.66,54.04,55.5,590517
2021-02-22,C,55.21,56.42,55.08,55.27,1003776
2021-02-23,C,55.43,56.44,54.73,56.37,980211
2021-02-24,C,56.69,57.93,56.51,57.88,642028
2021-02-25,C,58.27,58.45,56.43,56.86,761304
2021-02-26,C,56.44,57.01,55.31,55.58,671459
2021-03-01,C,57.71,59.02,57.37,58.65,783477
2021-03-02,C,58.35,59.03,58.09,58.13,434831
2021-03-03,C,58.61,60.29,58.48,59.36,748895
2021-03-04,C,59.24,60.53,57.3,58.87,734657
2021-03-05,C,59.74,60.11,57.75,59.23,596076
2021-03-08,C,59.97,61.44,59.79,60.92,773086
2021-03-09,C,59.82,61.14,59.08,59.86,572245
2021-03-10,C,60.18,62.3,60.12,62.23,581448
2021-03-11,C,61.92,62.65,61.21,61.83,413966
2021-03-12,C,62.87,63.47,62.51,63.46,483938
2021-03-15,C,63.56,63.76,61.81,62.59,506433
2021-03-16,C,62.03,62.08,61.01,61.85,360859
2021-03-17,C,62.44,62.69,61.38,62.08,553068
2021-03-18,C,62.82,64.21,61.97,62.28,612643
2021-03-19,C,61.74,62.05,60.33,61.62,547384
2021-03-22,C,61.14,61.14,60.44,60.69,326669
2021-03-23,C,60.01,61.26,59.48,59.81,363518
2021-03-24,C,60.55,61.13,59.16,59.16,458451
2021-03-25,C,58.94,60.65,58.33,60.5,472250
2021-03-26,C,61.47,61.77,60.73,61.58,413994
2021-03-29,C,60.17,60.86,59.38,60.28,394766
2021-03-30,C,60.73,61.75,60.73,61.45,425967
2021-03-31,C,61.38,62.26,61.13,61.35,282665
2021-04-01,C,61.15,61.8,61.08,61.69,455737
2021-04-05,C,62.49,62.69,61.11,61.36,534141
2021-04-06,C,61.07,61.62,60.79,61.25,304553
2021-04-07,C,61.5,61.68,60.71,61.31,515480
2021-04-08,C,60.56,61.17,59.97,61.0,392494
2021-04-09,C,61.37,61.54,60.74,61.07,380429
2021-04-12,C,61.25,61.38,60.86,61.31,267563
2021-04-13,C,60.98,61.04,59.95,60.81,290450
2021-04-14,C,60.4,61.81,60.22,61.51,502323
2021-04-15,C,62.8,62.98,60.54,61.19,720386
2021-04-16,C,61.76,62.03,60.47,61.1,572898
2021-04-20,C,60.18,60.22,58.43,58.87,630755
2021-04-21,C,58.24,59.64,57.71,59.61,538342
2021-04-22,C,59.36,59.67,58.77,58.87,533218
2021-04-23,C,58.84,60.34,58.65,60.21,465060
2021-04-26,C,60.48,61.41,60.4,60.87,187570
2021-04-27,C,61.07,61.66,61.07,61.57,278905
2021-04-28,C,61.92,62.1,61.35,61.49,346596
2021-04-29,C,62.22,62.42,61.49,62.28,502159
2021-04-30,C,61.79,61.79,60.4,60.51,396975
2021-05-03,C,61.14,61.53,60.65,60.9,530863
2021-05-04,C,60.52,61.51,60.04,61.42,597451
2021-05-05,C,61.69,62.7,61.0,62.63,673025
2021-05-06,C,62.59,63.65,62.38,63.54,436577
2021-05-07,C,62.35,63.8,62.27,63.79,460449
2021-05-10,C,64.25,65.25,63.82,63.84,460137
2021-05-11,C,63.3,64.18,62.79,63.6,555278
2021-05-12,C,64.53,64.88,62.79,63.03,439254
2021-05-13,C,62.77,64.46,62.71,63.97,365963
2021-05-14,C,64.47,65.2,64.34,65.04,309728
2021-05-17,C,64.84,65.81,64.65,65.78,267293
2021-05-18,C,65.74,66.0,65.05,65.09,225932
2021-05-19,C,64.19,65.11,63.48,64.94,384153
2021-05-20,C,64.64,65.1,64.05,64.72,334254
2021-05-21,C,65.03,66.1,64.92,65.97,294314
2021-05-24,C,66.02,66.56,65.81,66.29,352204
2021-05-25,C,66.43,67.34,65.58,65.66,428213
2021-05-26,C,65.74,66.17,65.15,65.85,290081
2021-05-27,C,66.72,67.2,66.24,66.94,414277
2021-05-28,C,66.81,67.09,66.19,66.84,296726
2021-06-01,C,67.6,68.03,67.42,67.76,485829
2021-06-02,C,68.19,68.19,67.44,67.84,277034
2021-06-03,C,67.76,68.2,67.48,67.65,420343
2021-06-04,C,67.73,67.84,66.96,67.53,197217
2021-06-07,C,67.62,67.65,67.14,67.38,227822
2021-06-08,C,66.46,67.46,66.02,67.18,260175
2021-06-09,C,66.82,66.92,66.07,66.38,346342
2021-06-10,C,67.19,67.36,65.27,65.31,403942
2021-06-11,C,65.4,65.51,64.65,64.97,363136
2021-06-14,C,64.92,65.2,63.44,63.84,562398
2021-06-15,C,63.74,63.99,62.23,62.69,730379
2021-06-16,C,61.71,62.0,59.6,60.69,1507872
2021-06-17,C,61.4,61.51,57.91,58.49,1312239
2021-06-18,C,58.18,58.38,57.04,57.43,1508913
2021-06-21,C,58.03,58.66,57.68,58.11,566252
2021-06-22,C,58.45,58.95,57.58,58.57,449681
2021-06-23,C,59.07,59.5,58.69,59.15,436779
2021-06-24,C,59.69,60.88,59.45,60.57,827524
2021-06-25,C,60.62,61.03,59.38,60.75,689838
2021-06-28,C,60.59,60.86,59.87,60.76,304406
2021-06-29,C,59.53,60.8,59.11,59.18,754079
2021-06-30,C,59.11,60.15,59.02,60.13,350355
2021-07-01,C,60.38,60.49,59.85,60.31,297914
2021-07-02,C,60.35,60.35,59.57,59.83,256812
2021-07-06,C,59.58,59.62,57.65,57.95,529483
2021-07-07,C,57.51,58.06,57.15,57.67,372848
2021-07-08,C,56.31,57.03,55.86,56.76,879391
2021-07-09,C,57.81,58.21,57.47,58.15,290794
2021-07-12,C,57.47,59.1,57.19,58.99,411263
2021-07-13,C,58.59,59.0,57.78,58.08,372083
2021-07-14,C,59.48,60.13,57.31,57.9,925346
2021-07-15,C,57.38,58.64,57.31,58.17,327953
2021-07-16,C,58.37,58.39,56.43,56.85,616260
2021-07-19,C,55.66,56.13,54.69,55.29,693168
2021-07-20,C,55.36,56.72,55.03,56.33,392795
2021-07-21,C,56.92,57.97,56.89,57.63,369330
2021-07-22,C,57.56,57.56,56.42,56.85,253466
2021-07-23,C,57.31,57.55,56.52,56.68,274963
