date,tic,open,high,low,close,volume
2021-01-04,CAG,29.06,29.13,28.57,28.74,222400
2021-01-05,CAG,28.19,28.53,28.18,28.39,215779
2021-01-06,CAG,28.49,28.83,28.37,28.56,208273
2021-01-07,CAG,28.46,28.46,26.97,26.98,257308
2021-01-08,CAG,27.12,27.25,26.69,27.23,225342
2021-01-11,CAG,27.3,27.38,26.39,26.45,298518
2021-01-12,CAG,26.46,26.6,26.0,26.28,203827
2021-01-13,CAG,26.27,26.87,26.24,26.67,176238
2021-01-14,CAG,26.79,27.24,26.58,27.2,96145
2021-01-15,CAG,27.06,27.36,27.0,27.06,157859
2021-01-19,CAG,27.12,27.17,26.83,26.86,89784
2021-01-20,CAG,26.97,27.04,26.42,26.99,135431
2021-01-21,CAG,27.0,27.25,26.72,27.21,148813
2021-01-22,CAG,27.27,27.69,27.2,27.48,158991
2021-01-25,CAG,27.43,28.46,27.38,27.93,126729
2021-01-26,CAG,27.9,28.4,27.86,28.36,114639
2021-01-27,CAG,28.23,29.23,28.23,28.53,270263
2021-01-28,CAG,28.34,28.7,27.68,27.96,217824
2021-01-29,CAG,27.91,28.43,27.84,27.87,99656
2021-02-01,CAG,28.04,28.13,27.42,27.54,219911
2021-02-02,CAG,27.69,28.16,27.48,27.91,174005
2021-02-03,CAG,27.85,28.07,27.46,27.87,137551
2021-02-04,CAG,27.84,28.16,27.76,27.87,186648
2021-02-05,CAG,27.89,28.2,27.74,27.88,89414
2021-02-08,CAG,28.02,28.03,27.66,28.01,119036
2021-02-09,CAG,28.12,28.19,27.83,28.01,71402
2021-02-10,CAG,28.18,28.54,28.18,28.45,91507
2021-02-11,CAG,28.32,28.5,27.63,27.72,157555
2021-02-12,CAG,27.64,27.86,27.46,27.84,132083
2021-02-16,CAG,27.62,27.72,27.07,27.3,158079
2021-02-17,CAG,27.25,27.48,27.07,27.36,193090
2021-02-18,CAG,27.27,28.12,27.17,27.95,133461
2021-02-19,CAG,28.04,28.11,27.46,27.47,91247
2021-02-22,CAG,27.5,27.87,27.36,27.76,91606
2021-02-23,CAG,27.94,28.28,27.64,28.18,112670
2021-02-24,CAG,28.16,28.5,28.11,28.38,163549
2021-02-25,CAG,28.46,28.63,27.75,27.83,179859
2021-02-26,CAG,27.83,27.91,27.32,27.32,114100
2021-03-01,CAG,27.4,27.85,27.39,27.5,72337
2021-03-02,CAG,27.6,27.81,27.38,27.62,73017
2021-03-03,CAG,27.62,28.05,27.3,28.0,143660
2021-03-04,CAG,27.97,28.64,27.79,27.89,157091
2021-03-05,CAG,28.08,28.81,27.97,28.58,216454
2021-03-08,CAG,28.63,29.73,28.56,29.42,221609
