date,tic,open,high,low,close,volume
2021-01-04,CCI,126.06,126.06,122.59,123.05,104856
2021-01-05,CCI,123.45,124.68,123.08,123.4,100322
2021-01-06,CCI,122.78,122.78,120.21,120.25,114315
2021-01-07,CCI,120.13,121.67,119.86,121.06,96952
2021-01-08,CCI,121.93,123.16,121.82,122.22,83154
2021-01-11,CCI,122.21,122.8,120.7,121.62,65668
2021-01-12,CCI,120.92,120.98,118.53,119.59,55083
2021-01-13,CCI,119.49,121.44,119.49,121.28,80060
2021-01-14,CCI,122.1,123.97,121.12,122.94,138372
2021-01-15,CCI,122.84,125.4,122.32,124.94,115341
2021-01-19,CCI,126.06,126.95,124.78,126.58,149285
2021-01-20,CCI,126.86,128.22,125.77,126.35,71580
2021-01-21,CCI,126.21,126.87,124.8,126.64,80631
2021-01-22,CCI,125.48,126.79,125.47,126.26,58748
2021-01-25,CCI,127.45,128.88,126.8,127.75,85825
2021-01-26,CCI,127.73,130.4,126.98,129.84,100504
2021-01-27,CCI,129.26,129.39,126.36,127.06,110029
2021-01-28,CCI,125.14,127.77,124.67,125.4,157604
2021-01-29,CCI,123.91,126.95,123.44,126.46,123452
2021-02-01,CCI,126.96,130.56,125.54,130.45,72009
2021-02-02,CCI,130.84,132.69,130.63,131.56,54270
2021-02-03,CCI,130.47,130.57,128.22,129.59,104319
2021-02-04,CCI,129.55,130.72,128.22,129.58,66584
2021-02-05,CCI,129.68,129.69,128.64,128.83,140725
2021-02-08,CCI,128.53,128.67,124.88,127.78,108455
2021-02-09,CCI,128.01,130.53,128.01,130.4,337941
2021-02-10,CCI,130.95,131.37,129.36,129.49,106844
2021-02-11,CCI,128.84,130.0,127.77,128.65,194089
2021-02-12,CCI,128.68,130.76,128.3,130.65,263193
2021-02-16,CCI,130.53,130.87,127.6,128.58,330738
2021-02-17,CCI,128.13,129.72,127.94,129.61,94292
2021-02-18,CCI,129.04,131.26,129.04,131.02,113941
2021-02-19,CCI,131.41,132.11,130.87,131.68,149745
2021-02-22,CCI,131.05,132.02,129.61,131.32,478908
2021-02-23,CCI,131.54,131.94,128.38,128.42,203240
2021-02-24,CCI,127.86,128.7,127.29,128.05,94520
2021-02-25,CCI,127.83,129.18,125.4,126.76,140336
2021-02-26,CCI,127.18,127.45,123.71,123.71,87837
2021-03-01,CCI,124.86,125.33,122.0,122.08,92607
2021-03-02,CCI,122.31,122.67,120.57,121.61,94503
2021-03-03,CCI,121.71,121.71,117.93,117.93,138512
2021-03-04,CCI,118.17,121.34,117.98,118.49,232907
2021-03-05,CCI,119.05,119.89,116.08,119.23,211500
2021-03-08,CCI,119.2,119.68,116.43,116.46,213045
2021-03-09,CCI,117.83,120.47,117.83,119.98,115774
2021-03-10,CCI,120.27,121.2,119.15,120.73,89283
2021-03-11,CCI,121.09,124.36,120.88,123.77,160204
2021-03-12,CCI,123.14,127.19,122.59,127.06,118126
2021-03-15,CCI,126.92,129.74,126.53,129.35,142207
2021-03-16,CCI,129.65,132.62,129.1,132.49,131165
2021-03-17,CCI,131.92,132.91,130.8,132.17,81495
2021-03-18,CCI,130.72,132.65,129.83,132.33,118667
2021-03-19,CCI,132.63,134.74,131.95,132.66,110951
2021-03-22,CCI,132.78,135.93,132.73,134.43,105346
2021-03-23,CCI,134.28,136.13,133.47,135.09,89719
2021-03-24,CCI,134.52,135.33,132.59,134.27,83783
2021-03-25,CCI,134.23,134.52,133.29,134.15,71974
2021-03-26,CCI,134.91,138.92,134.44,138.92,82865
2021-03-29,CCI,138.44,140.38,137.7,140.1,123911
2021-03-30,CCI,138.93,139.04,136.76,136.91,99570
2021-03-31,CCI,137.01,138.38,136.06,137.79,105701
2021-04-01,CCI,138.52,139.74,137.49,139.72,100285
2021-04-05,CCI,139.84,142.26,139.84,142.01,75439
2021-04-06,CCI,141.31,141.73,140.1,141.49,76343
2021-04-07,CCI,141.15,141.78,140.07,141.13,59302
2021-04-08,CCI,141.87,142.58,140.68,140.73,87745
2021-04-09,CCI,140.51,141.33,139.64,140.39,60921
2021-04-12,CCI,140.39,142.21,140.17,142.21,51661
2021-04-13,CCI,141.62,143.52,141.42,141.86,36086
2021-04-14,CCI,141.86,142.94,140.52,140.61,73275
2021-04-15,CCI,141.98,143.85,141.72,143.71,128289
2021-04-16,CCI,143.8,144.34,142.82,143.95,67424
2021-04-20,CCI,144.34,147.71,144.22,146.51,72083
2021-04-21,CCI,147.73,147.73,145.6,146.63,68506
2021-04-22,CCI,146.8,148.87,145.66,147.76,100870
2021-04-23,CCI,148.8,150.65,148.4,149.91,56487
2021-04-26,CCI,148.84,149.44,148.0,149.12,70405
2021-04-27,CCI,149.31,149.42,147.51,147.94,72826
2021-04-28,CCI,148.4,148.91,147.9,148.35,48544
2021-04-29,CCI,148.88,150.8,148.06,150.45,59421
2021-04-30,CCI,150.11,151.72,150.05,151.47,42404
2021-05-03,CCI,151.42,151.42,149.87,150.38,54687
2021-05-04,CCI,149.04,150.45,145.88,147.28,105427
2021-05-05,CCI,146.5,147.72,145.51,146.69,76464
2021-05-06,CCI,146.5,146.5,144.02,144.8,118947
2021-05-07,CCI,145.98,147.56,145.98,146.75,93590
2021-05-10,CCI,146.96,147.26,146.48,146.7,77898
2021-05-11,CCI,145.46,146.5,144.7,145.95,49844
2021-05-12,CCI,145.54,145.55,143.14,143.18,50271
2021-05-13,CCI,143.38,144.99,142.66,143.96,92277
2021-05-14,CCI,144.67,145.71,144.27,145.03,75154
2021-05-17,CCI,144.94,146.35,144.94,145.77,41393
2021-05-18,CCI,145.87,147.21,144.38,146.33,50345
2021-05-19,CCI,145.62,146.72,143.88,145.59,41484
2021-05-20,CCI,145.56,148.98,145.56,148.41,21368
2021-05-21,CCI,147.71,149.01,147.71,148.66,35901
2021-05-24,CCI,149.26,149.77,148.34,149.03,23327
2021-05-25,CCI,148.94,151.26,148.27,150.67,30782
2021-05-26,CCI,150.4,152.0,150.4,150.76,42163
2021-05-27,CCI,150.52,151.74,150.04,151.61,27078
2021-05-28,CCI,151.92,153.35,151.76,151.82,46188
2021-06-01,CCI,152.64,153.37,151.81,153.37,27348
2021-06-02,CCI,154.05,156.43,153.67,156.43,47289
2021-06-03,CCI,155.97,156.41,155.32,156.12,125261
2021-06-04,CCI,156.51,157.83,156.23,157.53,30107
2021-06-07,CCI,157.5,159.22,157.3,158.6,30792
2021-06-08,CCI,159.02,159.3,156.99,157.17,98986
2021-06-09,CCI,158.17,158.61,156.88,157.82,100929
2021-06-10,CCI,157.57,160.51,157.3,160.22,166369
2021-06-11,CCI,160.38,160.38,156.03,156.7,76458
2021-06-14,CCI,156.27,159.02,156.06,158.94,56168
2021-06-15,CCI,158.53,158.7,157.47,157.56,92756
2021-06-16,CCI,158.54,158.54,155.84,156.36,48662
2021-06-17,CCI,155.69,158.88,155.69,158.68,34375
2021-06-18,CCI,158.06,158.74,156.56,156.7,57649
2021-06-21,CCI,157.16,159.6,156.31,159.32,41875
2021-06-22,CCI,159.2,160.61,158.96,159.06,34675
2021-06-23,CCI,158.14,158.9,157.73,158.03,28380
2021-06-24,CCI,158.44,159.07,157.33,157.95,34755
2021-06-25,CCI,158.26,158.92,157.9,158.61,75185
2021-06-28,CCI,159.14,160.26,158.17,159.72,52627
2021-06-29,CCI,159.81,160.55,158.57,159.17,60430
2021-06-30,CCI,158.47,159.67,157.22,157.34,45207
2021-07-01,CCI,156.61,157.86,155.92,156.95,129608
2021-07-02,CCI,157.35,159.18,157.02,158.77,63436
2021-07-06,CCI,159.18,161.02,158.95,160.95,36878
2021-07-07,CCI,160.97,162.57,160.18,161.86,56908
2021-07-08,CCI,161.22,163.03,160.82,161.82,31652
2021-07-09,CCI,162.46,162.74,161.34,162.6,38407
2021-07-12,CCI,163.27,163.96,162.17,163.75,40116
2021-07-13,CCI,163.36,163.73,161.36,161.63,37864
2021-07-14,CCI,161.46,163.26,161.36,162.8,63396
2021-07-15,CCI,163.49,163.81,162.67,163.0,37768
2021-07-16,CCI,163.4,164.33,163.4,163.69,22596
2021-07-19,CCI,163.49,164.48,161.48,162.83,66910
2021-07-20,CCI,164.22,164.92,163.33,163.95,48367
2021-07-21,CCI,163.67,163.67,161.78,162.17,67571
2021-07-22,CCI,153.77,156.25,152.81,154.78,162938
2021-07-23,CCI,154.8,156.86,153.87,155.93,120363
2021-07-26,CCI,155.54,155.54,153.35,155.02,74522
2021-07-27,CCI,155.13,156.93,154.67,156.86,55054
2021-07-28,CCI,156.63,156.63,154.8,155.6,33753
2021-07-29,CCI,156.36,156.67,153.75,155.44,40836
2021-07-30,CCI,155.54,157.12,155.42,155.63,66017
2021-08-02,CCI,156.02,157.3,155.4,155.65,29431
2021-08-03,CCI,155.69,157.05,155.36,157.05,44595
2021-08-04,CCI,157.3,157.74,155.48,157.31,33732
2021-08-05,CCI,157.8,157.8,155.31,156.79,49085
2021-08-06,CCI,155.62,157.15,155.62,157.12,30073
2021-08-09,CCI,156.86,157.3,156.14,156.58,22592
2021-08-10,CCI,156.55,157.14,153.92,153.92,31162
2021-08-11,CCI,154.33,155.38,154.11,154.71,30219
2021-08-12,CCI,154.53,156.43,154.53,155.84,27576
2021-08-13,CCI,156.27,157.11,155.84,157.04,28153
2021-08-16,CCI,157.2,157.94,156.46,157.21,63348
2021-08-17,CCI,156.84,159.34,156.84,158.73,58721
2021-08-18,CCI,157.94,158.22,156.46,156.47,41775
2021-08-19,CCI,156.17,159.95,156.01,159.57,34799
2021-08-20,CCI,159.57,161.48,159.57,159.62,33090
2021-08-23,CCI,159.95,160.21,157.73,157.86,46977
2021-08-24,CCI,157.7,157.7,155.06,155.16,51945
2021-08-25,CCI,155.04,155.1,153.16,153.42,60365
2021-08-26,CCI,153.76,154.62,152.75,152.85,75256
2021-08-27,CCI,153.18,154.1,152.83,153.96,34267
2021-08-30,CCI,154.09,155.35,153.86,154.98,40168
2021-08-31,CCI,154.44,157.14,154.2,156.99,62220
2021-09-01,CCI,157.37,159.69,156.78,159.6,34091
2021-09-02,CCI,159.45,160.04,157.72,159.59,80044
2021-09-03,CCI,159.22,160.13,156.92,160.06,58306
2021-09-07,CCI,159.24,159.44,156.27,157.67,52997
2021-09-08,CCI,156.27,158.95,156.14,158.5,59483
2021-09-09,CCI,157.37,158.25,155.12,155.17,60932
2021-09-10,CCI,153.89,154.01,151.36,151.85,69497
2021-09-13,CCI,152.8,154.04,152.06,153.11,65271
2021-09-14,CCI,154.52,154.93,153.13,153.6,44062
2021-09-15,CCI,153.61,154.64,153.13,153.24,53364
2021-09-16,CCI,152.74,154.08,151.58,153.63,80222
2021-09-17,CCI,152.97,154.08,152.31,153.08,41207
2021-09-20,CCI,152.27,153.75,150.48,151.95,73729
2021-09-21,CCI,152.7,153.85,152.38,152.47,43752
2021-09-22,CCI,152.05,153.25,151.95,152.07,35011
2021-09-23,CCI,151.72,152.57,148.94,149.67,41913
2021-09-24,CCI,150.09,150.09,146.65,147.8,57692
2021-09-27,CCI,147.23,147.23,143.71,143.93,169305
2021-09-28,CCI,142.59,143.54,140.88,142.17,267542
2021-09-29,CCI,142.67,143.68,142.2,142.69,59866
2021-09-30,CCI,143.29,143.29,140.64,140.71,51128
2021-10-01,CCI,140.88,141.65,139.92,140.52,79191
2021-10-04,CCI,140.15,141.58,139.61,141.03,51723
2021-10-05,CCI,141.13,141.31,139.01,140.05,56653
2021-10-06,CCI,139.65,141.67,138.4,141.55,34866
2021-10-07,CCI,141.9,143.47,140.13,140.33,34947
2021-10-08,CCI,139.82,139.94,137.67,137.81,26067
2021-10-11,CCI,137.17,138.47,136.62,137.08,37296
2021-10-12,CCI,137.54,138.92,137.21,138.52,43405
2021-10-13,CCI,137.11,138.31,135.04,137.83,116361
2021-10-14,CCI,138.4,139.53,137.74,139.05,84778
2021-10-15,CCI,139.24,139.52,135.9,137.14,85115
2021-10-18,CCI,136.69,136.94,135.43,136.25,70279
2021-10-19,CCI,138.49,140.56,137.72,140.31,178365
2021-10-20,CCI,141.06,142.22,140.43,142.22,96249
2021-10-21,CCI,141.01,144.59,139.31,144.54,162631
2021-10-22,CCI,144.45,146.07,143.81,145.44,158302
2021-10-26,CCI,144.41,146.54,144.39,146.22,48658
2021-10-27,CCI,147.02,147.96,144.48,144.66,152591
2021-10-28,CCI,144.58,147.93,144.58,147.69,81125
2021-10-29,CCI,146.5,148.45,145.56,146.31,78791
2021-11-01,CCI,146.97,147.64,145.21,147.3,54812
2021-11-02,CCI,147.34,148.94,145.9,148.44,50779
2021-11-03,CCI,149.65,149.76,146.97,148.43,75994
2021-11-04,CCI,148.4,148.97,146.49,147.01,39677
2021-11-05,CCI,147.29,148.29,146.09,146.22,68361
2021-11-08,CCI,146.73,146.73,144.02,146.05,76012
2021-11-09,CCI,146.5,147.42,145.9,146.91,54594
2021-11-10,CCI,146.54,147.31,145.77,146.47,105719
2021-11-11,CCI,146.65,146.9,145.13,146.69,107152
2021-11-12,CCI,147.06,147.3,146.37,146.79,61261
2021-11-15,CCI,146.12,148.4,146.04,148.4,54068
2021-11-16,CCI,148.94,149.49,146.15,146.29,62036
2021-11-17,CCI,146.46,150.65,146.2,149.95,58824
2021-11-18,CCI,149.61,150.0,147.16,148.81,63961
2021-11-19,CCI,149.63,150.41,148.51,149.15,34060
2021-11-22,CCI,149.09,149.09,146.79,147.73,42316
2021-11-23,CCI,147.58,149.57,147.43,149.11,32009
2021-11-24,CCI,149.23,151.63,148.26,151.57,40893
2021-11-26,CCI,151.87,152.27,148.65,148.94,31307
2021-11-29,CCI,148.74,151.73,147.84,150.82,64290
2021-11-30,CCI,149.28,151.27,147.4,147.43,85740
2021-12-01,CCI,148.08,151.03,146.59,146.6,45196
2021-12-02,CCI,148.06,152.18,147.6,150.77,45330
2021-12-03,CCI,151.39,151.53,148.98,150.08,46950
2021-12-06,CCI,150.67,153.55,150.67,152.47,79518
2021-12-07,CCI,153.29,156.26,153.29,156.05,67418
2021-12-08,CCI,155.8,157.19,154.74,155.55,100276
2021-12-09,CCI,155.28,155.67,153.37,153.94,53536
2021-12-10,CCI,154.22,157.11,153.54,156.91,84118
2021-12-13,CCI,157.42,161.77,157.34,161.33,66202
2021-12-14,CCI,160.46,161.14,157.76,159.43,43298
2021-12-15,CCI,160.8,161.62,159.48,161.18,39773
2021-12-16,CCI,161.15,164.37,161.15,163.99,50096
2021-12-17,CCI,164.81,166.99,163.46,164.64,97238
2021-12-20,CCI,163.26,165.72,163.15,165.27,32082
2021-12-21,CCI,165.86,165.95,161.76,162.45,41526
2021-12-22,CCI,163.01,163.38,162.16,163.35,26382
2021-12-23,CCI,162.98,164.07,162.12,163.07,38885
2021-12-27,CCI,164.39,167.59,163.52,167.59,44339
2021-12-28,CCI,166.95,169.16,166.95,168.78,47182
2021-12-29,CCI,168.4,169.92,168.01,169.5,29861
2021-12-30,CCI,169.97,170.69,169.11,170.09,32344
2021-12-31,CCI,169.96,171.59,169.93,170.67,20831
2022-01-03,CCI,170.76,170.76,166.7,169.88,59416
2022-01-04,CCI,169.74,170.35,165.37,165.39,71429
2022-01-05,CCI,162.42,162.42,153.71,154.14,168773
2022-01-06,CCI,154.73,158.05,151.96,157.44,94787
2022-01-07,CCI,157.51,161.34,156.47,159.38,136148
2022-01-10,CCI,157.37,157.37,153.9,156.04,73118
2022-01-11,CCI,154.93,155.12,152.13,153.45,84702
2022-01-12,CCI,153.47,155.77,153.0,154.98,101748
2022-01-13,CCI,155.01,155.5,152.88,153.23,92809
2022-01-14,CCI,152.33,152.78,148.75,150.62,56089
2022-01-18,CCI,149.13,151.12,148.36,150.6,74653
2022-01-19,CCI,151.43,152.59,149.87,149.87,68364
2022-01-20,CCI,150.28,152.34,148.33,148.77,45779
2022-01-21,CCI,150.76,151.33,148.63,149.08,66813
2022-01-24,CCI,148.05,148.77,146.89,148.3,19814
2022-01-25,CCI,149.27,150.4,147.1,149.1,80958
2022-01-26,CCI,150.31,150.77,143.92,144.67,123916
2022-01-27,CCI,145.04,145.15,139.14,140.38,124452
