date,tic,open,high,low,close,volume
2022-02-02,CEG,48.83,54.37,48.83,51.19,1031460
2022-02-03,CEG,50.33,54.65,48.75,52.44,620404
2022-02-04,CEG,50.85,52.39,48.51,48.53,323504
2022-02-07,CEG,48.35,48.35,44.51,44.54,506124
2022-02-08,CEG,43.63,45.99,42.84,44.03,445127
2022-02-09,CEG,43.75,45.88,42.55,45.73,327142
2022-02-10,CEG,44.04,46.81,44.01,45.55,158175
2022-02-11,CEG,44.89,47.24,44.78,46.62,192951
2022-02-14,CEG,46.66,47.38,45.44,46.5,122036
2022-02-15,CEG,45.74,46.82,45.65,46.35,112856
2022-02-16,CEG,46.49,46.83,45.41,45.65,96722
2022-02-17,CEG,45.34,45.47,43.7,43.83,176979
2022-02-18,CEG,43.59,44.26,43.47,43.9,57421
2022-02-22,CEG,43.95,43.95,42.05,42.1,181813
2022-02-23,CEG,42.34,42.53,40.79,41.67,131970
2022-02-24,CEG,41.73,43.2,40.98,42.96,104062
2022-02-25,CEG,42.7,43.57,42.43,42.6,113600
2022-02-28,CEG,42.18,44.98,41.19,44.62,186174
2022-03-01,CEG,44.63,46.61,44.6,46.36,355083
2022-03-02,CEG,46.42,48.75,45.91,48.0,188583
2022-03-03,CEG,48.23,48.82,46.15,48.02,137981
2022-03-04,CEG,48.03,49.5,46.89,49.48,134807
2022-03-07,CEG,49.06,50.94,48.38,50.12,150220
2022-03-08,CEG,50.04,53.56,49.43,50.76,194763
2022-03-09,CEG,50.71,51.99,49.08,49.88,168928
2022-03-10,CEG,49.2,50.02,47.8,49.8,142161
2022-03-11,CEG,49.88,50.15,46.85,47.73,297584
2022-03-14,CEG,50.05,50.05,47.13,49.33,158881
2022-03-15,CEG,49.75,50.0,48.42,49.72,99123
2022-03-16,CEG,49.99,50.75,48.87,50.2,162969
2022-03-17,CEG,50.51,51.12,49.41,49.48,112017
2022-03-18,CEG,48.93,49.5,47.42,47.51,255188
2022-03-21,CEG,47.67,47.92,47.16,47.76,192481
2022-03-22,CEG,48.79,50.48,48.66,49.64,156834
2022-03-23,CEG,49.56,50.21,49.44,49.45,120904
2022-03-24,CEG,49.71,50.97,49.66,50.78,116950
2022-03-25,CEG,50.64,52.17,50.52,52.15,129766
2022-03-28,CEG,52.63,55.13,52.44,55.04,186424
2022-03-29,CEG,55.41,55.54,53.05,54.64,140828
2022-03-30,CEG,54.65,56.01,54.23,55.82,129920
2022-03-31,CEG,56.51,57.3,54.12,54.55,86802
2022-04-01,CEG,54.88,56.55,54.16,56.25,120646
2022-04-04,CEG,56.63,56.87,55.94,56.66,86889
2022-04-05,CEG,56.85,58.41,56.79,57.13,73206
2022-04-06,CEG,57.06,58.28,56.89,57.79,175769
2022-04-07,CEG,57.75,59.23,57.75,59.11,246855
2022-04-08,CEG,59.7,62.9,59.22,62.03,263006
2022-04-11,CEG,62.2,62.2,58.6,58.91,172111
2022-04-12,CEG,59.27,61.3,59.17,60.06,213586
2022-04-13,CEG,60.47,62.61,60.01,62.27,97893
2022-04-14,CEG,62.59,62.59,60.42,60.63,100242
2022-04-18,CEG,60.71,62.24,60.71,61.43,71542
2022-04-19,CEG,61.86,64.88,61.0,64.74,84716
2022-04-20,CEG,65.96,66.28,63.12,63.45,93565
