date,tic,open,high,low,close,volume
2021-01-04,CF,35.09,35.44,34.16,34.6,73423
2021-01-05,CF,35.12,36.34,34.92,35.95,89030
2021-01-06,CF,36.73,38.81,36.73,38.34,141375
2021-01-07,CF,39.1,39.47,38.24,38.38,118998
2021-01-08,CF,38.67,38.82,37.85,38.79,69870
2021-01-11,CF,38.05,38.99,37.64,38.71,126759
2021-01-12,CF,38.94,41.24,38.69,41.09,118603
2021-01-13,CF,41.41,42.18,40.37,40.72,153209
2021-01-14,CF,40.83,41.19,40.66,40.69,179574
2021-01-15,CF,40.49,41.0,39.83,40.91,122412
2021-01-19,CF,41.33,41.36,39.95,40.39,161300
2021-01-20,CF,40.54,40.64,39.27,39.6,84840
2021-01-21,CF,39.66,39.95,38.83,39.01,73802
2021-01-22,CF,38.37,39.1,38.31,38.98,46624
2021-01-25,CF,38.65,39.16,37.9,38.99,71335
2021-01-26,CF,39.63,39.66,37.63,37.71,74571
2021-01-27,CF,36.97,37.45,35.82,36.69,122436
2021-01-28,CF,37.32,38.03,36.96,37.9,164019
2021-01-29,CF,37.69,38.56,36.8,37.14,193001
2021-02-01,CF,37.79,38.85,37.79,38.61,80156
2021-02-02,CF,39.05,39.34,38.35,38.95,75454
2021-02-03,CF,39.16,39.65,38.33,38.4,106215
2021-02-04,CF,38.27,39.2,38.0,38.75,96650
2021-02-05,CF,39.29,39.87,38.45,38.73,40533
2021-02-08,CF,39.35,39.86,38.92,39.45,85136
2021-02-09,CF,39.54,39.65,39.02,39.46,52409
2021-02-10,CF,39.73,39.73,37.9,38.81,102475
2021-02-11,CF,38.89,39.03,38.13,38.72,62684
2021-02-12,CF,38.48,40.11,38.44,40.11,67416
2021-02-16,CF,40.55,41.17,39.67,40.88,108175
2021-02-17,CF,40.43,40.99,39.85,40.7,107868
2021-02-18,CF,41.26,41.79,38.82,39.68,210354
2021-02-19,CF,40.22,41.43,39.85,41.35,118310
2021-02-22,CF,41.38,42.88,41.14,42.38,162480
2021-02-23,CF,42.01,42.47,40.51,42.27,55145
2021-02-24,CF,42.22,44.17,42.19,43.94,125512
2021-02-25,CF,43.86,43.86,41.85,42.18,112073
2021-02-26,CF,41.88,41.88,40.17,40.93,97512
2021-03-01,CF,42.0,42.4,41.26,41.48,82972
2021-03-02,CF,41.48,41.86,41.01,41.6,92363
2021-03-03,CF,41.8,43.2,41.8,42.42,131783
2021-03-04,CF,42.45,42.73,40.22,41.12,144744
2021-03-05,CF,41.65,42.67,39.77,42.58,158455
2021-03-08,CF,42.95,45.76,42.95,44.87,247760
2021-03-09,CF,44.66,44.87,43.53,43.56,109247
2021-03-10,CF,43.79,44.72,43.0,44.62,97898
2021-03-11,CF,45.45,46.07,45.12,45.69,85125
2021-03-12,CF,45.78,46.27,44.22,44.55,99558
2021-03-15,CF,44.72,46.0,44.49,45.97,81663
2021-03-16,CF,46.07,46.07,43.79,44.18,99898
2021-03-17,CF,43.91,45.28,43.91,45.25,85885
2021-03-18,CF,45.35,45.77,43.55,43.7,100937
2021-03-19,CF,43.54,44.07,42.07,43.6,92095
2021-03-22,CF,43.6,43.66,42.11,42.39,79939
2021-03-23,CF,41.67,41.76,40.13,40.49,124798
