date,tic,open,high,low,close,volume
2021-01-04,CFG,29.15,29.25,28.23,28.7,89390
2021-01-05,CFG,28.71,29.63,28.62,29.33,167921
2021-01-06,CFG,30.42,31.9,30.42,31.35,260531
2021-01-07,CFG,31.81,32.86,31.81,32.47,170664
2021-01-08,CFG,32.35,32.36,31.3,31.98,173287
2021-01-11,CFG,31.52,32.35,31.31,32.17,109292
2021-01-12,CFG,32.27,32.99,31.99,32.59,85211
2021-01-13,CFG,32.36,32.78,32.14,32.59,92492
2021-01-14,CFG,32.8,33.67,32.74,33.5,80143
2021-01-15,CFG,32.53,33.09,32.32,32.84,238024
2021-01-19,CFG,33.04,33.23,32.66,33.0,170471
2021-01-20,CFG,32.83,33.54,31.89,32.41,139486
2021-01-21,CFG,32.31,32.51,31.1,31.44,168894
2021-01-22,CFG,31.01,31.38,30.68,31.05,155819
2021-01-25,CFG,30.58,30.79,29.65,30.76,202594
2021-01-26,CFG,31.12,31.24,29.91,29.94,103467
2021-01-27,CFG,29.49,29.63,28.36,28.41,218431
2021-01-28,CFG,29.13,30.4,28.93,30.08,171816
2021-01-29,CFG,29.91,30.46,29.1,29.45,149463
2021-02-01,CFG,29.73,30.09,29.36,30.07,137260
2021-02-02,CFG,30.59,31.64,30.59,31.06,165670
2021-02-03,CFG,30.94,31.75,30.94,31.68,125692
2021-02-04,CFG,32.14,32.94,32.06,32.61,168950
2021-02-05,CFG,33.05,33.34,32.49,32.64,78835
2021-02-08,CFG,32.86,33.26,32.66,33.05,92953
2021-02-09,CFG,32.85,33.28,32.5,33.14,89417
2021-02-10,CFG,33.28,33.61,32.92,32.93,108282
2021-02-11,CFG,32.79,33.19,32.06,32.64,93320
2021-02-12,CFG,32.85,33.32,32.77,33.08,74766
2021-02-16,CFG,33.54,34.6,33.54,34.3,145193
2021-02-17,CFG,34.21,34.71,33.67,34.15,122708
2021-02-18,CFG,33.69,33.86,33.0,33.45,142900
2021-02-19,CFG,33.68,34.93,33.68,34.7,145279
2021-02-22,CFG,34.61,35.71,34.56,35.3,177459
2021-02-23,CFG,35.54,36.38,35.42,36.29,210149
2021-02-24,CFG,36.63,37.99,36.55,37.89,216033
2021-02-25,CFG,38.24,38.3,35.97,36.12,285661
2021-02-26,CFG,35.66,36.29,35.01,35.5,175883
2021-03-01,CFG,36.41,36.7,35.95,36.19,128563
2021-03-02,CFG,36.08,36.86,35.87,36.3,199668
2021-03-03,CFG,36.87,37.56,36.25,36.4,213839
2021-03-04,CFG,36.27,36.86,34.96,35.65,279473
2021-03-05,CFG,36.57,36.83,34.69,36.17,203530
2021-03-08,CFG,36.82,38.03,36.35,37.42,212829
2021-03-09,CFG,36.52,36.76,35.72,36.01,305591
2021-03-10,CFG,36.0,36.57,35.79,36.43,205558
2021-03-11,CFG,36.19,36.64,35.89,36.45,174172
2021-03-12,CFG,37.19,37.53,36.81,37.14,187945
2021-03-15,CFG,37.26,37.26,35.96,36.7,148387
2021-03-16,CFG,36.21,36.32,35.42,35.88,302565
2021-03-17,CFG,36.35,36.81,35.93,36.48,200211
2021-03-18,CFG,37.41,38.79,36.94,37.04,334583
2021-03-19,CFG,36.4,37.21,35.7,36.36,494164
2021-03-22,CFG,36.25,36.25,35.05,35.46,262745
2021-03-23,CFG,35.15,35.6,34.4,34.51,257719
2021-03-24,CFG,35.39,35.64,34.48,34.48,138561
2021-03-25,CFG,34.45,36.2,34.13,36.0,222794
2021-03-26,CFG,36.72,37.06,36.18,36.75,230445
2021-03-29,CFG,36.05,36.11,35.01,35.4,170265
2021-03-30,CFG,35.85,36.81,35.85,36.48,120275
2021-03-31,CFG,36.4,36.74,35.95,36.04,151006
2021-04-01,CFG,35.9,36.69,35.9,36.66,154208
2021-04-05,CFG,37.25,37.53,36.44,36.7,129549
2021-04-06,CFG,36.57,36.71,36.11,36.58,96281
2021-04-07,CFG,36.84,37.0,36.44,36.74,125299
2021-04-08,CFG,36.46,36.66,35.72,36.55,149592
2021-04-09,CFG,36.83,37.31,36.75,37.05,113377
2021-04-12,CFG,37.25,37.57,37.13,37.47,107100
2021-04-13,CFG,36.98,36.98,36.35,36.58,115564
2021-04-14,CFG,36.48,37.41,36.43,37.12,116270
2021-04-15,CFG,37.2,37.2,35.8,36.45,264310
2021-04-16,CFG,36.96,37.16,36.17,36.6,209739
2021-04-20,CFG,36.18,36.18,34.62,34.9,194186
2021-04-21,CFG,34.65,35.96,34.29,35.96,116122
2021-04-22,CFG,36.01,36.09,35.23,35.24,261136
2021-04-23,CFG,35.34,36.79,35.17,36.68,211853
2021-04-26,CFG,37.01,37.74,36.97,37.35,151669
2021-04-27,CFG,37.42,37.73,37.33,37.64,78135
2021-04-28,CFG,37.76,38.23,37.7,38.02,95815
2021-04-29,CFG,38.6,39.04,38.27,38.71,103894
2021-04-30,CFG,38.41,38.88,38.0,38.1,111530
2021-05-03,CFG,38.68,38.85,38.04,38.54,81643
2021-05-04,CFG,38.3,39.58,37.94,39.57,154062
2021-05-05,CFG,39.68,40.36,39.0,40.09,148772
2021-05-06,CFG,40.37,40.47,39.36,40.47,117451
2021-05-07,CFG,39.52,40.75,39.4,40.72,105366
2021-05-10,CFG,41.07,41.45,40.63,40.63,187960
2021-05-11,CFG,40.33,41.24,39.97,40.34,129056
2021-05-12,CFG,40.76,41.1,39.38,39.5,102043
2021-05-13,CFG,39.24,41.0,39.18,40.73,136565
2021-05-14,CFG,41.0,41.67,40.76,41.55,112002
2021-05-17,CFG,41.44,41.81,41.05,41.78,74253
2021-05-18,CFG,41.86,42.09,40.85,40.85,71755
2021-05-19,CFG,40.32,40.33,39.53,40.3,127964
2021-05-20,CFG,40.31,40.41,39.65,40.0,119868
2021-05-21,CFG,40.22,41.01,40.18,40.68,74015
2021-05-24,CFG,40.76,40.86,40.34,40.6,54713
2021-05-25,CFG,40.75,41.32,39.79,39.81,71817
2021-05-26,CFG,40.06,40.69,39.92,40.4,108458
