date,tic,open,high,low,close,volume
2021-01-04,CHD,82.38,82.7,80.71,81.55,70895
2021-01-05,CHD,81.54,81.82,80.43,80.93,95002
2021-01-06,CHD,80.56,81.64,80.5,80.98,55099
2021-01-07,CHD,80.41,80.83,79.37,80.06,77280
2021-01-08,CHD,80.01,80.51,79.01,80.51,74662
2021-01-11,CHD,80.69,81.34,79.73,80.08,63359
2021-01-12,CHD,80.0,80.0,78.83,79.1,81156
2021-01-13,CHD,79.58,80.04,78.85,79.65,50370
2021-01-14,CHD,79.57,80.18,79.32,79.68,54437
2021-01-15,CHD,79.65,80.91,79.16,80.39,48544
2021-01-19,CHD,80.94,80.94,79.65,80.28,51483
2021-01-20,CHD,80.03,80.34,79.14,79.92,70368
2021-01-21,CHD,79.59,80.47,79.57,80.27,54845
2021-01-22,CHD,80.84,80.99,79.72,80.07,87096
2021-01-25,CHD,80.32,83.38,80.32,82.1,82604
2021-01-26,CHD,82.01,83.01,81.16,82.98,55530
2021-01-27,CHD,82.95,84.91,82.57,82.69,141526
2021-01-28,CHD,82.61,83.6,81.88,81.93,94719
2021-01-29,CHD,82.2,82.2,79.53,79.56,104399
2021-02-01,CHD,79.91,80.45,78.3,79.11,204026
2021-02-02,CHD,78.77,79.03,77.89,77.9,121574
2021-02-03,CHD,78.28,78.83,77.12,78.23,77021
2021-02-04,CHD,77.64,78.39,76.84,77.47,60676
2021-02-05,CHD,77.75,79.25,77.37,78.07,61760
2021-02-08,CHD,78.41,78.59,77.26,77.64,55159
2021-02-09,CHD,77.61,78.26,76.96,78.17,73597
2021-02-10,CHD,78.62,79.21,78.36,78.47,115629
2021-02-11,CHD,78.6,78.83,77.51,77.88,41927
2021-02-12,CHD,77.63,78.43,77.33,78.43,51554
2021-02-16,CHD,78.2,78.45,77.15,77.17,55879
2021-02-17,CHD,76.97,78.36,76.83,78.26,61397
2021-02-18,CHD,78.14,79.15,77.85,78.98,54336
2021-02-19,CHD,78.43,78.72,76.99,77.05,37539
2021-02-22,CHD,77.11,77.11,75.72,76.14,43622
2021-02-23,CHD,76.16,76.99,75.83,76.61,69912
2021-02-24,CHD,75.94,76.11,74.43,75.23,87031
2021-02-25,CHD,75.36,76.42,74.56,75.08,56273
2021-02-26,CHD,75.25,75.75,74.5,74.5,72967
2021-03-01,CHD,74.9,75.87,74.31,74.33,40031
2021-03-02,CHD,74.46,75.49,74.29,74.87,61145
2021-03-03,CHD,74.61,75.02,74.12,74.13,58097
2021-03-04,CHD,74.45,75.18,73.47,73.62,85179
2021-03-05,CHD,73.78,75.88,73.42,75.58,150667
2021-03-08,CHD,75.22,77.05,74.92,76.39,68306
2021-03-09,CHD,76.73,77.84,75.88,76.09,76053
2021-03-10,CHD,75.95,77.4,75.3,76.71,59490
2021-03-11,CHD,76.0,77.95,76.0,77.06,51408
2021-03-12,CHD,77.46,78.68,77.46,78.37,79819
2021-03-15,CHD,78.67,78.93,77.34,78.38,60440
2021-03-16,CHD,78.26,79.14,78.18,78.85,50057
2021-03-17,CHD,78.87,78.87,77.65,77.67,57042
2021-03-18,CHD,77.54,78.27,76.5,77.76,92855
2021-03-19,CHD,77.84,79.35,77.84,78.54,84490
2021-03-22,CHD,78.38,80.05,78.01,79.85,96616
2021-03-23,CHD,80.22,81.34,79.44,81.0,89658
2021-03-24,CHD,80.11,80.46,78.61,79.95,86182
2021-03-25,CHD,80.36,81.36,79.85,81.34,123758
2021-03-26,CHD,80.95,82.78,80.63,82.65,99034
2021-03-29,CHD,82.97,84.46,82.89,83.76,95052
2021-03-30,CHD,83.19,83.49,82.47,83.1,126171
2021-03-31,CHD,82.79,83.63,82.19,82.58,94106
2021-04-01,CHD,82.07,82.07,80.62,81.79,96781
2021-04-05,CHD,82.17,83.13,82.0,82.7,137627
2021-04-06,CHD,82.43,83.95,82.43,83.4,57732
2021-04-07,CHD,83.65,83.65,82.79,83.02,52088
2021-04-08,CHD,83.0,83.4,82.21,82.59,54448
2021-04-09,CHD,82.54,83.16,81.74,82.06,59508
2021-04-12,CHD,82.36,82.96,81.84,82.64,56943
2021-04-13,CHD,82.23,82.68,81.94,82.08,30359
2021-04-14,CHD,82.0,82.37,81.51,82.11,48435
2021-04-15,CHD,82.45,83.09,82.23,82.88,48756
2021-04-16,CHD,83.23,83.41,82.54,83.14,31945
2021-04-20,CHD,82.79,85.32,82.79,84.31,59613
2021-04-21,CHD,84.71,85.19,84.32,84.96,89466
2021-04-22,CHD,84.44,85.26,84.32,84.77,33348
2021-04-23,CHD,84.37,84.37,82.59,82.84,102592
2021-04-26,CHD,82.66,82.66,80.9,81.37,125918
2021-04-27,CHD,80.66,80.68,79.76,80.16,89889
2021-04-28,CHD,80.32,80.57,79.39,79.77,80377
2021-04-29,CHD,80.02,81.44,79.74,81.29,93548
2021-04-30,CHD,81.18,81.22,79.69,81.02,127820
2021-05-03,CHD,80.96,82.98,80.81,82.71,46725
2021-05-04,CHD,82.97,84.62,82.74,84.56,99776
2021-05-05,CHD,84.2,84.28,82.92,83.5,90184
2021-05-06,CHD,83.91,84.26,83.44,83.64,59302
2021-05-07,CHD,83.87,84.04,82.68,82.69,39893
2021-05-10,CHD,83.13,84.87,83.13,84.51,48185
2021-05-11,CHD,85.03,85.03,83.18,83.28,72620
2021-05-12,CHD,83.43,83.57,82.6,82.68,55876
2021-05-13,CHD,82.4,84.66,82.24,84.05,114975
2021-05-14,CHD,84.32,84.76,83.91,83.96,63952
2021-05-17,CHD,84.34,84.78,83.62,83.71,80300
2021-05-18,CHD,83.45,84.08,82.99,83.27,51096
2021-05-19,CHD,83.28,83.28,82.14,83.15,42621
2021-05-20,CHD,83.46,83.92,82.78,82.85,46140
2021-05-21,CHD,83.05,83.09,82.5,82.64,64517
2021-05-24,CHD,83.2,83.25,82.47,82.69,22477
2021-05-25,CHD,82.59,82.59,81.36,82.41,48907
2021-05-26,CHD,82.42,82.51,81.53,82.17,51165
