date,tic,open,high,low,close,volume
2021-01-04,CINF,77.72,77.93,74.18,74.73,64128
2021-01-05,CINF,74.25,75.53,73.06,73.94,28749
2021-01-06,CINF,75.82,77.9,75.12,77.44,30519
2021-01-07,CINF,77.83,78.03,76.81,77.53,27471
2021-01-08,CINF,77.15,77.65,76.57,77.58,19953
2021-01-11,CINF,77.05,78.88,76.87,78.37,26243
2021-01-12,CINF,78.83,82.88,78.83,81.79,29254
2021-01-13,CINF,81.6,81.9,80.26,81.17,53653
2021-01-14,CINF,81.32,82.86,80.97,82.65,58037
2021-01-15,CINF,82.04,83.79,81.9,82.75,69774
2021-01-19,CINF,82.84,83.64,82.74,82.92,69991
2021-01-20,CINF,83.09,83.34,80.86,81.82,23655
2021-01-21,CINF,81.8,81.8,78.05,78.1,58992
2021-01-22,CINF,77.28,77.6,74.86,77.22,40011
2021-01-25,CINF,75.7,78.59,75.49,78.19,90467
2021-01-26,CINF,78.86,78.87,76.72,76.73,287484
2021-01-27,CINF,75.23,76.04,74.24,74.41,446297
2021-01-28,CINF,75.27,76.19,75.12,75.68,45584
2021-01-29,CINF,75.21,75.61,73.88,74.25,41455
2021-02-01,CINF,74.7,77.74,74.7,77.34,58595
2021-02-02,CINF,77.25,77.67,76.22,77.06,33661
2021-02-03,CINF,76.57,76.84,75.37,76.14,29669
2021-02-04,CINF,76.15,77.71,76.06,77.19,45868
2021-02-05,CINF,77.39,77.6,76.64,76.64,16054
2021-02-08,CINF,76.66,77.57,76.44,77.51,41518
2021-02-09,CINF,77.38,78.45,76.59,76.91,93868
2021-02-10,CINF,77.13,78.96,77.13,78.51,39392
2021-02-11,CINF,80.14,83.88,80.14,80.75,90135
2021-02-12,CINF,80.16,81.74,80.16,81.74,25698
2021-02-16,CINF,82.39,82.49,80.04,80.31,28600
2021-02-17,CINF,80.34,82.89,80.34,82.86,43282
2021-02-18,CINF,82.2,84.33,81.83,83.77,34118
2021-02-19,CINF,84.37,85.77,84.22,85.02,32204
2021-02-22,CINF,85.0,86.03,84.22,85.73,30694
2021-02-23,CINF,86.71,87.55,85.54,87.05,29058
2021-02-24,CINF,87.02,89.64,87.02,89.26,29090
2021-02-25,CINF,89.58,90.23,87.34,87.4,32199
2021-02-26,CINF,87.31,88.12,85.98,86.71,45988
2021-03-01,CINF,87.87,90.39,87.67,89.46,37598
2021-03-02,CINF,88.91,89.49,88.3,88.5,22011
2021-03-03,CINF,88.52,90.48,88.52,89.43,43336
2021-03-04,CINF,89.21,89.79,87.01,88.19,31535
2021-03-05,CINF,89.72,92.5,88.55,92.24,49742
2021-03-08,CINF,92.81,95.71,91.97,94.7,30778
2021-03-09,CINF,93.44,95.44,92.87,93.26,24535
2021-03-10,CINF,93.64,94.91,93.37,93.99,23956
2021-03-11,CINF,92.92,93.67,92.41,92.63,20488
2021-03-12,CINF,94.56,95.2,93.96,95.16,34206
2021-03-15,CINF,94.96,96.25,93.71,96.22,42124
2021-03-16,CINF,95.26,95.36,92.7,94.63,44679
2021-03-17,CINF,95.14,95.36,93.73,94.33,71404
2021-03-18,CINF,95.31,96.75,94.16,95.85,83954
2021-03-19,CINF,94.79,96.25,93.74,95.13,57827
2021-03-22,CINF,95.27,95.77,93.69,94.12,36513
2021-03-23,CINF,93.45,94.17,92.5,93.07,14817
2021-03-24,CINF,92.98,94.61,92.97,92.97,17787
2021-03-25,CINF,92.97,94.47,91.81,94.32,39184
2021-03-26,CINF,94.55,94.91,93.18,94.01,47076
2021-03-29,CINF,93.14,93.23,91.46,92.45,41034
2021-03-30,CINF,93.07,93.77,92.78,93.4,49347
2021-03-31,CINF,92.78,92.86,91.65,91.77,27389
2021-04-01,CINF,91.72,93.26,91.07,92.58,37091
2021-04-05,CINF,93.32,94.12,93.02,93.83,22733
2021-04-06,CINF,93.75,94.25,93.0,94.21,15466
2021-04-07,CINF,94.15,94.27,92.84,93.57,25184
2021-04-08,CINF,93.19,93.61,92.8,92.91,23086
2021-04-09,CINF,93.36,93.58,92.36,93.46,53457
2021-04-12,CINF,93.88,94.73,93.69,94.73,27130
2021-04-13,CINF,94.47,94.75,93.73,93.83,10377
2021-04-14,CINF,94.18,94.79,93.96,94.19,30587
2021-04-15,CINF,94.7,94.79,93.92,94.69,35586
2021-04-16,CINF,95.53,95.53,94.14,94.63,22501
2021-04-19,CINF,95.1,95.42,94.04,95.34,15597
2021-04-20,CINF,95.32,96.35,94.63,95.2,14056
2021-04-21,CINF,96.7,97.75,96.49,97.75,20889
2021-04-22,CINF,97.03,98.0,96.55,96.91,18639
2021-04-23,CINF,97.52,97.97,97.17,97.23,27226
2021-04-26,CINF,97.47,98.48,96.41,96.92,31996
2021-04-27,CINF,97.03,97.38,96.23,96.42,32870
2021-04-28,CINF,96.07,96.18,94.51,94.97,39372
2021-04-29,CINF,96.8,99.71,96.79,99.13,95775
2021-04-30,CINF,98.67,100.29,98.08,100.11,60256
2021-05-03,CINF,101.61,102.64,99.67,102.16,53369
2021-05-04,CINF,102.09,103.63,102.09,103.47,87662
2021-05-05,CINF,103.32,105.04,102.73,104.61,114236
2021-05-06,CINF,105.54,106.48,104.85,106.48,28595
2021-05-07,CINF,105.09,107.14,105.09,107.01,118641
2021-05-10,CINF,108.25,108.81,107.32,107.35,29429
2021-05-11,CINF,106.06,106.78,104.82,105.07,45759
2021-05-12,CINF,105.67,105.8,103.85,104.02,23711
2021-05-13,CINF,104.89,107.14,104.89,106.74,28238
2021-05-14,CINF,107.22,108.24,106.47,107.54,21522
