date,tic,open,high,low,close,volume
2021-01-04,CL,75.49,76.06,74.31,74.95,101407
2021-01-05,CL,75.17,75.44,74.16,75.17,77089
2021-01-06,CL,74.85,75.4,72.84,73.15,318004
2021-01-07,CL,72.98,73.43,72.23,72.76,187040
2021-01-08,CL,73.09,73.48,72.8,73.31,333644
2021-01-11,CL,73.17,73.87,73.07,73.11,158899
2021-01-12,CL,73.25,73.58,72.92,73.16,261329
2021-01-13,CL,73.47,73.76,73.27,73.36,158552
2021-01-14,CL,73.53,73.61,72.61,72.88,154275
2021-01-15,CL,72.92,73.32,72.67,72.86,254262
2021-01-19,CL,73.32,73.34,71.83,71.95,271271
2021-01-20,CL,70.98,71.56,70.18,71.37,315877
2021-01-21,CL,71.54,71.54,70.08,70.52,343589
2021-01-22,CL,70.42,70.59,69.69,69.96,237242
2021-01-25,CL,70.04,70.76,69.93,70.31,402189
2021-01-26,CL,70.36,70.74,69.73,70.49,400623
2021-01-27,CL,70.4,70.62,69.63,69.78,356302
2021-01-28,CL,69.95,71.4,69.81,70.78,400817
2021-01-29,CL,70.55,71.74,69.66,69.69,478289
2021-02-01,CL,70.48,71.29,70.07,70.26,229403
2021-02-02,CL,70.59,71.32,70.3,70.55,370648
2021-02-03,CL,70.66,71.02,70.27,70.57,281296
2021-02-04,CL,70.47,70.91,70.18,70.62,279356
2021-02-05,CL,70.88,71.61,70.85,71.46,147154
2021-02-08,CL,71.63,71.66,70.91,71.29,198585
2021-02-09,CL,71.22,71.22,70.11,70.37,119080
2021-02-10,CL,70.62,71.07,70.01,70.78,171805
2021-02-11,CL,70.88,70.93,70.09,70.14,127930
2021-02-12,CL,70.07,70.2,69.58,70.17,88248
2021-02-16,CL,69.9,69.96,68.95,69.96,173755
2021-02-17,CL,69.71,70.6,69.71,70.17,194234
2021-02-18,CL,70.06,70.52,69.86,70.41,175560
2021-02-19,CL,70.28,70.4,68.98,69.02,86461
2021-02-22,CL,68.98,69.27,68.77,69.11,110911
2021-02-23,CL,69.61,70.16,68.9,69.34,148817
2021-02-24,CL,68.93,69.38,68.54,68.56,162687
2021-02-25,CL,68.58,69.02,68.24,68.6,140096
2021-02-26,CL,68.34,68.47,67.31,67.31,219564
2021-03-01,CL,67.59,68.3,67.55,67.64,255335
2021-03-02,CL,67.66,68.02,67.33,67.48,233018
2021-03-03,CL,67.22,67.23,66.37,66.68,199819
2021-03-04,CL,66.98,67.92,66.44,66.55,349311
2021-03-05,CL,66.71,68.2,66.71,68.06,315172
2021-03-08,CL,67.77,69.11,67.46,68.42,225430
2021-03-09,CL,68.66,69.17,66.96,67.04,291243
2021-03-10,CL,67.32,68.28,66.34,67.82,271419
2021-03-11,CL,67.56,67.84,67.21,67.33,137059
2021-03-12,CL,67.89,68.21,67.45,67.52,141946
2021-03-15,CL,67.98,68.04,67.01,67.7,264350
2021-03-16,CL,67.82,68.31,67.55,67.86,165066
2021-03-17,CL,68.11,68.32,67.46,67.78,161707
2021-03-18,CL,67.75,68.17,66.81,68.04,148221
2021-03-19,CL,68.16,68.39,66.96,67.12,250712
2021-03-22,CL,67.09,67.92,67.02,67.79,438038
2021-03-23,CL,68.08,70.05,67.85,69.57,256747
2021-03-24,CL,69.0,69.99,68.92,69.56,238323
2021-03-25,CL,70.03,70.25,69.31,69.7,219138
2021-03-26,CL,69.76,70.89,69.35,70.88,182694
2021-03-29,CL,70.86,71.54,70.86,71.46,245400
2021-03-30,CL,71.08,71.31,70.68,71.0,192154
2021-03-31,CL,71.16,71.39,70.32,70.52,218187
2021-04-01,CL,70.36,70.7,69.41,70.27,144562
2021-04-05,CL,70.47,71.47,70.47,71.16,128730
2021-04-06,CL,71.04,71.66,70.87,71.44,163650
2021-04-07,CL,71.66,71.84,71.09,71.21,202750
2021-04-08,CL,71.38,71.39,70.84,71.28,153061
2021-04-09,CL,71.31,71.7,70.83,71.32,107566
2021-04-12,CL,71.38,71.97,71.22,71.7,164653
2021-04-13,CL,71.25,71.39,70.8,71.34,227358
2021-04-14,CL,71.36,71.38,70.67,70.99,149089
2021-04-15,CL,71.21,72.22,71.21,71.97,156396
2021-04-16,CL,72.3,72.42,71.86,72.17,156704
2021-04-20,CL,71.8,73.65,71.8,73.17,160644
2021-04-21,CL,73.47,73.78,72.69,72.99,83194
2021-04-22,CL,72.81,73.42,72.63,72.92,163434
2021-04-23,CL,72.41,72.52,71.49,71.77,130588
2021-04-26,CL,71.84,71.84,71.04,71.31,144331
2021-04-27,CL,71.03,71.1,70.53,70.65,137907
2021-04-28,CL,71.12,71.28,70.69,70.86,94102
2021-04-29,CL,71.13,72.16,71.13,71.82,166625
2021-04-30,CL,71.91,72.99,71.77,72.61,238460
2021-05-03,CL,72.75,73.07,72.15,72.92,105114
2021-05-04,CL,73.03,73.76,72.73,72.94,126579
2021-05-05,CL,72.86,73.35,72.47,73.09,94189
2021-05-06,CL,73.33,74.08,73.33,74.03,148941
2021-05-07,CL,73.97,74.23,73.68,73.91,93823
2021-05-10,CL,74.3,75.45,74.24,74.97,197561
2021-05-11,CL,75.03,75.21,73.95,74.16,215993
2021-05-12,CL,74.2,74.51,73.73,73.83,218546
2021-05-13,CL,73.49,75.33,73.29,74.92,225726
2021-05-14,CL,75.25,75.56,75.03,75.18,198455
2021-05-17,CL,75.36,75.8,75.02,75.15,89596
2021-05-18,CL,74.89,75.41,74.48,74.73,107259
2021-05-19,CL,74.44,74.88,74.17,74.84,271335
2021-05-20,CL,74.81,76.15,74.81,75.62,151940
2021-05-21,CL,75.87,76.12,75.58,75.78,101166
2021-05-24,CL,75.83,76.37,75.67,75.93,80376
2021-05-25,CL,75.96,76.12,75.5,76.11,88794
2021-05-26,CL,76.24,76.24,75.76,75.93,118337
2021-05-27,CL,75.9,76.14,75.29,75.31,125232
2021-05-28,CL,75.65,76.07,75.31,75.37,140748
2021-06-01,CL,76.38,76.45,73.88,74.19,137517
2021-06-02,CL,74.33,74.91,74.22,74.55,96497
2021-06-03,CL,74.52,75.52,74.41,75.5,128542
2021-06-04,CL,75.85,76.01,75.29,75.54,84253
2021-06-07,CL,75.4,75.54,75.01,75.47,64036
2021-06-08,CL,75.73,75.73,74.54,74.59,69304
2021-06-09,CL,75.11,75.44,74.26,74.26,148738
2021-06-10,CL,74.28,75.24,74.28,75.2,94280
2021-06-11,CL,75.12,75.26,74.77,75.19,49736
2021-06-14,CL,75.22,75.22,74.55,75.02,40778
2021-06-15,CL,75.36,75.37,74.8,74.89,97840
2021-06-16,CL,75.21,75.23,73.69,73.72,92587
2021-06-17,CL,73.61,74.33,73.29,74.11,77109
2021-06-18,CL,73.79,73.8,72.89,72.89,89706
2021-06-21,CL,73.17,73.34,72.98,73.25,85112
2021-06-22,CL,73.28,73.46,72.88,73.08,73510
2021-06-23,CL,73.13,73.13,72.18,72.2,133525
2021-06-24,CL,72.32,72.72,72.18,72.44,102083
2021-06-25,CL,72.51,73.31,72.26,73.29,80849
2021-06-28,CL,73.46,74.02,73.41,73.53,69751
2021-06-29,CL,73.72,73.82,72.93,73.08,125264
2021-06-30,CL,73.21,73.43,72.7,73.18,191265
2021-07-01,CL,73.46,73.65,73.09,73.51,106413
2021-07-02,CL,73.68,73.83,73.4,73.47,74560
2021-07-06,CL,73.51,73.84,73.27,73.73,82707
2021-07-07,CL,73.93,74.73,73.79,74.34,96131
2021-07-08,CL,74.25,74.64,73.85,74.06,77819
2021-07-09,CL,74.27,74.49,74.01,74.14,60768
2021-07-12,CL,74.36,74.76,74.19,74.6,121100
2021-07-13,CL,74.49,74.93,74.07,74.33,92835
2021-07-14,CL,74.52,74.97,74.04,74.84,73626
2021-07-15,CL,74.87,75.33,74.36,75.23,151197
2021-07-16,CL,75.25,76.0,75.25,75.9,180351
2021-07-19,CL,75.8,76.38,74.84,75.49,139855
2021-07-20,CL,75.79,76.66,74.77,74.79,140663
2021-07-21,CL,74.85,74.97,74.24,74.32,95004
2021-07-22,CL,73.9,74.56,73.53,74.01,100469
2021-07-23,CL,73.89,75.47,73.77,75.33,85758
2021-07-26,CL,75.18,76.23,75.08,76.09,150392
2021-07-27,CL,75.82,76.47,75.53,75.98,77578
2021-07-28,CL,75.87,76.2,75.22,75.22,70374
2021-07-29,CL,75.45,75.81,75.1,75.51,138366
2021-07-30,CL,72.9,73.29,71.65,71.91,584471
2021-08-02,CL,71.98,72.19,71.2,71.94,110449
2021-08-03,CL,71.84,72.24,71.55,71.8,127545
2021-08-04,CL,71.74,71.81,70.38,70.74,161914
2021-08-05,CL,71.14,71.77,70.97,71.28,147128
2021-08-06,CL,71.5,71.67,70.82,71.12,97574
2021-08-09,CL,71.31,71.33,70.58,70.87,64295
2021-08-10,CL,70.91,71.2,70.54,71.19,75540
2021-08-11,CL,71.59,71.74,71.25,71.55,142184
2021-08-12,CL,71.96,71.96,71.25,71.25,61781
2021-08-13,CL,71.2,71.95,71.2,71.84,105309
2021-08-16,CL,71.93,72.46,71.93,72.15,102845
2021-08-17,CL,71.96,73.0,71.94,72.38,157392
2021-08-18,CL,72.22,72.22,70.66,70.69,128776
2021-08-19,CL,70.84,71.66,70.83,71.4,74141
2021-08-20,CL,71.56,71.8,71.06,71.27,58949
2021-08-23,CL,71.21,71.43,70.85,70.89,50269
2021-08-24,CL,70.76,70.8,70.25,70.25,46648
2021-08-25,CL,70.14,70.39,69.63,70.23,44409
2021-08-26,CL,70.28,70.32,69.69,69.91,41867
2021-08-27,CL,70.07,70.32,69.84,70.05,33116
2021-08-30,CL,70.26,70.44,70.05,70.23,54392
2021-08-31,CL,70.29,70.77,70.13,70.5,43692
2021-09-01,CL,70.51,70.96,70.41,70.85,73206
2021-09-02,CL,70.84,71.03,70.63,71.0,57833
2021-09-03,CL,70.92,70.92,70.34,70.48,119820
2021-09-07,CL,70.47,70.47,69.5,69.55,91279
2021-09-08,CL,69.47,70.42,69.36,70.35,92223
2021-09-09,CL,70.52,70.71,69.86,69.94,120880
2021-09-10,CL,70.04,70.05,69.46,69.67,94583
2021-09-13,CL,70.12,70.7,69.82,69.97,93676
2021-09-14,CL,70.04,70.16,69.75,69.92,65969
2021-09-15,CL,70.0,70.39,69.71,69.8,105284
2021-09-16,CL,69.79,69.86,68.64,69.14,114353
2021-09-17,CL,69.06,69.58,68.9,68.95,73944
2021-09-20,CL,69.66,69.8,68.47,68.89,63180
2021-09-21,CL,69.09,69.74,69.0,69.09,93865
2021-09-22,CL,69.38,69.66,68.99,69.12,89591
2021-09-23,CL,69.12,69.54,69.02,69.34,72597
2021-09-24,CL,69.4,69.59,69.19,69.33,51268
2021-09-27,CL,69.26,69.31,68.68,68.74,105088
