date,tic,open,high,low,close,volume
2021-01-04,CMG,27.76,27.76,26.27,26.38,2267600
2021-01-05,CMG,26.36,27.16,26.36,27.12,1263800
2021-01-06,CMG,26.88,27.13,26.71,26.86,1062000
2021-01-07,CMG,27.14,27.57,27.11,27.37,1062600
2021-01-08,CMG,27.65,28.2,27.65,28.05,1563000
2021-01-11,CMG,27.91,28.4,27.84,28.06,1132950
2021-01-12,CMG,28.27,28.27,27.79,28.09,921250
2021-01-13,CMG,28.15,28.15,27.69,27.95,742850
2021-01-14,CMG,28.3,29.07,27.96,28.18,1295350
2021-01-15,CMG,28.21,28.3,28.0,28.11,714000
2021-01-19,CMG,28.34,28.64,27.86,28.63,847200
2021-01-20,CMG,28.83,29.66,28.78,29.64,963700
2021-01-21,CMG,29.58,30.16,29.58,30.1,1248850
2021-01-22,CMG,30.04,30.11,29.7,29.91,653250
2021-01-25,CMG,30.1,30.1,29.41,29.75,752450
2021-01-26,CMG,29.82,29.88,29.68,29.82,601200
2021-01-27,CMG,29.32,29.94,29.22,29.39,1363000
2021-01-28,CMG,29.5,29.99,29.48,29.69,1013750
2021-01-29,CMG,29.48,30.02,29.48,29.63,934750
2021-02-01,CMG,29.85,30.33,29.61,30.16,1047950
2021-02-02,CMG,30.53,31.07,30.45,30.5,1422100
2021-02-03,CMG,29.9,30.49,29.25,30.02,3036450
2021-02-04,CMG,30.14,30.19,29.51,29.57,1760500
2021-02-05,CMG,29.72,30.27,29.58,30.16,1501550
2021-02-08,CMG,30.24,30.24,29.83,30.01,667500
2021-02-09,CMG,30.09,31.26,30.09,31.02,1844250
2021-02-10,CMG,31.18,31.19,30.58,30.86,995700
2021-02-11,CMG,30.87,30.97,30.69,30.82,589500
2021-02-12,CMG,30.72,30.8,30.46,30.57,351900
2021-02-16,CMG,30.51,30.53,29.55,29.66,837450
2021-02-17,CMG,29.48,29.48,28.88,29.2,873200
2021-02-18,CMG,28.97,29.32,28.91,29.11,719050
2021-02-19,CMG,29.33,29.66,29.2,29.46,894750
2021-02-22,CMG,29.0,29.1,28.6,28.65,1388400
2021-02-23,CMG,28.1,28.45,27.24,28.32,1549600
