date,tic,open,high,low,close,volume
2021-01-04,CMS,51.81,52.16,50.95,51.12,92484
2021-01-05,CMS,51.3,51.35,50.11,50.24,112601
2021-01-06,CMS,50.26,51.34,50.04,51.3,93241
2021-01-07,CMS,51.34,51.34,49.72,49.74,96918
2021-01-08,CMS,49.63,49.8,49.04,49.49,107977
2021-01-11,CMS,49.67,49.68,48.92,49.03,60419
2021-01-12,CMS,49.23,49.3,47.88,48.41,55902
2021-01-13,CMS,48.46,49.77,48.45,49.61,99443
2021-01-14,CMS,49.3,49.88,48.72,49.63,114256
2021-01-15,CMS,49.64,50.49,49.49,50.32,153267
2021-01-19,CMS,50.52,50.52,49.92,50.01,90538
2021-01-20,CMS,49.76,50.59,49.62,50.38,103579
2021-01-21,CMS,50.12,50.2,49.63,49.9,66053
2021-01-22,CMS,49.69,50.25,49.22,50.18,97090
2021-01-25,CMS,50.02,51.37,49.79,51.05,78579
2021-01-26,CMS,50.61,50.69,49.95,50.45,99411
2021-01-27,CMS,50.05,50.56,48.89,49.13,90360
2021-01-28,CMS,49.18,50.05,48.85,49.04,145586
2021-01-29,CMS,48.83,49.34,48.38,48.86,180746
2021-02-01,CMS,48.98,49.85,48.56,49.1,102042
2021-02-02,CMS,49.12,50.13,48.77,49.27,92085
2021-02-03,CMS,49.34,49.42,48.82,49.1,56911
2021-02-04,CMS,48.73,49.68,48.52,49.18,147697
2021-02-05,CMS,50.1,50.14,49.41,49.66,76916
2021-02-08,CMS,49.51,49.8,48.49,48.83,70086
2021-02-09,CMS,49.01,49.23,48.08,48.92,83796
2021-02-10,CMS,49.19,49.58,48.86,49.21,54336
2021-02-11,CMS,49.28,49.51,48.87,48.94,84907
2021-02-12,CMS,48.86,48.93,48.39,48.75,124370
2021-02-16,CMS,48.74,48.8,47.91,47.91,103024
2021-02-17,CMS,48.05,48.4,47.64,48.29,114106
2021-02-18,CMS,48.45,49.13,48.43,48.96,71482
2021-02-19,CMS,48.71,48.94,48.37,48.43,83275
2021-02-22,CMS,48.35,48.35,46.44,47.39,118777
2021-02-23,CMS,47.8,48.55,47.59,48.23,115775
2021-02-24,CMS,48.04,48.04,47.21,47.21,111921
2021-02-25,CMS,47.08,47.69,47.08,47.6,109614
2021-02-26,CMS,47.63,48.51,46.86,46.92,162120
2021-03-01,CMS,47.25,48.19,47.25,47.4,118515
2021-03-02,CMS,47.44,47.71,46.87,47.45,114215
2021-03-03,CMS,47.27,47.27,45.99,46.57,143930
2021-03-04,CMS,46.8,47.56,46.48,46.58,65276
2021-03-05,CMS,46.8,48.14,46.76,47.88,113573
2021-03-08,CMS,47.88,48.89,47.63,48.59,122116
2021-03-09,CMS,48.59,49.07,48.59,48.89,105740
2021-03-10,CMS,49.32,49.97,49.13,49.33,162888
2021-03-11,CMS,49.26,49.78,49.12,49.13,113900
2021-03-12,CMS,49.45,49.98,49.21,49.74,110071
2021-03-15,CMS,50.06,50.79,49.87,50.62,226888
2021-03-16,CMS,50.61,50.98,50.28,50.46,164726
2021-03-17,CMS,50.38,50.61,50.04,50.04,121146
2021-03-18,CMS,50.04,50.35,49.54,50.15,126948
2021-03-19,CMS,50.46,51.05,50.04,50.45,100144
2021-03-22,CMS,50.44,50.95,50.12,50.56,181198
2021-03-23,CMS,50.66,52.45,50.51,52.37,169788
2021-03-24,CMS,51.92,52.89,51.92,52.67,111223
2021-03-25,CMS,52.9,53.78,52.36,52.85,107796
2021-03-26,CMS,52.58,52.82,52.08,52.66,72440
2021-03-29,CMS,52.48,53.75,52.4,53.58,55282
2021-03-30,CMS,53.16,53.4,52.38,52.75,64064
