date,tic,open,high,low,close,volume
2021-01-04,CNC,60.53,62.12,59.93,62.11,272241
2021-01-05,CNC,61.965,62.745,60.995,61.07,275725
2021-01-06,CNC,62.64,67.79,62.3,67.63,607335
2021-01-07,CNC,67.87,69.94,67.8,69.7,240932
2021-01-08,CNC,70.02,70.2,67.56,68.13,161327
2021-01-11,CNC,67.165,68.89,67.165,68.85,113833
2021-01-12,CNC,68.7,69.75,68.14,68.14,125868
2021-01-13,CNC,67.37,67.64,66.255,66.535,167230
2021-01-14,CNC,66.72,67.2,64.91,65.0,195031
2021-01-15,CNC,64.48,64.76,63.56,64.01,246227
2021-01-19,CNC,64.81,64.81,62.66,62.8,128506
2021-01-20,CNC,62.66,62.93,61.64,62.415,135623
2021-01-21,CNC,62.38,63.63,62.0,62.755,214410
2021-01-22,CNC,62.605,62.65,61.5,61.51,170867
2021-01-25,CNC,61.38,62.135,60.725,60.92,161548
2021-01-26,CNC,61.38,61.58,59.84,60.135,101190
2021-01-27,CNC,59.21,59.21,57.81,58.4,232035
2021-01-28,CNC,59.11,61.38,58.835,60.79,140697
2021-01-29,CNC,60.28,61.1,59.25,60.355,259473
2021-02-01,CNC,60.55,60.66,59.49,59.575,143361
2021-02-02,CNC,60.2,61.14,59.61,59.62,187292
2021-02-03,CNC,59.69,60.98,59.68,60.53,184310
2021-02-04,CNC,60.88,60.95,59.945,60.35,161427
2021-02-05,CNC,60.66,61.18,58.58,58.795,128619
2021-02-08,CNC,59.325,59.325,57.78,58.26,201462
2021-02-09,CNC,59.4,60.61,58.94,60.23,338448
2021-02-10,CNC,60.805,62.28,60.805,61.06,191316
2021-02-11,CNC,60.99,61.39,59.77,59.97,142962
2021-02-12,CNC,59.875,59.99,59.025,59.21,138177
2021-02-16,CNC,59.385,59.47,57.865,58.21,169543
2021-02-17,CNC,58.15,59.11,58.05,58.57,140257
2021-02-18,CNC,58.6,59.475,58.46,58.71,182641
2021-02-19,CNC,59.085,59.085,57.71,57.95,135418
2021-02-22,CNC,57.53,58.695,57.16,58.34,219582
2021-02-23,CNC,58.64,59.87,58.25,59.32,275233
2021-02-24,CNC,59.21,59.78,58.77,59.35,106529
2021-02-25,CNC,59.47,60.24,58.46,58.78,104247
2021-02-26,CNC,59.0,59.57,58.085,58.58,133049
2021-03-01,CNC,58.965,59.9,58.945,59.39,77730
2021-03-02,CNC,59.7,60.18,59.055,59.14,117226
2021-03-03,CNC,58.66,59.2,58.4,58.77,93329
2021-03-04,CNC,58.85,60.285,58.67,59.2,155270
2021-03-05,CNC,59.49,60.67,58.86,60.53,207093
2021-03-08,CNC,60.74,61.955,60.225,61.75,284158
2021-03-09,CNC,61.74,62.935,61.35,61.53,142420
2021-03-10,CNC,61.57,62.44,61.1,61.585,172291
2021-03-11,CNC,61.72,62.945,61.6,61.93,120039
2021-03-12,CNC,62.34,62.99,61.75,62.935,142145
2021-03-15,CNC,62.875,63.5,61.91,62.75,179509
