date,tic,open,high,low,close,volume
2021-01-04,COF,91.21,91.44,88.72,89.47,163737
2021-01-05,COF,89.71,91.98,89.71,91.55,97955
2021-01-06,COF,94.54,98.46,94.54,98.25,249512
2021-01-07,COF,99.65,102.04,99.65,101.31,251201
2021-01-08,COF,101.46,102.24,99.45,101.13,175250
2021-01-11,COF,97.91,100.57,97.91,99.98,169542
2021-01-12,COF,100.67,102.12,99.5,101.46,155725
2021-01-13,COF,101.27,103.49,101.2,102.49,159238
2021-01-14,COF,103.3,105.62,102.8,104.64,151403
2021-01-15,COF,102.84,103.96,101.85,102.98,134494
2021-01-19,COF,104.16,104.98,103.0,103.29,161991
2021-01-20,COF,103.82,104.41,101.58,101.94,217635
2021-01-21,COF,100.96,101.26,97.76,99.31,483606
2021-01-22,COF,97.97,98.26,94.99,96.48,499659
2021-01-25,COF,95.27,95.29,92.12,93.84,207987
2021-01-26,COF,94.06,94.21,91.33,91.38,211891
2021-01-27,COF,94.23,98.88,92.33,94.06,416005
2021-01-28,COF,95.64,99.14,95.44,97.73,185383
2021-01-29,COF,96.98,98.33,94.68,95.39,128019
2021-02-01,COF,96.11,96.83,93.85,94.14,141891
2021-02-02,COF,95.66,98.13,95.66,97.07,325437
2021-02-03,COF,96.83,98.38,96.62,98.12,132693
2021-02-04,COF,98.87,103.31,98.68,103.04,434767
2021-02-05,COF,104.72,105.62,103.84,104.71,152007
2021-02-08,COF,105.14,106.95,105.02,106.11,155267
2021-02-09,COF,105.72,107.38,104.54,105.99,147612
2021-02-10,COF,107.02,108.27,106.37,107.79,131079
2021-02-11,COF,107.61,108.19,105.92,107.21,239663
2021-02-12,COF,106.85,108.55,106.85,107.75,118004
2021-02-16,COF,107.82,110.63,106.9,110.01,201058
2021-02-17,COF,109.24,111.03,108.1,109.19,187676
2021-02-18,COF,107.84,108.42,105.88,107.28,92580
2021-02-19,COF,108.6,110.5,108.6,109.68,136042
2021-02-22,COF,109.5,112.88,109.34,112.52,180859
2021-02-23,COF,113.32,114.06,110.62,112.55,144069
2021-02-24,COF,112.76,115.4,112.34,114.32,174076
2021-02-25,COF,115.18,115.18,109.17,109.46,235837
2021-02-26,COF,109.48,111.25,107.16,110.4,186842
2021-03-01,COF,112.11,114.54,112.11,113.74,173277
2021-03-02,COF,113.83,114.42,112.82,113.33,112384
2021-03-03,COF,114.21,116.58,114.21,115.13,236613
2021-03-04,COF,114.46,115.82,112.04,115.62,328867
2021-03-05,COF,117.12,117.79,110.92,117.32,194223
2021-03-08,COF,118.24,119.92,117.44,118.11,136108
2021-03-09,COF,116.71,118.46,115.27,115.99,200534
2021-03-10,COF,116.56,119.36,116.56,118.88,112281
2021-03-11,COF,118.26,121.68,118.26,121.25,117335
2021-03-12,COF,122.85,123.63,120.88,121.74,175269
2021-03-15,COF,121.44,121.81,118.23,121.76,147386
2021-03-16,COF,120.42,120.53,117.61,117.95,184188
2021-03-17,COF,118.92,120.85,116.9,120.85,203260
2021-03-18,COF,121.59,122.6,117.19,117.84,166791
2021-03-19,COF,115.97,117.48,113.86,116.21,101610
2021-03-22,COF,115.5,116.0,114.28,115.0,99396
2021-03-23,COF,113.93,115.03,111.29,112.39,262170
2021-03-24,COF,114.31,116.02,113.61,113.76,96547
2021-03-25,COF,113.16,117.6,111.47,117.4,126420
2021-03-26,COF,119.17,119.78,116.18,118.98,171017
2021-03-29,COF,117.22,117.85,114.78,116.02,117722
2021-03-30,COF,116.91,118.26,116.09,117.79,128901
2021-03-31,COF,118.57,118.76,116.49,116.75,110277
2021-04-01,COF,117.88,120.03,117.88,119.12,147872
2021-04-05,COF,120.62,122.71,120.62,121.7,135401
2021-04-06,COF,120.94,122.03,120.3,121.08,94323
2021-04-07,COF,122.15,123.23,121.65,122.07,115099
2021-04-08,COF,120.56,122.29,119.28,121.8,91416
2021-04-09,COF,122.43,123.38,121.55,123.13,124881
2021-04-12,COF,122.49,123.57,121.98,123.12,110315
2021-04-13,COF,122.5,122.8,120.62,121.83,67898
2021-04-14,COF,121.85,125.22,121.46,124.57,130001
2021-04-15,COF,124.71,124.71,122.04,123.82,157421
2021-04-16,COF,125.58,126.43,124.2,125.44,126648
2021-04-20,COF,123.28,123.31,119.32,120.72,115818
2021-04-21,COF,119.65,122.4,117.44,121.98,145012
2021-04-22,COF,122.63,123.61,121.46,122.11,122671
2021-04-23,COF,121.28,125.03,120.71,124.6,120868
2021-04-26,COF,125.66,128.42,125.66,126.93,103815
2021-04-27,COF,127.19,127.99,126.79,127.56,187043
2021-04-28,COF,130.99,134.96,130.88,132.52,297950
2021-04-29,COF,133.91,137.31,133.91,137.0,209629
2021-04-30,COF,136.19,137.66,135.72,136.73,237823
2021-05-03,COF,138.56,139.34,136.34,137.56,110782
2021-05-04,COF,136.59,139.85,135.71,139.57,279054
2021-05-05,COF,140.25,141.72,139.02,140.99,165163
2021-05-06,COF,142.45,143.66,139.99,143.66,252832
2021-05-07,COF,141.23,145.0,140.65,144.77,98481
2021-05-10,COF,146.02,147.2,144.44,144.48,251914
2021-05-11,COF,142.18,144.01,140.68,142.02,196632
2021-05-12,COF,143.06,143.9,139.89,140.53,197173
2021-05-13,COF,139.75,144.28,139.6,143.55,115341
2021-05-14,COF,144.63,146.51,144.52,145.53,124756
2021-05-17,COF,145.56,147.67,145.11,147.14,93010
2021-05-18,COF,147.25,147.9,144.35,144.39,76657
2021-05-19,COF,141.74,144.77,140.69,144.71,129315
2021-05-20,COF,145.32,146.23,143.31,145.12,80003
2021-05-21,COF,146.12,149.36,145.83,146.28,118927
2021-05-24,COF,147.12,148.75,146.68,147.94,69305
2021-05-25,COF,148.41,149.47,145.53,145.58,76386
2021-05-26,COF,146.47,147.67,145.51,147.07,63896
2021-05-27,COF,149.15,149.68,147.61,148.78,68952
2021-05-28,COF,148.97,148.97,146.58,148.01,56480
2021-06-01,COF,151.19,153.33,150.7,153.02,102449
2021-06-02,COF,153.81,153.94,151.85,152.73,80902
2021-06-03,COF,152.37,153.94,151.29,153.03,84974
2021-06-04,COF,154.13,154.41,151.94,152.95,58507
2021-06-07,COF,150.48,152.11,149.63,150.6,77898
2021-06-08,COF,149.8,150.74,148.19,149.72,104008
2021-06-09,COF,149.64,149.64,146.6,147.83,57147
2021-06-10,COF,150.04,150.76,145.96,146.12,128974
2021-06-11,COF,146.43,147.84,146.43,147.8,67492
2021-06-14,COF,147.75,147.75,144.63,146.06,159078
2021-06-15,COF,146.44,149.69,146.44,149.13,124635
2021-06-16,COF,148.62,150.27,147.13,149.32,161468
2021-06-17,COF,150.11,150.23,139.38,141.3,233302
2021-06-18,COF,137.37,138.44,135.92,137.99,277246
2021-06-21,COF,139.57,142.61,139.33,142.52,120076
2021-06-22,COF,142.06,143.43,140.74,142.57,73525
2021-06-23,COF,143.23,144.99,142.75,143.86,78773
2021-06-24,COF,144.32,145.52,143.06,145.04,60990
2021-06-25,COF,147.57,148.92,147.05,147.23,194978
2021-06-28,COF,146.86,146.86,142.93,143.53,176344
2021-06-29,COF,144.69,145.54,141.59,141.86,111722
2021-06-30,COF,141.82,142.84,141.61,142.35,158922
2021-07-01,COF,143.56,145.44,142.82,144.63,138936
2021-07-02,COF,145.12,146.23,144.63,144.88,73284
2021-07-06,COF,144.01,144.03,141.85,143.06,136659
2021-07-07,COF,141.23,144.13,140.93,142.55,178423
2021-07-08,COF,139.76,142.51,137.57,140.16,189008
2021-07-09,COF,142.95,148.08,142.95,147.74,359596
2021-07-12,COF,146.05,152.23,145.52,151.64,198773
2021-07-13,COF,151.86,152.02,149.69,149.7,102209
2021-07-14,COF,150.13,151.79,145.08,146.15,186562
2021-07-15,COF,144.13,147.79,143.94,147.56,175446
2021-07-16,COF,148.5,148.5,144.6,144.92,94431
2021-07-19,COF,140.93,142.44,138.92,141.28,231675
2021-07-20,COF,140.77,146.54,140.3,145.45,172584
2021-07-21,COF,146.84,151.29,146.84,150.27,150950
2021-07-22,COF,149.48,150.04,146.07,148.52,122229
2021-07-23,COF,145.06,151.14,145.06,147.25,185641
2021-07-26,COF,147.52,149.91,147.52,149.39,130346
2021-07-27,COF,147.02,150.54,146.78,149.54,69273
2021-07-28,COF,150.16,150.25,147.24,148.54,106266
2021-07-29,COF,150.83,152.04,150.0,150.82,104272
2021-07-30,COF,150.34,151.86,147.96,148.77,95291
2021-08-02,COF,149.88,152.44,146.26,147.4,150154
2021-08-03,COF,147.96,149.1,143.05,148.46,97328
2021-08-04,COF,147.47,151.04,146.46,148.35,92149
2021-08-05,COF,149.93,150.71,149.34,150.14,106452
2021-08-06,COF,152.96,155.13,152.26,153.84,84718
2021-08-09,COF,151.78,154.92,151.51,154.08,47934
2021-08-10,COF,154.58,158.76,154.09,158.19,90833
2021-08-11,COF,158.69,162.1,157.58,161.83,156697
2021-08-12,COF,162.3,164.21,160.77,163.91,118397
2021-08-13,COF,164.57,164.87,163.07,164.71,116602
2021-08-16,COF,163.23,164.66,162.54,164.4,128468
2021-08-17,COF,162.7,163.54,158.9,160.57,153795
2021-08-18,COF,159.83,162.73,158.75,159.37,56578
2021-08-19,COF,156.35,158.95,154.81,155.89,153064
2021-08-20,COF,155.47,156.73,153.4,155.89,139466
2021-08-23,COF,157.58,158.68,156.64,156.93,57787
2021-08-24,COF,157.88,159.08,157.38,157.55,52150
2021-08-25,COF,158.12,161.77,158.03,161.22,78960
2021-08-26,COF,161.59,161.92,158.82,159.07,48902
2021-08-27,COF,159.13,163.08,159.13,162.87,46389
2021-08-30,COF,159.85,160.75,153.06,153.06,117428
2021-08-31,COF,153.19,154.95,151.33,153.84,113007
2021-09-01,COF,154.11,154.27,149.48,149.81,109433
2021-09-02,COF,150.59,151.41,147.93,148.36,148483
2021-09-03,COF,147.91,148.6,145.02,145.71,85465
2021-09-07,COF,145.43,148.0,145.16,145.43,123997
2021-09-08,COF,144.92,144.92,141.1,143.25,170986
2021-09-09,COF,143.46,147.46,143.38,144.32,125373
2021-09-10,COF,145.03,146.26,144.05,144.12,122694
2021-09-13,COF,145.94,147.69,145.66,147.34,146606
2021-09-14,COF,147.95,148.37,142.71,142.98,173318
2021-09-15,COF,144.15,147.42,143.7,147.29,110869
2021-09-16,COF,148.12,149.43,147.5,148.46,98600
2021-09-17,COF,149.37,149.37,146.91,147.86,74927
2021-09-20,COF,142.81,145.52,142.25,144.89,76449
2021-09-21,COF,146.56,147.11,144.92,145.04,85242
2021-09-22,COF,147.02,149.23,147.02,147.96,83332
2021-09-23,COF,149.87,154.93,149.81,153.87,106371
2021-09-24,COF,153.0,155.74,152.94,154.04,124075
