date,tic,open,high,low,close,volume
2021-01-04,COR,88.63,88.74,86.23,87.47,95268
2021-01-05,COR,87.28,89.62,86.06,88.57,79806
2021-01-06,COR,91.93,97.08,91.84,96.3,138492
2021-01-07,COR,96.66,100.06,96.4,99.91,103457
2021-01-08,COR,99.91,101.93,99.3,99.65,85037
2021-01-11,COR,99.3,99.94,96.21,97.35,69134
2021-01-12,COR,97.42,97.68,96.22,96.55,61880
2021-01-13,COR,96.44,96.52,95.56,95.72,52557
2021-01-14,COR,95.78,96.66,95.61,95.7,49856
2021-01-15,COR,95.73,97.77,94.76,96.82,80805
2021-01-19,COR,97.59,97.69,93.59,93.82,73994
2021-01-20,COR,93.53,94.52,93.19,94.05,54625
2021-01-21,COR,94.03,95.52,93.12,95.04,95915
2021-01-22,COR,95.09,98.5,95.09,97.67,53431
2021-01-25,COR,96.6,97.37,96.09,96.89,36962
2021-01-26,COR,97.65,99.36,97.31,98.71,55742
2021-01-27,COR,97.87,99.5,96.69,96.79,57646
2021-01-28,COR,97.22,99.29,96.85,96.98,64859
2021-01-29,COR,96.5,97.46,94.27,94.43,62167
2021-02-01,COR,95.43,97.32,95.05,97.0,52814
2021-02-02,COR,97.76,99.63,95.7,95.73,111463
2021-02-03,COR,95.54,96.03,93.82,95.62,57189
2021-02-04,COR,96.87,102.09,96.87,101.55,100951
2021-02-05,COR,101.59,101.7,98.07,99.44,113836
2021-02-08,COR,99.67,99.96,97.68,98.34,73790
2021-02-09,COR,98.22,98.45,96.31,97.37,54718
2021-02-10,COR,97.94,97.94,96.14,96.32,54786
2021-02-11,COR,97.15,97.15,94.89,95.14,55379
2021-02-12,COR,94.62,95.96,94.35,95.72,64027
2021-02-16,COR,96.03,96.03,93.86,94.05,49716
2021-02-17,COR,93.66,96.11,93.54,95.81,31622
2021-02-18,COR,95.56,96.16,95.17,95.8,29485
2021-02-19,COR,96.1,96.76,95.73,96.34,27352
2021-02-22,COR,96.0,97.06,94.73,96.57,59988
2021-02-23,COR,96.76,98.29,95.16,97.01,59277
2021-02-24,COR,97.17,97.57,95.35,95.79,56058
2021-02-25,COR,96.26,96.96,93.37,93.63,50557
2021-02-26,COR,93.71,94.09,91.68,92.18,100880
2021-03-01,COR,93.55,94.54,93.1,93.85,38382
2021-03-02,COR,93.92,94.96,93.47,94.93,41018
2021-03-03,COR,94.86,95.53,94.09,94.09,50517
2021-03-04,COR,93.61,95.37,92.72,93.79,47194
2021-03-05,COR,94.09,95.97,92.75,95.44,67862
2021-03-08,COR,96.45,99.34,96.34,97.94,65523
2021-03-09,COR,98.44,101.17,98.44,100.28,78954
2021-03-10,COR,100.18,103.35,100.12,101.78,110279
2021-03-11,COR,100.7,101.25,98.82,100.08,66493
2021-03-12,COR,100.72,103.17,100.21,102.87,52722
2021-03-15,COR,102.91,103.82,102.04,103.56,27238
2021-03-16,COR,103.32,103.32,101.93,102.58,47901
2021-03-17,COR,103.48,104.28,102.68,103.84,44038
2021-03-18,COR,103.6,106.23,103.42,105.29,93423
2021-03-19,COR,105.2,106.57,104.71,105.62,136286
2021-03-22,COR,104.81,105.94,104.33,105.87,45119
2021-03-23,COR,105.5,105.5,103.04,103.56,70493
2021-03-24,COR,103.63,106.31,103.26,104.99,89052
