date,tic,open,high,low,close,volume
2021-01-04,CPAY,272.35,272.35,258.58,265.73,93956
2021-01-05,CPAY,266.48,271.36,265.23,266.94,24557
2021-01-06,CPAY,271.185,277.625,270.5,272.235,49853
2021-01-07,CPAY,275.42,277.12,272.7,276.02,35468
2021-01-08,CPAY,277.05,279.18,274.2,275.675,41903
2021-01-11,CPAY,273.92,274.33,270.24,270.24,37192
2021-01-12,CPAY,270.09,274.42,266.845,273.66,39706
2021-01-13,CPAY,274.84,277.7,273.77,275.67,18751
2021-01-14,CPAY,274.725,275.95,266.89,267.62,25579
2021-01-15,CPAY,266.05,266.51,263.04,265.18,31842
2021-01-19,CPAY,265.12,268.52,264.785,266.54,43711
2021-01-20,CPAY,267.46,269.31,265.525,267.66,38402
2021-01-21,CPAY,266.8,271.47,266.39,269.77,53900
2021-01-22,CPAY,267.96,268.63,264.975,267.375,30647
2021-01-25,CPAY,263.53,263.595,257.5,260.86,71190
2021-01-26,CPAY,261.67,263.43,259.255,261.04,96100
2021-01-27,CPAY,255.37,255.37,244.17,245.49,190928
2021-01-28,CPAY,249.13,257.84,249.13,252.3,69044
2021-01-29,CPAY,246.745,247.93,240.04,242.445,70507
2021-02-01,CPAY,245.92,250.05,245.39,249.83,42760
2021-02-02,CPAY,254.19,257.61,254.19,254.935,36265
2021-02-03,CPAY,254.8,256.26,253.18,254.22,62266
2021-02-04,CPAY,254.69,263.78,254.38,263.78,44204
2021-02-05,CPAY,262.67,272.7,256.395,257.1,148173
2021-02-08,CPAY,256.25,258.715,255.69,258.08,62385
2021-02-09,CPAY,257.01,259.89,256.225,257.55,44412
2021-02-10,CPAY,259.505,264.2,258.2,261.78,78609
2021-02-11,CPAY,261.415,266.08,261.415,265.23,37564
2021-02-12,CPAY,263.74,264.7,262.3,264.06,44692
2021-02-16,CPAY,264.04,270.89,264.04,270.855,43975
2021-02-17,CPAY,269.35,272.59,269.085,271.99,42797
2021-02-18,CPAY,270.11,273.45,269.91,271.98,31704
2021-02-19,CPAY,272.71,275.26,271.48,273.35,31019
2021-02-22,CPAY,271.165,284.61,270.305,283.745,65650
2021-02-23,CPAY,283.79,290.0,277.98,279.94,80805
2021-02-24,CPAY,280.505,290.99,280.505,290.33,153333
2021-02-25,CPAY,289.67,292.3,281.29,283.59,44113
2021-02-26,CPAY,282.35,284.06,276.73,277.7,46208
2021-03-01,CPAY,282.91,283.8,280.91,282.4,32598
2021-03-02,CPAY,281.5,287.325,281.3,284.05,32872
2021-03-03,CPAY,280.99,283.59,280.705,282.28,47430
2021-03-04,CPAY,281.23,285.03,274.76,278.08,42694
2021-03-05,CPAY,282.31,283.76,273.81,282.675,49042
2021-03-08,CPAY,284.46,291.06,283.35,283.795,75777
2021-03-09,CPAY,284.37,288.74,281.9,281.9,32115
2021-03-10,CPAY,281.2,286.1,281.115,285.6,22502
2021-03-11,CPAY,286.595,291.13,282.9,283.365,46275
2021-03-12,CPAY,282.63,285.19,282.03,283.9,65425
2021-03-15,CPAY,284.765,285.8,280.96,282.54,51932
2021-03-16,CPAY,281.73,284.66,279.69,284.2,40510
2021-03-17,CPAY,283.19,285.84,281.35,285.17,43685
2021-03-18,CPAY,282.54,286.63,282.535,284.18,42328
2021-03-19,CPAY,283.83,284.27,280.185,281.07,43370
2021-03-22,CPAY,281.48,281.48,276.8,278.34,29866
2021-03-23,CPAY,279.29,279.41,270.88,271.94,93230
2021-03-24,CPAY,274.09,277.765,273.51,273.85,53849
2021-03-25,CPAY,270.23,276.66,268.86,274.98,57039
2021-03-26,CPAY,275.595,278.11,273.245,278.11,53332
2021-03-29,CPAY,277.255,277.255,269.85,275.15,46247
2021-03-30,CPAY,274.81,278.27,274.05,276.54,33076
2021-03-31,CPAY,277.52,278.265,268.62,268.64,65338
2021-04-01,CPAY,274.115,279.42,271.755,279.42,59839
2021-04-05,CPAY,282.8,283.625,279.61,281.08,25708
2021-04-06,CPAY,279.86,280.855,278.59,279.03,12958
2021-04-07,CPAY,281.755,283.42,279.59,281.34,25797
2021-04-08,CPAY,282.5,285.3,281.915,283.17,27329
2021-04-09,CPAY,282.955,286.48,282.88,286.48,21363
2021-04-12,CPAY,286.17,288.27,285.12,287.04,14040
2021-04-13,CPAY,288.91,288.91,284.71,286.53,8861
2021-04-14,CPAY,287.47,290.41,286.82,287.64,20515
2021-04-15,CPAY,290.99,293.45,290.44,291.32,35745
2021-04-16,CPAY,293.35,293.35,290.25,291.25,19227
2021-04-20,CPAY,290.27,290.27,284.59,285.01,20136
2021-04-21,CPAY,284.82,288.34,284.635,287.9,12648
2021-04-22,CPAY,288.96,291.445,287.01,288.55,22859
2021-04-23,CPAY,290.21,293.02,289.29,291.25,20082
2021-04-26,CPAY,291.295,294.96,289.82,290.89,16773
2021-04-27,CPAY,290.29,290.57,288.47,289.68,14910
2021-04-28,CPAY,291.535,293.48,290.755,292.835,20946
2021-04-29,CPAY,293.19,294.09,285.76,287.73,36524
2021-04-30,CPAY,285.75,288.795,283.84,287.73,33414
2021-05-03,CPAY,289.34,294.44,289.34,293.565,53321
2021-05-04,CPAY,292.47,293.47,287.36,292.925,93952
2021-05-05,CPAY,294.335,294.585,288.71,288.98,53021
2021-05-06,CPAY,288.865,288.865,275.72,286.2,80526
2021-05-07,CPAY,286.77,290.04,284.215,285.57,39878
2021-05-10,CPAY,285.88,288.04,283.23,283.23,29238
2021-05-11,CPAY,278.525,280.94,275.02,277.87,101302
2021-05-12,CPAY,277.435,278.64,267.93,268.05,84984
2021-05-13,CPAY,269.02,271.43,267.05,268.705,34552
2021-05-14,CPAY,270.565,274.49,270.42,273.13,24179
2021-05-17,CPAY,270.63,272.365,268.94,272.31,8596
2021-05-18,CPAY,273.75,273.75,269.16,269.16,30865
2021-05-19,CPAY,265.23,272.145,264.655,272.13,39137
