date,tic,open,high,low,close,volume
2021-01-04,CRL,250.805,254.75,243.4,249.76,21923
2021-01-05,CRL,250.01,254.93,250.01,252.57,16413
2021-01-06,CRL,251.78,255.78,251.78,255.2,26163
2021-01-07,CRL,259.11,263.32,258.08,263.32,28914
2021-01-08,CRL,264.1,271.73,264.1,271.23,41940
2021-01-11,CRL,271.32,276.87,268.32,276.265,24734
2021-01-12,CRL,276.43,277.31,266.2,268.26,21864
2021-01-13,CRL,266.34,268.445,264.44,267.6,20253
2021-01-14,CRL,267.68,272.93,266.63,267.04,52205
2021-01-15,CRL,267.26,273.72,265.15,273.72,18512
2021-01-19,CRL,275.55,280.095,275.535,278.985,31316
2021-01-20,CRL,280.18,283.51,279.24,282.985,36068
2021-01-21,CRL,282.5,283.44,280.01,281.36,16628
2021-01-22,CRL,278.19,281.26,277.44,280.26,12842
2021-01-25,CRL,281.03,283.25,272.47,273.49,20050
2021-01-26,CRL,271.11,272.425,265.06,265.53,13012
2021-01-27,CRL,259.12,259.12,249.69,253.01,31345
2021-01-28,CRL,253.755,264.92,253.6,260.64,29360
2021-01-29,CRL,262.205,262.205,257.235,260.27,22086
2021-02-01,CRL,263.23,267.6,261.315,266.215,39399
2021-02-02,CRL,271.5,274.295,270.505,272.245,36319
2021-02-03,CRL,271.09,271.09,265.45,267.7,24241
2021-02-04,CRL,265.9,271.95,265.9,269.91,16863
2021-02-05,CRL,273.82,275.835,273.67,275.69,25284
2021-02-08,CRL,277.48,278.37,273.57,276.63,16342
2021-02-09,CRL,276.555,280.48,275.98,278.39,25450
2021-02-10,CRL,280.41,286.865,280.41,280.565,27440
2021-02-11,CRL,281.595,289.52,280.97,289.48,41929
2021-02-12,CRL,288.53,294.16,288.53,292.725,34085
2021-02-16,CRL,294.505,294.91,285.55,286.98,39129
2021-02-17,CRL,288.0,302.63,285.615,300.015,82292
2021-02-18,CRL,293.68,294.975,287.92,292.37,54023
2021-02-19,CRL,294.16,294.93,287.015,289.62,53967
2021-02-22,CRL,284.03,285.085,280.8,283.59,21014
2021-02-23,CRL,277.99,284.61,274.77,282.905,27574
2021-02-24,CRL,282.57,289.14,279.135,288.13,21693
2021-02-25,CRL,287.01,289.36,278.23,280.38,16655
2021-02-26,CRL,283.42,287.975,277.91,286.365,18336
2021-03-01,CRL,289.99,290.855,288.42,289.59,31971
2021-03-02,CRL,290.3,291.455,287.05,288.22,21616
2021-03-03,CRL,286.05,286.05,277.42,278.225,34987
2021-03-04,CRL,277.105,278.93,264.67,268.605,19364
2021-03-05,CRL,272.225,274.6,259.98,273.495,26145
2021-03-08,CRL,273.32,278.61,271.04,271.16,27559
2021-03-09,CRL,278.295,279.84,276.35,278.925,15361
2021-03-10,CRL,283.78,283.78,276.095,276.4,17437
2021-03-11,CRL,282.21,286.99,281.5,284.94,20026
2021-03-12,CRL,282.99,286.84,282.12,286.79,15512
2021-03-15,CRL,287.255,294.05,286.685,292.27,12459
2021-03-16,CRL,294.04,294.2,285.87,288.92,15413
2021-03-17,CRL,285.315,294.06,285.315,292.83,14932
2021-03-18,CRL,292.385,292.865,287.19,287.97,12619
2021-03-19,CRL,287.56,291.81,286.28,286.3,14316
2021-03-22,CRL,286.72,291.15,286.52,287.8,16434
2021-03-23,CRL,287.37,288.365,280.055,280.38,20663
2021-03-24,CRL,280.34,281.64,275.955,276.32,20993
2021-03-25,CRL,274.405,283.78,273.79,282.65,22449
2021-03-26,CRL,282.29,287.61,277.78,287.61,34332
2021-03-29,CRL,289.21,289.26,282.9,283.0,17378
2021-03-30,CRL,281.82,288.66,279.845,287.62,31605
2021-03-31,CRL,291.99,296.235,290.37,290.825,22187
2021-04-01,CRL,290.82,295.69,290.82,293.98,22961
2021-04-05,CRL,296.57,297.815,293.46,297.79,27178
2021-04-06,CRL,297.67,307.44,297.47,301.975,31138
2021-04-07,CRL,299.55,302.95,292.79,296.3,43672
2021-04-08,CRL,299.93,306.91,299.93,305.48,35353
2021-04-09,CRL,305.07,306.015,301.3,305.94,13179
2021-04-12,CRL,306.29,306.48,302.935,305.21,17091
2021-04-13,CRL,307.25,309.66,304.74,309.65,8963
2021-04-14,CRL,307.84,313.45,307.54,309.2,10898
2021-04-15,CRL,314.29,320.67,314.29,320.3,19630
2021-04-16,CRL,322.345,323.86,316.37,323.4,23027
2021-04-20,CRL,323.46,326.69,321.04,322.525,15886
2021-04-21,CRL,321.165,325.395,319.79,323.58,15667
2021-04-22,CRL,324.365,330.86,322.85,327.965,24127
2021-04-23,CRL,327.5,336.56,327.5,334.05,15014
2021-04-26,CRL,334.205,337.28,333.01,336.2,28444
2021-04-27,CRL,336.5,336.98,332.96,334.59,22068
2021-04-28,CRL,329.99,335.63,329.91,334.845,24539
2021-04-29,CRL,336.095,336.1,331.675,333.99,22963
2021-04-30,CRL,332.31,334.525,330.94,332.49,19204
2021-05-03,CRL,336.165,336.165,331.205,332.18,43339
2021-05-04,CRL,334.19,343.1,329.24,338.79,78454
2021-05-05,CRL,342.07,348.98,334.44,345.34,37747
2021-05-06,CRL,343.29,343.29,333.5,336.98,39328
2021-05-07,CRL,336.6,346.415,336.41,343.02,28786
2021-05-10,CRL,340.8,340.8,331.475,332.935,44165
2021-05-11,CRL,323.4,323.4,316.42,320.63,73021
