date,tic,open,high,low,close,volume
2021-01-04,CSCO,38.54,38.57,37.7,38.26,554205
2021-01-05,CSCO,37.98,38.32,37.73,38.26,613061
2021-01-06,CSCO,38.31,39.01,38.18,38.62,481991
2021-01-07,CSCO,38.49,39.22,38.48,39.09,487891
2021-01-08,CSCO,38.48,39.48,38.48,39.19,621481
2021-01-11,CSCO,39.23,39.95,39.2,39.44,747910
2021-01-12,CSCO,39.42,39.93,39.11,39.82,674201
2021-01-13,CSCO,39.41,39.97,39.3,39.46,902283
2021-01-14,CSCO,39.04,39.65,39.04,39.26,1028955
2021-01-15,CSCO,39.11,39.69,39.05,39.52,872176
2021-01-19,CSCO,39.34,39.67,38.93,39.3,651591
2021-01-20,CSCO,39.45,39.56,39.26,39.39,424584
2021-01-21,CSCO,39.31,39.34,38.9,39.24,641327
2021-01-22,CSCO,38.88,39.03,38.46,38.97,479498
2021-01-25,CSCO,39.17,39.27,38.88,39.18,453908
2021-01-26,CSCO,39.02,39.43,38.95,39.36,281315
2021-01-27,CSCO,39.4,40.4,39.21,39.71,1011716
2021-01-28,CSCO,39.78,40.24,39.41,39.42,673658
2021-01-29,CSCO,38.99,39.44,38.69,38.77,535653
2021-02-01,CSCO,39.05,39.67,38.84,39.47,393555
2021-02-02,CSCO,39.58,39.93,39.51,39.86,454024
2021-02-03,CSCO,39.79,40.14,39.61,39.81,417910
2021-02-04,CSCO,39.84,41.14,39.81,41.09,1215570
2021-02-05,CSCO,41.39,42.04,41.32,41.84,1155553
2021-02-08,CSCO,42.33,42.9,42.28,42.54,990240
2021-02-09,CSCO,42.42,42.44,42.1,42.17,1019605
2021-02-10,CSCO,40.11,41.22,39.9,41.1,1683670
2021-02-11,CSCO,41.14,41.65,41.13,41.4,809622
2021-02-12,CSCO,41.29,41.46,40.8,41.12,527631
2021-02-16,CSCO,40.93,40.99,40.35,40.45,659910
2021-02-17,CSCO,40.24,40.33,39.88,40.21,369426
2021-02-18,CSCO,40.34,40.34,39.82,40.3,478100
