date,tic,open,high,low,close,volume
2021-01-04,CSGP,93.68,93.68,89.3,89.65,145410
2021-01-05,CSGP,90.85,90.85,88.42,89.39,217400
2021-01-06,CSGP,89.93,91.71,89.38,89.77,185880
2021-01-07,CSGP,90.49,92.24,89.91,90.6,135540
2021-01-08,CSGP,91.26,92.43,90.89,91.98,159250
2021-01-11,CSGP,90.75,91.9,90.41,90.54,127410
2021-01-12,CSGP,90.08,90.65,88.33,88.34,129070
2021-01-13,CSGP,88.23,90.2,88.21,89.2,155970
2021-01-14,CSGP,89.94,89.94,86.61,86.66,177220
2021-01-15,CSGP,86.99,87.1,85.23,85.34,318860
2021-01-19,CSGP,86.47,87.76,85.17,86.94,410350
2021-01-20,CSGP,87.78,90.25,87.58,90.03,309150
2021-01-21,CSGP,90.5,91.38,89.92,91.32,252340
2021-01-22,CSGP,90.94,91.97,89.56,89.56,430730
2021-01-25,CSGP,89.98,90.99,88.26,90.72,335070
2021-01-26,CSGP,90.22,91.23,89.61,90.42,399160
2021-01-27,CSGP,89.73,90.17,87.88,89.0,623550
2021-01-28,CSGP,88.48,91.18,88.34,90.24,293330
2021-01-29,CSGP,89.0,90.89,88.8,89.99,523900
2021-02-01,CSGP,91.11,94.21,91.11,92.43,251610
2021-02-02,CSGP,92.86,93.33,89.76,91.99,566160
2021-02-03,CSGP,92.34,92.59,90.85,91.79,337080
2021-02-04,CSGP,93.12,95.28,91.28,91.9,295640
2021-02-05,CSGP,92.39,92.39,90.54,90.7,215050
2021-02-08,CSGP,91.71,91.71,89.69,90.1,277580
2021-02-09,CSGP,90.19,91.43,89.98,90.58,314380
2021-02-10,CSGP,91.46,92.48,90.49,92.48,217340
2021-02-11,CSGP,91.99,92.92,91.98,92.35,174040
2021-02-12,CSGP,92.49,93.92,91.54,93.92,111010
2021-02-16,CSGP,89.0,90.43,87.85,89.99,1349150
2021-02-17,CSGP,88.2,91.03,88.02,91.03,421660
2021-02-18,CSGP,90.62,92.42,90.28,91.98,478550
2021-02-19,CSGP,92.55,92.96,90.59,91.4,603320
2021-02-22,CSGP,89.9,90.7,87.13,87.69,463620
2021-02-23,CSGP,87.73,87.73,84.92,86.57,543910
2021-02-24,CSGP,84.76,84.96,82.94,83.53,629990
2021-02-25,CSGP,83.21,83.32,80.99,81.99,575900
2021-02-26,CSGP,81.5,82.88,81.38,82.51,280300
2021-03-01,CSGP,81.04,83.0,81.04,81.5,827990
2021-03-02,CSGP,81.73,81.93,78.87,78.97,635540
2021-03-03,CSGP,78.39,79.3,76.18,76.32,289610
2021-03-04,CSGP,76.35,77.37,74.41,75.91,1051830
2021-03-05,CSGP,81.13,82.42,77.44,79.93,1878080
2021-03-08,CSGP,79.9,81.59,79.21,79.4,521390
2021-03-09,CSGP,80.35,83.17,80.35,81.43,558470
2021-03-10,CSGP,82.02,83.96,80.77,80.87,429770
2021-03-11,CSGP,81.48,82.86,80.32,81.72,439980
2021-03-12,CSGP,81.1,82.43,80.78,81.96,441060
2021-03-15,CSGP,82.64,84.09,82.03,83.88,314920
2021-03-16,CSGP,84.08,84.71,83.42,83.81,299840
2021-03-17,CSGP,82.98,83.22,81.38,82.19,624080
2021-03-18,CSGP,81.05,81.49,79.36,80.65,233560
2021-03-19,CSGP,81.0,82.1,80.51,81.9,202260
2021-03-22,CSGP,81.7,83.31,81.7,82.83,112110
2021-03-23,CSGP,82.44,83.82,82.42,83.08,106540
2021-03-24,CSGP,83.4,83.4,80.38,80.38,273360
2021-03-25,CSGP,79.37,80.4,79.3,80.25,134310
2021-03-26,CSGP,80.35,81.68,80.35,81.44,70300
2021-03-29,CSGP,81.71,81.82,80.22,80.97,182400
2021-03-30,CSGP,81.23,81.23,79.49,79.82,137790
2021-03-31,CSGP,80.79,83.22,80.73,82.32,209470
2021-04-01,CSGP,83.14,86.31,83.14,86.2,247000
2021-04-05,CSGP,86.11,86.18,83.91,84.69,283040
2021-04-06,CSGP,85.14,86.57,85.01,86.17,496470
2021-04-07,CSGP,85.45,86.28,84.84,85.94,328870
2021-04-08,CSGP,86.28,87.88,86.28,87.24,137250
2021-04-09,CSGP,87.85,88.7,87.66,88.7,152830
2021-04-12,CSGP,88.7,88.88,87.77,88.6,103590
2021-04-13,CSGP,89.55,91.32,89.55,90.67,182700
2021-04-14,CSGP,90.83,90.83,89.22,89.5,123480
2021-04-15,CSGP,90.78,93.08,90.78,91.36,192340
2021-04-16,CSGP,90.83,91.0,89.78,90.34,93680
2021-04-19,CSGP,90.45,90.6,89.2,89.83,95830
2021-04-20,CSGP,90.26,91.38,90.26,91.38,152530
