date,tic,open,high,low,close,volume
2021-01-04,CTSH,76.07,76.11,72.86,73.48,112878
2021-01-05,CTSH,73.59,74.13,73.33,73.66,90466
2021-01-06,CTSH,73.64,75.07,73.47,74.21,186337
2021-01-07,CTSH,74.62,75.66,74.54,74.92,139363
2021-01-08,CTSH,74.93,75.95,74.93,75.89,185972
2021-01-11,CTSH,75.5,75.98,73.99,74.15,112033
2021-01-12,CTSH,74.48,74.48,72.77,73.8,168579
2021-01-13,CTSH,74.4,74.52,73.43,73.68,97254
2021-01-14,CTSH,73.61,74.2,73.22,74.14,126790
2021-01-15,CTSH,73.75,74.53,73.31,74.29,79230
2021-01-19,CTSH,74.49,74.95,73.31,73.84,90049
2021-01-20,CTSH,74.61,75.98,74.34,75.9,129642
2021-01-21,CTSH,75.94,75.94,74.71,74.88,70896
2021-01-22,CTSH,74.01,74.91,73.59,74.58,48373
2021-01-25,CTSH,74.1,74.11,72.42,74.06,67889
2021-01-26,CTSH,74.03,74.31,73.56,73.63,71983
2021-01-27,CTSH,72.47,72.47,70.3,70.41,176032
2021-01-28,CTSH,71.25,73.46,71.09,73.03,129805
2021-01-29,CTSH,73.07,73.59,71.82,72.13,218404
2021-02-01,CTSH,72.72,73.65,72.39,72.95,138792
2021-02-02,CTSH,73.27,74.81,73.27,74.13,116900
2021-02-03,CTSH,73.94,74.12,72.9,73.45,142456
2021-02-04,CTSH,68.21,69.98,67.34,69.11,662632
2021-02-05,CTSH,69.18,69.9,68.64,68.99,203038
2021-02-08,CTSH,69.07,70.19,68.61,70.18,85155
2021-02-09,CTSH,70.16,71.2,69.64,70.47,126486
2021-02-10,CTSH,70.34,70.71,69.71,70.36,140710
2021-02-11,CTSH,70.45,71.74,70.16,71.27,127936
2021-02-12,CTSH,71.18,71.39,70.58,71.29,121491
2021-02-16,CTSH,71.34,71.54,70.43,70.44,168777
2021-02-17,CTSH,70.32,71.29,70.03,70.99,119100
2021-02-18,CTSH,70.48,70.59,69.12,69.38,167131
2021-02-19,CTSH,69.63,69.63,68.13,68.36,215977
2021-02-22,CTSH,68.25,68.66,67.57,67.98,171992
2021-02-23,CTSH,67.7,68.17,66.93,67.74,108641
2021-02-24,CTSH,67.13,69.69,66.48,69.66,108343
2021-02-25,CTSH,69.05,69.59,67.95,68.2,141281
2021-02-26,CTSH,68.48,68.99,67.4,68.3,108254
2021-03-01,CTSH,68.8,69.77,68.52,69.49,84739
2021-03-02,CTSH,69.66,70.28,68.75,69.58,108226
2021-03-03,CTSH,69.23,69.31,67.58,67.92,205908
2021-03-04,CTSH,67.44,68.65,66.63,67.04,179247
2021-03-05,CTSH,68.09,68.72,66.79,68.39,112127
2021-03-08,CTSH,68.44,69.04,67.38,67.47,122520
2021-03-09,CTSH,68.5,69.82,68.35,69.08,102635
2021-03-10,CTSH,69.36,70.78,69.32,70.55,119325
2021-03-11,CTSH,70.86,72.7,70.86,71.98,250202
2021-03-12,CTSH,71.73,72.27,71.43,72.19,141156
2021-03-15,CTSH,71.97,73.61,71.97,73.58,92015
2021-03-16,CTSH,73.24,73.43,72.27,72.57,98159
2021-03-17,CTSH,71.91,72.67,71.63,72.42,79567
2021-03-18,CTSH,72.02,72.18,70.8,70.91,173425
2021-03-19,CTSH,70.27,71.79,70.27,70.94,180566
2021-03-22,CTSH,71.48,71.52,70.8,71.28,228308
2021-03-23,CTSH,71.64,72.06,70.72,70.74,132379
2021-03-24,CTSH,71.13,72.27,71.05,71.49,137939
2021-03-25,CTSH,71.67,71.89,70.63,71.57,93100
2021-03-26,CTSH,71.73,73.63,71.44,73.63,91859
2021-03-29,CTSH,71.66,73.42,71.66,72.41,97483
2021-03-30,CTSH,72.32,73.01,71.97,72.9,85209
2021-03-31,CTSH,72.88,73.5,72.38,72.5,75629
