date,tic,open,high,low,close,volume
2021-01-04,CTVA,36.8,37.05,36.04,36.28,161048
2021-01-05,CTVA,36.18,36.93,36.18,36.71,117525
2021-01-06,CTVA,37.0,39.25,36.89,38.84,169471
2021-01-07,CTVA,39.15,40.18,39.15,39.54,201214
2021-01-08,CTVA,40.23,40.97,39.9,40.94,189272
2021-01-11,CTVA,40.33,41.38,40.16,41.27,143226
2021-01-12,CTVA,41.22,42.41,40.75,42.16,262067
2021-01-13,CTVA,42.11,42.49,41.14,41.75,148124
2021-01-14,CTVA,41.85,42.32,41.68,41.82,127783
2021-01-15,CTVA,41.52,41.59,40.74,41.37,145458
2021-01-19,CTVA,41.37,41.44,40.68,41.18,95449
2021-01-20,CTVA,41.44,41.44,40.98,41.32,116342
2021-01-21,CTVA,41.34,41.81,39.09,39.39,235070
2021-01-22,CTVA,39.13,39.99,38.96,39.77,81810
2021-01-25,CTVA,39.45,39.54,37.97,39.05,116906
2021-01-26,CTVA,39.27,39.27,37.35,37.35,130241
2021-01-27,CTVA,36.6,36.77,34.61,36.61,164631
2021-01-28,CTVA,37.1,38.42,37.09,38.12,171696
2021-01-29,CTVA,37.75,38.18,37.27,37.69,173313
2021-02-01,CTVA,37.94,38.85,37.94,38.52,256721
2021-02-02,CTVA,39.01,39.59,39.01,39.27,211168
2021-02-03,CTVA,39.52,39.85,38.99,39.6,120200
2021-02-04,CTVA,39.63,40.75,39.0,40.35,193621
2021-02-05,CTVA,42.36,42.5,41.39,41.51,226725
2021-02-08,CTVA,41.72,41.72,40.97,41.23,111572
2021-02-09,CTVA,41.32,41.54,40.9,41.09,125785
2021-02-10,CTVA,41.11,41.19,39.99,40.72,141345
2021-02-11,CTVA,40.67,41.36,40.59,41.21,116019
2021-02-12,CTVA,41.17,42.05,41.17,41.99,68031
2021-02-16,CTVA,41.98,42.9,41.94,42.82,97695
2021-02-17,CTVA,42.54,42.73,41.86,42.55,78925
2021-02-18,CTVA,42.44,42.61,41.11,41.84,162391
2021-02-19,CTVA,42.01,43.37,41.91,42.98,117951
2021-02-22,CTVA,42.82,44.22,42.74,44.17,226678
2021-02-23,CTVA,44.01,44.35,43.43,43.92,340445
2021-02-24,CTVA,43.95,44.53,43.82,43.91,154697
2021-02-25,CTVA,43.99,44.03,42.61,42.95,143947
2021-02-26,CTVA,42.91,43.43,42.16,42.85,137615
2021-03-01,CTVA,43.53,44.33,43.52,43.94,107363
2021-03-02,CTVA,44.0,44.4,43.38,43.41,92046
2021-03-03,CTVA,43.15,43.59,42.81,42.98,89017
2021-03-04,CTVA,42.79,43.0,40.87,41.57,171670
2021-03-05,CTVA,42.17,42.7,40.73,42.57,87229
2021-03-08,CTVA,43.11,43.92,42.58,42.58,153448
2021-03-09,CTVA,42.8,43.1,42.36,42.42,133106
2021-03-10,CTVA,42.62,44.69,42.61,44.54,120721
2021-03-11,CTVA,44.88,45.2,44.36,44.44,89567
2021-03-12,CTVA,44.54,44.67,43.87,44.47,109054
2021-03-15,CTVA,44.2,44.48,43.21,44.41,92210
2021-03-16,CTVA,44.24,44.46,43.53,43.8,74522
2021-03-17,CTVA,43.92,44.86,43.81,44.81,79112
2021-03-18,CTVA,44.8,45.5,44.22,44.55,149998
2021-03-19,CTVA,44.21,45.19,43.72,44.59,128238
2021-03-22,CTVA,45.19,45.35,44.44,44.87,140560
2021-03-23,CTVA,44.56,44.58,43.23,43.46,124334
2021-03-24,CTVA,44.1,44.39,43.63,43.83,148400
2021-03-25,CTVA,43.59,44.63,43.26,44.39,240626
2021-03-26,CTVA,44.96,45.57,44.53,45.48,163720
2021-03-29,CTVA,45.11,45.99,45.1,45.28,283347
2021-03-30,CTVA,45.31,45.41,44.34,44.5,177329
2021-03-31,CTVA,44.57,44.84,43.88,44.21,184086
2021-04-01,CTVA,44.47,44.53,43.69,44.36,103283
2021-04-05,CTVA,44.55,44.8,44.26,44.62,173216
2021-04-06,CTVA,44.66,45.5,44.53,45.25,114091
2021-04-07,CTVA,45.28,45.28,44.15,44.34,92081
2021-04-08,CTVA,44.2,44.69,43.83,44.5,113306
2021-04-09,CTVA,44.78,45.15,44.44,44.7,94758
2021-04-12,CTVA,44.99,45.2,44.43,44.69,169259
2021-04-13,CTVA,44.77,44.77,44.27,44.5,39270
2021-04-14,CTVA,44.55,45.18,44.49,44.77,92440
2021-04-15,CTVA,45.22,45.26,44.48,45.07,101819
2021-04-16,CTVA,45.52,45.6,44.86,45.06,63449
2021-04-20,CTVA,45.11,45.37,44.28,44.55,107036
2021-04-21,CTVA,44.48,45.81,44.4,45.79,108712
2021-04-22,CTVA,45.86,46.35,45.26,45.61,255566
2021-04-23,CTVA,45.66,46.4,45.49,46.15,132285
2021-04-26,CTVA,46.16,46.77,46.14,46.35,62092
2021-04-27,CTVA,46.13,46.73,46.13,46.62,83135
2021-04-28,CTVA,46.92,47.23,46.55,46.63,152672
2021-04-29,CTVA,47.07,47.17,46.51,47.0,122070
2021-04-30,CTVA,46.81,47.19,46.2,46.26,81085
2021-05-03,CTVA,46.71,47.41,46.57,47.18,128131
2021-05-04,CTVA,46.71,47.26,46.3,47.23,179703
2021-05-05,CTVA,45.22,45.48,43.94,45.25,335377
2021-05-06,CTVA,45.42,45.95,44.2,45.9,143586
2021-05-07,CTVA,45.82,46.75,45.75,46.36,160317
2021-05-10,CTVA,46.83,47.4,44.44,44.54,264186
2021-05-11,CTVA,43.99,44.78,43.42,44.69,207207
2021-05-12,CTVA,44.85,45.07,42.73,42.87,216633
2021-05-13,CTVA,43.09,43.97,42.84,43.7,275978
2021-05-14,CTVA,43.85,44.5,43.85,44.11,168788
2021-05-17,CTVA,44.25,44.3,43.66,44.01,110523
2021-05-18,CTVA,43.94,43.97,43.48,43.55,162984
2021-05-19,CTVA,43.02,43.02,42.3,42.63,128352
2021-05-20,CTVA,42.66,42.74,41.94,41.97,117162
2021-05-21,CTVA,42.6,43.08,42.45,42.49,164349
