date,tic,open,high,low,close,volume
2021-01-04,CVX,68.82,69.46,67.82,68.46,452781
2021-01-05,CVX,69.14,72.08,68.96,70.35,418335
2021-01-06,CVX,71.91,73.36,71.04,72.54,397956
2021-01-07,CVX,73.05,73.37,72.25,72.93,221965
2021-01-08,CVX,74.19,74.66,73.16,73.55,307316
2021-01-11,CVX,72.05,74.42,71.59,74.03,216559
2021-01-12,CVX,74.92,75.9,74.19,75.44,273531
2021-01-13,CVX,75.37,75.57,74.31,75.36,225898
2021-01-14,CVX,75.92,77.82,75.83,77.23,245878
2021-01-15,CVX,76.13,76.13,74.14,74.44,321235
2021-01-19,CVX,75.54,76.78,75.4,76.37,330515
2021-01-20,CVX,76.81,77.22,76.25,77.11,370469
2021-01-21,CVX,75.85,76.49,73.89,74.37,280987
2021-01-22,CVX,72.98,74.36,72.65,74.11,273666
2021-01-25,CVX,73.18,73.56,72.22,73.5,202560
2021-01-26,CVX,74.43,75.07,72.18,72.25,261491
2021-01-27,CVX,70.99,73.01,70.11,71.22,304452
2021-01-28,CVX,71.66,72.77,71.66,71.93,278245
2021-01-29,CVX,69.98,70.58,68.64,68.88,477578
2021-02-01,CVX,69.37,70.56,68.39,69.85,262639
2021-02-02,CVX,71.08,71.4,69.97,70.39,297721
2021-02-03,CVX,70.33,72.23,70.23,71.89,265359
2021-02-04,CVX,72.25,72.41,71.13,71.94,397054
2021-02-05,CVX,72.72,73.11,71.64,72.14,224174
2021-02-08,CVX,72.97,74.38,72.77,73.94,282261
2021-02-09,CVX,73.66,73.75,72.61,73.5,263208
2021-02-10,CVX,73.78,74.82,73.28,74.82,290673
2021-02-11,CVX,74.67,74.69,72.8,74.41,296366
2021-02-12,CVX,73.94,74.93,73.94,74.8,255400
2021-02-16,CVX,76.25,76.89,75.9,76.31,307977
2021-02-17,CVX,78.18,79.24,77.19,78.62,507849
2021-02-18,CVX,78.44,78.47,77.29,77.83,275980
2021-02-19,CVX,77.75,78.96,77.58,78.49,271549
2021-02-22,CVX,79.36,81.63,79.06,80.61,435227
2021-02-23,CVX,81.92,82.05,79.35,81.55,682006
2021-02-24,CVX,82.05,85.22,81.81,84.69,560577
2021-02-25,CVX,85.96,85.96,83.27,83.86,373106
2021-02-26,CVX,82.01,82.8,80.01,81.92,375276
2021-03-01,CVX,83.92,85.01,83.14,83.62,339083
2021-03-02,CVX,83.58,84.64,83.36,84.11,468832
2021-03-03,CVX,84.77,86.65,84.77,84.91,670298
2021-03-04,CVX,85.5,88.14,84.5,85.6,856879
2021-03-05,CVX,87.56,89.41,86.99,89.28,689879
2021-03-08,CVX,90.04,90.48,88.58,89.92,679376
2021-03-09,CVX,89.38,90.69,88.45,89.72,872689
2021-03-10,CVX,90.31,91.77,89.91,91.27,508342
2021-03-11,CVX,91.38,92.22,90.88,91.09,344995
2021-03-12,CVX,91.71,92.32,90.74,91.36,324672
2021-03-15,CVX,91.27,91.65,89.27,90.34,384690
2021-03-16,CVX,89.01,89.22,87.74,88.25,377814
2021-03-17,CVX,88.11,88.95,87.37,88.55,466304
2021-03-18,CVX,87.82,88.02,85.0,85.29,454010
2021-03-19,CVX,85.27,85.92,84.23,84.66,431089
2021-03-22,CVX,84.24,85.63,83.87,84.01,397563
2021-03-23,CVX,83.12,85.45,82.55,83.57,521785
2021-03-24,CVX,84.99,86.66,84.67,85.83,383423
2021-03-25,CVX,84.19,86.23,83.66,86.13,342561
2021-03-26,CVX,87.27,88.11,86.49,88.11,279877
2021-03-29,CVX,87.09,88.1,86.62,87.53,206301
2021-03-30,CVX,86.94,87.51,86.57,86.72,177694
2021-03-31,CVX,86.34,87.01,85.73,85.87,185140
2021-04-01,CVX,86.37,86.73,85.4,86.67,347365
2021-04-05,CVX,86.49,86.7,85.36,85.66,308591
2021-04-06,CVX,85.43,86.09,84.8,84.87,244066
2021-04-07,CVX,84.79,85.65,84.64,85.39,240824
2021-04-08,CVX,84.38,84.57,83.67,84.41,310704
2021-04-09,CVX,84.39,84.95,83.67,84.29,311035
2021-04-12,CVX,84.99,85.08,83.19,83.42,139338
2021-04-13,CVX,83.21,84.06,83.0,83.78,123255
2021-04-14,CVX,84.18,86.3,84.14,85.39,257122
2021-04-15,CVX,85.23,85.32,84.36,84.75,217545
2021-04-16,CVX,85.08,85.48,83.94,84.33,148174
2021-04-20,CVX,84.26,84.29,82.38,83.04,419195
2021-04-21,CVX,82.21,84.39,82.1,84.19,216262
2021-04-22,CVX,84.29,84.29,82.68,82.71,300648
2021-04-23,CVX,82.92,83.69,82.56,83.22,194634
2021-04-26,CVX,83.14,84.12,83.03,83.17,198677
2021-04-27,CVX,83.46,84.46,83.19,84.13,198283
2021-04-28,CVX,84.79,86.73,84.72,86.2,240598
2021-04-29,CVX,87.24,88.21,86.7,87.64,412639
2021-04-30,CVX,86.02,86.3,84.38,84.44,332244
2021-05-03,CVX,85.14,86.61,84.61,86.45,229266
2021-05-04,CVX,86.82,87.27,85.96,86.91,338714
2021-05-05,CVX,87.75,89.75,87.55,89.27,315680
2021-05-06,CVX,89.27,89.41,88.06,89.3,286898
2021-05-07,CVX,88.59,90.68,88.32,90.13,359905
2021-05-10,CVX,91.58,92.63,89.77,89.8,590418
2021-05-11,CVX,89.22,89.78,87.05,87.43,356409
2021-05-12,CVX,87.67,90.23,87.51,87.98,233673
2021-05-13,CVX,86.84,88.36,86.42,87.41,234401
2021-05-14,CVX,88.42,89.98,88.42,89.72,209524
2021-05-17,CVX,89.48,90.85,89.31,90.79,269351
2021-05-18,CVX,90.41,90.46,87.93,88.14,354723
2021-05-19,CVX,86.18,86.53,84.62,85.6,282423
2021-05-20,CVX,85.36,86.35,84.63,85.94,305765
2021-05-21,CVX,86.38,87.28,86.03,86.36,165712
2021-05-24,CVX,86.99,87.81,86.31,87.62,146355
2021-05-25,CVX,87.56,87.61,85.97,86.18,189509
2021-05-26,CVX,86.6,87.04,86.01,86.36,239340
2021-05-27,CVX,86.53,87.01,85.11,85.51,297882
2021-05-28,CVX,85.99,86.37,85.43,86.15,186731
2021-06-01,CVX,87.63,89.07,87.63,88.5,232045
2021-06-02,CVX,88.78,90.07,88.14,89.66,259526
2021-06-03,CVX,89.03,89.67,88.45,89.26,226908
2021-06-04,CVX,89.79,90.13,88.97,89.99,138239
2021-06-07,CVX,89.86,90.14,89.26,89.39,165739
2021-06-08,CVX,89.22,90.43,88.25,90.21,303858
2021-06-09,CVX,90.5,90.87,89.32,89.4,197091
2021-06-10,CVX,90.5,91.47,89.01,89.92,303160
2021-06-11,CVX,90.16,90.37,89.5,89.54,198298
2021-06-14,CVX,89.84,90.38,88.65,89.55,231634
2021-06-15,CVX,90.12,91.67,90.07,91.55,293670
2021-06-16,CVX,91.38,91.69,90.36,91.0,236635
2021-06-17,CVX,90.77,91.22,87.65,88.82,419337
2021-06-18,CVX,87.43,88.16,85.42,85.42,375535
2021-06-21,CVX,86.45,88.31,86.42,88.0,392904
2021-06-22,CVX,87.35,88.73,86.58,88.3,272985
2021-06-23,CVX,89.24,89.7,88.15,88.15,328882
2021-06-24,CVX,88.82,89.4,88.31,88.91,237181
2021-06-25,CVX,89.3,89.62,88.6,89.04,186546
2021-06-28,CVX,88.46,88.46,86.03,86.28,221442
2021-06-29,CVX,86.78,87.07,85.97,86.09,171895
2021-06-30,CVX,86.19,87.01,86.08,86.91,193194
2021-07-01,CVX,88.74,88.74,87.78,88.11,319395
2021-07-02,CVX,87.31,88.28,87.16,87.95,259525
2021-07-06,CVX,87.93,87.93,85.79,86.28,348921
2021-07-07,CVX,86.22,86.98,84.76,85.38,217131
2021-07-08,CVX,84.17,85.51,84.04,85.1,180591
2021-07-09,CVX,85.82,86.48,84.97,86.34,173707
2021-07-12,CVX,85.99,87.12,85.7,86.48,201320
2021-07-13,CVX,86.07,86.77,85.67,86.19,180749
2021-07-14,CVX,86.94,87.36,84.43,84.6,259071
2021-07-15,CVX,83.88,84.81,83.71,84.04,166143
2021-07-16,CVX,84.38,84.38,81.59,81.83,211519
2021-07-19,CVX,79.6,80.37,78.43,79.61,416800
2021-07-20,CVX,79.57,81.32,78.97,80.11,213742
2021-07-21,CVX,81.26,83.36,81.14,82.82,234971
2021-07-22,CVX,82.44,82.48,81.24,81.97,149413
2021-07-23,CVX,81.76,82.24,81.31,82.01,128066
2021-07-26,CVX,82.51,84.01,82.51,83.7,350062
2021-07-27,CVX,83.02,83.57,82.15,83.49,145314
2021-07-28,CVX,83.74,84.46,83.21,83.95,220005
2021-07-29,CVX,84.86,85.35,84.61,85.09,278469
2021-07-30,CVX,85.47,86.33,83.61,84.45,327736
